X_post:分享图片; Y_reply:清冷美女
X_post:分享图片; Y_reply:双眼皮不错
X_post:抑郁症又熬过了一天; Y_reply:棒棒哒
X_post:哦不。; Y_reply:注意眼睛呀 [抓狂]
X_post:如果太阳可以是蓝色的。; Y_reply:怎么样啊
X_post:沈腾借图求求这几张; Y_reply:p1p3 4??
X_post:蔡徐坤晚安; Y_reply:[打call]
X_post:抑郁症 打个哈欠都想吐，烦死了; Y_reply:[抱抱]
X_post:抑郁症果然还是舍不得撕碎烧掉……; Y_reply:很可爱耶
X_post:瞌睡的要死 但是闭上眼睛就是睡不着; Y_reply:[悲伤]
X_post:喂猫了; Y_reply:肯定是喜欢吃的呀 [喵喵]
X_post:志鑫志鑫; Y_reply:俺老孙看了，这小子挺有干劲儿！
X_post:我要请假。。。咳的我后脑勺疼; Y_reply:哎 感冒真的好难受
X_post:因尧而志_向尧看齐?????《爱在黄昏日落时》; Y_reply:??
X_post:第五人格 什么含金量#第五人格排位bug#; Y_reply:紫薯送给我
X_post:预言一波下个月我妈进组，如果不准当我没说; Y_reply:我蹲 [偷笑]
X_post:抑郁症 我们都要好好的; Y_reply:都要好好的 [抱一抱]
X_post:有你这个班好不了; Y_reply:我那伙伴给我班搅得乱成一锅粥了超 [泪]
X_post:抑郁症确诊重度前买的玩偶; Y_reply:好好爱它
X_post:不丢 消失 pH值小于7777的微博视频; Y_reply:气质丢宝 [嘻嘻]
X_post:我要带着你那份好好活着 才能去帮助别人; Y_reply:兄弟 你一定要加油啊
X_post:#眼泪女王 不会要be吧#哈吉嘛; Y_reply:看到你这个哈吉嘛笑死我了哈哈
X_post:抑郁症mect 我有点害怕 温州·温州市第七人民医院; Y_reply:[抱抱]
X_post:抑郁症; Y_reply:好羡慕...这样的一天，我会有勇气去过吗...
X_post:宝贝留在我的回忆里我要开启新的篇章。; Y_reply:虽然不舍 但还是要勇敢前行
X_post:自己做的减脂餐太难吃了 有点不想吃。。。我服了; Y_reply:我懂！我也经常这样
X_post:抑郁症明天要上班了，不想工作; Y_reply:抱抱抱 [抱抱]
X_post:抑郁症好想死，刚刚跟家里人吵完架; Y_reply:我也是
X_post:林书媛seowon出道快乐～MV宝宝的表现真的很棒！; Y_reply:但是这个趴..
X_post:抑郁症 请大家看花花??鲜花和春天都是免费的，快乐也是; Y_reply:超赞 [赞]
X_post:好久没睡过一个好觉了; Y_reply:洗个热水澡泡个脚，做个瑜伽冥想，可能对你好很多
X_post:我去割腿割太深了。一点痛感都没有; Y_reply:我现在胳膊就是这样
X_post:抑郁症一个朋友都没有是什么体验，不用说帮忙，平常说话都没有人说话; Y_reply:加一
X_post:抑郁症 昨天哭了一晚上，今天头好痛; Y_reply:回复@松本秋菊:交个朋友嘛 [抱抱]
X_post:抑郁症讨厌下雨天，下雨天让我变的焦虑不安?; Y_reply:我再也不会这样对你了 [泪]
X_post:好想抽烟; Y_reply:不要 抽烟最不酷了
X_post:下了班好像有点神志不清……关机睡觉（想养猫了; Y_reply:诶！那只小奶牛呢 [单身狗]
X_post:抑郁症想想还是得场病，病死算了，别人也不会说三道四了; Y_reply:不要这样想 [抱抱]
X_post:史铁生永远会被史铁生的文字震撼到; Y_reply:我把史铁生我与地坛这本书看完了，写的真的好
X_post:蔡徐坤#原创音乐制作人蔡徐坤# 上午好啊; Y_reply:[抱一抱]
X_post:#愚人节站姐团建#女明星有小脾气和正常@扑向蔡先生; Y_reply:女明星也要打工人的团建吗
X_post:啊啊啊啊自己把自己锁在门外了，我真的好笨啊; Y_reply:不笨不笨现在进去了吗？ [抱一抱]
X_post:李沅禧妈呀，这个宝宝真的好可爱。我真的好喜欢，好喜欢，好喜欢; Y_reply:我也觉得超级可爱
X_post:LASERMANTA双担哈哈哈哈哈，我的快乐～; Y_reply:卧槽妈妈能不能求个图 [悲伤]
X_post:抑郁症我成为抑郁症 超FUN啦 发帖纪念一下~; Y_reply:[抱抱]
X_post:抑郁症祝我月考顺利，不要再在考场上集中不了注意力啦……; Y_reply:祝你月考顺利考个好成绩 [抱抱]
X_post:抑郁症想问一下三个月不吃药了，突然又吃而且一次性吃了原来两倍的量会出事儿吗？; Y_reply:遵医嘱吃没事
X_post:啊啊啊啊啊啊啊雀人你们在干嘛; Y_reply:同问 [可爱]
X_post:#第五人格排位bug#第五人格给我道歉！; Y_reply:我真的是无语了
X_post:长沙的天气就像是便秘的人放几百个空屁几个响雷唬得我以为要一泻千里了; Y_reply:通知：紧急长鳃计划、启动！
X_post:按你的目标计划你本该是一位又白又瘦且饱读诗书的女人但你现在只是一个很饱的女人; Y_reply:伤到我了 [允悲]
X_post:抑郁症 今天早上本来在洗漱，结果家里的接线板突然爆掉了，吓我一跳。; Y_reply:注意安全，可能是接线板老化了
X_post:睡着能战胜恐惧; Y_reply:害怕什么？
