id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[af48738906],[1a9e9dddbf],"#暴裂无声#暴裂无声看得我重郁症又加重了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T19:03:48,三星 GALAXY Note8,0,0,,0,暴裂无声,[9b2d5b4678],2024-05-31 19:03:48
[b9f0a2908a],[1a4e1d33be],"抑郁症
刚才挂断了一个贷款广告的电话，直接没接。对方给我发短信，“忙啥呢最近？你加我微信，擦我加不了你”被拒之后他给我发短信“以后有需要再找爹，退下吧，穷逼” 所以我根本不适合活在这个世界上，真的。我不应该活在这个世界上的。我不想说话，连呼吸都不想了。陌生人为什么都这么多刺 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T16:54:31,抑郁症超话,2,3,"[{""id"": ""[fd75b78db2]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@殪钊:谢谢宝 [悲伤]"", ""reply_id"": 5039811348139432, ""reply_text"": ""回复@每天都是甜甜的喵:骂得好 他算个屁"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[76c443a5ca]"", ""created_at"": ""05-30"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""回复@每天都是甜甜的喵:骂得好 他算个屁"", ""reply_id"": 5039774614950312, ""reply_text"": ""当然我也回了让他滚蛋以及问候之类 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e8dedf8b7c]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""当然我也回了让他滚蛋以及问候之类 [微笑]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 16:54:31
[5a9a234ce9],[4433eac83c],"抑郁症
我觉得距离注销这个账号也快了，今天暴雨，和心情一样。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T16:44:29,抑郁症超话,1,4,"[{""id"": ""[f8a3eb0439]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@窝会一直视奸泥: [抱抱]"", ""reply_id"": 5039805094431015, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[259dfcb791]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@行了我闭嘴: [抱抱]"", ""reply_id"": 5039802598035845, ""reply_text"": ""我这边也下雨了不过现在天晴了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8151acba53]"", ""created_at"": ""05-30"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[f08ad9c19a]"", ""screen_name"": ""[b13d028154]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[59fd7783ca]"", ""created_at"": ""05-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""我这边也下雨了不过现在天晴了 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 16:44:29
[32f11c1bba],[f968904eea],"抑郁症
我都已经重度抑郁症了还要借我的钱，骗我的钱吗？！？最后还不忘来波道德绑架，所以说这个世界好在哪里？如果不是我的闺蜜跟我讲他的年龄都可能是假的，我还会深信不疑的认为他就是13岁的可怜小男孩。5块钱借不了吃亏借不了上当。这个社会值得信任吗！！！还有值得信任的人吗！！！为什 ...
全文",[9b2d5b4678],[48bd843dd1],[9b2d5b4678],,2024-05-30T16:24:44,抑郁症超话,5,9,"[{'id': 5040191018632219, 'created_at': '05-31', 'source': '来自北京', 'user': {'id': 7898190421, 'screen_name': '每天都是甜甜的喵'}, 'text': '回复@一二与鹤:我真是无语 ""[融化]""', 'reply_id': 5040182333542052, 'reply_text': '这什么神经啊 [裂开]', 'like_counts': 0, 'liked': False}, {'id': 5040182333542052, 'created_at': '05-31', 'source': '来自浙江', 'user': {'id': 7302548181, 'screen_name': '一二与鹤'}, 'text': '这什么神经啊 [裂开]', 'like_counts': 0, 'liked': False}, {'id': 5040176110243101, 'created_at': '05-31', 'source': '来自辽宁', 'user': {'id': 7118298835, 'screen_name': '给我一瓶娃哈哈哈哈哈'}, 'text': '回复@每天都是甜甜的喵:我可以给你5块钱', 'reply_id': 5040175696841619, 'reply_text': '回复@给我一瓶娃哈哈哈哈哈:已经不会相信了 [失望]', 'like_counts': 0, 'liked': False}, {'id': 5040175696841619, 'created_at': '05-31', 'source': '来自北京', 'user': {'id': 7898190421, 'screen_name': '每天都是甜甜的喵'}, 'text': '回复@给我一瓶娃哈哈哈哈哈:已经不会相信了 [失望]', 'reply_id': 5040174272088362, 'reply_text': '虽然这个世界坏人很多，但还是有好人的，你一定会碰到的', 'like_counts': 0, 'liked': False}, {'id': 5040174272088362, 'created_at': '05-31', 'source': '来自辽宁', 'user': {'id': 7118298835, 'screen_name': '给我一瓶娃哈哈哈哈哈'}, 'text': '虽然这个世界坏人很多，但还是有好人的，你一定会碰到的', 'like_counts': 0, 'liked': False}, {'id': 5039781195023717, 'created_at': '05-30', 'source': '来自北京', 'user': {'id': 7898190421, 'screen_name': '每天都是甜甜的喵'}, 'text': '回复@啦啦频道:那就是死了吧。挺好', 'reply_id': 5039779385444919, 'reply_text': '回复@每天都是甜甜的喵:我点开是空的', 'like_counts': 0, 'liked': False}, {'id': 5039779385444919, 'created_at': '05-30', 'source': '来自广东', 'user': {'id': 6100576736, 'screen_name': '善36'}, 'text': '回复@每天都是甜甜的喵:我点开是空的', 'reply_id': 5039777252901300, 'reply_text': '回复@啦啦频道:网页链接', 'like_counts': 1, 'liked': False}, {'id': 5039777252901300, 'created_at': '05-30', 'source': '来自北京', 'user': {'id': 7898190421, 'screen_name': '每天都是甜甜的喵'}, 'text': '回复@啦啦频道:网页链接', 'reply_id': 5039776656267759, 'reply_text': '他主页链接呢？', 'like_counts': 0, 'liked': False}, {'id': 5039776656267759, 'created_at': '05-30', 'source': '来自广东', 'user': {'id': 6100576736, 'screen_name': '善36'}, 'text': '他主页链接呢？', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-30 16:24:44
[675cabe0ba],[a86bc115d6],"今天在楼下抽烟
被一个同事姐姐看到了
她来到我的工位问我最近怎么样
问我最近没事吧我说没事啊挺好的
结果她居然哭了她说看到那样的我
很心疼她说我一定是发生了什么
哭的好厉害泪流满面的把我吓到了
我确实发生了什么可是我不能说
只能化作一缕烟吐出去
她哭着跟我说有事可以找她说
我边给她擦眼泪边 ...
全文",[9b2d5b4678],[b6a4dac60d],[9b2d5b4678],,2024-05-30T11:14:58,抑郁症超话,0,17,"[{""id"": ""[22bc728913]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""她哭了哭的很伤心，我也只是看着她，我的眼泪呢，可能在之前被强制住院的那17天里都流光了吧。我再也不会哭了，看以前会哭的剧也不会哭了，想到难过的事也不会哭了。应该管这种叫麻木冷漠还是心死又或者是看透罢了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b59461cbe]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@空白格伤感版:快乐很难的宝，再也做不到快乐了。"", ""reply_id"": 5039691030331772, ""reply_text"": ""要快乐啊姐姐"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 11:14:58
[10683c8c87],[e1ebf0f947],"每天来我主页看的人
我求求你们离我远一点
我并不想因为你们几个就开通亏死你爸的会员
所以自觉点别来我的主页
我的主页除了骂你什么也没有
还有今天get到了一张搞笑且写实的图片
仅以此送给所有下半身3cm的男性生物。
一个个的普却信觉得自己牛逼
不懂得尊重女性，满脑子都是性，都是做爱。
做你爸吧 ...
全文",[9b2d5b4678],[6f2da61d98],[9b2d5b4678],,2024-05-27T17:14:43,抑郁症超话,0,5,"[{""id"": ""[34982a3f4c]"", ""created_at"": ""05-28"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@可乐汽水N:滚蛋。"", ""reply_id"": 5038967206709093, ""reply_text"": ""请你好好说话不要这么自相矛盾但是表达起来又搪塞遮掩还又希望人懂"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[25d241b80c]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[4457a48afa]"", ""screen_name"": ""[cb2e43f3cd]""}, ""text"": ""请你好好说话不要这么自相矛盾但是表达起来又搪塞遮掩还又希望人懂"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7eb8ebb0d6]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""回复@靓女柠汐: [抱抱]"", ""reply_id"": 5038699393847987, ""reply_text"": ""抱抱，不理他们哈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[964ddb0059]"", ""created_at"": ""05-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[dfd046c136]"", ""screen_name"": ""[6d8ffee762]""}, ""text"": ""抱抱，不理他们哈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ac4ecd6894]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""当然我最爱的浔宝除外 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 17:14:43
[5d62ece732],[653946ea0c],"抑郁症
十五片艾司唑仑，我只想睡深度睡眠，求求了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T19:16:52,抑郁症超话,0,1,"[{""id"": ""[28283753b1]"", ""created_at"": ""05-24"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0e4357a89]"", ""screen_name"": ""[00c68b3587]""}, ""text"": ""他爸的醒了，又追了5片坐等困意"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 19:16:52
[d7e27fbf26],[1a7c907a3e],"抑郁症
作为四年的重度抑郁症患者，我一直有服药，劳拉西泮，喹硫平，文拉法辛，丙戊酸镁，佐匹克隆，舒肝解郁，酒石酸美托洛尔片，富马酸依美斯汀…。这些药让我体重从一百多斤爆涨到210斤，增加了二三十公斤。并且让我窦性心律过速，头晕，肢体麻木，会出虚汗。考虑到自身健康，已经减药了一 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T17:36:47,抑郁症超话,6,37,,0,,[9b2d5b4678],2024-05-23 17:36:47
[756efed46e],[250d6bd697],"抑郁症
看到自己因为激素变胖的身体，感受着自己一活动就满头大汗的虚弱感，是厌恶是无奈也是嫌弃。别再跟我说爱自己了，我真的做不到，太难了，我讨厌我自己。暴饮暴食，懒得运动，剪短了头发，变成了另外一个人，我不认识的人，充满恶意的人。我羡慕林奕含，我羡慕李玟，我羡慕乔任梁，他们都 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T06:55:29,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-20 06:55:29
[7c0fccc279],[f779f91bdb],"抑郁症
我已经不怕死啦～所以当死亡来临的时候我不会有一丝的恐惧，对这个世界也不会有任何的不舍与留恋。迎接死亡吧，就这样等待着，去接受死亡。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T16:25:34,抑郁症超话,2,3,"[{'id': 5036018761730988, 'created_at': '05-20', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '回复@每天都是甜甜的喵:宝你… ""[苦涩]""', 'reply_id': 5036001028997368, 'reply_text': '回复@炊子CHUIZI:不会痛，4次120，4次割腕，2次割喉，2次洗胃，2根断指，13次MECT，2次住院。我都没觉得疼过。', 'like_counts': 0, 'liked': False}, {'id': 5036001028997368, 'created_at': '05-20', 'source': '来自北京', 'user': {'id': 7898190421, 'screen_name': '每天都是甜甜的喵'}, 'text': '回复@炊子CHUIZI:不会痛，4次120，4次割腕，2次割喉，2次洗胃，2根断指，13次MECT，2次住院。我都没觉得疼过。', 'reply_id': 5035422285302626, 'reply_text': '宝补药啊…死亡很简单，但是死亡的痛一直痛在心里，或许世界还很美的，宝很勇敢，但可惜用错了地方… [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5035422285302626, 'created_at': '05-18', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '宝补药啊…死亡很简单，但是死亡的痛一直痛在心里，或许世界还很美的，宝很勇敢，但可惜用错了地方… [抱抱]', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-18 16:25:34
