id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[bdb54cd775],[4bd5a38e33],"#物华弥新谷雨公测#超话签到活动进行中，我领到了 
物华弥新
 《物华弥新》5天签到礼包！《物华弥新》的旅程已正式开启。物有光华，历久弥新。 
物华弥新公测超话签到
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T01:06:32,微博游戏,0,0,,0,物华弥新谷雨公测,[9b2d5b4678],2024-04-23 01:06:32
[2c2c3ca867],[428a02fae6],"#物华弥新谷雨公测#超话签到活动进行中，我领到了 
物华弥新
 《物华弥新》3天签到礼包！《物华弥新》的旅程已正式开启。物有光华，历久弥新。 
物华弥新公测超话签到
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T00:18:10,微博游戏,0,0,,0,物华弥新谷雨公测,[9b2d5b4678],2024-04-21 00:18:10
[d478636a36],[004477c4bf],"物华弥新
萌新问问大佬，这样配队行吗？求建议  ",[9b2d5b4678],[6c95b70ddc],[9b2d5b4678],,2024-04-20T11:38:29,物华弥新超话,0,0,,0,,[9b2d5b4678],2024-04-20 11:38:29
[4ab31e3597],[7d59508368],"#物华弥新谷雨公测#超话签到活动进行中，我领到了 
物华弥新
 《物华弥新》1天签到礼包！《物华弥新》的旅程已正式开启。物有光华，历久弥新。 
物华弥新公测超话签到
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T13:13:04,微博游戏,0,0,,0,物华弥新谷雨公测,[9b2d5b4678],2024-04-19 13:13:04
[2909d789e8],[c7131c5b78],"双相情感障碍
心境障碍是精神类疾病吗？我目前住院，医保报销的话精神类疾病和其他疾病不一类，格外算一类。我怕如果填心境障碍它会给我上报。有没有人知道帮帮我啊？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T09:25:47,双相情感障碍超话,0,7,"[{""id"": ""[fe3ebc9aac]"", ""created_at"": ""04-05"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[fe52440d73]"", ""screen_name"": ""[de40189f90]""}, ""text"": ""是精神疾病，但不会上报"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6174823076]"", ""created_at"": ""04-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[23905b234f]"", ""screen_name"": ""[7f4a1228db]""}, ""text"": ""算精神类疾病，不会上报"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[46a79eef88]"", ""created_at"": ""04-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d283665808]"", ""screen_name"": ""[e3bf9334d0]""}, ""text"": ""是精神疾病，不会上报"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[77fa0b7a66]"", ""created_at"": ""04-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[25e96cafcb]"", ""screen_name"": ""[3a247b2817]""}, ""text"": ""回复@梨涩涩:我是门诊，不知道和住院一不一样"", ""reply_id"": 5019744618416161, ""reply_text"": ""回复@猫在被窝睡猫觉:你也是住院报销吗？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1d81197485]"", ""created_at"": ""04-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[19cb3bf8a7]"", ""screen_name"": ""[0196d43d7e]""}, ""text"": ""回复@猫在被窝睡猫觉:你也是住院报销吗？"", ""reply_id"": 5019739749353103, ""reply_text"": ""我之前不想让大夫上报，她就帮我写的心境障碍，所以应该算精神类吧，但不至于上报那种"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[97f2217426]"", ""created_at"": ""04-05"", ""source"": ""来自浙江"", ""user"": {""id"": ""[25e96cafcb]"", ""screen_name"": ""[3a247b2817]""}, ""text"": ""我之前不想让大夫上报，她就帮我写的心境障碍，所以应该算精神类吧，但不至于上报那种"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[286d281be4]"", ""created_at"": ""04-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[19cb3bf8a7]"", ""screen_name"": ""[0196d43d7e]""}, ""text"": ""为什么精神类要格外分开，不都是生病了吗？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-05 09:25:47
[4e100aea18],[0c0a859cc5],"收书
出书
感兴趣私我
碎玉投珠全套(2未拆)
判闻时(未拆)
你的距离(未拆)
当年万里觅封侯全套(2未拆)
破云全套
杀破狼全套
默读全套
awm全套
伪装学渣全套
将进酒全套(2未拆)
我和我对家
有些飞机盒，周边还在
基本上都是全新普本，拆开以后就放进自封袋里了
买的多的话送言情小说 
除了将进酒1 ...
全文",[9b2d5b4678],[b1a31510a6],[9b2d5b4678],,2024-03-16T22:25:21,收书超话,0,0,,0,,[9b2d5b4678],2024-03-16 22:25:21
[f1373dc8de],[f35026679e],"出书
出书
感兴趣私我
碎玉投珠全套(2未拆)
判闻时(未拆)
你的距离(未拆)
当年万里觅封侯全套(2未拆)
破云全套
杀破狼全套
默读全套
awm全套
伪装学渣全套
将进酒全套(2未拆)
我和我对家
有些飞机盒，周边还在
基本上都是全新普本，拆开以后就放进自封袋里了
买的多的话送言情小说 
除了将进酒1 ...
全文",[9b2d5b4678],[ff461461c0],[9b2d5b4678],,2024-03-16T22:24:27,出书超话,0,3,"[{""id"": ""[b7b5044ce0]"", ""created_at"": ""03-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[d5a92fe8cd]"", ""screen_name"": ""[6c7d54cd97]""}, ""text"": ""回复@梨涩涩:婉拒了宝宝"", ""reply_id"": 5013192525482133, ""reply_text"": ""回复@用户7769621779:35不包"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d8cc77f618]"", ""created_at"": ""03-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[19cb3bf8a7]"", ""screen_name"": ""[0196d43d7e]""}, ""text"": ""回复@用户7769621779:35不包"", ""reply_id"": 5013160031420497, ""reply_text"": ""问问当年万里觅封侯"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ce42f024c6]"", ""created_at"": ""03-18"", ""source"": ""来自河北"", ""user"": {""id"": ""[d5a92fe8cd]"", ""screen_name"": ""[6c7d54cd97]""}, ""text"": ""问问当年万里觅封侯"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-16 22:24:27
[8177db8b2b],[7f8c76704d],"二手书
出书
感兴趣私我
碎玉投珠全套(2未拆)
判闻时(未拆)
你的距离(未拆)
当年万里觅封侯全套(2未拆)
破云全套
杀破狼全套
默读全套
awm全套
伪装学渣全套
将进酒全套(2未拆)
我和我对家
有些飞机盒，周边还在
基本上都是全新普本，拆开以后就放进自封袋里了#二手书买卖# 
买的多的话送言情小 ...
全文",[9b2d5b4678],[ba6b81a8a4],[9b2d5b4678],,2024-03-16T22:23:27,二手书超话,1,5,"[{""id"": ""[338776cd14]"", ""created_at"": ""03-22"", ""source"": ""来自山西"", ""user"": {""id"": ""[30f44bc631]"", ""screen_name"": ""[b7d191bfcc]""}, ""text"": ""问问将进酒"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fb318f08ae]"", ""created_at"": ""03-17"", ""source"": ""来自河南"", ""user"": {""id"": ""[19cb3bf8a7]"", ""screen_name"": ""[0196d43d7e]""}, ""text"": ""回复@沉听坤诉歌:55不包"", ""reply_id"": 5012694923216593, ""reply_text"": ""问问破云全套"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[789b3b59fd]"", ""created_at"": ""03-17"", ""source"": ""来自河南"", ""user"": {""id"": ""[19cb3bf8a7]"", ""screen_name"": ""[0196d43d7e]""}, ""text"": ""回复@缘缘不圆h:35不包"", ""reply_id"": 5012847560491875, ""reply_text"": ""问问awm"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b9c4167997]"", ""created_at"": ""03-17"", ""source"": ""来自湖北"", ""user"": {""id"": ""[3455235fde]"", ""screen_name"": ""[11053c707d]""}, ""text"": ""问问awm"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0564390696]"", ""created_at"": ""03-16"", ""source"": ""来自河北"", ""user"": {""id"": ""[d4a1f97297]"", ""screen_name"": ""[4c7545eb4d]""}, ""text"": ""问问破云全套"", ""like_counts"": 0, ""liked"": false}]",0,二手书买卖,[9b2d5b4678],2024-03-16 22:23:27
[eeaf4cd3ec],[cfc4b367dc],"恋与深空
祁煜这次的生日卡是什么星谱啊？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-29T19:07:45,恋与深空超话,0,1,"[{""id"": ""[15ee64c9ae]"", ""created_at"": ""02-29"", ""source"": ""来自广西"", ""user"": {""id"": ""[7c6e23978c]"", ""screen_name"": ""[ecf467e5ff]""}, ""text"": ""明天出来了才知道吧 想要黄色 [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-29 19:07:45
[76f905fc7a],[e5dcdeca7b],"恋与深空
求图，有没有哪位猎人小姐有这张图的可以发我一下
 ",[9b2d5b4678],[0e848078c4],[9b2d5b4678],,2024-02-14T12:06:02,恋与深空超话,1,0,,0,,[9b2d5b4678],2024-02-14 12:06:02
