id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6ad60c367f],[7b9744e8cd],"悖论，一款香的不行的姐弟骨哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好神
骨科我吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃伟大的骨科之神 ",[9b2d5b4678],[1479fe5f00],[9b2d5b4678],,2024-05-09T18:44:55,Redmi Note 11 5G,4,1,"[{""id"": ""[32f8fb893a]"", ""created_at"": ""05-09"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""凌清远你好爽 [允悲]"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 18:44:55
[8923d3747e],[73c5430724],"好看
冰冷热带鱼
 ",[9b2d5b4678],[0ce9d320e7],[9b2d5b4678],,2024-05-08T15:50:14,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-05-08 15:50:14
[4da5fc5e38],[dc2466b197],分享图片 ,[9b2d5b4678],[8fae67aaa1],[9b2d5b4678],,2024-05-08T15:49:20,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-05-08 15:49:20
[7b21436acf],[7b58def812],分享图片 ,[9b2d5b4678],[615eb28e0e],[9b2d5b4678],,2024-05-08T15:48:14,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-05-08 15:48:14
[7a46e25d5a],[3fdfc654f6],你们就这么想让我死吗？滚啊都滚啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T10:59:34,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-05-06 10:59:34
[d57c25dc7d],[2600d5738c],"抑郁症
我想休学怎么办呀，我好想死呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T12:28:08,抑郁症超话,0,5,"[{""id"": ""[45425fbd10]"", ""created_at"": ""05-02"", ""source"": ""来自湖北"", ""user"": {""id"": ""[2689226281]"", ""screen_name"": ""[8dc4a6365b]""}, ""text"": ""因为生病症状不能继续坚持，还是因为厌学，人际关系或其它呢？看看我们能不能帮你解决一部分困扰的问题 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[babb7f8a50]"", ""created_at"": ""05-02"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""回复@关闭撤回:家长不会同意的 [泪]"", ""reply_id"": 5029584391376472, ""reply_text"": ""那直接向学校申请休学就行了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5de94ea25f]"", ""created_at"": ""05-02"", ""source"": ""来自河北"", ""user"": {""id"": ""[9e0cd46f39]"", ""screen_name"": ""[3b516466ed]""}, ""text"": ""那直接向学校申请休学就行了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b397d38a7]"", ""created_at"": ""05-02"", ""source"": ""来自湖南"", ""user"": {""id"": ""[34495e8ac0]"", ""screen_name"": ""[26f1f9a930]""}, ""text"": ""休学需要医生开证明"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a0ce5bcbc7]"", ""created_at"": ""05-02"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 12:28:08
[0268e20148],[731a20b6a2],"抑郁症
问一下，医生给我开了图上的药和解郁丸，意思是确诊抑郁了吗？ ",[9b2d5b4678],[6375d5e905],[9b2d5b4678],,2024-04-26T16:23:19,抑郁症超话,2,8,"[{""id"": ""[880ef2fe89]"", ""created_at"": ""05-02"", ""source"": ""来自湖北"", ""user"": {""id"": ""[2689226281]"", ""screen_name"": ""[8dc4a6365b]""}, ""text"": ""如果首次问诊，请谨慎用药，先找医生确认抑郁还是别的，自评量表一定要结合临床症状来做判断。如果没有达到用药程度，优先采用心理干预或治疗，因为一般用药周期较长，有停药反应或其它副作用。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0ab9514442]"", ""created_at"": ""05-02"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""回复@用户7838919981:那有别的药推荐吗？确实很贵 [泪]"", ""reply_id"": 5027503497809656, ""reply_text"": ""建议下次不要医生开那个丸了，贵且无用。你是有权拒绝的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[86ccb23c19]"", ""created_at"": ""04-26"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""回复@戚7c:谢谢 [心]"", ""reply_id"": 5027467788032395, ""reply_text"": ""我前两天犯病了医生给开的也是这个药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e9610f84a]"", ""created_at"": ""04-26"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""回复@一尘不染zyc:好的，谢谢"", ""reply_id"": 5027455213244299, ""reply_text"": ""开了药一般就是确诊了吧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3855b6b7d0]"", ""created_at"": ""04-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[34495e8ac0]"", ""screen_name"": ""[26f1f9a930]""}, ""text"": ""建议下次不要医生开那个丸了，贵且无用。你是有权拒绝的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[957ac566ee]"", ""created_at"": ""04-26"", ""source"": ""来自新疆"", ""user"": {""id"": ""[49f57a975d]"", ""screen_name"": ""[8af0490f15]""}, ""text"": ""我前两天犯病了医生给开的也是这个药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[892f7b77e6]"", ""created_at"": ""04-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[c13c3cdd1f]"", ""screen_name"": ""[1d0d7c4331]""}, ""text"": ""开了药一般就是确诊了吧"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 16:23:19
[3a85d476df],[25b8af49c5],"抑郁症
一看到要花的钱我就更焦虑了
 ",[9b2d5b4678],[fc5f05a28d],[9b2d5b4678],,2024-04-26T09:07:40,抑郁症超话,1,1,"[{""id"": ""[ab8054ed23]"", ""created_at"": ""04-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""好好治疗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 09:07:40
[15e42f2185],[4784c48c12],暧昧上头的时候，我以为会是永远 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T23:42:27,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-04-25 23:42:27
[c84c39bd43],[fce7c65bcb],"分享单曲 
我想
 (@网易云音乐) ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T23:17:52,网易云音乐,2,1,"[{""id"": ""[7b13bba36b]"", ""created_at"": ""04-25"", ""source"": ""来自山西"", ""user"": {""id"": ""[6d2ab4050e]"", ""screen_name"": ""[02231eb1a2]""}, ""text"": ""我想 和你 再一起"", ""like_counts"": 0, ""liked"": false}]",0,,[4a366fb92e],2024-04-25 23:17:52
