id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[e7484310d0],[0b551d7b3a],"抑郁症
好幸运可以在好朋友的世界里做小朋友
（体育模拟突破了自己的小瓶颈，被好朋友夸夸） ",[9b2d5b4678],[2c46a5b1b3],[9b2d5b4678],,2024-04-24T11:49:07,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-24 11:49:07
[520fcc3036],[a48264794c],"师生粉
此刻 一个美术小小心动了下 ",[9b2d5b4678],[d49633f773],[9b2d5b4678],,2024-04-23T17:16:21,师生粉超话,3,0,,0,,[9b2d5b4678],2024-04-23 17:16:21
[74568c23de],[ae20f91278],"抑郁症
我的小救赎
 ",[9b2d5b4678],[4facfdb66a],[9b2d5b4678],,2024-04-23T17:13:34,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-23 17:13:34
[8db0ffc664],[b3ea3d4cb3],"师生粉
突然回忆一下我妹妹经常和我说的话，然后发现和我经常和她说的基本重合了，我在她面前也巨粘人巨容易害羞，特别是有别的老师在的时候 真的一被调侃就喜欢躲她身后，她也特喜欢捏捏脸或者摸摸头说我可爱（so 妹妹定律吗这是） ",[9b2d5b4678],[0e162390a4],[9b2d5b4678],,2024-04-16T20:22:50,师生粉超话,1,0,,0,,[9b2d5b4678],2024-04-16 20:22:50
[38767896f8],[a3a1f52164],"师生粉
2024.4.15 遗憾完美收场 故事悄然闭环 我说 我们永远 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T22:59:17,师生粉超话,5,5,"[{""id"": ""[c6b8fbeb77]"", ""created_at"": ""04-16"", ""source"": ""来自河北"", ""user"": {""id"": ""[052fce2151]"", ""screen_name"": ""[039833b80b]""}, ""text"": ""回复@严师出逆徒:好像让你们理解错了她不教我们已经437天了，昨天是因为实验中考 她是生物老师又给我们讲了一节课，最初 她和我说她不教我们时特别突然，最后一节我们和她的课也以网课落幕，所以这是我和我们一直的遗憾，昨天她代课的那一节，填补了我们的缺失，是很开心很激动的 但难免会有戒断反应 仅此 [思考]"", ""reply_id"": 5023607818289588, ""reply_text"": ""不教你也可以处好关系"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b8410587f5]"", ""created_at"": ""04-16"", ""source"": ""来自中国"", ""user"": {""id"": ""[773ecae8db]"", ""screen_name"": ""[ddb7ed7d8b]""}, ""text"": ""不教你也可以处好关系"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[31dc08a0e7]"", ""created_at"": ""04-15"", ""source"": ""来自河北"", ""user"": {""id"": ""[052fce2151]"", ""screen_name"": ""[039833b80b]""}, ""text"": ""回复@大宝喜欢鲜艳的ww_:看我上一条微博宝宝"", ""reply_id"": 5023558801822185, ""reply_text"": ""什么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[02b238afaf]"", ""created_at"": ""04-15"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[15c74509d1]"", ""screen_name"": ""[ff644e66ef]""}, ""text"": ""什么"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 22:59:17
[742a2f5e04],[5a7ee2fefa],"师生粉
于我 那是一段小有遗憾的幸福时光. ",[9b2d5b4678],[069d2880e2],[9b2d5b4678],,2024-04-15T22:55:59,师生粉超话,5,0,,0,,[9b2d5b4678],2024-04-15 22:55:59
[b837a99656],[f6b7a721df],"师生粉
我们会有无数个拥有彼此的明天 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T23:25:17,师生粉超话,4,0,,0,,[9b2d5b4678],2024-04-12 23:25:17
[98f1af921e],[bd579ce8f2],"师生粉
啊啊啊啊啊啊实验中考！生物是她教！！！！！真的当时班任和我说的时候我要疯掉了啊啊啊 “哟哟哟哟哟哟生物课代表限时返场了呦”我真的在他们起哄声里要笑死，主要是她以前和我说过她不太可能教我们来着🥺突然说老师是她我真的啊啊我要哭了，她不教我们的432天 那句不知道说了多少遍 ...
全文",[9b2d5b4678],[1e8011ab97],[9b2d5b4678],,2024-04-12T23:24:33,师生粉超话,5,1,"[{""id"": ""[7d3ac02e05]"", ""created_at"": ""04-13"", ""source"": ""来自河南"", ""user"": {""id"": ""[2864c76af1]"", ""screen_name"": ""[5073c5214f]""}, ""text"": ""也是让我刷到你了小阿聪 [馋嘴]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 23:24:33
[52ace515bd],[7622fda59b],"师生粉
她最近执着于让我回来当老师陪她，最好当个主任让她摆烂
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T21:52:04,师生粉超话,3,0,,0,,[9b2d5b4678],2024-04-03 21:52:04
[9466ea67f5],[688f6bcfed],"师生粉
来扩宝宝们
女初+同性+双向 ",[9b2d5b4678],[823e7f819c],[9b2d5b4678],,2024-04-03T21:50:50,师生粉超话,1,2,"[{""id"": ""[f6281d1b28]"", ""created_at"": ""04-03"", ""source"": ""来自河北"", ""user"": {""id"": ""[052fce2151]"", ""screen_name"": ""[039833b80b]""}, ""text"": ""回复@漫夜星河0930:！！！！！！"", ""reply_id"": 5019196356296885, ""reply_text"": ""哇晨曦宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9c878f5205]"", ""created_at"": ""04-03"", ""source"": ""来自江苏"", ""user"": {""id"": ""[f1beec8cc9]"", ""screen_name"": ""[cef77bbf62]""}, ""text"": ""哇晨曦宝宝"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-03 21:50:50
