id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[59209e8bd7],[e059be656f],"抑郁症
是发生了灵异事件，还是我失忆了？！今天晚上不太想吃西药，但又怕晚上睡不着难受的时候想吃药睡觉，就倒了一整杯水，因为口渴喝了半杯，剩下半杯放在床头备用。可是刚刚我想吃药睡觉的时候，端起杯子发现里面一点水都没有！但是我记忆里真的只喝了半杯。。。当时还想着剩下的半杯放到夜 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T02:06:01,抑郁症超话,0,1,"[{""id"": ""[e9d0a14857]"", ""created_at"": ""05-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[4bc1bcfe0d]"", ""screen_name"": ""[d5dbb84212]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 02:06:01
[363311af58],[2258bb6cdf],"抑郁症
老公亲戚生病了，五一要回老家看他，让我一起去，早上要很早起赶回去。可是我吃了药嗜睡，早上很难醒，人也一点力气没有，一点也不想出门。真不想去，去了又要见一堆人又要说话，一点也不想见人不想说话，唉。。。什么时候能不用烦人际关系就好了。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T12:43:32,抑郁症超话,1,1,"[{""id"": ""[6410b257e2]"", ""created_at"": ""05-02"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 12:43:32
[9ad6bf6a21],[c38c7f2fd5],"抑郁症
吃药两个月了，没好转，反而更加没有欲望，没有希望，觉得活着更没意思了。。。为什么 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T19:34:40,抑郁症超话,1,14,"[{""id"": ""[d74a4369f6]"", ""created_at"": ""05-02"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@每天都要找活着的理由:要吃多久才能好转呢？"", ""reply_id"": 5028948532792885, ""reply_text"": ""刚服药前期正常现象"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[562195088f]"", ""created_at"": ""04-30"", ""source"": ""来自湖南"", ""user"": {""id"": ""[34495e8ac0]"", ""screen_name"": ""[26f1f9a930]""}, ""text"": ""药物效果不好，就需要换别的药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[31c0435c1e]"", ""created_at"": ""04-30"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""我也觉得没有希望。吃药这么久了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4d4a60a86]"", ""created_at"": ""04-30"", ""source"": ""来自贵州"", ""user"": {""id"": ""[dd237e4bfb]"", ""screen_name"": ""[e9cf9f09ae]""}, ""text"": ""刚服药前期正常现象"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 19:34:40
[409a7c0c6c],[6278449b81],"抑郁症
只要醒着就又累又烦躁，身体动不了，脑子停不了，好不容易想通的问题忽然又想不通了
太烦了，还是睡着好。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T13:19:06,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-24 13:19:06
[807a5d3176],[fc1f0549db],"抑郁症
今天带着针睡觉，还好我睡觉不会乱动 ",[9b2d5b4678],[5bd5d05083],[9b2d5b4678],,2024-04-17T22:00:22,抑郁症超话,1,2,"[{""id"": ""[e98eb644ae]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@沃特武奥尔斯2022:针灸留针，明天起床后拔"", ""reply_id"": 5024283593806020, ""reply_text"": ""这个是什么针打头上的？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5ad31bd13b]"", ""created_at"": ""04-17"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""这个是什么针打头上的？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 22:00:22
[8982f58d5a],[be7b1cc7e6],"抑郁症
每天睡觉都被鬼吓，清明假期和家里人一起去找人问了说是有两只，前世冤孽，确实有一次两只一起蹲在我身上看着我，后来就一只一只的天天来吓我。好吧，不是我疯了就是我疯了。不过出个门好像确实能让情绪好一些，去花草市场买了一盆小树，放在家里很美，已经很久没出门，很久没有感受到美 ...
全文",[9b2d5b4678],[94b28adc11],[9b2d5b4678],,2024-04-07T14:50:49,抑郁症超话,0,10,"[{""id"": ""[7781281521]"", ""created_at"": ""04-10"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@一个人xy独行:不客气的 [心]"", ""reply_id"": 5021750200895678, ""reply_text"": ""回复@花莞杳夢菸:嗯嗯，谢谢宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d030335af]"", ""created_at"": ""04-10"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@花莞杳夢菸:嗯嗯，谢谢宝 [抱抱]"", ""reply_id"": 5021749974141387, ""reply_text"": ""回复@一个人xy独行:能好一点就是好事 这样只能慢慢来了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2db6ceb5c4]"", ""created_at"": ""04-10"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@一个人xy独行:能好一点就是好事 这样只能慢慢来了 [心]"", ""reply_id"": 5021749638333919, ""reply_text"": ""回复@花莞杳夢菸:请人看过了，该做的做了，这次又找了一个人看，送了，让我每天做一些事，得做一年，这两天睡觉比之前好一些，没有再看到人形的黑影了，但还是有一团黑气，不过那人也说了，不会一下子就好，因为是前世的债，所以需要一段时间，再等等看，如果还是不行，就只能再想其他办法，房子是换不起了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[eab06f2c55]"", ""created_at"": ""04-10"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@花莞杳夢菸:请人看过了，该做的做了，这次又找了一个人看，送了，让我每天做一些事，得做一年，这两天睡觉比之前好一些，没有再看到人形的黑影了，但还是有一团黑气，不过那人也说了，不会一下子就好，因为是前世的债，所以需要一段时间，再等等看，如果还是不行，就只能再想其他办法，房子是换不起了 [泪]"", ""reply_id"": 5021746342924712, ""reply_text"": ""回复@一个人xy独行:我不是干这个的 之前有会算命的跟我说过 有脏东西最好还是清理一下吧 如果自己身体差就有可能被影响 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3e18b71e58]"", ""created_at"": ""04-10"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""回复@一个人xy独行:我不是干这个的 之前有会算命的跟我说过 有脏东西最好还是清理一下吧 如果自己身体差就有可能被影响 [抱抱]"", ""reply_id"": 5021745570384462, ""reply_text"": ""回复@花莞杳夢菸:就是没能力呢，所以搬不了屋子咋了？看出啥了？ [笑cry]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3f58a717c6]"", ""created_at"": ""04-10"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@花莞杳夢菸:哦哦，刚反应过来你说的是我提到的鬼是吧？我以为我照片能看出我屋子怎么了 [笑cry]"", ""reply_id"": 5020636844659509, ""reply_text"": ""老师有能力还是搬个家吧体质弱的在这种屋子里不会有好处 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[26615cebcf]"", ""created_at"": ""04-10"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@花莞杳夢菸:就是没能力呢，所以搬不了屋子咋了？看出啥了？ [笑cry]"", ""reply_id"": 5020636844659509, ""reply_text"": ""老师有能力还是搬个家吧体质弱的在这种屋子里不会有好处 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b2d7bc0c48]"", ""created_at"": ""04-07"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""老师有能力还是搬个家吧体质弱的在这种屋子里不会有好处 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e4524e8038]"", ""created_at"": ""04-07"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 14:50:49
[0eb8219d20],[8ae524c07a],"抑郁症
今天不想吃药，有点想死了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T14:07:02,抑郁症超话,0,3,"[{""id"": ""[25246a32c3]"", ""created_at"": ""04-01"", ""source"": ""来自贵州"", ""user"": {""id"": ""[84b2687a81]"", ""screen_name"": ""[71211c53f6]""}, ""text"": ""回复@一个人xy独行:嗯嗯为了你爱的人留下来哦 [抱抱]"", ""reply_id"": 5018159251195631, ""reply_text"": ""回复@哈喽Dilemma:没事没事没死成，谢谢你哭了一顿，死亡的念头转了好久，看着窗子好想跳啊，最后还是被我儿子拉住了，他说妈妈我晚上陪你，我不怕那些鬼，我有好多种方法对付它们。看着他想到我爸自杀把我们留下来所有人痛苦的一生，真的不忍心，怕对不起孩子，忍住了，但还是不想吃药，刚喝完酒，希望能睡着 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fa3e68c8fe]"", ""created_at"": ""04-01"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@哈喽Dilemma:没事没事没死成，谢谢你哭了一顿，死亡的念头转了好久，看着窗子好想跳啊，最后还是被我儿子拉住了，他说妈妈我晚上陪你，我不怕那些鬼，我有好多种方法对付它们。看着他想到我爸自杀把我们留下来所有人痛苦的一生，真的不忍心，怕对不起孩子，忍住了，但还是不想吃药，刚喝完酒，希望能睡着 [抱一抱]"", ""reply_id"": 5018026955245280, ""reply_text"": ""别啊宝宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8f97015ee1]"", ""created_at"": ""03-31"", ""source"": ""来自贵州"", ""user"": {""id"": ""[84b2687a81]"", ""screen_name"": ""[71211c53f6]""}, ""text"": ""别啊宝宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-31 14:07:02
[0514309d11],[fd23475759],"抑郁症
手术以后，经常会在半梦半醒的时候感受到同样的场景：每次都在睡觉的这张床上，每次都一样，感觉床动了，床陷下去了，有东西坐在床上了，有东西往床上爬了，有东西躺在我旁边了，有东西躲在边上看我了，有东西爬到我身上，蹲在我身上看我。每次都能感觉到它爬上床，床陷下去的动静，清晰 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-29T12:33:21,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-29 12:33:21
[b785473544],[4e6c707b26],"抑郁症
看到工作群里要求填年假病假表格，情绪就崩溃了，心慌的要窒息，我这是有多脆弱，又多害怕这个工作里的人事物。还能休多久病假，必须要回去上班的时候该怎么办呢。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T19:48:48,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-03-28 19:48:48
[2b1fb539fc],[ba6866a3d2],"抑郁症
很迷茫很痛苦，是我不想快乐吗？好像病好不起来，快乐不起来都是因为我不够努力。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T16:38:37,抑郁症超话,2,3,"[{""id"": ""[6cd291edee]"", ""created_at"": ""03-28"", ""source"": ""来自贵州"", ""user"": {""id"": ""[8b8959ba2c]"", ""screen_name"": ""[af670fc45a]""}, ""text"": ""回复@一个人xy独行:没事 [打call]"", ""reply_id"": 5016986738229719, ""reply_text"": ""回复@努力生活就行:谢谢 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2bd3b38935]"", ""created_at"": ""03-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[fe6d98995d]"", ""screen_name"": ""[03ad8ecb4f]""}, ""text"": ""回复@努力生活就行:谢谢 [抱抱]"", ""reply_id"": 5016948956203927, ""reply_text"": ""宝贝抱抱你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7aaefa61ab]"", ""created_at"": ""03-28"", ""source"": ""来自贵州"", ""user"": {""id"": ""[8b8959ba2c]"", ""screen_name"": ""[af670fc45a]""}, ""text"": ""宝贝抱抱你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-28 16:38:37
