id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[e821675669],[5358583521],能活在有你的世界真是太好了^@陈都灵 @任胤菘w ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T21:40:49,iPhone XS Max,2,1,"[{""id"": ""[3dd998b705]"", ""created_at"": ""06-02"", ""source"": ""来自山东"", ""user"": {""id"": ""[e234b5432e]"", ""screen_name"": ""[0462e5d72a]""}, ""text"": ""千切豹马我想你"", ""like_counts"": 0, ""liked"": false}]",0,,[819b20e1a3],2024-05-26 21:40:49
[ec51d439ba],[3ccb14b3f8],"陈都灵
 cdl#陈都灵文潇# cdl#陈都灵大梦归离# 
月色和雪色之间，你是第三种绝色𝓑𝓮𝓽𝔀𝓮𝓮𝓷 𝓽𝓱𝓮 𝓶𝓸𝓸𝓷𝓵𝓲𝓰𝓱𝓽 𝓪𝓷𝓭 𝓽𝓱𝓮 𝓼𝓷𝓸𝔀, 𝔂𝓸𝓾 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓽𝓱𝓲𝓻𝓭 𝓴𝓲𝓷? ...
全文",[9b2d5b4678],[a0b2192bbd],[9b2d5b4678],,2024-06-02T07:38:48,陈都灵超话,1,2,"[{""id"": ""[3265e6992c]"", ""created_at"": ""06-02"", ""source"": ""来自福建"", ""user"": {""id"": ""[0f9151bcdd]"", ""screen_name"": ""[0c574185cc]""}, ""text"": ""陈都灵贵女#陈都灵庄寒雁#陈都灵庄寒雁#陈都灵贵女#陈都灵贵女#陈都灵庄寒雁#陈都灵庄寒雁#陈都灵贵女#陈都灵庄寒雁#陈都灵庄寒雁#陈都灵文潇#陈都灵文潇#陈都灵大梦归离#陈都灵大梦归离#陈都灵文潇#陈都灵文潇#陈都灵大梦归离#陈都灵大梦归离#陈都灵文潇#陈都灵文潇#陈都灵大梦归离#陈都灵文潇#"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0d6b37eb78]"", ""created_at"": ""06-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[e5a3be5b7a]"", ""screen_name"": ""[8de0fffc8b]""}, ""text"": ""故事不长，也不难讲，脸红相遇，眼红散场——@陈都灵"", ""like_counts"": 0, ""liked"": false}]",0,"陈都灵文潇,陈都灵大梦归离",[9b2d5b4678],2024-06-02 07:38:48
[eb47e8d68d],[dfd8148e5e],"抑郁症
 晚安宝宝们 早睡呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T23:38:18,抑郁症超话,1,1,"[{""id"": ""[626bfb8080]"", ""created_at"": ""06-02"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""晚安 [羞嗒嗒]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 23:38:18
[a208150c5a],[42a7bbe4ea],哭了半个小时 凭什么 活着好没意义 本来可以见面的 嗯 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T21:41:01,iPhone XS Max,0,0,,0,,[9b2d5b4678],2024-06-01 21:41:01
[9a2f4108ff],[87f9c9fb7c],"抑郁症
 眼睛肿了 好痛啊 脚也磨出泡了 连续一个星期被父母骂了 挺好的 打算晚上一个人出去和朋友聊天 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T21:39:16,抑郁症超话,0,2,"[{""id"": ""[9301c7bf66]"", ""created_at"": ""06-02"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[f08ad9c19a]"", ""screen_name"": ""[b13d028154]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[881ca32eae]"", ""created_at"": ""06-02"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 21:39:16
[8758de072c],[0345a12c94],"陈都灵
 cdl#陈都灵文潇# cdl#陈都灵大梦归离#  
“鲜花盛开在四季，而你是我的七日限定”𝓯𝓵𝓸𝓮𝓈 𝓫𝓵𝓸𝓸𝓶 𝓲𝓷 𝓯𝓸𝓾 𝓮𝓪𝓻𝓸𝓷 𝓪𝓷𝓭 𝔂𝓸𝓾 𝓶𝔂 𝓮𝔀𝓮𝓷 𝓭𝓪𝔂 𝓵𝓲𝓶𝓲𝓽@陈都灵 ",[9b2d5b4678],[6ba296fa99],[9b2d5b4678],,2024-06-01T14:34:33,陈都灵超话,1,0,,0,"陈都灵文潇,陈都灵大梦归离",[661d95fd84],2024-06-01 14:34:33
[7a1320c828],[678520d04d],"陈都灵
 cdl#陈都灵文潇# cdl#陈都灵大梦归离# 
“你尽管往前走，我们永伴随。”
“You can go ahead, and we will accompany you forever.”@陈都灵 ",[9b2d5b4678],[83144a02b8],[9b2d5b4678],,2024-06-01T14:32:01,陈都灵超话,1,2,"[{'id': 5040463289784182, 'created_at': '06-01', 'source': '来自山东', 'user': {'id': 7858555159, 'screen_name': '乱78糟没心情'}, 'text': '【陈都灵贵女】#陈都灵庄寒雁# cdl【陈都灵贵女】#陈都灵贵女#无人问津的日子里我在努力🆙', 'like_counts': 0, 'liked': False}, {'id': 5040463283489501, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 1862122410, 'screen_name': 'AG的老年粉'}, 'text': ""“𝑌𝑜𝑢\xa0𝑎𝑟𝑒\xa0𝑡ℎ𝑒\xa0𝑜𝑛𝑒\xa0𝐼'𝑚\xa0𝑠𝑡𝑖𝑙𝑙\xa0𝑖𝑛\xa0𝑙𝑜𝑣𝑒\xa0𝑤𝑖𝑡ℎ. 你是我褪去新鲜感仍然心动的人"", 'like_counts': 0, 'liked': False}]",0,"陈都灵文潇,陈都灵大梦归离",[661d95fd84],2024-06-01 14:32:01
[c97e6b59a4],[7da060d7f2],"陈都灵
 cdl#陈都灵文潇# cdl#陈都灵大梦归离# 
“在无数个深夜中，看着你的照片，居然会默默流泪”""In countless late nights, looking at your picture, I would cry silently.""@陈都灵 ",[9b2d5b4678],[e60ca05581],[9b2d5b4678],,2024-06-01T14:30:45,陈都灵超话,1,1,"[{""id"": ""[dd0a28289e]"", ""created_at"": ""06-01"", ""source"": ""来自广东"", ""user"": {""id"": ""[0910cce502]"", ""screen_name"": ""[f2ff7bf600]""}, ""text"": ""我比流言更早认识你 不为名利而来 不因流言而离开🌟🌟"", ""like_counts"": 0, ""liked"": false}]",1,"陈都灵文潇,陈都灵大梦归离",[661d95fd84],2024-06-01 14:30:45
[afe5f68693],[850a774ca9],"陈都灵
 cdl#陈都灵文潇# cdl#陈都灵大梦归离# 
我的眼睛是一部相机 虚化所有人群 聚焦你
𝑴𝒚 𝒆𝒚𝒆𝒔 𝒂𝒓𝒆 𝒂 𝒄𝒂𝒎𝒆𝒓𝒂 𝒕𝒉𝒂𝒕 𝒃𝒍𝒖𝒓𝒔 𝒂𝒍𝒍 𝒕𝒉𝒆 𝒑𝒆𝒐𝒑𝒍𝒆 𝒂𝒏𝒅 𝒇𝒐𝒄𝒖 ...
全文",[9b2d5b4678],[2131b3bb52],[9b2d5b4678],,2024-06-01T14:30:19,陈都灵超话,1,0,,0,"陈都灵文潇,陈都灵大梦归离",[9b2d5b4678],2024-06-01 14:30:19
[8c77c4622b],[f58379ec07],"陈都灵
 cdl#陈都灵大梦归离# cdl#陈都灵文潇# 
风已经开始有春天的味道，我的意思是好想和你见一面，然后抱紧你，告诉你，我有多想你@陈都灵 ",[9b2d5b4678],[31f84f32f2],[9b2d5b4678],,2024-06-01T14:29:27,陈都灵超话,1,1,"[{""id"": ""[04eb6614c5]"", ""created_at"": ""06-01"", ""source"": ""来自上海"", ""user"": {""id"": ""[25124e1298]"", ""screen_name"": ""[b478653428]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,"陈都灵大梦归离,陈都灵文潇",[661d95fd84],2024-06-01 14:29:27
