id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[33393e110f],[172096305a],"抑郁症
是我想太多了还是他不是啥好人啊
感觉怪怪的... ",[9b2d5b4678],[8ce4ee1cd1],[9b2d5b4678],,2024-05-07T16:40:58,抑郁症超话,2,5,"[{""id"": ""[7474f4ab96]"", ""created_at"": ""4小时前"", ""source"": ""来自云南"", ""user"": {""id"": ""[eb08cd08c1]"", ""screen_name"": ""[64e2c45b6a]""}, ""text"": ""你没想多，把他拉黑"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ddf65d4926]"", ""created_at"": ""5小时前"", ""source"": ""来自云南"", ""user"": {""id"": ""[3fae88d981]"", ""screen_name"": ""[180d874bc7]""}, ""text"": ""？？？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[69a1c299d7]"", ""created_at"": ""9小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[dfd046c136]"", ""screen_name"": ""[6d8ffee762]""}, ""text"": ""拉黑"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 16:40:58
[ae6e5ea9bb],[8ba8aff9da],"抑郁症
 ",[9b2d5b4678],[06a9d9f253],[9b2d5b4678],,2024-05-07T11:53:39,抑郁症超话,8,13,"[{""id"": ""[d567eaea43]"", ""created_at"": ""14小时前"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[7f7e4829eb]"", ""screen_name"": ""[737de570d4]""}, ""text"": ""你有受虐倾向，找主人吧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d5b3ac59d4]"", ""created_at"": ""14小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e25f6cdc3e]"", ""created_at"": ""15小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-07 11:53:39
[b5d90ec20b],[eecbbd2ec1],"吴邪
小三爷...救救我吧，我活不下去了，家长的反对和恶言恶语我受不了了，可是我真的好喜欢你啊，小三爷！我爱你！求你救救我吧，我真的活不下去了...救救我吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T00:17:39,吴邪超话,0,0,,0,,[9b2d5b4678],2024-05-06 00:17:39
[ae07b2bc9a],[ffbcf59ca3],"抑郁症
有没有谁和我一样，其实自己也不知道自己我是为什么，可能是霸凌，但好像又不完全是，到底是为什么会变成这样啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T23:59:29,抑郁症超话,0,5,"[{'id': 5030835189974281, 'created_at': '05-06', 'source': '来自河北', 'user': {'id': 7906160901, 'screen_name': '沉寂的寰宇星空'}, 'text': '可能是因为明明自己是受伤害的人，最后承受痛苦的也只有自己。。所以想不开', 'like_counts': 0, 'liked': False}, {'id': 5030829388204586, 'created_at': '05-06', 'source': '来自河南', 'user': {'id': 7738999213, 'screen_name': '哈哈绿色小蝴蝶'}, 'text': '回复@因祂而在:唉 [泪]', 'reply_id': 5030824837385589, 'reply_text': '回复@哈哈绿色小蝴蝶:那肯定啊哎这种人真的欠收拾', 'like_counts': 0, 'liked': False}, {'id': 5030824837385589, 'created_at': '05-06', 'source': '来自河南', 'user': {'id': 6962589195, 'screen_name': '因祂而在'}, 'text': '回复@哈哈绿色小蝴蝶:那肯定啊哎这种人真的欠收拾', 'reply_id': 5030824596738509, 'reply_text': '回复@因祂而在:知道，去学校处理了，但给对方的处罚很轻，那个人也没在回事，现在还在霸凌其他人，但我长期请假了，偶尔去一趟学校，所以对我影响不大，但还是心理多少感觉不公平吧 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5030824596738509, 'created_at': '05-06', 'source': '来自河南', 'user': {'id': 7738999213, 'screen_name': '哈哈绿色小蝴蝶'}, 'text': '回复@因祂而在:知道，去学校处理了，但给对方的处罚很轻，那个人也没在回事，现在还在霸凌其他人，但我长期请假了，偶尔去一趟学校，所以对我影响不大，但还是心理多少感觉不公平吧 ""[苦涩]""', 'reply_id': 5030823546585408, 'reply_text': '霸凌？你父母知道吗', 'like_counts': 0, 'liked': False}, {'id': 5030823546585408, 'created_at': '05-06', 'source': '来自河南', 'user': {'id': 6962589195, 'screen_name': '因祂而在'}, 'text': '霸凌？你父母知道吗', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-05 23:59:29
[a63d71dd4a],[2c31952b9a],"抑郁症
不想吃药，但好像开始反噬了最近一直头超级疼，真的好不想吃药啊，我头疼说想睡觉，但是我爸和我妈都来给我吵一顿，哈哈哈哈哈哈，叫我去死算了，难道要我一边头疼的随时能晕那，一边干家务吗，什么叫我不听话，为什么要一直骂我，什么叫我一直这样啥时候能好，我难受的时候你什么时候来 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T23:57:09,抑郁症超话,1,5,"[{""id"": ""[9a9944f95c]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@哈哈绿色小蝴蝶:不用谢呀不哭不哭"", ""reply_id"": 5030829461866916, ""reply_text"": ""回复@要长记性的木子:谢谢 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0f81f4cbca]"", ""created_at"": ""05-06"", ""source"": ""来自河南"", ""user"": {""id"": ""[84fead50d6]"", ""screen_name"": ""[0683b98741]""}, ""text"": ""回复@要长记性的木子:谢谢 [泪]"", ""reply_id"": 5030827765009337, ""reply_text"": ""回复@哈哈绿色小蝴蝶:抱住不哭不哭"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44e27281ba]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@哈哈绿色小蝴蝶:抱住不哭不哭"", ""reply_id"": 5030824757430532, ""reply_text"": ""回复@要长记性的木子:真的吃不下去，能逃就逃 [泪]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[555d920bb0]"", ""created_at"": ""05-06"", ""source"": ""来自河南"", ""user"": {""id"": ""[84fead50d6]"", ""screen_name"": ""[0683b98741]""}, ""text"": ""回复@要长记性的木子:真的吃不下去，能逃就逃 [泪]"", ""reply_id"": 5030823430718358, ""reply_text"": ""好好吃药药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d14634e755]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""好好吃药药"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 23:57:09
[0f16bcfac1],[4a361a6e6b],"抑郁症
我好像突然感觉到一种很深的无力感，家长一直在我印象里超级开明，但是好像其实并不啊，现在明令禁止我看双男的小说了，可是我是看了估计七八年了啊，我咋戒掉，妈妈好像也觉得同性恋恶心，她说的时候我真的超级急，我无法认同妈妈说同性恋恶心的话，这是我的爱啊，我虽然不是同，但我爱 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T23:47:31,抑郁症超话,1,1,"[{""id"": ""[805157f371]"", ""created_at"": ""05-06"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 23:47:31
[bd34171f0d],[2aca14f8e5],"抑郁症
最近一直很困，晚上感觉一闭眼一睁眼就天亮了，然后白天也一直可困，头还可疼，一直犯恶心，是为啥啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T15:52:11,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-04 15:52:11
[2bbbe95f4e],[735aef4f51],"盗墓笔记
新乡步行街谷子店真多啊，爽了 ",[9b2d5b4678],[ff295b18cc],[9b2d5b4678],,2024-05-04T13:04:14,盗墓笔记超话,1,1,"[{""id"": ""[a9d98a7071]"", ""created_at"": ""05-04"", ""source"": ""来自广东"", ""user"": {""id"": ""[98aa78370d]"", ""screen_name"": ""[befe97b44e]""}, ""text"": ""好好好羡慕了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 13:04:14
[6f6a09ac2d],[de2868d04d],"盗墓笔记
小说还没看完，但快了，实体书也没买，因为没钱
但是买了很多谷子，特别特别喜欢盗墓笔记，算现充吗... ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T13:00:44,盗墓笔记超话,2,2,"[{""id"": ""[3a9b8d3716]"", ""created_at"": ""05-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[84fead50d6]"", ""screen_name"": ""[0683b98741]""}, ""text"": ""回复@薄暮松色:谢谢 [泪]"", ""reply_id"": 5030303968529214, ""reply_text"": ""我觉得不算现充什么的，你看过盗笔了解过了他们的故事代表你愿意喜欢这个故事喜欢盗笔世界，而不是那种在网上或者哪里看到听到他们然后就喊喜欢喜欢的那种云，实体书买了纪念也挺好的不买也没人逼着一定要买，买了才是稻米这种说法是很荒谬的，一切都要在自己能力范围内"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a9400a25d3]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a48de90c86]"", ""screen_name"": ""[f9accaaf24]""}, ""text"": ""我觉得不算现充什么的，你看过盗笔了解过了他们的故事代表你愿意喜欢这个故事喜欢盗笔世界，而不是那种在网上或者哪里看到听到他们然后就喊喜欢喜欢的那种云，实体书买了纪念也挺好的不买也没人逼着一定要买，买了才是稻米这种说法是很荒谬的，一切都要在自己能力范围内"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 13:00:44
[94d1a16916],[279a35932c],"抑郁症
最近一点委屈情绪就崩了，头还老疼，老犯恶心，为啥啊
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T23:17:11,抑郁症超话,1,2,"[{""id"": ""[22f4c7ac47]"", ""created_at"": ""05-04"", ""source"": ""来自河南"", ""user"": {""id"": ""[84fead50d6]"", ""screen_name"": ""[0683b98741]""}, ""text"": ""回复@请别谈不存在的明天:啊？还可以这样？"", ""reply_id"": 5030088311836704, ""reply_text"": ""也许是天气原因吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7ac0b83cab]"", ""created_at"": ""05-03"", ""source"": ""来自陕西"", ""user"": {""id"": ""[9ad8e47d71]"", ""screen_name"": ""[ffd59f683c]""}, ""text"": ""也许是天气原因吧 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 23:17:11
