id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5434316dfe],[31311c2f35],"抑郁症
 想问大家一个问题 你们觉得 可以断药了 就是好了吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T17:54:24,抑郁症超话,0,1,"[{""id"": ""[3d36baaabc]"", ""created_at"": ""昨天 18:02"", ""source"": ""来自广东"", ""user"": {""id"": ""[20dbc7c4c6]"", ""screen_name"": ""[646da515b4]""}, ""text"": ""断药后不影响正常生活，应该就算是好了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 17:54:24
[d4a0684ecd],[01dcadd155],"今天Jane说
对痛觉的敏锐感知是自我觉察能力的提升 毕竟不是所有人都能对身体各个部位的细微变化有所察觉 能感受到 说明你开始认识自己了 开始能够正确的感受到情绪和你身体的反应了 
这点对我的启发还蛮大的 之前一直很困扰于这点所谓的嗜痛感 总是会担心对痛觉的依恋可能带来的恶劣后果 会焦虑自己或 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-29T20:16:41,HUAWEI P60,0,0,,0,,[9b2d5b4678],2024-04-29 20:16:41
[8875bb0d8d],[5b062bf618],我的问题在于 我就是停不下来 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T16:29:13,HUAWEI P60,0,1,"[{""id"": ""[51f202adcd]"", ""created_at"": ""04-25"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""那就让自己忙碌起来，享受这种充实的感觉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 16:29:13
[a663d330ed],[25f1810e2c],"抑郁症
蛮奇妙的感觉 就像几年前一样 我以为我用这种极端降低期待值的方式会让我心里好受一点 如果努力了也有意外 怎么样都达不到自己想要的结果 不如直接从最开始就摆烂什么都不争取每天给自己心理暗示就是一个什么都做不好的废物 结果不好的时候可能更容易被接受 原来事实是 我连纯摆烂接受自 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T00:13:22,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-07 00:13:22
[a11dfcf7b6],[c3741a1c60],感谢那年今日替我记得所有的爱与痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T20:35:19,HUAWEI P60,0,1,"[{""id"": ""[335e9b0d2b]"", ""created_at"": ""03-24"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""确实 那些回忆都是宝贵的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-24 20:35:19
[5087cb0f07],[df09cf295c],接下来十年的唯一目标就是学好英语 做好准备 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-23T15:27:57,HUAWEI P60,0,1,"[{""id"": ""[ec2629f402]"", ""created_at"": ""03-23"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""还有四年半时间可以学加油 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-23 15:27:57
[8ad56783e1],[b6ef9a5b25],"抑郁症
不知道有没有朋友和我一样 现在有种奇特的 嗜痛感？ 持续性的生理疼痛像是能短暂的集中一部分注意力 从中反而能感到…一种放松 要么就是反复的回想痛苦的记忆或者是去共情别人的痛苦经历 用更深的痛苦去忘掉现在的痛苦 
感觉两种都不是什么缓解情绪的好方法… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-21T00:27:15,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-03-21 00:27:15
[c6004c7f6b],[de0d3ef1d0],现在知道了 原来这叫 嗜痛感 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-21T00:12:23,HUAWEI P60,0,1,"[{""id"": ""[f950053a43]"", ""created_at"": ""03-21"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""其实有时候会觉得有痛感和没有疼痛感的人是有区别的 [太开心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-21 00:12:23
[3cb86409a5],[f0d65cd553],"如果说今年真的能有什么事情能让我发自内心的感到长久的幸福和快乐
第一件应该是顺利的把款追回来 然后家里再也没有经济负担
第二件应该是我的心态能变得像从前一样 享受过程 放轻结果 
其实好像只要第一件完成了 第二件也能顺其自然 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-19T00:30:28,HUAWEI P60,0,1,"[{""id"": ""[ae5ed2abef]"", ""created_at"": ""03-19"", ""source"": ""来自广东"", ""user"": {""id"": ""[d5cd95255c]"", ""screen_name"": ""[06a5f232d2]""}, ""text"": ""也算是定下两个小目标了吧  希望至少能实现第一个"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-19 00:30:28
[ac6d81b577],[52085a0b1c],我真的需要一个没有人认识我我也不认识任何人的地方重新开始 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-18T10:58:32,HUAWEI P60,0,0,,0,,[9b2d5b4678],2024-03-18 10:58:32
