id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c75f919a0e],[b37a02172d],"抑郁症
 好累啊 最近睡眠真的很差 每天睡两三个小时凌晨就醒了睡不着.感觉自己总在纠结过去了的一些事… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T10:57:08,抑郁症超话,0,3,"[{""id"": ""[0bd936d73c]"", ""created_at"": ""04-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2707a280cf]"", ""created_at"": ""04-26"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ac38ceb14d]"", ""created_at"": ""04-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 10:57:08
[b1e3258c2c],[6ca027765e],"抑郁症
 好累 好烦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T09:10:47,抑郁症超话,0,1,"[{""id"": ""[2f9bad9383]"", ""created_at"": ""04-23"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [太阳]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 09:10:47
[29312b390a],[fb1be8df0d],"抑郁症
 这周要拍毕业照了 老师发消息问我要回学校拍毕业照吗 现在真的很纠结 高中三年没怎么去过学校其实 这个学期到现在也没去学校过 现在要拍毕业照我其实和班上的人也没怎么联系过加上我也不敢去学校 现在真的不知道跟老师说去还是不去（我的班主任真的对我特别好 虽然没怎么去过学校但是真 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T08:01:07,抑郁症超话,0,4,"[{""id"": ""[c5e7c85b89]"", ""created_at"": ""04-23"", ""source"": ""来自江西"", ""user"": {""id"": ""[989f01902b]"", ""screen_name"": ""[07bbadaf82]""}, ""text"": ""这毕业照到底是去还是不去啊🙏"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7634768195]"", ""created_at"": ""04-22"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@小Q想看日出:抱抱抱"", ""reply_id"": 5026022262837388, ""reply_text"": ""回复@要长记性的木子:真的不知道去不去 对学校始终有一种恐惧感而去了也和同学不熟尴尬"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0957f5e801]"", ""created_at"": ""04-22"", ""source"": ""来自江西"", ""user"": {""id"": ""[989f01902b]"", ""screen_name"": ""[07bbadaf82]""}, ""text"": ""回复@要长记性的木子:真的不知道去不去 对学校始终有一种恐惧感而去了也和同学不熟尴尬"", ""reply_id"": 5025875928547903, ""reply_text"": ""可以呀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d767b4cdf2]"", ""created_at"": ""04-22"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""可以呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 08:01:07
[b7f0a3f957],[04ab6dfb00],"抑郁症
 能不能就让我没有意识的一直睡一直昏迷状态 大脑没有杂念不想乱七八糟的 身体麻木 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T00:18:43,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-08 00:18:43
[5132713589],[0620cc2d3f],"抑郁症
 喜欢上不该喜欢的人了… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T00:14:04,抑郁症超话,0,3,"[{""id"": ""[2317544c6c]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@小Q想看日出: [心]"", ""reply_id"": 5020838650708250, ""reply_text"": ""回复@要长记性的木子:害🙏"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10608d83b4]"", ""created_at"": ""04-08"", ""source"": ""来自江西"", ""user"": {""id"": ""[989f01902b]"", ""screen_name"": ""[07bbadaf82]""}, ""text"": ""回复@要长记性的木子:害🙏"", ""reply_id"": 5020820248462274, ""reply_text"": ""爱自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[302845a5f4]"", ""created_at"": ""04-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""爱自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 00:14:04
[dd81ade188],[d3518b8348],"抑郁症
 嗯很累了 什么都不想说 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T12:26:38,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-07 12:26:38
[8519accc32],[abbfc17530],"抑郁症
 我一点也不怕死不把自己身体当回事对对对 我是有很多心事吗对对对 我不想开心好好对自己吗对对对 都对都对太对了 我还活着我就不会消停 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T19:30:40,抑郁症超话,0,2,"[{""id"": ""[15fbf5a723]"", ""created_at"": ""04-06"", ""source"": ""来自河南"", ""user"": {""id"": ""[0f9721a69b]"", ""screen_name"": ""[357305c0b7]""}, ""text"": ""摸摸 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f194a745e9]"", ""created_at"": ""04-06"", ""source"": ""来自山东"", ""user"": {""id"": ""[fc56e38251]"", ""screen_name"": ""[b33148db5b]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-06 19:30:40
[bc28704ffa],[f08d71ceaa],"抑郁症
 这破病到底能不能好啊 真的好烦已经因为吃药发展到身体其他部位也出现治不好的病了 活着就是不断的治病 治各种病 吃不完的药 打不完的针 住不完的院… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T19:25:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-06 19:25:32
[95de01afc9],[4465e91ba6],"抑郁症
 嗯 感觉自己疯了就是说 想发癫 在两个极端反复跳动 有什么办法能让自己快速冷静下来吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T00:32:40,抑郁症超话,1,3,"[{""id"": ""[5c15d32a8e]"", ""created_at"": ""04-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[de415ceafa]"", ""screen_name"": ""[b2ced9ec88]""}, ""text"": ""回复@小Q想看日出:我是能自残就不会忍着，心更疼"", ""reply_id"": 5018379901208917, ""reply_text"": ""回复@长着粉色翅膀的猫儿:能不自残尽量不自残 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e08e5e3c40]"", ""created_at"": ""04-01"", ""source"": ""来自江西"", ""user"": {""id"": ""[989f01902b]"", ""screen_name"": ""[07bbadaf82]""}, ""text"": ""回复@长着粉色翅膀的猫儿:能不自残尽量不自残 [心]"", ""reply_id"": 5018309562728709, ""reply_text"": ""自残"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2484a28cb0]"", ""created_at"": ""04-01"", ""source"": ""来自湖北"", ""user"": {""id"": ""[de415ceafa]"", ""screen_name"": ""[b2ced9ec88]""}, ""text"": ""自残"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-31 00:32:40
[bea33da900],[9ce880ac32],"你要知道，对你来说：
最重要的是持续的情绪稳定，良性的财务状况，可控的生活节奏和理性的生活观念.
而不是某个人，爱不爱你. ",[9b2d5b4678],[1db50f9737],[9b2d5b4678],,2024-03-19T15:07:31,情感超话,5,1,"[{""id"": ""[3cb151e2bd]"", ""created_at"": ""03-19"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""永远爱自己才是正确的人生态度"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-19 15:07:31
