id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ee105e1f94],[a732767275],"抑郁症
明天要高考啦! 可以跟我说一下高考顺利吗
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T21:00:00,抑郁症超话,0,10,"[{'id': 5042803672877153, 'created_at': '昨天 01:32', 'source': '来自安徽', 'user': {'id': 5949057685, 'screen_name': '·甜夜冬熊·'}, 'text': '高考顺利呀宝宝 [兔子]', 'like_counts': 0, 'liked': False}, {'id': 5042792239204906, 'created_at': '昨天 00:47', 'source': '来自浙江', 'user': {'id': 3936812502, 'screen_name': '摸摸我的头嘛'}, 'text': '高考顺利', 'like_counts': 0, 'liked': False}, {'id': 5042775042556956, 'created_at': '06-07', 'source': '来自广西', 'user': {'id': 5152939632, 'screen_name': '不见了5看见了'}, 'text': '一切顺利', 'like_counts': 0, 'liked': False}, {'id': 5042405417950425, 'created_at': '06-06', 'source': '来自广东', 'user': {'id': 5868513908, 'screen_name': '要保持联系'}, 'text': '高考顺利', 'like_counts': 0, 'liked': False}, {'id': 5042382233408845, 'created_at': '06-06', 'source': '来自辽宁', 'user': {'id': 6973606680, 'screen_name': '殪钊'}, 'text': '高考顺利 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5042378441758753, 'created_at': '06-06', 'source': '来自江苏', 'user': {'id': 5484367554, 'screen_name': '小空自流'}, 'text': '宝宝，高考顺利 [心]', 'like_counts': 0, 'liked': False}, {'id': 5042378119318998, 'created_at': '06-06', 'source': '来自浙江', 'user': {'id': 6437513618, 'screen_name': '等殆的待'}, 'text': '高考顺利！', 'like_counts': 0, 'liked': False}, {'id': 5042377295397660, 'created_at': '06-06', 'source': '来自河南', 'user': {'id': 6486409219, 'screen_name': '岩沙海葵毒素-PTX'}, 'text': '高考顺利 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5042375510723109, 'created_at': '06-06', 'source': '来自河南', 'user': {'id': 7869235147, 'screen_name': '浮生梦黎'}, 'text': '高考顺利', 'like_counts': 0, 'liked': False}, {'id': 5042374378259632, 'created_at': '06-06', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '加油！', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-06 21:00:00
[aab18cf421],[22f2ab1658],要高考了所以先退一会网 12天后见~ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T00:35:37,Xiaomi Civi,0,0,,0,,[9b2d5b4678],2024-05-29 00:35:37
[b57388af00],[16c7009e38],"宁艺卓
听不够听不够
想要听宁宁唱更多 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T22:27:50,宁艺卓超话,10,1,"[{""id"": ""[bb57011535]"", ""created_at"": ""05-28"", ""source"": ""来自重庆"", ""user"": {""id"": ""[20abb8bd78]"", ""screen_name"": ""[b23722d4af]""}, ""text"": ""我打赌你没听过哈哈哈分享单曲《Once Again 宁艺卓》网页链接 (@网易云音乐)"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 22:27:50
[ffa4ea3c48],[1636ec747f],"抑郁症
已经选好高考之后穿的衣服了!一身斯凯奇~希望自己的高考成绩也能是SSS级的哈哈
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T22:12:53,抑郁症超话,1,1,"[{""id"": ""[0aac74a1b3]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""可以呀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 22:12:53
[0b34ac1cdf],[097eb8b75d],"宁艺卓
真的很喜欢这次专辑! 但以前都是买预售 这次听柠檬们说可以后期收 问问该怎么说呢?想要收全套的 而且我也是个cd收集爱好者
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T13:38:33,宁艺卓超话,6,5,"[{""id"": ""[033f2f3ccb]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[00adbdbef2]"", ""screen_name"": ""[0940e1be62]""}, ""text"": ""回复@卡伊啊喔鹅:私我宝宝"", ""reply_id"": 5039002956860477, ""reply_text"": ""回复@玖月nice:宝宝我想收"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e7d0548179]"", ""created_at"": ""05-28"", ""source"": ""来自陕西"", ""user"": {""id"": ""[c20029a22e]"", ""screen_name"": ""[6c49e1d7ec]""}, ""text"": ""网页链接"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f11b64e401]"", ""created_at"": ""05-28"", ""source"": ""来自浙江"", ""user"": {""id"": ""[98f9322edc]"", ""screen_name"": ""[ea8e0166af]""}, ""text"": ""回复@玖月nice:宝宝我想收"", ""reply_id"": 5039002275286603, ""reply_text"": ""宝宝我s p mp宁单封z a团封都有，需要的话可以一起便宜出可以走平台不tq，追宁愉快 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8378f63a5e]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[00adbdbef2]"", ""screen_name"": ""[0940e1be62]""}, ""text"": ""宝宝我s p mp宁单封z a团封都有，需要的话可以一起便宜出可以走平台不tq，追宁愉快 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44873b03f7]"", ""created_at"": ""05-28"", ""source"": ""来自云南"", ""user"": {""id"": ""[f7210b9b68]"", ""screen_name"": ""[017fb4e860]""}, ""text"": ""海鲜市场后面收"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 13:38:33
[c3070a7e5c],[ca513a3b1f],"抑郁症
快高考了好焦虑啊。。。还有10天了 有朋友们分享一下经验吗?瑟瑟发抖
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T10:05:33,抑郁症超话,0,2,"[{""id"": ""[42eacd4a98]"", ""created_at"": ""05-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[2f11e1b905]"", ""screen_name"": ""[e61fe79ad5]""}, ""text"": ""放轻松就好啦，我那时候都不回学校上学直接奔赴考场呢，虽然考崩溃了成绩也不好，但好在我春季高考就已经上岸了，所以没有很大压力。没关系，能坚持考完，能踏进考场就已经很了不起了哦，加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b6dd053b8b]"", ""created_at"": ""05-28"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""没事的，尽力就好，放宽心 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 10:05:33
[79e3d89c4b],[d3928082f4],"宁艺卓
melody真好听啊啊 日子又有盼头了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T18:32:21,宁艺卓超话,12,4,"[{""id"": ""[a9f702243b]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[6f2fbbe449]"", ""screen_name"": ""[1adfef65bd]""}, ""text"": ""真的仙曲 [馋嘴]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ff73925639]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[dbbf744f62]"", ""screen_name"": ""[d8bd96a257]""}, ""text"": ""宁的嗓音太适合这种歌了 [亲亲]"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[3c335bde05]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[69817e843a]"", ""screen_name"": ""[38daaa1bb3]""}, ""text"": ""不允许没有人没听过melody，含宁量极高太爱了啊啊啊啊啊啊啊啊 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[91008c24a0]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[b70ac7fe7d]"", ""screen_name"": ""[33ed3d5074]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 18:32:21
[52d22cc875],[175bb1bfa4],"宁艺卓
想问问6.15的上海签售会怎么参加啊?是要买专辑那样吗?没有了解过签售
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T11:39:57,宁艺卓超话,2,2,"[{""id"": ""[3db0c1d59f]"", ""created_at"": ""05-27"", ""source"": ""来自湖北"", ""user"": {""id"": ""[c1041a22fe]"", ""screen_name"": ""[ad445d065d]""}, ""text"": ""网页链接 看这个"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2e78af656]"", ""created_at"": ""05-27"", ""source"": ""来自江苏"", ""user"": {""id"": ""[6ba3ee7e04]"", ""screen_name"": ""[5f373583e8]""}, ""text"": ""买签售专中签，也有纯观礼位买的专会少一点"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 11:39:57
[d1351a0130],[b957f9445a],"抑郁症
高考以后我的病就会好么 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T10:45:23,抑郁症超话,1,3,"[{""id"": ""[225a9cdae4]"", ""created_at"": ""05-27"", ""source"": ""来自上海"", ""user"": {""id"": ""[96c68693ae]"", ""screen_name"": ""[0b5f992c04]""}, ""text"": ""大部分都会缓解 其它还要靠你自己调节"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e964196c6d]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a48ed701c5]"", ""created_at"": ""05-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[bb6e6cbd97]"", ""screen_name"": ""[2183f6df86]""}, ""text"": ""会的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 10:45:23
[d4cdc31fb8],[a1a14eb466],"aespa
一直都不太喜欢戴耳机 刚才戴耳机听了girls 突然狠狠get到了 我真是天生吒耳
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T08:20:25,aespa超话,0,0,,0,,[9b2d5b4678],2024-05-27 08:20:25
