id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[10603695a7],[edd055cf18],"再就业男团
生日快乐
远哥！@张远Bird ",[9b2d5b4678],[8e6b6227a8],[9b2d5b4678],,2024-06-02T23:55:02,再就业男团超话,1,1,"[{""id"": ""[977b46e44e]"", ""created_at"": ""06-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[38eb7015d4]"", ""screen_name"": ""[0afb0e3dce]""}, ""text"": ""新的一岁快点找到女朋友 [吃瓜]"", ""like_counts"": 0, ""liked"": false}]",0,,[d2e1e0bbe3],2024-06-02 23:55:02
[eafade1954],[1620b99bf4],"尤长靖周边零售铺
在线出全新尤长靖专辑，全新，无暇，没有贴纸外其他都有，75出不包邮费，买就送自印小卡！出货后不退不换！ ",[9b2d5b4678],[a63ac8cf88],[9b2d5b4678],,2024-06-02T11:50:19,尤长靖周边零售铺超话,1,1,"[{""id"": ""[3512569615]"", ""created_at"": ""06-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[38eb7015d4]"", ""screen_name"": ""[0afb0e3dce]""}, ""text"": ""走平台 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 11:50:19
[d3bd4e5633],[03eff66e8c],"抑郁症
祝各位宝宝六一儿童节快乐
快乐不止今天！一切都会好起来的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T00:48:02,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-01 00:48:02
[ea2e6c3700],[bb6d021231],"尤长靖
儿童节快乐
我的小朋友们@尤长靖 ",[9b2d5b4678],[b2f7c7c2e2],[9b2d5b4678],,2024-06-01T00:15:46,尤长靖超话,25,4,"[{'id': 5040620987744721, 'created_at': '06-02', 'source': '来自陕西', 'user': {'id': 6639442996, 'screen_name': '奶葵听听'}, 'text': '六一快乐', 'like_counts': 0, 'liked': False}, {'id': 5040613802642458, 'created_at': '06-02', 'source': '来自安徽', 'user': {'id': 7798076848, 'screen_name': '尤点欢喜07324'}, 'text': '尤宝宝 [可怜]', 'like_counts': 0, 'liked': False}, {'id': 5040248444421141, 'created_at': '06-01', 'source': '来自福建', 'user': {'id': 6383960721, 'screen_name': 'NINES-99'}, 'text': '可爱 [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5040248184375359, 'created_at': '06-01', 'source': '来自河南', 'user': {'id': 6575371588, 'screen_name': '尤长靖的西柚柚柚'}, 'text': '可爱宝宝 ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,,[4d442dfb4b],2024-06-01 00:15:46
[7715cf4be7],[0b48f29dc1],"TFBOYS
我们的又一个十年！致敬我们的青春！@TFBOYS组合 @TFBOYS-王俊凯 @TFBOYS-王源 @TFBOYS-易烊千玺 #tfboys快本首秀要十周年了##tfboys快本的信# ",[9b2d5b4678],[2cddd11868],[9b2d5b4678],,2024-05-31T14:38:03,TFBOYS超话,3,0,,0,"tfboys快本首秀要十周年了,tfboys快本的信",[306b176e27],2024-05-31 14:38:03
[c5089944ed],[9fa3e72492],"TFBOYS
 ",[9b2d5b4678],[d1179215cb],[9b2d5b4678],,2024-05-31T14:35:10,TFBOYS超话,3,3,"[{""id"": ""[cc3daaecd7]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[45d2588dc5]"", ""screen_name"": ""[28fd660e46]""}, ""text"": ""【互最新超话】“愿你乘风，看尽天下风华，闪闪发光” 𝐌𝐚𝐲 𝐲𝐨𝐮 𝐫𝐢𝐝𝐞 𝐭𝐡𝐞 𝐰𝐢𝐧𝐝 𝐭𝐨 𝐬𝐞𝐞 𝐚𝐥𝐥 𝐭𝐡𝐞 𝐬𝐩𝐥𝐞𝐧𝐝𝐨𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐰𝐨𝐫𝐥𝐝."", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d0dcd95784]"", ""created_at"": ""05-31"", ""source"": ""来自浙江"", ""user"": {""id"": ""[f7b1fdaefb]"", ""screen_name"": ""[8788a4bdb6]""}, ""text"": ""TFBOYS"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6030555957]"", ""created_at"": ""05-31"", ""source"": ""来自湖北"", ""user"": {""id"": ""[8a86f18779]"", ""screen_name"": ""[78bf06f1c2]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 14:35:10
[504c253408],[bd54c01bb3],"尤长靖
来吃宝宝最爱的椰浆饭@尤长靖 
佛山·泛家居·U创中心
 ",[9b2d5b4678],[d6341f0e31],[9b2d5b4678],佛山·泛家居·U创中心,2024-05-30T12:40:54,尤长靖超话,6,1,"[{""id"": ""[b8f8be057b]"", ""created_at"": ""05-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[b94d995a36]"", ""screen_name"": ""[b5eaa928d2]""}, ""text"": "" [鼓掌]"", ""like_counts"": 0, ""liked"": false}]",0,,[4d442dfb4b],2024-05-30 12:40:54
[b665714846],[93a3ddfdd2],"尤长靖
十九岁的时差！未来的每一天都要有长进！半年后的高考加油加油！早日再次见到我最爱的尤长靖！每一天都平安顺利！开开心心！继续在自己喜欢的领域上努力下去！了解更多音乐方面的知识！祝自己十九岁生日快乐！身体健康@尤长靖 ",[9b2d5b4678],[2fd7ddf491],[9b2d5b4678],,2024-05-27T22:49:20,尤长靖超话,29,21,,0,,[4d442dfb4b],2024-05-27 22:49:20
[5be4a14868],[06f286a0b8],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T00:51:37,生日动态,1,2,"[{""id"": ""[b46ce81e1b]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[38eb7015d4]"", ""screen_name"": ""[0afb0e3dce]""}, ""text"": ""回复@王二狗51497:谢谢姐妹 [打call]"", ""reply_id"": 5038601777447404, ""reply_text"": ""生日快乐🎂"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[db3d616fc3]"", ""created_at"": ""05-27"", ""source"": ""来自吉林"", ""user"": {""id"": ""[829f423400]"", ""screen_name"": ""[eff7442f20]""}, ""text"": ""生日快乐🎂"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 00:51:37
[76d2cccdfa],[4e538308c7],"尤长靖
西柚们可以来祝我生日快乐吗
 ",[9b2d5b4678],[6477267b32],[9b2d5b4678],,2024-05-27T00:46:34,尤长靖超话,8,19,"[{'id': 5038450183768186, 'created_at': '05-27', 'source': '来自安徽', 'user': {'id': 7785427773, 'screen_name': '7-柚再吃尤条'}, 'text': '生日快乐 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5038449248436701, 'created_at': '05-27', 'source': '来自安徽', 'user': {'id': 6741904772, 'screen_name': '梦忆安凉66843'}, 'text': '生日快乐', 'like_counts': 1, 'liked': False}, {'id': 5038447654600738, 'created_at': '05-27', 'source': '来自湖北', 'user': {'id': 6233495674, 'screen_name': '我是暖暖寻找温暖'}, 'text': '生日快乐 [蛋糕]', 'like_counts': 0, 'liked': False}, {'id': 5038447389049194, 'created_at': '05-27', 'source': '来自广东', 'user': {'id': 6587222788, 'screen_name': '梦想不是oreo'}, 'text': '生日快乐！', 'like_counts': 0, 'liked': False}, {'id': 5038445796262047, 'created_at': '05-27', 'source': '来自四川', 'user': {'id': 6097850534, 'screen_name': '面包包包ccc'}, 'text': '生日快乐🎂', 'like_counts': 0, 'liked': False}, {'id': 5038445523109001, 'created_at': '05-27', 'source': '来自马来西亚', 'user': {'id': 7649333098, 'screen_name': '想要尤长靖的亲签'}, 'text': '生日快乐🎂', 'like_counts': 0, 'liked': False}, {'id': 5038445233441513, 'created_at': '05-27', 'source': '来自广东', 'user': {'id': 7843184000, 'screen_name': '西柚巧克力uu'}, 'text': '生日快乐🎂🎉', 'like_counts': 0, 'liked': False}, {'id': 5038444625789178, 'created_at': '05-27', 'source': '来自贵州', 'user': {'id': 7844736123, 'screen_name': '小尤爱唱歌-'}, 'text': '生日快乐🎂 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5038443974887299, 'created_at': '05-27', 'source': '来自广东', 'user': {'id': 5955970905, 'screen_name': '西冻不冻柚'}, 'text': '生日快乐 [鼓掌]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-27 00:46:34
[d4b5d5ba99],[7af91494b7],"尤长靖
人生中最后一年的1字头了
未来都是美好的日子！！！
OS：下一个只能等到100岁那天了
哈哈哈哈 ",[9b2d5b4678],[d14d6f4a7e],[9b2d5b4678],,2024-05-27T00:00:19,尤长靖超话,13,6,"[{""id"": ""[94d85df53a]"", ""created_at"": ""05-28"", ""source"": ""来自山东"", ""user"": {""id"": ""[3f6cf87f44]"", ""screen_name"": ""[7c200b34f4]""}, ""text"": ""生日快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1108872220]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[38eb7015d4]"", ""screen_name"": ""[0afb0e3dce]""}, ""text"": ""回复@wchibl:谢谢姐妹 [打call]"", ""reply_id"": 5038553794872924, ""reply_text"": ""生日快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9ec4ac2643]"", ""created_at"": ""05-27"", ""source"": ""来自重庆"", ""user"": {""id"": ""[280d6a1970]"", ""screen_name"": ""[283817d727]""}, ""text"": ""生日快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a2a88930c0]"", ""created_at"": ""05-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[a673173b80]"", ""screen_name"": ""[2a0f13a65e]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7ad00f9818]"", ""created_at"": ""05-27"", ""source"": ""来自陕西"", ""user"": {""id"": ""[9efda33e8e]"", ""screen_name"": ""[3de41957cd]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[89411f9d85]"", ""created_at"": ""05-27"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[2331248ee6]"", ""screen_name"": ""[83e45749b9]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 00:00:19
