id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[991ef5d7c6],[e422ae11da],"抑郁症
话说你们会暴食的时候失去理智的去吃生肉吗？
（不是我，是最近好像有个电影还是电视剧，我发评论说不会失去理智的暴食吃生肉有人说我）
我真的想了解一下，还有抑郁症是不是有人也不会去暴食厌食啊？
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T16:20:43,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-31 16:20:43
[c43bda6433],[15473d5f7a],"付邮送
想玩捏捏，问问有吗？
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T11:58:26,付邮送超话,0,10,"[{""id"": ""[4b7a4b881f]"", ""created_at"": ""昨天 12:17"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""已经自己买过啦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c6c9cd2540]"", ""created_at"": ""昨天 07:25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[4e9d8552c7]"", ""screen_name"": ""[ba77fa9e3b]""}, ""pic"": {""pid"": ""0067ofNtly1hqanlyc9vyj30u00u0tf1"", ""url"": ""https://wx1.sinaimg.cn/orj360/0067ofNtly1hqanlyc9vyj30u00u0tf1.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 360, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx1.sinaimg.cn/large/0067ofNtly1hqanlyc9vyj30u00u0tf1.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""1080"", ""croped"": false}}}, ""text"": ""u20/3个"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d36c3d482e]"", ""created_at"": ""昨天 00:11"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d1404f82a9]"", ""screen_name"": ""[52f7edd7f2]""}, ""pic"": {""pid"": ""006NnDKZly1hqab1l7ahmj30u00vx0yl"", ""url"": ""https://wx2.sinaimg.cn/orj360/006NnDKZly1hqab1l7ahmj30u00vx0yl.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 383, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx2.sinaimg.cn/large/006NnDKZly1hqab1l7ahmj30u00vx0yl.jpg"", ""geo"": {""width"": ""1080"", ""height"": ""1149"", ""croped"": false}}}, ""text"": ""u15"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6a714327cc]"", ""created_at"": ""05-30"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""还有的话私我"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[65da635803]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[b4ada6132b]"", ""screen_name"": ""[02674e75ad]""}, ""text"": ""回复@然然的小娇:在的要看图可以私"", ""reply_id"": 5039712681330271, ""reply_text"": ""回复@我巨巨雷婉拒:还在吗 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e0bc6c640b]"", ""created_at"": ""05-30"", ""source"": ""来自重庆"", ""user"": {""id"": ""[cd16ddf355]"", ""screen_name"": ""[4be4b8e019]""}, ""text"": ""回复@我巨巨雷婉拒:还在吗 [打call]"", ""reply_id"": 5039711974330087, ""reply_text"": ""有tpr和果冻腊还有流体可以各一个试试手感"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ea397092ae]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[b4ada6132b]"", ""screen_name"": ""[02674e75ad]""}, ""text"": ""有tpr和果冻腊还有流体可以各一个试试手感"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[36fac38322]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[ee8e9ec789]"", ""screen_name"": ""[9dd8e3f419]""}, ""text"": ""回复@然然的小娇:在"", ""reply_id"": 5039711336795636, ""reply_text"": ""回复@-田庄鲷鱼烧:还在吗 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[239271f4c0]"", ""created_at"": ""05-30"", ""source"": ""来自重庆"", ""user"": {""id"": ""[cd16ddf355]"", ""screen_name"": ""[4be4b8e019]""}, ""text"": ""回复@-田庄鲷鱼烧:还在吗 [泪]"", ""reply_id"": 5039700149273670, ""reply_text"": ""有"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c2f0f57d08]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[ee8e9ec789]"", ""screen_name"": ""[9dd8e3f419]""}, ""text"": ""有"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 11:58:26
[a55de83deb],[072b2428f4],"抑郁症
每次一点多准时醒 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T01:45:32,抑郁症超话,1,3,"[{""id"": ""[cf859d635d]"", ""created_at"": ""05-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[310fb9519f]"", ""screen_name"": ""[3296982952]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a8ea321f01]"", ""created_at"": ""05-25"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6e86f97da9]"", ""created_at"": ""05-25"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 01:45:32
[3f8cf0a317],[de29b25cb5],"抑郁症
只要是我喜欢的东西就会理我而去，所以我选择再也不喜欢
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T04:16:44,抑郁症超话,0,3,"[{""id"": ""[3c38153790]"", ""created_at"": ""05-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c9bdb70e7b]"", ""created_at"": ""05-24"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""回复@山月难知绪:每次给他们拍了照过一段时间就会离开，可能因为我只有喜欢的才会记录下来 [单身狗]"", ""reply_id"": 5037409739735404, ""reply_text"": ""我第一只猫猫它很乖明明很小它还是我一叫它就过来，但是最后它等了我三天我还是没见它最后一面，第二只猫猫是从别人家领养的，它很白但是有点慢热，它不喜欢别人碰它，第三只猫猫它也很乖但是有点傻，谁都让摸怎么样都不生气"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[99487294fe]"", ""created_at"": ""05-24"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""我第一只猫猫它很乖明明很小它还是我一叫它就过来，但是最后它等了我三天我还是没见它最后一面，第二只猫猫是从别人家领养的，它很白但是有点慢热，它不喜欢别人碰它，第三只猫猫它也很乖但是有点傻，谁都让摸怎么样都不生气"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 04:16:44
[49db88dfde],[9b1d68464b],"抑郁症
🌿啊，我才知道幻想被爱是一个很严重的心理疾病
，我真的会把自己带入到某一个场景或者之前的事啊…幻想自己被爱，我还会把自己带入到场景内和自己自言自语
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:37:04,抑郁症超话,14,13,"[{""id"": ""[682ee37725]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""回复@山月难知绪: [心]"", ""reply_id"": 5037078130459410, ""reply_text"": ""回复@缘鹄baby: [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1fb00052fe]"", ""created_at"": ""05-23"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""回复@缘鹄baby: [单身狗]"", ""reply_id"": 5037062884163654, ""reply_text"": ""抱抱宝贝 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[75722b06f9]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱宝贝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:37:04
[642eae0c48],[aa7283f43f],"抑郁症
今天一晚没睡，刚刚特别特别烦，动一下直接就喘不过来气儿，脑子好晕
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T05:54:16,抑郁症超话,0,2,"[{""id"": ""[06b182bfd0]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3b71780082]"", ""created_at"": ""05-22"", ""source"": ""来自河北"", ""user"": {""id"": ""[454102c621]"", ""screen_name"": ""[d61092c070]""}, ""text"": ""去洗个热水澡吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 05:54:16
[7703350aa3],[e5855bdc2a],"抑郁症
我一直都相信，死了 一切都会停止，不再会痛苦不再会乱想不再会焦虑也不再会幸福 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T01:23:40,抑郁症超话,5,3,"[{""id"": ""[04a94e48e9]"", ""created_at"": ""05-22"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""回复@南烛花海:挺累的现在si还是比较想的 [单身狗]"", ""reply_id"": 5036658875696037, ""reply_text"": ""是不是想走了？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ddefa40399]"", ""created_at"": ""05-22"", ""source"": ""来自云南"", ""user"": {""id"": ""[18a91956e4]"", ""screen_name"": ""[5ac23d44cf]""}, ""text"": ""是不是想走了？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b76c48f74e]"", ""created_at"": ""05-22"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""真的感觉自己好了超级多了，我没有再耳鸣啊心慌啊啥的，我应该已经成了一个正常的健康的了吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 01:23:40
[f0b64d960b],[2817df9f09],"抑郁症
不开心，说不出来，就是不开心，想减肥把肉咔嚓掉
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T00:03:47,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-22 00:03:47
[e824deaa7a],[b2eaa49437],"抑郁症
为什么总是要这样，一家子嘲讽我胖，买衣服的时候说我胖必须给我拿个大码的，卖衣服的人说我不胖，我妈还非要笑着说她这样还不胖，买吃的时候又说这么胖了还吃，可是明明每次都是你让我出门的啊，我在家你说我，我励志减肥了，今天本来一天都只喝了一瓶牛奶，非要隔几分钟给我打一次电话 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T20:25:42,抑郁症超话,1,2,"[{""id"": ""[76edb47b43]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""东西吃进我肚子之后我想用我的手伸我嗓子里扣出来，我本来就要成功了我知道这怨不得别人，但是我真的很难受，我被人嘲讽的我都想拿刀子割下来把我的肉 [单身狗]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[9a49f5ca5f]"", ""created_at"": ""05-18"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""你自己羡慕别人一个月跑步瘦十斤就非要拉着我，我都说我我嫌弃自己胖！不愿意出门，为什么还老是想让我出门，我只想快点瘦下来复学的时候不那么胖我陪你你又说我自己的方法不管用，搞得我做了多么不孝顺的事情一样 [单身狗]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 20:25:42
[997d9fef92],[83f1fa04bf],"抑郁症
忘记了很多东西尤其是之前不开心受委屈的情绪，之前家庭对我造成的伤害我抵抗了，并且非常激烈，我堵上了我的未来，可是偏偏他们给我道歉了，给我订吃的，给我道歉让我觉得我现在就是个乐子，掐我脖子打我的照片我还留着，虽然现在记忆很模糊可是我还是一想起来就难受，好迷茫啊，不知道 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T22:10:53,抑郁症超话,0,4,"[{""id"": ""[9e0db69785]"", ""created_at"": ""05-15"", ""source"": ""来自吉林"", ""user"": {""id"": ""[3ccc788aa0]"", ""screen_name"": ""[1bc043c246]""}, ""text"": ""回复@山月难知绪:至少得高中了，高中之后上了大学就离家远了，就回家就很少了。能逃远点就逃远点。"", ""reply_id"": 5034424785702957, ""reply_text"": ""回复@用户7406434325:没办法走，未成年，没能力养活自己，以后上学还需要种种，反正离不开呀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f7075f8cb9]"", ""created_at"": ""05-15"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""回复@用户7406434325:没办法走，未成年，没能力养活自己，以后上学还需要种种，反正离不开呀"", ""reply_id"": 5034419348572218, ""reply_text"": ""回复@山月难知绪:要不先走一走？看看有没有机会逃离"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[372ade6387]"", ""created_at"": ""05-15"", ""source"": ""来自吉林"", ""user"": {""id"": ""[3ccc788aa0]"", ""screen_name"": ""[1bc043c246]""}, ""text"": ""回复@山月难知绪:要不先走一走？看看有没有机会逃离"", ""reply_id"": 5034418733321331, ""reply_text"": ""我想过未来可能会一直在这个家庭中吵架，可是偏偏是这样为什么偏偏是这样，我和乐子一样 [下雨]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f9aeeae009]"", ""created_at"": ""05-15"", ""source"": ""来自河南"", ""user"": {""id"": ""[df008c2d80]"", ""screen_name"": ""[0b686872d5]""}, ""text"": ""我想过未来可能会一直在这个家庭中吵架，可是偏偏是这样为什么偏偏是这样，我和乐子一样 [下雨]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-15 22:10:53
