id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[371b821267],[9ecb1762d0],"抑郁症
怎么办 突然感觉自己在装 ",[9b2d5b4678],[c6947beffa],[9b2d5b4678],,2024-05-28T16:14:15,抑郁症超话,4,13,"[{""id"": ""[7fc3ba7f4a]"", ""created_at"": ""05-28"", ""source"": ""来自河北"", ""user"": {""id"": ""[81899e1c59]"", ""screen_name"": ""[a1087c5270]""}, ""text"": ""都是瞎说的，真正的心灵毒鸡汤"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d14f013885]"", ""created_at"": ""05-28"", ""source"": ""来自福建"", ""user"": {""id"": ""[2de9367d30]"", ""screen_name"": ""[d71ad8880c]""}, ""text"": ""不是的宝宝，不要信，他们根本不懂，就是在利用抑郁症蹭热度"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c85bf381cd]"", ""created_at"": ""05-28"", ""source"": ""来自北京"", ""user"": {""id"": ""[c13c3cdd1f]"", ""screen_name"": ""[1d0d7c4331]""}, ""text"": ""不是的 别听网上的一些人说的 他们不懂 [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 16:14:15
[c812091a8b],[4de48dcca3],"抑郁症
来我现在治疗的这个医院治一年了 今天做了个检查 谢天谢地 暂时没有转双相
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T14:50:26,抑郁症超话,1,1,"[{""id"": ""[a2279ee5f5]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""嗯嗯！宝一定会越来越好的！要加油呀！ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 14:50:26
[43ad3a6daf],[dcf4d2a8dd],"抑郁症
夜深人静的时候总喜欢一个人瞎想。对抗抑郁的过程很轻松？并不是。真的对死亡有未知的恐惧？也说不准。一方面不想活在这个世界上，另一方面会狠狠记得青霉素过敏不能打，打针空气进血管还会瞳孔地震，那一瞬间不想死的念头可能突然升腾起来（虽然过后会平静下来）。今天小鸡死了，可能这 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T00:54:58,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-23 00:54:58
[cbfdd6db84],[7600acde73],"抑郁症
有一只小鸡仔在我把它拿出来观察它的长势的时候从我手上蹦下来摔死了 难受了一晚上了 它现在还吊着一口气
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T00:52:40,抑郁症超话,1,2,"[{""id"": ""[48d6c5b036]"", ""created_at"": ""05-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""没事的宝…晚安 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[93e386aafe]"", ""created_at"": ""05-23"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""估计熬不过去的我心里它已经死了 那是长的最大的一只 [悲伤]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 00:52:40
[1a6fb1f1b1],[2d698c5bcc],"抑郁症
给我烧成智障了 ",[9b2d5b4678],[890aa09799],[9b2d5b4678],,2024-05-20T15:18:17,抑郁症超话,1,3,"[{""id"": ""[7d2f9284d6]"", ""created_at"": ""05-20"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@不爱Fluvoxamine:嗯嗯没事就好 [抱一抱]"", ""reply_id"": 5036134012552646, ""reply_text"": ""回复@炊子CHUIZI:宝 我吃完退烧药了现在出汗了 烧应该正在退 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d37dde2c03]"", ""created_at"": ""05-20"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""回复@炊子CHUIZI:宝 我吃完退烧药了现在出汗了 烧应该正在退 [允悲]"", ""reply_id"": 5036129356876946, ""reply_text"": ""没事吧宝…， [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0d6e2ada0c]"", ""created_at"": ""05-20"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""没事吧宝…， [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 15:18:17
[28694567a3],[db52b39caf],"双相情感障碍
我真的感觉最左边的好像一只冷酷的眼睛有人懂吗
 ",[9b2d5b4678],[3086a27cd7],[9b2d5b4678],,2024-05-20T15:05:54,双相情感障碍超话,3,2,"[{""id"": ""[5e08a5f605]"", ""created_at"": ""05-22"", ""source"": ""来自浙江"", ""user"": {""id"": ""[50eaad63ba]"", ""screen_name"": ""[246138263a]""}, ""text"": ""甚至还有鼻子"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7050b90124]"", ""created_at"": ""05-20"", ""source"": ""来自山东"", ""user"": {""id"": ""[1fa98e1a58]"", ""screen_name"": ""[a1b29d19d3]""}, ""text"": ""是呢，我看到了一张表情，平静的抿着嘴望着远方"", ""like_counts"": 2, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 15:05:54
[c2adeb6d14],[5237e52c08],"抑郁症
高烧了 去上厕所的时候差点晕过去… ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T14:56:27,抑郁症超话,1,4,"[{""id"": ""[bde552abd9]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@不爱Fluvoxamine: [心]"", ""reply_id"": 5036125481602491, ""reply_text"": ""回复@要长记性的木子:好 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[13766d52a2]"", ""created_at"": ""05-20"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""回复@要长记性的木子:好 [悲伤]"", ""reply_id"": 5036125072916789, ""reply_text"": ""去医院 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dc3f38d39f]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""去医院 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bdb8426f48]"", ""created_at"": ""05-20"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""我还真他娘的是药罐子"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 14:56:27
[b8412d539e],[46f0e2c7f1],"抑郁症
想听听一年前的回放课。两分钟没到给我干懵逼了。记忆力是真不行了
 ",[9b2d5b4678],[191d13bbfe],[9b2d5b4678],,2024-05-18T09:14:49,抑郁症超话,0,3,"[{""id"": ""[1647d884fb]"", ""created_at"": ""05-18"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""我换宋浩的看吧 我们老师的我有点听不懂 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b10eaf3582]"", ""created_at"": ""05-18"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""头要晕了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bf5467381c]"", ""created_at"": ""05-18"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""好吧我承认我认知障碍 但是没想到这么严重哈哈哈哈"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-18 09:14:49
[98fabfff97],[922f757d87],"抑郁症
突如其来有点emo…我到底什么时候能好起来 我本来也和他们一样啊 ",[9b2d5b4678],[1b41649847],[9b2d5b4678],,2024-05-17T18:12:40,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-17 18:12:40
[141f5eb240],[aee9a01321],"抑郁症
在朋友圈发了个疯 希望可以让大家开心一下
 ",[9b2d5b4678],[8c8f391e3e],[9b2d5b4678],,2024-05-17T13:41:22,抑郁症超话,12,3,"[{""id"": ""[9c1a236824]"", ""created_at"": ""05-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝要开心呀！没事的！人生在世就几年…该玩就玩！支持你！要幸福呀 [抱一抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[e68d73d4da]"", ""created_at"": ""05-17"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""可能你看我朋友圈完全看不出来我是个抑郁的人 嘿嘿 [心]"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[d21c27a15a]"", ""created_at"": ""05-17"", ""source"": ""来自吉林"", ""user"": {""id"": ""[b99c1b7018]"", ""screen_name"": ""[0c1f7b0b9e]""}, ""text"": ""算不算幽了个默 [允悲]"", ""like_counts"": 3, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 13:41:22
