id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f691815ed1],[cabf9a4638],"抑郁症
今天运气用光光了
 ",[9b2d5b4678],[6036c8146b],[9b2d5b4678],,2024-06-04T11:23:42,抑郁症超话,8,12,"[{'id': 5041526499968540, 'created_at': '18小时前', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@根据灵魂找到你啦: ""[送花花]""', 'reply_id': 5041523815617173, 'reply_text': '根本没用运气，这是你的实力', 'like_counts': 0, 'liked': False}, {'id': 5041523815617173, 'created_at': '19小时前', 'source': '来自安徽', 'user': {'id': 7702369660, 'screen_name': '根据灵魂找到你啦'}, 'text': '根本没用运气，这是你的实力', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-04 11:23:42
[513e083432],[486b6651b4],"抑郁症
一切顺利
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T00:00:00,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-04 00:00:00
[7d0c5d6e2d],[0bc6857760],"抑郁症
树洞帖，最近过的还好吗，有好好吃饭好好睡觉吗
 ",[9b2d5b4678],[16061be11d],[9b2d5b4678],,2024-05-27T15:03:32,抑郁症超话,2,28,,0,,[9b2d5b4678],2024-05-27 15:03:32
[a9e25a18c9],[e1fb109a66],"抑郁症
做自己的时候最快乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T23:49:30,抑郁症超话,1,6,"[{""id"": ""[fbd1936a72]"", ""created_at"": ""05-26"", ""source"": ""来自浙江"", ""user"": {""id"": ""[60c96fdd11]"", ""screen_name"": ""[f9bc34c9bc]""}, ""text"": ""回复@阿俊要常安-:早"", ""reply_id"": 5038184031585830, ""reply_text"": ""回复@去沐光而行:早啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[83bb422901]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@去沐光而行:早啊"", ""reply_id"": 5038081733822294, ""reply_text"": ""安安姐还没睡啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[689a808bb0]"", ""created_at"": ""05-26"", ""source"": ""来自浙江"", ""user"": {""id"": ""[60c96fdd11]"", ""screen_name"": ""[f9bc34c9bc]""}, ""text"": ""安安姐还没睡啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ed87ce4a40]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@阿俊要常安-:还没"", ""reply_id"": 5038074555795147, ""reply_text"": ""回复@要长记性的木子:木子还不睡觉 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[accbd8dec6]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@要长记性的木子:木子还不睡觉 [doge]"", ""reply_id"": 5038070477361159, ""reply_text"": ""做自己"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a18a83a8c0]"", ""created_at"": ""05-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""做自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 23:49:30
[d65ba90cbd],[71ca04116f],"抑郁症
我在怀疑我是不是没病装病 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T21:51:23,抑郁症超话,1,6,"[{'id': 5038047673191623, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@励志拴住倪妮的心:我又怕和姐姐说到时候得挨批 [单身狗]', 'reply_id': 5038047399251750, 'reply_text': '我也会。。觉得是不是我太敏感了。。', 'like_counts': 0, 'liked': False}, {'id': 5038047399251750, 'created_at': '05-25', 'source': '来自江西', 'user': {'id': 7784108682, 'screen_name': '励志拴住倪妮的心'}, 'text': '我也会。。觉得是不是我太敏感了。。', 'like_counts': 0, 'liked': False}, {'id': 5038046057075081, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@要长记性的木子: [单身狗]', 'reply_id': 5038042496633212, 'reply_text': '不是的', 'like_counts': 0, 'liked': False}, {'id': 5038046027716271, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@岁月诗行如梦:感觉真的疯了 ""[融化]""', 'reply_id': 5038045067220337, 'reply_text': '我也怀疑我自己', 'like_counts': 0, 'liked': False}, {'id': 5038045067220337, 'created_at': '05-25', 'source': '来自重庆', 'user': {'id': 7842506342, 'screen_name': '岁月诗行如梦'}, 'text': '我也怀疑我自己', 'like_counts': 0, 'liked': False}, {'id': 5038042496633212, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '不是的', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-25 21:51:23
[fa09fceec2],[cfd992fcef],"抑郁症
心绞痛，让我猝死吧
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T21:01:46,抑郁症超话,1,7,"[{""id"": ""[5ad556591b]"", ""created_at"": ""05-22"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱宝贝 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[53a7bb6048]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@是陆拾壹呀:我到时候发消息问问姐姐哪天轮诊我刚好过去"", ""reply_id"": 5036946084860311, ""reply_text"": ""回复@阿俊要常安-:看看哪天有空提前挂个号"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7f376861ec]"", ""created_at"": ""05-22"", ""source"": ""来自河北"", ""user"": {""id"": ""[5325531958]"", ""screen_name"": ""[e6863edf86]""}, ""text"": ""回复@阿俊要常安-:看看哪天有空提前挂个号"", ""reply_id"": 5036945938580397, ""reply_text"": ""回复@是陆拾壹呀:本来准备明天去但是明天有事去不了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[889395c3dc]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@是陆拾壹呀:本来准备明天去但是明天有事去不了"", ""reply_id"": 5036945434215920, ""reply_text"": ""做个心电图看看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cd382707db]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@小黑屋的一坨:那我哭 [doge]"", ""reply_id"": 5036945418486453, ""reply_text"": ""我要是不让呢！ [右哼哼]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9a32d45eec]"", ""created_at"": ""05-22"", ""source"": ""来自河北"", ""user"": {""id"": ""[5325531958]"", ""screen_name"": ""[e6863edf86]""}, ""text"": ""做个心电图看看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f35d4eb46d]"", ""created_at"": ""05-22"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a770d50361]"", ""screen_name"": ""[8e8f79bf08]""}, ""text"": ""我要是不让呢！ [右哼哼]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 21:01:46
[303ecd97b2],[39ea15e633],"抑郁症
活着到底是为了什么
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T11:36:55,抑郁症超话,19,34,,1,,[9b2d5b4678],2024-05-22 11:36:55
[59a9b1253c],[63d9085a36],"抑郁症
晚安 ",[9b2d5b4678],[bb68847070],[9b2d5b4678],,2024-05-21T22:22:46,抑郁症超话,3,6,"[{""id"": ""[837bc0cc84]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[d654a08a42]"", ""screen_name"": ""[20148c7abd]""}, ""text"": ""晚安"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9ca52df848]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@殊途danica:晚安"", ""reply_id"": 5036951126672915, ""reply_text"": ""晚安"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[177bed71bf]"", ""created_at"": ""05-22"", ""source"": ""来自浙江"", ""user"": {""id"": ""[49584262d0]"", ""screen_name"": ""[822aa70ace]""}, ""text"": ""晚安"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[34d09b93c3]"", ""created_at"": ""05-21"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a21126ce24]"", ""screen_name"": ""[aa1a32fbe7]""}, ""text"": ""睡眠好，一切都好了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[397be5cb52]"", ""created_at"": ""05-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[865987c8eb]"", ""screen_name"": ""[7a7ec866ea]""}, ""text"": ""晚安"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5e5061a914]"", ""created_at"": ""05-21"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""晚安 [月亮]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-21 22:22:46
[8dba661af5],[7ccd47fc5e],"抑郁症
我爱科三 明天让我过过过！！！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T17:05:07,抑郁症超话,1,3,"[{""id"": ""[df23bb29f3]"", ""created_at"": ""05-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@阿俊要常安-:哈哈哈"", ""reply_id"": 5035799458088754, ""reply_text"": ""回复@要长记性的木子:一定过 [好喜欢]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[26d5906daf]"", ""created_at"": ""05-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""回复@要长记性的木子:一定过 [好喜欢]"", ""reply_id"": 5035793321826234, ""reply_text"": ""过过过"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a4a7b27b53]"", ""created_at"": ""05-19"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""过过过"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 17:05:07
[5248df4afe],[a81bfd8188],"抑郁症
焦虑去亖！！！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T16:24:49,抑郁症超话,1,9,"[{'id': 5036895635767369, 'created_at': '05-22', 'source': '来自安徽', 'user': {'id': 7702369660, 'screen_name': '根据灵魂找到你啦'}, 'text': '回复@阿俊要常安-:吃了片安眠药，又喝了两杯酒，从今天凌晨2点，睡到现在', 'reply_id': 5036895427888058, 'reply_text': '回复@根据灵魂找到你啦:那很不错', 'like_counts': 0, 'liked': False}, {'id': 5036895427888058, 'created_at': '05-22', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@根据灵魂找到你啦:那很不错', 'reply_id': 5036895054598254, 'reply_text': '我今天睡了个无与伦比的好觉', 'like_counts': 0, 'liked': False}, {'id': 5036895054598254, 'created_at': '05-22', 'source': '来自安徽', 'user': {'id': 7702369660, 'screen_name': '根据灵魂找到你啦'}, 'text': '我今天睡了个无与伦比的好觉', 'like_counts': 0, 'liked': False}, {'id': 5035169197591363, 'created_at': '05-17', 'source': '来自河北', 'user': {'id': 7808368490, 'screen_name': '竹I绘'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5035073340442661, 'created_at': '05-17', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@-FuyanRan: [抱一抱]', 'reply_id': 5035060547814019, 'reply_text': '支持 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5035072707101631, 'created_at': '05-17', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '回复@阿俊要常安-: [心]', 'reply_id': 5035056340664840, 'reply_text': '回复@要长记性的木子: [二哈]', 'like_counts': 0, 'liked': False}, {'id': 5035060547814019, 'created_at': '05-17', 'source': '来自湖南', 'user': {'id': 7330824375, 'screen_name': '-FuyanRan'}, 'text': '支持 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5035056340664840, 'created_at': '05-17', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '回复@要长记性的木子: [二哈]', 'reply_id': 5035056182331674, 'reply_text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5035056182331674, 'created_at': '05-17', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-17 16:24:49
