id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[bcbb3ada0c],[d58a666949],"杀不死我的只会让我更想死
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T18:44:44,抑郁症超话,3,1,"[{""id"": ""[8bfa525fcf]"", ""created_at"": ""9小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 18:44:44
[2ea1f18fee],[9b34204716],"今天看到最温暖的一句话“感觉累的话，不努力也可以的”
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T15:48:16,抑郁症超话,5,2,"[{""id"": ""[af9d26e6bb]"", ""created_at"": ""12小时前"", ""source"": ""来自上海"", ""user"": {""id"": ""[4a2daf36b6]"", ""screen_name"": ""[2f4c2dec2f]""}, ""text"": ""是的，世上无难事，只要肯放弃 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[49ed63d6c8]"", ""created_at"": ""13小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 15:48:16
[bc1575588e],[cd4af8399a],最近又开始发作了 ,[9b2d5b4678],[8ef939a2fb],[9b2d5b4678],,2024-04-26T14:18:43,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-26 14:18:43
[d2491c8521],[84e910ed55],只想宅在家里哪里都不去 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T18:53:34,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 18:53:34
[8fa2ee2f97],[eac3d64348],草泥马的孙富根 老子再也不往你这里看病了，迟早把我治死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T11:51:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 11:51:13
[2fad4e2213],[4a71090457],烦躁急躁到极点  崩溃 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T11:46:55,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 11:46:55
[e58ca95584],[05331b487b],真他妈讨厌刷视频把声音放这么大 你他妈是聋啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T11:42:53,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 11:42:53
[5326192269],[daca0e7a47],讨厌死吃饭吧唧嘴的人 能吃吃不能吃滚 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T11:42:20,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 11:42:20
[1b51ec936f],[710d08f428],希望死人爹赶紧死，每天在家里睡大觉，一醒就穿着裤衩各种不满意，你他妈直接去死吧，从来没有这么讨厌过一个人，生理性的厌恶 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T11:41:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 11:41:19
[73127fb9d8],[a2612932d9],"社恐
 想找个居家的工作 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T18:58:22,社恐超话,3,6,"[{""id"": ""[20b68d8800]"", ""created_at"": ""04-25"", ""source"": ""来自河南"", ""user"": {""id"": ""[ef7a55c138]"", ""screen_name"": ""[0eaecd15c5]""}, ""text"": ""回复@用户7889783306:嗯嗯 谢谢！"", ""reply_id"": 5026693801054339, ""reply_text"": ""找那种外包客服，可以在家就是工资很少，但是那种也不好找 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d524156c0c]"", ""created_at"": ""04-24"", ""source"": ""来自福建"", ""user"": {""id"": ""[bfcbad9f2d]"", ""screen_name"": ""[22848feedf]""}, ""text"": ""回复@用户7889783306:或者打游戏厉害可以帮人代打，声音好听可以当陪玩，文笔好可以写小说，画画好可以帮人画图头像什么的，打字客服是最没门槛的"", ""reply_id"": 5026693801054339, ""reply_text"": ""找那种外包客服，可以在家就是工资很少，但是那种也不好找 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[99b29291f2]"", ""created_at"": ""04-24"", ""source"": ""来自福建"", ""user"": {""id"": ""[bfcbad9f2d]"", ""screen_name"": ""[22848feedf]""}, ""text"": ""找那种外包客服，可以在家就是工资很少，但是那种也不好找 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c4b01f63d]"", ""created_at"": ""04-24"", ""source"": ""来自河北"", ""user"": {""id"": ""[b7f2742f56]"", ""screen_name"": ""[63cca6a4b2]""}, ""text"": ""居家好多骗人的没几个真的"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[6578c2dfd2]"", ""created_at"": ""04-22"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[d4d900f2b3]"", ""screen_name"": ""[8d9e1cc4fe]""}, ""text"": ""我也 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 18:58:22
