id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c1ce50f488],[cea1d72d6e],"抑郁症
在医院里面住院治疗，医院都会安排人过来送药吃，自从吃药开始全身都没有力气就是想躺着，是不是这个药的作用啊？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T17:25:46,抑郁症超话,0,2,"[{""id"": ""[17a0b48b5f]"", ""created_at"": ""9小时前"", ""source"": ""来自贵州"", ""user"": {""id"": ""[7dbcac8cd9]"", ""screen_name"": ""[0ecf54ce63]""}, ""text"": ""回复@殪钊:好的谢谢宝"", ""reply_id"": 5040521854059772, ""reply_text"": ""不太清楚，不过我也是，我吃的是舍曲林。也有可能是心理作用，最好还是问问医生，或者给你送药的人？ [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[30bc61b8d5]"", ""created_at"": ""10小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": ""不太清楚，不过我也是，我吃的是舍曲林。也有可能是心理作用，最好还是问问医生，或者给你送药的人？ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 17:25:46
[8f7313f47e],[d12a937bcb],"第五人格共号
共一下这个号，找个周上代，有共享安卓的马上60金漂亮号，有bdm，白，黑先知，文豪野犬满配，可以弄名字说自己是号主，排位时间不能上线（也不是一直没人）不能打排位除非技术好，活动任务做满周上4w鸭50-100走中不免 ",[9b2d5b4678],[fc43928460],[9b2d5b4678],,2024-06-01T08:38:42,第五人格共号超话,1,23,,0,,[9b2d5b4678],2024-06-01 08:38:42
[e2d26ae8a9],[6edcb2661e],"抑郁症
每天在医院里面做打事情好多
好累，早上7点一直做到下午3点，做了身上痛死了只想躺着不想动 ",[9b2d5b4678],[25db1cdfe9],[9b2d5b4678],,2024-06-01T07:53:56,抑郁症超话,3,6,"[{""id"": ""[b9fa8cc865]"", ""created_at"": ""16小时前"", ""source"": ""来自广西"", ""user"": {""id"": ""[3ddf3f51a0]"", ""screen_name"": ""[c3b591a319]""}, ""text"": ""兄弟。。心疼你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[981c022a4b]"", ""created_at"": ""18小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[ea0b473bee]"", ""screen_name"": ""[4e2bf1101a]""}, ""text"": "" [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[09363e6182]"", ""created_at"": ""18小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[addf442a75]"", ""created_at"": ""18小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[49325a21e3]"", ""created_at"": ""19小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[99bb1955ee]"", ""screen_name"": ""[170cb71704]""}, ""text"": ""我草老公抱抱你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d20429c56]"", ""created_at"": ""19小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 07:53:56
[6685ac161d],[27c8edc2d2],"第五人格共号
玩呢，跑过来发消息全部弄好给我不回复了，找半租果然不靠谱，，，
重新发一下不找半租这些了，马上70金，周上4w活动任务做满，可以说自己是号主可以弄名字，排位时间不能上，因为有人玩，安卓官服，长共鸭50-100不免，加手机号wx朋友圈公开，或者技术好的也可以大概就这样， ...
全文",[9b2d5b4678],[37d4296154],[9b2d5b4678],,2024-05-30T22:26:16,第五人格共号超话,6,29,,0,,[9b2d5b4678],2024-05-30 22:26:16
[9df699e7d7],[643d33a1a6],"第五人格
到底能不能来点靠谱
我红网都可以稳6，60s，我真的需要靠谱的队友卡巅七稳60s
纯菜我没有话说，智障这种别来 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T19:54:45,第五人格超话,0,5,"[{'id': 5038093434357322, 'created_at': '05-26', 'source': '来自广东', 'user': {'id': 7263342081, 'screen_name': '糯米长命百岁'}, 'text': '历30 主牵制救人 a杂技慈善邮差b病患佣兵魔术c小孩 心态好脾气好 不压力队友 好沟通有麦 可全勤', 'like_counts': 0, 'liked': False}, {'id': 5038008945872171, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 7864864432, 'screen_name': '我的笨'}, 'text': '回复@效显:历一稳10s可以吗 [来]', 'reply_id': 5038008790945189, 'reply_text': '回复@我的笨:神经，求放过', 'like_counts': 0, 'liked': False}, {'id': 5038008790945189, 'created_at': '05-25', 'source': '来自贵州', 'user': {'id': 7896365107, 'screen_name': '效显'}, 'text': '回复@我的笨:神经，求放过', 'reply_id': 5038008321444772, 'reply_text': '臣妾退下了', 'like_counts': 0, 'liked': False}, {'id': 5038008778886766, 'created_at': '05-25', 'source': '来自山东', 'user': {'id': 6379811218, 'screen_name': '爱吃兔子的烤串'}, 'text': '大佬祝你早日找到 ""[揣手]""', 'like_counts': 0, 'liked': False}, {'id': 5038008321444772, 'created_at': '05-25', 'source': '来自安徽', 'user': {'id': 7864864432, 'screen_name': '我的笨'}, 'text': '臣妾退下了', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-25 19:54:45
[dfa9088d7b],[f9c0efc1d3],"第五人格
有没有稳的啊，我巅7基本80-120s玩的位置比较多2-2真的不想双排被队友气死了要
来个听话的吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T13:36:16,第五人格超话,0,11,"[{""id"": ""[c5d951f281]"", ""created_at"": ""05-25"", ""source"": ""来自福建"", ""user"": {""id"": ""[66b259dd28]"", ""screen_name"": ""[969d8fcc2f]""}, ""text"": ""巅七可以四排吗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 13:36:16
[add0e506d9],[128c95dcf0],"第五人格
固排固排胜率50左右我基本80加闪，能不能不要这样都可以输来点厉害的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T13:18:19,第五人格超话,0,1,"[{""id"": ""[1d38a507fe]"", ""created_at"": ""05-25"", ""source"": ""来自陕西"", ""user"": {""id"": ""[f5494f01e1]"", ""screen_name"": ""[776b29a866]""}, ""text"": ""举手🙌🏻"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 13:18:19
[3932ef3bfa],[683ca5db1f],"第五人格
谁来单练，希望是人屠可以换着来的，
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T01:33:46,第五人格超话,0,3,"[{""id"": ""[0255d2b467]"", ""created_at"": ""05-25"", ""source"": ""来自浙江"", ""user"": {""id"": ""[64a70561c9]"", ""screen_name"": ""[5b96886d4b]""}, ""text"": ""回复@效显:1871863 是这个 但目前是高考淡游期没怎么打段位了"", ""reply_id"": 5037732922917953, ""reply_text"": ""回复@有點困_Y:ID"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e97de948a9]"", ""created_at"": ""05-25"", ""source"": ""来自贵州"", ""user"": {""id"": ""[7dbcac8cd9]"", ""screen_name"": ""[0ecf54ce63]""}, ""text"": ""回复@有點困_Y:ID"", ""reply_id"": 5037732446078879, ""reply_text"": ""试试人上过巅七屠上过六！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5f09091d72]"", ""created_at"": ""05-25"", ""source"": ""来自浙江"", ""user"": {""id"": ""[64a70561c9]"", ""screen_name"": ""[5b96886d4b]""}, ""text"": ""试试人上过巅七屠上过六！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 01:33:46
[75f4c7162f],[e4c37716ff],"第五人格
有没有屠陪我单练呢
我目前是五阶，厉不厉害无所谓，主要练练角色 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T01:20:43,第五人格超话,0,2,"[{""id"": ""[540058407c]"", ""created_at"": ""05-25"", ""source"": ""来自贵州"", ""user"": {""id"": ""[7dbcac8cd9]"", ""screen_name"": ""[0ecf54ce63]""}, ""text"": ""回复@我的笨:快来，求放过"", ""reply_id"": 5037727696814539, ""reply_text"": ""s13鸡块可以吗 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[24511b7760]"", ""created_at"": ""05-25"", ""source"": ""来自安徽"", ""user"": {""id"": ""[99bb1955ee]"", ""screen_name"": ""[170cb71704]""}, ""text"": ""s13鸡块可以吗 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 01:20:43
[e702baaee6],[9cf63332d9],"第五人格
有没有车队喵喵喵，我原来都是打屠的巅七，不过人类也是，a杂b拉，我可以玩救人，ob，溜鬼位不一定全勤晚上时间多一点，玩囚徒，杂技，记者，古董，基本稳80-120s来点厉害的可以打语音 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T22:04:56,第五人格超话,1,20,"[{'id': 5037683795037601, 'created_at': '05-24', 'source': '来自四川', 'user': {'id': 7250252405, 'screen_name': '如叆'}, 'text': '回复@效显:chenyingtongchb', 'reply_id': 5037683539185567, 'reply_text': '回复@如叆:给个lx', 'like_counts': 0, 'liked': False}, {'id': 5037683768296853, 'created_at': '05-24', 'source': '来自四川', 'user': {'id': 7250252405, 'screen_name': '如叆'}, 'text': '回复@效显:我本来不玩记者的，是补位 [允悲]', 'reply_id': 5037681933029383, 'reply_text': '回复@如叆:我现在比较主玩记者如果撞位置可能不太好 [羞嗒嗒]', 'like_counts': 0, 'liked': False}, {'id': 5037683539185567, 'created_at': '05-24', 'source': '来自贵州', 'user': {'id': 7896365107, 'screen_name': '效显'}, 'text': '回复@如叆:给个lx', 'reply_id': 5037681064804427, 'reply_text': '回复@如叆:本来也是打屠夫的，另一个号七阶打过渔女牌子', 'like_counts': 0, 'liked': False}, {'id': 5037681933029383, 'created_at': '05-24', 'source': '来自贵州', 'user': {'id': 7896365107, 'screen_name': '效显'}, 'text': '回复@如叆:我现在比较主玩记者如果撞位置可能不太好 [羞嗒嗒]', 'reply_id': 5037680912242825, 'reply_text': '这里看看，固排古董我记者心理昆虫，其实是因为我一直补救人才玩的记者，胜率60+现在四阶四和四阶二（本来80多连输三把掉了）', 'like_counts': 0, 'liked': False}, {'id': 5037681064804427, 'created_at': '05-24', 'source': '来自四川', 'user': {'id': 7250252405, 'screen_name': '如叆'}, 'text': '回复@如叆:本来也是打屠夫的，另一个号七阶打过渔女牌子', 'reply_id': 5037680912242825, 'reply_text': '这里看看，固排古董我记者心理昆虫，其实是因为我一直补救人才玩的记者，胜率60+现在四阶四和四阶二（本来80多连输三把掉了）', 'like_counts': 0, 'liked': False}, {'id': 5037680912242825, 'created_at': '05-24', 'source': '来自四川', 'user': {'id': 7250252405, 'screen_name': '如叆'}, 'text': '这里看看，固排古董我记者心理昆虫，其实是因为我一直补救人才玩的记者，胜率60+现在四阶四和四阶二（本来80多连输三把掉了）', 'like_counts': 0, 'liked': False}, {'id': 5037680559655896, 'created_at': '05-24', 'source': '来自贵州', 'user': {'id': 7896365107, 'screen_name': '效显'}, 'text': '回复@小持angel:我还行 ""[春游家族]""', 'reply_id': 5037679395998107, 'reply_text': '回复@效显:我打第五人格比较激动 有的人觉得我在凶他 en所以不喜欢和比较敏感的人玩儿', 'like_counts': 0, 'liked': False}, {'id': 5037679395998107, 'created_at': '05-24', 'source': '来自湖北', 'user': {'id': 7832566111, 'screen_name': '小持angel'}, 'text': '回复@效显:我打第五人格比较激动 有的人觉得我在凶他 en所以不喜欢和比较敏感的人玩儿', 'reply_id': 5037678829244115, 'reply_text': '回复@小持angel:没看懂 [馋嘴]', 'like_counts': 0, 'liked': False}, {'id': 5037678829244115, 'created_at': '05-24', 'source': '来自贵州', 'user': {'id': 7896365107, 'screen_name': '效显'}, 'text': '回复@小持angel:没看懂 [馋嘴]', 'reply_id': 5037678346633413, 'reply_text': 'dd 婉拒易碎敏感 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5037678346633413, 'created_at': '05-24', 'source': '来自湖北', 'user': {'id': 7832566111, 'screen_name': '小持angel'}, 'text': 'dd 婉拒易碎敏感 [允悲]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-24 22:04:56
