id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[81f9c707f0],[f4408480ce],啊，原来如此—— ,[9b2d5b4678],[5817545a78],[9b2d5b4678],,2024-05-29T22:59:53,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-05-29 22:59:53
[1e9a447ef1],[46462ae28e],我什么时候也能说出“活着真好”？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T13:01:39,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-05-27 13:01:39
[4dc1be9461],[d4bac56161],在我想念他们的时候，他们也会在想念我吗？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T09:58:30,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-05-17 09:58:30
[cdad2c7596],[decbf78330],我现在最想要的、唯一想要的仅仅是一个拥抱，来自任何 人的 真实的 安慰的 拥抱！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T09:02:29,抑郁症超话,1,6,"[{'id': 5027927605903631, 'created_at': '21小时前', 'source': '来自浙江', 'user': {'id': 7781621694, 'screen_name': '殊途danica'}, 'text': '抱抱 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5027443394217733, 'created_at': '04-26', 'source': '来自浙江', 'user': {'id': 7719648316, 'screen_name': '莫35110'}, 'text': '失眠、头痛、郁悒，这些我花了两年才摆脱掉的东西，在短短两周就全部返回到我身上 ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5027396233201287, 'created_at': '04-26', 'source': '来自河北', 'user': {'id': 7859301976, 'screen_name': '唉又emo了'}, 'text': '抱抱你', 'like_counts': 0, 'liked': False}, {'id': 5027390650848179, 'created_at': '04-26', 'source': '来自浙江', 'user': {'id': 7719648316, 'screen_name': '莫35110'}, 'text': '上个班眼睛就没干过 ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5027336464897096, 'created_at': '04-26', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '紧紧抱住', 'like_counts': 0, 'liked': False}, {'id': 5027334375607669, 'created_at': '04-26', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '抱抱 无论何时何地，我们都在你身边 [心]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-26 09:02:29
[707e4b5cbe],[9808dcaaa9],"从喜生忧患，从喜生怖畏；离喜无忧患，何处有怖畏？
从爱生忧患，从爱生怖畏；离爱无忧患，何处有怖畏？
是故莫爱着，爱别离为苦。若无爱与憎，彼即无羁缚。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T22:22:22,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-04-21 22:22:22
[b1c06dbd2b],[4052bfd9d2],妈的，这个逼世界，老子再忍你三年！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T10:57:45,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-04-04 10:57:45
[bf81074627],[e9b82c43e4],"几处雷惊过，雨点砸落了尘土，也砸落了盛开后的樱花，零星几个花瓣挂在树上，像两周前零星的它们刚绽放的样子。乌云压得低低的，几乎要把这座城市吞没，但空气却很清爽，灌木新生的绿叶在灰色的空气中愈发娇嫩，便也不让人觉得压抑。
想起幼时学前班的老师，曾带着整班的同学去学校后面的树林里摘花， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T22:31:44,vivo X100 Pro,0,0,,0,,[9b2d5b4678],2024-04-02 22:31:44
[2b4c6467aa],[fe44ea60aa],把过去的一切都忘了吧，我说真的，好好活着。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-23T18:44:48,vivo X100 Pro,0,4,"[{""id"": ""[8bc4ba3878]"", ""created_at"": ""03-24"", ""source"": ""来自浙江"", ""user"": {""id"": ""[a7711e0082]"", ""screen_name"": ""[e94fd1af1a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8de0de1a73]"", ""created_at"": ""03-23"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@莫35110:抱歉让你不舒服了"", ""reply_id"": 5015160689263288, ""reply_text"": ""回复@评论罗伯特:怎么才能拉黑你？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3ab1f0b6b3]"", ""created_at"": ""03-23"", ""source"": ""来自浙江"", ""user"": {""id"": ""[2e8a30b1b1]"", ""screen_name"": ""[e35ccc37a8]""}, ""text"": ""回复@评论罗伯特:怎么才能拉黑你？"", ""reply_id"": 5015159741352102, ""reply_text"": ""我也希望我可以做到"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[71a576f482]"", ""created_at"": ""03-23"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我也希望我可以做到"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-23 18:44:48
[92748d813b],[e1a9de4ec8],当遇见生命之外的生命，一些自我消逝，另一些自我便隐现。当意识到世界之外的世界，一个希望坠落，另一个希望会冉起。 ,[9b2d5b4678],[2f1d88b631],[9b2d5b4678],,2024-03-16T21:07:10,vivo X100 Pro,0,3,"[{""id"": ""[cd3ba754ee]"", ""created_at"": ""03-17"", ""source"": ""来自浙江"", ""user"": {""id"": ""[2e8a30b1b1]"", ""screen_name"": ""[e35ccc37a8]""}, ""text"": ""回复@我爱吃湖南小炒肉:嘿嘿是啊 [嘻嘻]"", ""reply_id"": 5012846830682258, ""reply_text"": ""去动物园啦！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4c0f91b8bb]"", ""created_at"": ""03-17"", ""source"": ""来自山东"", ""user"": {""id"": ""[a7711e0082]"", ""screen_name"": ""[e94fd1af1a]""}, ""text"": ""去动物园啦！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8b4a100a78]"", ""created_at"": ""03-16"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""当你开始认真生活的时候 那些被遗忘的浪漫与美好就会慢慢回来"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-16 21:07:10
[74be8b8587],[16641d9c47],突然意识到，冬天都要过去了，我居然没有想要看步步惊心！！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-15T23:35:21,vivo X100 Pro,0,1,"[{""id"": ""[45820a7052]"", ""created_at"": ""03-15"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""哈哈 我也是！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-15 23:35:21
