id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5593ffb361],[94d6c76edb],"抑郁症
抑郁症住院是在精神病院吗？医生让我去精神病院住院治疗，我是发展成精神病程度了？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T00:16:18,抑郁症超话,6,9,"[{""id"": ""[af32714ae7]"", ""created_at"": ""5小时前"", ""source"": ""来自云南"", ""user"": {""id"": ""[3fae88d981]"", ""screen_name"": ""[180d874bc7]""}, ""text"": ""回复@不如伶: [允悲]"", ""reply_id"": 5041012602831399, ""reply_text"": ""精神病院哦抑郁症那房间安静的可怕有时候也会有人突然爆炸，狂躁那边一天闹几回 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9f71d786f5]"", ""created_at"": ""5小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@莉拉的蓝色仙女:应该是，有点慌。暂时不去。先打听一下"", ""reply_id"": 5041293749655167, ""reply_text"": ""精神病院是个统称吧，住院部也分不同科室的呀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7c577e72ea]"", ""created_at"": ""5小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[eb8921a46b]"", ""screen_name"": ""[fa8b06f4ae]""}, ""text"": ""精神病院是个统称吧，住院部也分不同科室的呀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b5e927d2b3]"", ""created_at"": ""9小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[7aa7b79762]"", ""screen_name"": ""[b774399d06]""}, ""text"": ""不是吧 就是哪个医院让你住院就是哪个医院"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1b316cf4ff]"", ""created_at"": ""昨天 02:55"", ""source"": ""来自广东"", ""user"": {""id"": ""[9aa377d58f]"", ""screen_name"": ""[7b9ff13e1b]""}, ""text"": ""精神病院哦抑郁症那房间安静的可怕有时候也会有人突然爆炸，狂躁那边一天闹几回 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[828596d6df]"", ""created_at"": ""昨天 01:54"", ""source"": ""来自福建"", ""user"": {""id"": ""[06c0e2d919]"", ""screen_name"": ""[db523f9432]""}, ""text"": ""精神病院是大家对精神专科医院的俗称，抑郁症不是真正意义上的精神病，它是属于精神疾病。抑郁症属于精神专科医院的诊治范围。"", ""like_counts"": 4, ""liked"": false}, {""id"": ""[0eee839de6]"", ""created_at"": ""昨天 00:59"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@乖乖嘻嘻冻:我是在大医院看的心理门诊，但是医生让我去我们这边的精神病院住院治疗。"", ""reply_id"": 5040982783427442, ""reply_text"": ""对 一般大医院都有心理疾病相关的科室的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b388c41012]"", ""created_at"": ""昨天 00:56"", ""source"": ""来自贵州"", ""user"": {""id"": ""[627175ece1]"", ""screen_name"": ""[2ccdd5f7ec]""}, ""text"": ""对 一般大医院都有心理疾病相关的科室的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6f276febc1]"", ""created_at"": ""昨天 00:47"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""啊😧多问几家医院呢 精神病院那边是不是有先天性疾病的朋友啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 00:16:18
[f409ccefce],[05a9da17e2],"抑郁症
原本六月份再不能追回来钱，就只能去嘉禾债主家跳楼了，现在法院执行那边说对方答应还钱了，并且已经到账一部分款，又能活下去了。普通群众维权太难了，总算在即将绝望的时候等来光明。@嘉禾法院 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T10:21:27,抑郁症超话,3,4,"[{""id"": ""[eb427e6fd4]"", ""created_at"": ""05-31"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""是啊，胜诉只是开始"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6cda1a3df2]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@大白只是只猫:抱抱抱"", ""reply_id"": 5040227544989706, ""reply_text"": ""回复@要长记性的木子:是的。来来回回跑了一年多，抑郁症就是这么越来越严重的。 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3f0b1ba445]"", ""created_at"": ""05-31"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@要长记性的木子:是的。来来回回跑了一年多，抑郁症就是这么越来越严重的。 [泪]"", ""reply_id"": 5040041518174509, ""reply_text"": ""普通人太难了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[031a9dbee8]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""普通人太难了"", ""like_counts"": 1, ""liked"": false}]",0,,[ea80106941],2024-05-31 10:21:27
[d1abe693a7],[580e6e40d5],"续续点灯
我在
续续点灯
连续签到100天，获得了“签程似锦”头衔。心中有光，奔赴热爱
 ",[9b2d5b4678],[8599114554],[9b2d5b4678],,2024-05-26T00:11:54,续续点灯超话,3,10,"[{""id"": ""[e108fdd18a]"", ""created_at"": ""05-28"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@醉梦卿悠:谢谢 [打call]"", ""reply_id"": 5038658770699931, ""reply_text"": ""100天快乐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d85c104585]"", ""created_at"": ""05-28"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@Xu家小阿姨: [打call]"", ""reply_id"": 5038766102938033, ""reply_text"": "" [鼓掌]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[48dfeaca60]"", ""created_at"": ""05-28"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@西西甜心CS:谢谢"", ""reply_id"": 5038258587961572, ""reply_text"": ""百天快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[47b0b252c9]"", ""created_at"": ""05-27"", ""source"": ""来自上海"", ""user"": {""id"": ""[9513f5a753]"", ""screen_name"": ""[c160f0d844]""}, ""text"": ""100天快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1757637c69]"", ""created_at"": ""05-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[358ffd5402]"", ""screen_name"": ""[c220f1c753]""}, ""text"": "" [鼓掌]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[006f3ac637]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[da7d990ba3]"", ""screen_name"": ""[cb06f777cd]""}, ""text"": ""100天快乐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dbcd248c67]"", ""created_at"": ""05-26"", ""source"": ""来自福建"", ""user"": {""id"": ""[8d04a31248]"", ""screen_name"": ""[619ee74203]""}, ""text"": ""百天快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[94db39e362]"", ""created_at"": ""05-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[a1a82e3dd0]"", ""screen_name"": ""[ef71ffd13e]""}, ""text"": ""百天快乐 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[05b90951d7]"", ""created_at"": ""05-26"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@蔚藍Muriel:谢谢！"", ""reply_id"": 5038074159956171, ""reply_text"": ""100天快乐 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b2cf6fe179]"", ""created_at"": ""05-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[80d51d047d]"", ""screen_name"": ""[637d5550b0]""}, ""text"": ""100天快乐 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-26 00:11:54
[a831790d17],[4d7a98242d],"王一博
我在
王一博
连续签到100天，获得了“签程似锦”头衔。心中有光，奔赴热爱
 ",[9b2d5b4678],[b14e8b4997],[9b2d5b4678],,2024-05-26T00:11:36,王一博超话,1,1,"[{'id': 5038072310267961, 'created_at': '05-26', 'source': '来自河北', 'user': {'id': 5809851712, 'screen_name': '一碗酥肉_85'}, 'text': ' ""[老师爱你]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-26 00:11:36
[c7b69b4c96],[997aaecc44],"#猫耳FM# cv续续点灯正在直播，小板凳已摆好，快来围观吧！ @猫耳FM 
网页链接
 ",[9b2d5b4678],[9fd8935e5b],[9b2d5b4678],,2024-05-24T22:28:40,猫耳FM客户端,1,0,,0,猫耳FM,[3024846acc],2024-05-24 22:28:40
[bb2eefacf6],[faab6e6a60],#姐姐为什么要帮弟弟买房#别说给他买房，我连命都可以换给他，只要他能活过来，我可以把自己命换给他。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T00:05:46,iQOO Z7,0,0,,0,姐姐为什么要帮弟弟买房,[9b2d5b4678],2024-05-22 00:05:46
[b195289b6c],[61fa08cffe],#湖南郴州一公园发生刑案致3死2伤#对郴州这个地方没有好感，我弟弟生前被那边的诈骗团伙房屋买卖合同诈骗了65万，一次次来回奔走，我个孤身弱女子对抗一整个犯罪团伙，一年多了，弟弟去世了，钱要不回来，弟弟房子被法院查封，我被起诉，有冤无处申。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T13:45:39,iQOO Z7,0,0,,0,湖南郴州一公园发生刑案致3死2伤,[9b2d5b4678],2024-05-21 13:45:39
[ac53639b68],[e9dc7e6bdb],不想给任何人添麻烦，不想为难别人，但是这个世界总在为难我！人都去世一年多了信用卡还被能盗刷5000多。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T16:15:14,抑郁症超话,0,3,"[{""id"": ""[48371b8a4c]"", ""created_at"": ""05-21"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@大白只是只猫:嗯嗯呢 [抱抱]"", ""reply_id"": 5036419008168196, ""reply_text"": ""回复@要长记性的木子:不用吧，给银行提供死亡证明，说明情况，毕竟我不知道我弟弟银行卡密码，他人也去世一年多了，银行非要让我还就得证明是我刷的，他们也证明不了。我又何必去花那个时间哥律师费，诉讼费去打官司呢。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[79e3408d4c]"", ""created_at"": ""05-21"", ""source"": ""来自湖南"", ""user"": {""id"": ""[7c52c7a89a]"", ""screen_name"": ""[14a63b8fe2]""}, ""text"": ""回复@要长记性的木子:不用吧，给银行提供死亡证明，说明情况，毕竟我不知道我弟弟银行卡密码，他人也去世一年多了，银行非要让我还就得证明是我刷的，他们也证明不了。我又何必去花那个时间哥律师费，诉讼费去打官司呢。"", ""reply_id"": 5036163331524451, ""reply_text"": ""起诉银行"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1823c264a2]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""起诉银行"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 16:15:14
[29ecca945a],[cc1bf50300],"续续点灯
我的宝来空降啦，发出爱的表白~520，快乐呀！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T16:10:31,续续点灯超话,1,0,,0,,[9b2d5b4678],2024-05-20 16:10:31
[d97fd17b7e],[8d06078687],"抑郁症
这失眠迟早是要猝死的！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T05:00:54,抑郁症超话,1,2,"[{""id"": ""[22573cb8a5]"", ""created_at"": ""05-20"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[52955ae46a]"", ""created_at"": ""05-20"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-20 05:00:54
