id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[cae005d8bf],[9dd6bcc308],"抑郁症
广州已经下了两个月的雨了，人都快发霉了。最近晚上睡不着，白天睡不醒。出去玩儿会儿，腿疼的不行，头也疼。晚上药吃的多，布洛芬也吃。有些事情改变不了，我就是这样的人。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T23:34:23,抑郁症超话,1,1,"[{'id': 5040625890625180, 'created_at': '06-02', 'source': '来自广东', 'user': {'id': 7771533324, 'screen_name': '那就豆腐吧'}, 'text': '讨厌下雨天都下了一个多月了 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-01 23:34:23
[9d8df49653],[9125346c84],"抑郁症
感觉自己只适合一个人生活，不适合群居生活。我真的情商低，脑子笨。话说出去了总后悔，真的不能说话。不会表达，一个好想法说成一个坏想法。好烦，好烦。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T00:32:35,抑郁症超话,3,5,"[{""id"": ""[84f2cb3766]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""回复@烟雨离殇77653:我恐惧和别人打交道 可是又觉得很孤独希望有个人陪着我 [失望]"", ""reply_id"": 5039896542578481, ""reply_text"": ""回复@行了我闭嘴:我感觉自己真的情商低。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[28a3c4ac93]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""回复@烟雨离殇77653:在现实生活中都不敢跟别人开口交流"", ""reply_id"": 5039896542578481, ""reply_text"": ""回复@行了我闭嘴:我感觉自己真的情商低。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6ef6cfd473]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""回复@烟雨离殇77653:我觉得自己特别不会跟人打交道 会担心自己说的那些话是不是让别人烦了"", ""reply_id"": 5039896542578481, ""reply_text"": ""回复@行了我闭嘴:我感觉自己真的情商低。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[560da43713]"", ""created_at"": ""05-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[95e4d86afb]"", ""screen_name"": ""[152a8339ea]""}, ""text"": ""回复@行了我闭嘴:我感觉自己真的情商低。"", ""reply_id"": 5039895012443395, ""reply_text"": ""我也是 我会因为昨天上午说的那些话焦虑到现在唉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[27aa0d87f4]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[76aeb277cf]"", ""screen_name"": ""[287a66a6b3]""}, ""text"": ""我也是 我会因为昨天上午说的那些话焦虑到现在唉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 00:32:35
[973d2ea542],[1dfa8a5830],"抑郁症
很难过，早就定好的计划被学校突然的考试打乱了。退了票，扣了60多块，心疼死了。生日怎么过也不知道。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T01:11:01,抑郁症超话,0,2,"[{""id"": ""[e291c12498]"", ""created_at"": ""05-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bafb2837ef]"", ""created_at"": ""05-30"", ""source"": ""来自广东"", ""user"": {""id"": ""[e51128442e]"", ""screen_name"": ""[3ae4df6d8f]""}, ""text"": ""学校坏坏 生日要到了吗 提前祝生日快乐啦 [馋嘴]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 01:11:01
[8c71704a91],[917d15e529],"抑郁症
跟室友聊天想起来去年考研的时候宿舍就我俩人的时候。那个时候真的又疯又可怜。我跟她讲我在网上看说有的人晚上吃褪黑素白天喝咖啡给自己整精神病整抑郁了。我笑着说我也这样的，但是我不怕，因为我本来就是个精神病。然后自己在那里哈哈大笑。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T02:06:05,抑郁症超话,1,2,"[{""id"": ""[76db0465a0]"", ""created_at"": ""05-27"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[99a2e774ce]"", ""screen_name"": ""[f98bc8ac8e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[852a2fb550]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[0cab627b39]"", ""screen_name"": ""[5339578d80]""}, ""text"": ""用大笑掩饰悲伤 我也总这样 辛苦了 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 02:06:05
[4332a70a7a],[eee8400f44],"我在参与#歌手2024袭榜赛#限时投票，我想看@那英 和亚当·兰伯特@Adam_Lambert_CN 对决，你呢？ ~ 
《歌手2024》限时投票
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T20:22:23,Xiaomi Civi 4 Pro,0,0,,0,歌手2024袭榜赛,[5a0ffd5c78],2024-05-24 20:22:23
[4e4fd22b91],[3c8e45e586],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T01:11:40,生日动态,0,0,,0,,[9b2d5b4678],2024-05-17 01:11:40
[e607d0ef15],[b75f5db589],"抑郁症
伤害已经过去了，伤害还在持续
尽管我已经远离了伤害我的人，但是我真的害怕别人会再伤害到我。我什么都不敢，什么都害怕。我分零食买奶茶发红包，我讨好别人，我害怕别人在背地里说我坏话。我害怕别人骂我妈宝，害怕别人骂我事儿多。那些话我以为我都忘记了，原来我还这么清楚的记得。 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T00:15:26,抑郁症超话,1,1,"[{""id"": ""[ca964be99f]"", ""created_at"": ""05-09"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 00:15:26
[48278d932e],[3f480a8442],山高鹭沅#恭喜山高鹭沅超话粉丝破8万# ,[9b2d5b4678],[6db4b887a5],[9b2d5b4678],,2024-05-04T14:18:41,山高鹭沅超话,0,0,,0,恭喜山高鹭沅超话粉丝破8万,[9b2d5b4678],2024-05-04 14:18:41
[7dcfec43ef],[ab5fd934fb],"山高鹭沅
今天的雨跟26大棚吵架那天一样大 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T15:33:01,山高鹭沅超话,15,1,"[{""id"": ""[252c2a0fff]"", ""created_at"": ""04-20"", ""source"": ""来自湖北"", ""user"": {""id"": ""[da02ac1f92]"", ""screen_name"": ""[51ed2abdce]""}, ""text"": ""吵一次架要记一辈子，因为2266在对方心里很重要的位置，所以得刻在心里，提醒自己以后再也不要发生了"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 15:33:01
[6e7e234dd5],[6941772794],"抑郁症
生病休息没有事情做，看手机无聊的很。想吃药去梦里见些有意思的事儿。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T23:10:03,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-11 23:10:03
[2740a0c8a5],[66d337a6d2],"山高鹭沅
看了个很虐的文，有看到22和66的微博，好恍惚呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T22:51:15,山高鹭沅超话,0,4,"[{'id': 5022110789145515, 'created_at': '04-11', 'source': '来自广东', 'user': {'id': 5637338606, 'screen_name': '烟雨离殇77653'}, 'text': '回复@山高66圆:Lofter 作者：我叫苦瓜', 'reply_id': 5022110259090720, 'reply_text': '回复@烟雨离殇77653:请问怎么搜这篇看呀', 'like_counts': 0, 'liked': False}, {'id': 5022110259090720, 'created_at': '04-11', 'source': '来自广东', 'user': {'id': 2793445755, 'screen_name': '山高66圆'}, 'text': '回复@烟雨离殇77653:请问怎么搜这篇看呀', 'reply_id': 5022109319304057, 'reply_text': '回复@说晚安了吧-:11', 'like_counts': 0, 'liked': False}, {'id': 5022109319304057, 'created_at': '04-11', 'source': '来自广东', 'user': {'id': 5637338606, 'screen_name': '烟雨离殇77653'}, 'text': '回复@说晚安了吧-:11', 'reply_id': 5022107542752590, 'reply_text': '哪篇 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5022107542752590, 'created_at': '04-11', 'source': '来自甘肃', 'user': {'id': 6004076716, 'screen_name': '说晚安了吧-'}, 'text': '哪篇 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-11 22:51:15
[8acf60b157],[f8d14279e3],"#抑郁症[超话]#考研的事情都忙完了。复试之后回到学校我就生病了，一开始嗓子痛我也没管，还以为上火了。后来疼痛加剧我就喝了感冒灵。喝了三天的感冒灵不见好转，开始痰多咳嗽。感觉不太对在网上买了药自己吃。一直不发热，就咳嗽越来越重。一直自己买药吃，也不缓解。我不想请假，因为不想找导员请 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T19:59:40,抑郁症超话,0,1,"[{""id"": ""[046b03e659]"", ""created_at"": ""04-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 19:59:40
[bed55999bf],[20bac6b39c],"山高鹭沅
求26虐文推荐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T19:39:20,山高鹭沅超话,2,4,"[{""id"": ""[2e551f0d6b]"", ""created_at"": ""04-10"", ""source"": ""来自广东"", ""user"": {""id"": ""[95e4d86afb]"", ""screen_name"": ""[152a8339ea]""}, ""text"": ""这三个我都看过了，比较出名的我都看过"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e3aa1984ec]"", ""created_at"": ""04-10"", ""source"": ""来自广东"", ""user"": {""id"": ""[cda0c2e60f]"", ""screen_name"": ""[15b1c9dfb8]""}, ""text"": ""少年爱人，是he但是过程虐虐的，好看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[39e46ff7c1]"", ""created_at"": ""04-10"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[42380d3bed]"", ""screen_name"": ""[c2115510e1]""}, ""text"": ""还有《暖秋》"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[efc66d22a4]"", ""created_at"": ""04-10"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[42380d3bed]"", ""screen_name"": ""[c2115510e1]""}, ""text"": ""《一万座林倾覆》我哭得快撅过去了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 19:39:20
