id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[b0e7a20898],[598920ef96],"抑郁症
喝了点酒，想找个人聊聊天。打了三个电话，没一个能陪我的，可笑可笑，吃药，睡觉
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T21:39:57,抑郁症超话,0,3,"[{""id"": ""[2157d02359]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@柳卿卿卿卿:我在"", ""reply_id"": 5040191498358671, ""reply_text"": ""回复@要长记性的木子:木子， [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5ceaf5cb2f]"", ""created_at"": ""05-31"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@要长记性的木子:木子， [抱抱]"", ""reply_id"": 5039847846445357, ""reply_text"": ""抱住不要喝酒"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[821117ba2f]"", ""created_at"": ""05-30"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住不要喝酒"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 21:39:57
[1f9a506ba1],[9a2931603e],"抑郁症
 该如何是好 ",[9b2d5b4678],[bbdfbebb67],[9b2d5b4678],,2024-05-28T17:55:02,抑郁症超话,15,8,"[{""id"": ""[0aef291e42]"", ""created_at"": ""05-30"", ""source"": ""来自北京"", ""user"": {""id"": ""[0133dfdda2]"", ""screen_name"": ""[f48518b32a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc388c1bd7]"", ""created_at"": ""05-30"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""回复@柳卿卿卿卿:抱抱 [抱一抱]"", ""reply_id"": 5039749565517136, ""reply_text"": ""煎熬 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[937b80916d]"", ""created_at"": ""05-30"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""煎熬 [悲伤]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[0662e1af75]"", ""created_at"": ""05-29"", ""source"": ""来自浙江"", ""user"": {""id"": ""[b259d642a8]"", ""screen_name"": ""[7a19db2522]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1eccc96f46]"", ""created_at"": ""05-29"", ""source"": ""来自山西"", ""user"": {""id"": ""[728ab50673]"", ""screen_name"": ""[a804313d5d]""}, ""text"": ""可以念念地藏经净化一下磁场"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9d07828bf2]"", ""created_at"": ""05-29"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[1e67e45dda]"", ""screen_name"": ""[be1f7d2c4a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[709cdf5afc]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""坚持"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[068ba10fb0]"", ""created_at"": ""05-28"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 17:55:02
[80cdbaf12f],[2f52e1edd5],"抑郁症
总是以真诚的心待人待事， 可是他们都把我的心扔掉，还要踩上两脚
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T03:06:26,抑郁症超话,1,1,"[{""id"": ""[34956bbdab]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱宝贝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 03:06:26
[41a235058a],[f0990af330],"抑郁症
一个人，不能永远在心中养着一条毒蛇，不能夜夜起身，在灵魂的园子里栽种荆棘。
有那么一刻，我的心告诉我它不想跳了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T19:18:06,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-13 19:18:06
[d65b01cad8],[fd27aedf5d],"抑郁症
看到胖猫的事情，好难过
 好人为什么没好报呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T03:29:46,抑郁症超话,0,1,"[{""id"": ""[7626757e40]"", ""created_at"": ""05-04"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是呀 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 03:29:46
[b0a6e32769],[41d8dd95fe],"抑郁症
“生日”快不快乐已经不重要了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T02:12:49,抑郁症超话,1,3,"[{""id"": ""[e9ad9ac9b1]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@柳卿卿卿卿: [心]"", ""reply_id"": 5026605964199888, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f744565cd8]"", ""created_at"": ""04-24"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5026598044043767, ""reply_text"": ""重要 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[051db2f7a9]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""重要 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 02:12:49
[d0f5bbcebf],[ef82ddaba5],"抑郁症
我表哥因为上学原因抑郁症，那时候我也小，非常不理解，小时候放假就在一起玩，好好的怎么就抑郁症了呢？
谁人都说我性格好，开朗，外人的眼里我很好，很好…可是…
当我确诊抑郁症的时候，我也很迷茫，怎么就这样了呢
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T19:44:03,抑郁症超话,7,2,,1,,[9b2d5b4678],2024-04-18 19:44:03
[8ab117c54f],[377b808544],"抑郁症
为什么我过着一种 一细想 就会哭出声的日子 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T20:26:48,抑郁症超话,1,9,"[{""id"": ""[586b027cdf]"", ""created_at"": ""04-16"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f7ddb693e1]"", ""created_at"": ""04-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@柳卿卿卿卿:不是你的错 [抱抱]"", ""reply_id"": 5023901333591084, ""reply_text"": ""回复@要长记性的木子:木木，心态好差啊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a5bd88b330]"", ""created_at"": ""04-16"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@下雪时相爱: [抱抱]"", ""reply_id"": 5023889195008345, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[98f5c29c82]"", ""created_at"": ""04-16"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@要长记性的木子:木木，心态好差啊"", ""reply_id"": 5023887320419653, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[925fb3f22e]"", ""created_at"": ""04-16"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@思行ST: [泪]"", ""reply_id"": 5023892823608678, ""reply_text"": ""揉揉没事的，想哭就哭哦 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[71d00dc588]"", ""created_at"": ""04-16"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""为自己可怜"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[df8481ed28]"", ""created_at"": ""04-16"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[eea5144c8f]"", ""screen_name"": ""[b2eef95f98]""}, ""text"": ""揉揉没事的，想哭就哭哦 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[916b79ef16]"", ""created_at"": ""04-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 20:26:48
[01018f1c70],[ec1da59b54],"抑郁症
有时候发现不是别人狠心，是自己的问题。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T13:05:41,抑郁症超话,0,1,"[{""id"": ""[8bd0bdcfcd]"", ""created_at"": ""04-15"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 13:05:41
[422ddbf9b0],[9f722af7af],"抑郁症
折磨自己才是最好的发泄吧，还是没忍住对自己……哭了一晚上，眼睛，脸肿了两天 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T14:27:36,抑郁症超话,0,4,"[{""id"": ""[56f723a7c3]"", ""created_at"": ""04-12"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@葙笙:都会好起来的吧 [抱抱]"", ""reply_id"": 5022071866003537, ""reply_text"": ""回复@葙笙:是这样的，根本控制不住 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[388bc546d3]"", ""created_at"": ""04-11"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": ""回复@葙笙:是这样的，根本控制不住 [泪]"", ""reply_id"": 5021998906084587, ""reply_text"": ""真的，有时候我感觉挺对不起自己的，所以我们都要爱自己多一点 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fdd8d7aacf]"", ""created_at"": ""04-11"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0bbc7a037]"", ""screen_name"": ""[159baa13da]""}, ""text"": ""回复@葙笙:什么都明白，情绪来的时候根本控制不住自己"", ""reply_id"": 5021998906084587, ""reply_text"": ""真的，有时候我感觉挺对不起自己的，所以我们都要爱自己多一点 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[30d9e6b8bb]"", ""created_at"": ""04-11"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": ""真的，有时候我感觉挺对不起自己的，所以我们都要爱自己多一点 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 14:27:36
