id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8200a97c86],[91014bc727],"抑郁症
工作上这些破事让我每天又焦虑又暴躁，好想摆脱这个该死的岗位和这些烂事，但是又不知道能去哪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:07:26,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 22:07:26
[6341775c2e],[f577e001f6],"抑郁症
每天都好累
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T07:11:02,抑郁症超话,2,6,"[{""id"": ""[05951019c3]"", ""created_at"": ""6小时前"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[67adcb51bc]"", ""screen_name"": ""[16b7c9b74f]""}, ""text"": ""回复@刚刚只是路过:辞不起"", ""reply_id"": 5040714761111389, ""reply_text"": ""回复@刚刚只是路过:辞，换工作"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a694c3195f]"", ""created_at"": ""9小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[8a5cc146b4]"", ""screen_name"": ""[d1f0cf655e]""}, ""text"": ""回复@刚刚只是路过:辞，换工作"", ""reply_id"": 5040025291719016, ""reply_text"": ""抱抱宝子，积极治疗，会好的，好了以后生活就轻松了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a984a70037]"", ""created_at"": ""19小时前"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[67adcb51bc]"", ""screen_name"": ""[16b7c9b74f]""}, ""text"": ""回复@刚刚只是路过:我已经治疗过了，病不是生活不轻松的根源 [委屈]"", ""reply_id"": 5040025291719016, ""reply_text"": ""抱抱宝子，积极治疗，会好的，好了以后生活就轻松了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9474a530f1]"", ""created_at"": ""19小时前"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[67adcb51bc]"", ""screen_name"": ""[16b7c9b74f]""}, ""text"": ""回复@穿林打叶声烟雨任平生:我也不知道我的病到底好了没 [摊手]"", ""reply_id"": 5040001673332497, ""reply_text"": ""你的病好些了吗？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7ce5b74ae2]"", ""created_at"": ""05-31"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[8a5cc146b4]"", ""screen_name"": ""[d1f0cf655e]""}, ""text"": ""抱抱宝子，积极治疗，会好的，好了以后生活就轻松了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[287fb253a8]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[b0fed104de]"", ""screen_name"": ""[f3158c29c7]""}, ""text"": ""你的病好些了吗？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 07:11:02
[5d2b579e59],[6203ab23fb],"抑郁症
敢问路在何方 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T17:09:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-27 17:09:15
[a7d98191f8],[179e85093a],"抑郁症
这些货真他妈的烦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T13:56:33,抑郁症超话,0,1,"[{""id"": ""[89fcbf3f81]"", ""created_at"": ""05-27"", ""source"": ""来自浙江"", ""user"": {""id"": ""[2d88c06579]"", ""screen_name"": ""[ae1e1ca4b7]""}, ""text"": ""这些文件对应也真他妈的烦"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 13:56:33
[028448722c],[df33f2448c],"抑郁症
去他妈的，不要他妈的啥破事都找我，老子又没闲着 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T13:24:08,抑郁症超话,0,1,"[{""id"": ""[fed30b3e51]"", ""created_at"": ""05-27"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 13:24:08
[877ef490d6],[414099e7c5],"抑郁症
成年人好难
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T08:09:55,抑郁症超话,3,0,,0,,[9b2d5b4678],2024-05-13 08:09:55
[19bbae9f43],[ac14a94c28],"抑郁症
真他妈的烦，一天天净是这些乱七八糟的烂事 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T23:43:53,抑郁症超话,2,2,"[{""id"": ""[f24b688e04]"", ""created_at"": ""05-10"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[810b40fb54]"", ""created_at"": ""05-10"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [怒]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 23:43:53
[de62182f6a],[c8755eb938],"抑郁症
工作一塌糊涂，生活一地鸡毛 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T11:34:00,Hi nova 9 SE,0,0,,0,,[9b2d5b4678],2024-05-05 11:34:00
[ae2057918c],[47a2ae39ad],"抑郁症
我能怎么办
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T07:04:52,Hi nova 9 SE,1,0,,0,,[9b2d5b4678],2024-05-05 07:04:52
[3eca419f91],[bc1d95eada],"抑郁症
感觉自己好悲哀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T06:42:38,Hi nova 9 SE,0,1,"[{""id"": ""[f13a3bad24]"", ""created_at"": ""05-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[f8484f65b7]"", ""screen_name"": ""[ffc4a59ca7]""}, ""text"": ""摸摸( ´･･)ﾉ(._.`)"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 06:42:38
