id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1df4ae604a],[be974b8ad0],"AG超玩会
心怀荣耀，勇往直前！！！！！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T22:06:15,AG超玩会超话,2,1,"[{'id': 5035575914529713, 'created_at': '05-19', 'source': '来自四川', 'user': {'id': 6222997176, 'screen_name': '云星蝶i'}, 'text': '直前个头 ""[苦涩]""', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-18 22:06:15
[b04570241e],[b32ee2cbe2],"抑郁症
看到这种话真的火大，真的很想喷她。但感觉像她这样固执的中年人老年人不管跟她说什么都不管用，当然，这个所谓的“固执”的印象也只是我从她对我的回复中得到的，比较片面。
她说的那句话与图二中的最后一句不谋而合，图二是我自己写的一篇抑郁症科普稿的一部分，总共得有八千字左右 ...
全文",[9b2d5b4678],[7f68a474d0],[9b2d5b4678],,2024-05-09T02:42:36,抑郁症超话,32,20,"[{""id"": ""[643a0616cf]"", ""created_at"": ""05-12"", ""source"": ""来自广西"", ""user"": {""id"": ""[c41c725ecb]"", ""screen_name"": ""[0d9b48b18f]""}, ""text"": ""回复@陈嘉宴xy:我也是  抱抱你 [泪]"", ""reply_id"": 5032064530778747, ""reply_text"": ""我身边的人就占了三条 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f5de959a54]"", ""created_at"": ""05-10"", ""source"": ""来自广东"", ""user"": {""id"": ""[5f5cf7725b]"", ""screen_name"": ""[f9cf43bb5a]""}, ""text"": ""之前在厕里看到好多人对精神病的误解和偏见真的很无助，很想说点什么又说不出，说两句又可能被嘲 [单身狗]"", ""like_counts"": 8, ""liked"": false}, {""id"": ""[411f536210]"", ""created_at"": ""05-10"", ""source"": ""来自山东"", ""user"": {""id"": ""[ce05672617]"", ""screen_name"": ""[2e9585267e]""}, ""text"": ""那她一定没有抑郁过，没片叶子都不一样，为什么总有人信誓旦旦的代表了一类人，真是神金的言论"", ""like_counts"": 3, ""liked"": false}, {""id"": ""[f5e55ed96d]"", ""created_at"": ""05-09"", ""source"": ""来自河北"", ""user"": {""id"": ""[d5827decaa]"", ""screen_name"": ""[0e19467de4]""}, ""text"": ""抑郁要真是那么容易好就不会叫抑郁了，不要管那种亖老毕灯 [抱抱]"", ""like_counts"": 3, ""liked"": false}, {""id"": ""[6c1d1beb52]"", ""created_at"": ""05-09"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b61493522b]"", ""screen_name"": ""[483ca0f73e]""}, ""text"": ""回复@三三竹子:网上好多类似这种段子，不知道的都以为这是事实。"", ""reply_id"": 5032203354113986, ""reply_text"": ""图片评论 网页链接"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72fe33913e]"", ""created_at"": ""05-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[1d36e5c805]"", ""screen_name"": ""[0e193d9cfb]""}, ""text"": ""神金，别管她"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[ba0a9e12c2]"", ""created_at"": ""05-09"", ""source"": ""来自四川"", ""user"": {""id"": ""[1ffd292bd1]"", ""screen_name"": ""[18f7e293e1]""}, ""text"": ""回复@陈嘉宴xy: [抱抱]"", ""reply_id"": 5032064530778747, ""reply_text"": ""我身边的人就占了三条 [跪了]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[986544a712]"", ""created_at"": ""05-09"", ""source"": ""来自四川"", ""user"": {""id"": ""[1ffd292bd1]"", ""screen_name"": ""[18f7e293e1]""}, ""pic"": {""pid"": ""006N93Qcly1hpj2ski58vj31402gwtrt"", ""url"": ""https://wx3.sinaimg.cn/orj360/006N93Qcly1hpj2ski58vj31402gwtrt.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 800, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx3.sinaimg.cn/large/006N93Qcly1hpj2ski58vj31402gwtrt.jpg"", ""geo"": {""width"": ""1440"", ""height"": ""3200"", ""croped"": false}}}, ""text"": ""后续"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b5209885d8]"", ""created_at"": ""05-09"", ""source"": ""来自广西"", ""user"": {""id"": ""[0794634e4a]"", ""screen_name"": ""[c6cbdbed48]""}, ""text"": ""我身边的人就占了三条 [跪了]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[d0c3ffd404]"", ""created_at"": ""05-09"", ""source"": ""来自山东"", ""user"": {""id"": ""[fc56e38251]"", ""screen_name"": ""[b33148db5b]""}, ""text"": "" [抱抱]"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 02:42:36
[9e8288d7c4],[960ea53ff8],"抑郁症
想问大家个问题
你们会不会推荐一个患有抑郁症的学生向学校的心理老师或者心理工作室求助呢？
或者如果一个学生患有抑郁症，那大家会不会推荐他告诉班主任和学校或是向学校方求助呢？
我个人是比较反对这些行为的，因为真的因为相信学校和老师吃了很多亏，但是前两天又听到一个说法， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T20:31:55,抑郁症超话,52,48,,0,,[9b2d5b4678],2024-05-03 20:31:55
[aec269282a],[297b4cdb3d],"抑郁症
今天上台把抑郁症的科普讲完了！！！
老师规定只能讲10分钟，但是我在上面讲了快30分钟，老师和同学们都觉得我讲得很好很详细。就是后一半的PPT我都没做准备，因为光是前一半的PPT我都要讲20来分钟了，已经远超老师规定的时间，按之前的状况来看超时了应该是会被叫下去的，但是老师让我 ...
全文",[9b2d5b4678],[db3ef08a66],[9b2d5b4678],,2024-04-29T23:42:02,抑郁症超话,3,1,"[{""id"": ""[244250079c]"", ""created_at"": ""04-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[1ffd292bd1]"", ""screen_name"": ""[18f7e293e1]""}, ""text"": ""大家可以看我23年9.24的还有近期的微博，像是一个连续剧 [doge]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-29 23:42:02
[27162890f3],[da6136eb37],"AG超玩会
好神奇，每一局前期都是逆风，但是中期就是能打回来。
每一局都逆风实际上是个很致命的缺点 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T21:20:04,AG超玩会超话,2,0,,0,,[9b2d5b4678],2024-04-28 21:20:04
[cc955af661],[7ebcd9a73e],"抑郁症
大家都有听过那些对于抑郁症的误解或者是偏见呢，我想听听大家的分享，用于制作PPT和科普。
如图是我自己列举的一部分
 ",[9b2d5b4678],[c8c0f68613],[9b2d5b4678],,2024-04-26T01:57:52,抑郁症超话,19,14,"[{""id"": ""[f23cde769e]"", ""created_at"": ""04-26"", ""source"": ""来自江西"", ""user"": {""id"": ""[c71f120715]"", ""screen_name"": ""[33f79a4a30]""}, ""text"": ""“抑郁症哪会像你一样天天话那么多，你比谁都乐观” [伤心]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[4754020557]"", ""created_at"": ""04-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[1ffd292bd1]"", ""screen_name"": ""[18f7e293e1]""}, ""text"": ""回复@再喝一杯冰美式_:谢谢，这句话很有代表性 [抱抱]"", ""reply_id"": 5027241484878940, ""reply_text"": ""“抑郁症哪会像你一样整天笑嘻嘻的”"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4979bf51a6]"", ""created_at"": ""04-26"", ""source"": ""来自广东"", ""user"": {""id"": ""[a842959b44]"", ""screen_name"": ""[1a6040f256]""}, ""text"": ""回复@再喝一杯冰美式_:这个我真的……服了这句话 [裂开]"", ""reply_id"": 5027241484878940, ""reply_text"": ""“抑郁症哪会像你一样整天笑嘻嘻的”"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6d3b382ea0]"", ""created_at"": ""04-26"", ""source"": ""来自广东"", ""user"": {""id"": ""[a842959b44]"", ""screen_name"": ""[1a6040f256]""}, ""text"": ""“抑郁症哪会像你一样整天笑嘻嘻的”"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 01:57:52
[3b193915fd],[c623329198],"AG超玩会
感觉刘明有压力了呀，壶神在下面等着呢，要稳住哟
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T20:59:55,AG超玩会超话,5,1,"[{""id"": ""[990388d70d]"", ""created_at"": ""04-13"", ""source"": ""来自江苏"", ""user"": {""id"": ""[450fe72b4f]"", ""screen_name"": ""[d25f794156]""}, ""text"": ""壶神今天好像不在"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 20:59:55
[c607274c18],[4b4c2ca852],"抑郁症
我于是对“生”有了第一次思考……
不是灵光乍现的、醍醐灌顶的，是在已经记不清楚是在哪晚的辗转失眠中，迷糊地想到的。
我想着，我似乎应该有很多想要做的事情，多到足以耗尽所有我本该拥有的“生”的时间。
我想满足地窝在床上睡大觉，做数不尽的噩梦和美梦；
我想慵懒地躺在床上玩 ...
全文",[9b2d5b4678],[1530cf5140],[9b2d5b4678],,2024-04-06T12:21:38,抑郁症超话,1,2,"[{""id"": ""[4e4991f7d0]"", ""created_at"": ""04-07"", ""source"": ""来自四川"", ""user"": {""id"": ""[1ffd292bd1]"", ""screen_name"": ""[18f7e293e1]""}, ""text"": ""回复@-FuyanRan:谢谢～"", ""reply_id"": 5020183955245039, ""reply_text"": ""生日快乐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10d6e71947]"", ""created_at"": ""04-06"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": ""生日快乐"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-06 12:21:38
[32ac629c2c],[1d22eb47e5],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-06T00:55:46,生日动态,3,0,,0,,[9b2d5b4678],2024-04-06 00:55:46
[7bf07e69b6],[5c7c4fca53],"抑郁症
好久没吃药了，凌晨的时候吃了一颗舍曲林，七点多钟的时候就感觉好难受
然后八点多去上课，现在是上完刚回宿舍。
感觉很奇怪，以前吃的时候也没这么难受，而且每天都要吃四颗，现在吃一颗就受不了了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-07T10:26:49,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-03-07 10:26:49
