id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[7309f93cd5],[d138eab1ec],麦当劳的厕所信号不大好，在里面不能刷视频，而且还有点热没有空调。如果不吃饭单纯上厕所建议去肯德基。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:14:28,iPhone 15,2,3,"[{'id': 5041661457734172, 'created_at': '7小时前', 'source': '来自上海', 'user': {'id': 5616482953, 'screen_name': '仓鼠想养只喵'}, 'text': '回复@早安各位-:我也好喜欢吃 ""[开学季]""', 'reply_id': 5041659035258207, 'reply_text': '回复@仓鼠想养只喵:我每个周四还有出新品的时候都会去光顾肯德基。一个坚定的肯门信徒', 'like_counts': 0, 'liked': False}, {'id': 5041659035258207, 'created_at': '8小时前', 'source': '来自河北', 'user': {'id': 5594701371, 'screen_name': '早安各位-'}, 'text': '回复@仓鼠想养只喵:我每个周四还有出新品的时候都会去光顾肯德基。一个坚定的肯门信徒', 'reply_id': 5041658477941660, 'reply_text': '我每年都要给肯德基贡献几千块 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5041658477941660, 'created_at': '8小时前', 'source': '来自上海', 'user': {'id': 5616482953, 'screen_name': '仓鼠想养只喵'}, 'text': '我每年都要给肯德基贡献几千块 ""[开学季]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-04 21:14:28
[ce97c2e4cb],[cbebd3832b],"我真的最最最最最后再说一遍，这是我的微博，我想发什么就发什么，如果你觉得我发的不对那你拉黑我，而不是给我来一句“不要在公共场合发这些”，也不要传播我的微博最后给我说“你不发不就行了”，大妈大叔这是我的微博，你传我微博你还有理了啊？那你挺没礼貌的。关注我久的都知道因为我妈传我微博我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T17:36:56,iPhone 15,2,0,,0,,[9b2d5b4678],2024-06-04 17:36:56
[525126a0f3],[4bbf722107],#朋友圈全开的是什么样的人#只有去年自杀前全开了，想着万一会有朋友想起我可以去看看我朋友圈。后来抢救回来后我又关了… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T23:02:13,iPhone 15,0,2,"[{'id': 5041536735907137, 'created_at': '16小时前', 'source': '来自山西', 'user': {'id': 6079494058, 'screen_name': 'Becometheuniverse'}, 'text': '宝宝 [悲伤]', 'like_counts': 0, 'liked': False}, {'id': 5041462127362397, 'created_at': '21小时前', 'source': '来自河北', 'user': {'id': 5195688912, 'screen_name': '爱美海真是太好了'}, 'text': ' ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,朋友圈全开的是什么样的人,[9b2d5b4678],2024-06-03 23:02:13
[b4d86d6cef],[b72ba999fe],"没谈过，但也想发出来，毕竟是我的一年。我和我妈打电话其实是为了缓和关系，我以为我缓和关系了你就和我在一起了。结果因此我辞职了，你也告诉我你有女朋友了。没意思 
早安各位-的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[66eeef491b],,2024-06-03T22:15:48,微博视频号,2,10,"[{'id': 5041533912877160, 'created_at': '16小时前', 'source': '来自北京', 'user': {'id': 5940685617, 'screen_name': 'imubaexx_'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5041490009787022, 'created_at': '19小时前', 'source': '来自河北', 'user': {'id': 5594701371, 'screen_name': '早安各位-'}, 'text': '回复@对话以前:好 ""[苦涩]""', 'reply_id': 5041471445534067, 'reply_text': '跟我的情况有一点点相似呜呜呜慢慢让自己走出来吧 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5041471445534067, 'created_at': '20小时前', 'source': '来自浙江', 'user': {'id': 7352071426, 'screen_name': '对话以前'}, 'text': '跟我的情况有一点点相似呜呜呜慢慢让自己走出来吧 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5041332053610627, 'created_at': '昨天 00:04', 'source': '来自河北', 'user': {'id': 5594701371, 'screen_name': '早安各位-'}, 'text': '回复@小媚靓妹: [抱抱]', 'reply_id': 5041331695518427, 'reply_text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5041331695518427, 'created_at': '昨天 00:03', 'source': '来自海南', 'user': {'id': 6453075600, 'screen_name': '小媚靓妹'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5041322979231496, 'created_at': '06-03', 'source': '来自河北', 'user': {'id': 5594701371, 'screen_name': '早安各位-'}, 'text': '回复@无需立碑的韩某人:好！', 'reply_id': 5041320672889801, 'reply_text': '阴影终究是阴影，是因为前方充满光明', 'like_counts': 0, 'liked': False}, {'id': 5041320672889801, 'created_at': '06-03', 'source': '来自河北', 'user': {'id': 7294454683, 'screen_name': '无需立碑的韩某人'}, 'text': '阴影终究是阴影，是因为前方充满光明', 'like_counts': 0, 'liked': False}, {'id': 5041310757291146, 'created_at': '06-03', 'source': '来自河北', 'user': {'id': 5594701371, 'screen_name': '早安各位-'}, 'text': '回复@爱美海真是太好了:OKOK', 'reply_id': 5041306745182903, 'reply_text': '都会过去的 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5041306745182903, 'created_at': '06-03', 'source': '来自河北', 'user': {'id': 5195688912, 'screen_name': '爱美海真是太好了'}, 'text': '都会过去的 [单身狗]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-03 22:15:48
[a1606b00e5],[31195145db],我以为我屋空调是坏的，每天都热醒，床单都是湿的。直到今天尝试开了一次空调。妈的，爽了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T23:15:43,iPhone 15,5,0,,0,,[9b2d5b4678],2024-06-01 23:15:43
[13c52ad3bd],[dd8a5b928c],"其实按我高中的计划，今年我已经结完婚在备孕了才对
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T17:55:28,iPhone 15,3,7,"[{""id"": ""[9d4541f73d]"", ""created_at"": ""06-01"", ""source"": ""来自河北"", ""user"": {""id"": ""[f34bf2e75e]"", ""screen_name"": ""[1916b35e68]""}, ""text"": ""回复@纯情澈:嗯对，因为早生早恢复，哈哈哈哈哈"", ""reply_id"": 5040425364097482, ""reply_text"": ""这么早"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[782f07d60f]"", ""created_at"": ""06-01"", ""source"": ""来自河北"", ""user"": {""id"": ""[f7b1f1c45d]"", ""screen_name"": ""[4ad0ab796c]""}, ""text"": ""这么早"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ba45873a6f]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[f34bf2e75e]"", ""screen_name"": ""[1916b35e68]""}, ""text"": ""回复@小媚靓妹:一步乱步步乱"", ""reply_id"": 5040239188117047, ""reply_text"": ""哈哈哈哈哈哈哈哈哈哈没事的宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[715398bd5c]"", ""created_at"": ""05-31"", ""source"": ""来自海南"", ""user"": {""id"": ""[17a8ca2f68]"", ""screen_name"": ""[44e5a4936f]""}, ""text"": ""哈哈哈哈哈哈哈哈哈哈没事的宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9b2ac9e599]"", ""created_at"": ""05-31"", ""source"": ""来自河北"", ""user"": {""id"": ""[f34bf2e75e]"", ""screen_name"": ""[1916b35e68]""}, ""text"": ""回复@仓鼠想养只喵:没事，可能到你35就能存到了"", ""reply_id"": 5040175264828154, ""reply_text"": ""我高中计划25岁存500万，现在我26了 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5b783a9a9e]"", ""created_at"": ""05-31"", ""source"": ""来自上海"", ""user"": {""id"": ""[ccd492d072]"", ""screen_name"": ""[d2a6e14ca6]""}, ""text"": ""我高中计划25岁存500万，现在我26了 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d4ad182ecc]"", ""created_at"": ""05-31"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[32743f4df2]"", ""screen_name"": ""[2efc4584b7]""}, ""text"": ""我高中计划现在宝宝两岁哈哈哈哈哈哈哈哈哈哈 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 17:55:28
[9592542c50],[2ed6fac7b8],S6赛季是我第一个上钻石的赛季，当年16连败我还是坚持每天玩，当时因为刚玩没多久什么都不会，我当时的男朋友手把手教我怎么凑羁绊。当年没能凑出来的三星约德尔大王今天我第一把就凑出来了。原来这些都是两年前了。 ,[9b2d5b4678],[4d9fd58d0b],[9b2d5b4678],,2024-05-31T02:19:34,iPhone 15,2,0,,0,,[9b2d5b4678],2024-05-31 02:19:34
[c7b666932a],[f2ad0b1276],"上大学的时候我的择偶要求是180以上，长得中等偏上，说话温柔的
来邢台待了两年我的择偶标准变成了173以上，别太胖，别太丑，工作可以就OK了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T18:56:19,iPhone 15,4,1,"[{""id"": ""[98ada76276]"", ""created_at"": ""05-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[807fdcfc48]"", ""screen_name"": ""[f2245a13a4]""}, ""text"": ""到最后是个男的就行"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 18:56:19
[effaaba31f],[34db552533],我想我会一直孤单 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T13:34:04,iPhone 15,2,0,,0,,[9b2d5b4678],2024-05-29 13:34:04
[7f28ee380f],[32c3f75459],"一个月前特地给好朋友录的，嘿嘿一直没发出来过 
早安各位-的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[32652b6802],,2024-05-28T23:18:23,微博视频号,9,2,"[{""id"": ""[3ad0ae710a]"", ""created_at"": ""05-28"", ""source"": ""来自河北"", ""user"": {""id"": ""[f34bf2e75e]"", ""screen_name"": ""[1916b35e68]""}, ""text"": ""回复@小媚靓妹:嘿嘿，这个特效真的很可爱"", ""reply_id"": 5039146198892794, ""reply_text"": ""好可爱！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d908f01a49]"", ""created_at"": ""05-28"", ""source"": ""来自海南"", ""user"": {""id"": ""[17a8ca2f68]"", ""screen_name"": ""[44e5a4936f]""}, ""text"": ""好可爱！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 23:18:23
