id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f4a71773bc],[1279a9b10b],"抑郁症
血糖值空腹19点多，还抑郁焦虑，都劝我让我运动出去走走劝我晚上睡觉劝我少吃甜的。我现在什么药都不想吃，什么事都不想做，想tun药又怕进急诊花更多钱 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T13:01:59,抑郁症超话,0,1,"[{""id"": ""[6c57d634d8]"", ""created_at"": ""18小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-08 13:01:59
[4c55151a7b],[2ad45058bd],"抑郁症
别给我下辈子了，我这辈子都没过好 ",[9b2d5b4678],[450452abde],[9b2d5b4678],,2024-06-06T14:52:11,抑郁症超话,2,2,"[{""id"": ""[06a110d734]"", ""created_at"": ""06-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[465c640556]"", ""created_at"": ""06-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[20dbc7c4c6]"", ""screen_name"": ""[646da515b4]""}, ""text"": ""你想都别想有下辈子"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 14:52:11
[1e9b137ffc],[916b93214d],"抑郁症
看萌探ip小欢喜那一集，哭傻了，爸爸有病从来不跟我讲，虽然我以前也是硬挺不说但是后来严重了不得不说了，我就在想他是不是也很难受，是不是看我每次zs未遂也在后怕，第一次洗胃的时候他吓的酒都醒了，赶到医院看到我什么话都没说抱着我一个劲哭，嘴里念叨着“老姑娘你吓死爹了，你要真 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T05:04:15,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-03 05:04:15
[1ee32471ae],[da3d8d42cb],"抑郁症
两个月没割，对不起我只能坚持两个月😭 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T15:29:58,抑郁症超话,1,7,"[{""id"": ""[6773b00d7c]"", ""created_at"": ""06-03"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[bc81c1b470]"", ""screen_name"": ""[19f66f217f]""}, ""text"": ""回复@4440-50-260-650:好"", ""reply_id"": 5040879075855661, ""reply_text"": ""回复@隋袅磕昏了:证明你有上进心，慢慢一点一点来，可以选择先做兼职再做全职，兼职有两三四个小时的那种 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[20846a7b99]"", ""created_at"": ""06-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[93ce33ef0d]"", ""screen_name"": ""[8153661da7]""}, ""text"": ""回复@隋袅磕昏了:证明你有上进心，慢慢一点一点来，可以选择先做兼职再做全职，兼职有两三四个小时的那种 [抱抱]"", ""reply_id"": 5040871882621859, ""reply_text"": ""回复@4440-50-260-650:工作也没有学也不上了我尝试接触社会但是自己给自己的压力好崩溃 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fb995a5fb2]"", ""created_at"": ""06-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@隋袅磕昏了:不哭不哭抱抱"", ""reply_id"": 5040871917487057, ""reply_text"": ""回复@要长记性的木子:好的木子 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1e28b779ed]"", ""created_at"": ""06-02"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[bc81c1b470]"", ""screen_name"": ""[19f66f217f]""}, ""text"": ""回复@要长记性的木子:好的木子 [泪]"", ""reply_id"": 5040848851438998, ""reply_text"": ""抱抱抱你已经很棒了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[05d470562e]"", ""created_at"": ""06-02"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[bc81c1b470]"", ""screen_name"": ""[19f66f217f]""}, ""text"": ""回复@4440-50-260-650:工作也没有学也不上了我尝试接触社会但是自己给自己的压力好崩溃 [泪]"", ""reply_id"": 5040858006557400, ""reply_text"": ""你坚持了两个月已经好棒了成长的过程中出现反复的情况是很正常你很棒了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ea9880c8cf]"", ""created_at"": ""06-02"", ""source"": ""来自广东"", ""user"": {""id"": ""[93ce33ef0d]"", ""screen_name"": ""[8153661da7]""}, ""text"": ""你坚持了两个月已经好棒了成长的过程中出现反复的情况是很正常你很棒了 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[d18492aa17]"", ""created_at"": ""06-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱你已经很棒了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 15:29:58
[f51538648c],[f73b171aee],"抑郁症
我语言系统突然消失了，说不出话了？？？？？啊？？？？？谁把我嘴偷了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T05:20:10,抑郁症超话,0,2,"[{""id"": ""[5015691e0d]"", ""created_at"": ""05-27"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[bc81c1b470]"", ""screen_name"": ""[19f66f217f]""}, ""text"": ""回复@沃特武奥尔斯2022:嗯.....确实是这样已经见怪不怪了 [允悲]"", ""reply_id"": 5038560568413101, ""reply_text"": ""疾病损伤了认知功能(包括记忆力，注意力，语言…)"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8646f3f04f]"", ""created_at"": ""05-27"", ""source"": ""来自湖南"", ""user"": {""id"": ""[b6817c3717]"", ""screen_name"": ""[44eda581ca]""}, ""text"": ""疾病损伤了认知功能(包括记忆力，注意力，语言…)"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 05:20:10
[58129151dd],[b130dca89e],"抑郁症
早市好舒服！！！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T06:22:25,抑郁症超话,0,1,"[{""id"": ""[113da36006]"", ""created_at"": ""04-25"", ""source"": ""来自天津"", ""user"": {""id"": ""[1825a41f10]"", ""screen_name"": ""[3722beda4d]""}, ""text"": ""？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 06:22:25
[65707bd855],[a103b463d4],"抑郁症
那是我第一次跟我爸爸说肉麻话
 ",[9b2d5b4678],[1e44038434],[9b2d5b4678],,2024-04-25T04:52:02,抑郁症超话,2,2,"[{""id"": ""[929ba3a8de]"", ""created_at"": ""04-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d6ac3fbb6c]"", ""created_at"": ""04-25"", ""source"": ""来自印度尼西亚"", ""user"": {""id"": ""[45b855bdd4]"", ""screen_name"": ""[b8e199f734]""}, ""text"": ""家人是最好的陪伴"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 04:52:02
[9eb78ec074],[de11bad670],"抑郁症
只有爸爸是最好的
 ",[9b2d5b4678],[aeeb2bd959],[9b2d5b4678],,2024-04-25T04:50:06,抑郁症超话,1,3,"[{""id"": ""[9d7df1edf2]"", ""created_at"": ""04-26"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@隋袅磕昏了: [心]"", ""reply_id"": 5027271737607303, ""reply_text"": ""回复@要长记性的木子: [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1c4a2bb88]"", ""created_at"": ""04-26"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[bc81c1b470]"", ""screen_name"": ""[19f66f217f]""}, ""text"": ""回复@要长记性的木子: [心]"", ""reply_id"": 5026957437703460, ""reply_text"": ""是的 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7a99d8170b]"", ""created_at"": ""04-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""是的 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 04:50:06
[34e208e457],[541be37a80],"抑郁症
我的意识是不是又错乱了 ",[9b2d5b4678],[e38c04fd69],[9b2d5b4678],,2024-04-10T04:15:09,抑郁症超话,0,1,"[{""id"": ""[e9d7b150de]"", ""created_at"": ""04-10"", ""source"": ""来自广东"", ""user"": {""id"": ""[84a9e32e6c]"", ""screen_name"": ""[d63733875c]""}, ""text"": ""随缘心理开导，执证上岗，希望可以和你结缘。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 04:15:09
[3f28f93dbe],[1d1601f4ac],"抑郁症
 ",[9b2d5b4678],[54193a1f24],[9b2d5b4678],,2024-04-10T04:14:35,抑郁症超话,0,1,"[{""id"": ""[879b8b8c27]"", ""created_at"": ""04-10"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 04:14:35
