id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[0d0c8ce544],[32b3350d26],"抑郁症
我能不能立刻狗带 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T00:59:45,抑郁症超话,2,1,"[{""id"": ""[8ddce2f7dc]"", ""created_at"": ""05-22"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""烦，挣扎都是烦事情"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 00:59:45
[243e543a3a],[0a662fd377],"抑郁症
以为变了结果还是讨好型人格哈哈哈哈。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T09:18:26,抑郁症超话,0,2,"[{""id"": ""[c1676e39a7]"", ""created_at"": ""05-10"", ""source"": ""来自陕西"", ""user"": {""id"": ""[2daf929112]"", ""screen_name"": ""[ddb180bb44]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[64907d0fce]"", ""created_at"": ""05-10"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 09:18:26
[34324a1f52],[f11b98db8c],"抑郁症
你又没受过什么创伤你怎会出问题，精神虐待不算吗亲 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T08:06:51,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-09 08:06:51
[e1918a8c5f],[1ffdbd837b],"抑郁症
我就说我最低要求是活着 你就破防了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T08:02:53,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-09 08:02:53
[dbd6835088],[923782282f],"抑郁症
老天如果你真的爱我的话就让我病好然后有能力远离这个鬼地方，不然你还是把我的命拿去吧，我不惜命的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T22:09:47,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-02 22:09:47
[b91f89115c],[bb20152665],"抑郁症
每次小解不冲是有什么大病吗
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T22:07:14,抑郁症超话,0,1,"[{""id"": ""[bac56590cb]"", ""created_at"": ""05-02"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""还是要留着自个儿喝？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 22:07:14
[10bc624c23],[22da9e3bd0],"抑郁症
没人希望我变好，呵。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T09:33:15,抑郁症超话,0,3,"[{'id': 5029706158835982, 'created_at': '05-02', 'source': '来自四川', 'user': {'id': 7398686523, 'screen_name': '关闭太阳Joyce'}, 'text': '回复@Blue_繁星满天:谢谢 [心]', 'reply_id': 5029528676602026, 'reply_text': '我希望 ""[全力以赴]""', 'like_counts': 0, 'liked': False}, {'id': 5029528676602026, 'created_at': '05-02', 'source': '来自江苏', 'user': {'id': 6485938013, 'screen_name': 'Blue_繁星满天'}, 'text': '我希望 ""[全力以赴]""', 'like_counts': 0, 'liked': False}, {'id': 5029516491096723, 'created_at': '05-02', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-02 09:33:15
[e2dae2ef84],[4852653c27],"抑郁症
我只是选择忽视亲朋好友的看轻，我应当正视对吧，每天乐呵呵都不知道哪个自己是真的，是躺在床上就开始麻木的我？还是在外面看上去很快乐的我？那我怎么办，欻起个脸不是更惹人厌恶吗。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T22:06:51,抑郁症超话,0,3,"[{""id"": ""[30b28ed32a]"", ""created_at"": ""昨天 00:01"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3b514d668f]"", ""created_at"": ""04-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""真他妈搞笑。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7b81d6f072]"", ""created_at"": ""04-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""我实际痛苦的要死，逼着自己麻木，逼着自己怨恨一切，感觉只有那样才不至于被情绪绞死"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 22:06:51
[4cd071e3b3],[e201787c0f],"抑郁症
你想要我一个有毛病的在酒桌吃得开，天啊我能去应酬就算好的了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T22:03:28,抑郁症超话,1,2,"[{""id"": ""[b0ae6c0a2e]"", ""created_at"": ""04-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""呕吐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[433f8afd70]"", ""created_at"": ""04-27"", ""source"": ""来自四川"", ""user"": {""id"": ""[e1e93cea44]"", ""screen_name"": ""[1b367bc3d0]""}, ""text"": ""导致我直接爆炸"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 22:03:28
[17b126c4cb],[fb36fba4ea],"抑郁症
我咋还没猝死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T21:31:09,抑郁症超话,1,3,"[{""id"": ""[d1e2baf771]"", ""created_at"": ""04-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[d0f90c4dbe]"", ""screen_name"": ""[a3e9463f8e]""}, ""text"": ""加一 今天开始不睡觉"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f7a1f5f445]"", ""created_at"": ""04-27"", ""source"": ""来自山东"", ""user"": {""id"": ""[7217451c37]"", ""screen_name"": ""[24006f6f29]""}, ""text"": ""加一"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[37f9da6b33]"", ""created_at"": ""04-27"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[ffe3c57e34]"", ""screen_name"": ""[a5f42c5afa]""}, ""text"": ""每天都在问自己 [跪了]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 21:31:09
