id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[a0ce6515e3],[0db3261865],哦莫，我真是完完全全的中国胃，八喜比澳洲那些牌子的冰淇淋更合我的口味QAQ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T08:04:31,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-06-08 08:04:31
[91da21d4e1],[67098e4b8a],"抑郁症
人生就是一场醒不过来的噩梦。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T01:39:36,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-07 01:39:36
[b1f63989c1],[843ebf3541],好想死掉好想死掉好想死掉啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T01:24:38,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-06-07 01:24:38
[1a16cbab85],[c68a7883ed],"活着真难啊，好烦啊。
到底怎样才能让他们满意呢？
我可能一直就是这个鬼样子了。
好累好累好累，好想死掉，好想离开。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T01:21:38,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-06-07 01:21:38
[cc3abd1572],[e50cecbb8b],"我对自己的不满，我自己承受。
他们对我的不满，我也自己承受。
别人对他们的不满，也由我来承受。
累了真的。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T21:13:09,OPPO Reno8 Pro 5G,0,1,"[{""id"": ""[052d16120f]"", ""created_at"": ""06-06"", ""source"": ""来自江苏"", ""user"": {""id"": ""[0e06dab749]"", ""screen_name"": ""[1b455943c4]""}, ""text"": ""连发牢骚都只敢在没人知道的地方。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 21:13:09
[8b33b6a098],[3de481dd64],"抑郁症
真差劲啊，活了二十几年，越活越差劲了 ",[9b2d5b4678],[2235ca1dfb],[9b2d5b4678],,2024-06-05T22:35:00,抑郁症超话,1,3,"[{""id"": ""[24aa3863da]"", ""created_at"": ""06-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[37e5c4d347]"", ""screen_name"": ""[5ae99abf2d]""}, ""text"": ""你活了二十几年难道不是一件很棒的事吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec3102f179]"", ""created_at"": ""06-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[406fe95f64]"", ""screen_name"": ""[92d814d1c2]""}, ""text"": ""人到低谷必会反弹，别急。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[20e3c99a30]"", ""created_at"": ""06-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 22:35:00
[7244045a07],[ee7c42e0b2],"抑郁症
时隔几个月终于有意志力控制自己吃安眠药来入睡，而不是精疲力尽之后再说。
不知道为什么总是拒绝睡眠。
人生真难熬呀。 ",[9b2d5b4678],[e188fc6912],[9b2d5b4678],,2024-06-02T02:37:55,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-02 02:37:55
[670ae4714e],[282a9c8d5e],一想到还有滚回悉尼读一年半研究生就很想死 ,[9b2d5b4678],[af418782db],[9b2d5b4678],,2024-06-01T02:12:39,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-06-01 02:12:39
[deeda19cad],[762071c9d0],"建议每一个想自残的宝试试口腔溃疡贴维c片
超酸爽的体验感
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T19:16:57,OPPO Reno8 Pro 5G,0,2,"[{""id"": ""[48fcbc48fd]"", ""created_at"": ""05-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[0e06dab749]"", ""screen_name"": ""[1b455943c4]""}, ""text"": ""回复@纯黑的虎牙崽:！收到安利 [抱一抱]"", ""reply_id"": 5038724769385255, ""reply_text"": ""口腔溃疡？了解一下碘甘油，好的特别快"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a6f3cd831d]"", ""created_at"": ""05-27"", ""source"": ""来自湖北"", ""user"": {""id"": ""[34dbe9b2c3]"", ""screen_name"": ""[2e35544c2f]""}, ""text"": ""口腔溃疡？了解一下碘甘油，好的特别快"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 19:16:57
[289ca47405],[02843ae131],"真糟糕啊，我又在难过什么？
好累啊。
活着真的好累啊。
我真的活不动了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T23:38:49,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-05-16 23:38:49
[a90748e927],[e0dcb322c5],"啊，又说准备去法庭离婚。
害，我真的不知道到底希不希望他们离了，但是这样的家庭，这样的生活，真的让人难受。
根本不像一个家呀。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T04:24:47,OPPO Reno8 Pro 5G,0,1,"[{""id"": ""[684ff5ab9c]"", ""created_at"": ""05-04"", ""source"": ""来自江苏"", ""user"": {""id"": ""[0e06dab749]"", ""screen_name"": ""[1b455943c4]""}, ""text"": ""谁懂啊，冷战or吵架的时间比正常沟通的时间长太多太多是什么呀。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 04:24:47
[2dc26e4d5d],[92c691719e],一想到要滚回悉尼读研究生，整个人都不好了QAQ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T03:20:25,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-04-24 03:20:25
[c088dc7c4d],[d49d41e9c9],"关于日常玩耍出行时长
曾经的我：1个小时车程也还好啦~
后来的我：半个小时差不多吧
现在的我：10分钟不能更多
希望楼下的小吃街开起来，以后让我步行出门算了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T04:11:37,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-04-22 04:11:37
[cba411043a],[721c83fdb3],"看小说看high了，闪现一下~
芜湖湖~ ",[9b2d5b4678],[c516955f85],[9b2d5b4678],,2024-04-19T21:26:38,OPPO Reno8 Pro 5G,0,0,,0,,[9b2d5b4678],2024-04-19 21:26:38
