id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1a1017ed9e],[56bd777a9f],"抑郁症
也不知道自己怎么活到今天的，真的很想结束一切，结束痛苦，为什么我活得这么不堪入目。 ",[9b2d5b4678],[841b6bdf19],[9b2d5b4678],,2024-04-28T22:53:04,抑郁症超话,0,2,"[{""id"": ""[56ca1b989a]"", ""created_at"": ""04-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[60fa5bcd4b]"", ""screen_name"": ""[154aa3f39f]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[742824157b]"", ""created_at"": ""04-28"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 22:53:04
[c0d550fe05],[11af69eef1],"抑郁症
他们都在背着我偷偷快乐和幸福，噢，不，是明目张胆的，我真的好惨一女的，想被夸，别人却找不出我的优点，不过我也确实没有优点，废物一个，烂人一个。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T22:44:22,抑郁症超话,0,4,"[{'id': 5031438747697326, 'created_at': '05-07', 'source': '来自广东', 'user': {'id': 5700286172, 'screen_name': '落败麻瓜'}, 'text': '回复@没写地址的邮封y:相处的话 你一定还有别人意想不到的优点 别人看不出可不代表你没有哦 也要和看得见自己闪光点的人在一起咩 不论当下如何 你一定都会有美好的未来 希望你平安快乐亲爱的 [抱一抱]', 'reply_id': 5031407140734898, 'reply_text': '回复@落败麻瓜:呜呜呜谢谢你 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5031407140734898, 'created_at': '05-07', 'source': '来自四川', 'user': {'id': 7695756825, 'screen_name': '没写地址的邮封y'}, 'text': '回复@落败麻瓜:呜呜呜谢谢你 ""[苦涩]""', 'reply_id': 5031350168195026, 'reply_text': '开什么玩笑 就看了一眼你的微博 你那么善良友好的姑娘 和你做朋友多幸运 [熊猫]', 'like_counts': 0, 'liked': False}, {'id': 5031350168195026, 'created_at': '05-07', 'source': '来自广东', 'user': {'id': 5700286172, 'screen_name': '落败麻瓜'}, 'text': '开什么玩笑 就看了一眼你的微博 你那么善良友好的姑娘 和你做朋友多幸运 [熊猫]', 'like_counts': 0, 'liked': False}, {'id': 5028306645157804, 'created_at': '04-29', 'source': '来自广东', 'user': {'id': 7503924131, 'screen_name': '是小黄小黄啊'}, 'text': '会好的诶', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-28 22:44:22
[89d94a976a],[1eb0bef6f9],"抑郁症
为什么我的人生只有失败和一事无成？什么都坚持不下去，是个彻头彻尾的废物。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T13:38:54,抑郁症超话,0,1,"[{""id"": ""[dd81ca443f]"", ""created_at"": ""8小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""没有啊生病的你还在坚持好好活着。 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 13:38:54
[4158e552ee],[d463207428],"抑郁症
我不想再自残，但我好想自残。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T03:54:13,抑郁症超话,1,2,"[{""id"": ""[6ff14bd480]"", ""created_at"": ""04-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[fd2ffe3630]"", ""screen_name"": ""[ec7473a370]""}, ""text"": ""我想推荐你看一位灵 媒Ruowen Huang的视频 非常治愈 她在油管发布 但b站上可以搜“土拨鼠欧尼”和“大码铲屎官”这两位up主搬运的她的视频 希望对你有所帮助 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a7daabe274]"", ""created_at"": ""04-27"", ""source"": ""来自广东"", ""user"": {""id"": ""[fd2ffe3630]"", ""screen_name"": ""[ec7473a370]""}, ""text"": ""辛苦你了 请再多坚持一下 未来某天开始你一定会有自己想要的生活 不要伤害宝贵的你自己 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-27 03:54:13
[e80eeeef79],[9d3a04bdd2],"抑郁症
想死，好想死，好想死，为什么当初不让我死？现在却还要继续折磨我？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-27T03:52:50,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-27 03:52:50
[74611d8520],[9adbe34d88],"抑郁症
全世界仿佛就我一个废物
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T23:39:37,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-26 23:39:37
[eee1009930],[43f89e03b4],"抑郁症
死了算了妈的，快来杀死我
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T22:31:40,抑郁症超话,0,1,"[{""id"": ""[41e7f50cca]"", ""created_at"": ""04-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[15b2905a80]"", ""screen_name"": ""[1c7baef996]""}, ""text"": ""艹"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 22:31:40
[daafe3ec38],[235a2a9902],"抑郁症
想死，喝酒，有睡不着的来聊天吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T00:13:08,抑郁症超话,1,4,"[{""id"": ""[debfbd0ff6]"", ""created_at"": ""04-26"", ""source"": ""来自四川"", ""user"": {""id"": ""[15b2905a80]"", ""screen_name"": ""[1c7baef996]""}, ""text"": ""继续喝酒，喝死算了 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4ecf6bf4ce]"", ""created_at"": ""04-25"", ""source"": ""来自山东"", ""user"": {""id"": ""[71df3f6120]"", ""screen_name"": ""[0644a7994a]""}, ""text"": ""来聊天么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2e37b2fa7f]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[8354c135c6]"", ""screen_name"": ""[92ee4e2043]""}, ""text"": ""虽然睡觉都难，但还是要加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e14c2041e]"", ""created_at"": ""04-25"", ""source"": ""来自四川"", ""user"": {""id"": ""[4a8eee34f9]"", ""screen_name"": ""[4a040a206d]""}, ""text"": ""一样失眠 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 00:13:08
[84ed24f956],[762d868761],"抑郁症
早C晚A，白天靠咖啡提神，晚上靠酒精入睡
 ",[9b2d5b4678],[64dfee4f93],[9b2d5b4678],,2024-04-24T01:41:02,抑郁症超话,0,1,"[{""id"": ""[eb91299342]"", ""created_at"": ""04-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[a2b4a37753]"", ""screen_name"": ""[19374224bb]""}, ""text"": ""你这杯子好有趣，不规则的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 01:41:02
[3fa42b92b8],[c83305939e],"抑郁症
人类能不能死绝
，和人相处真累
，人为啥是群居动物
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T03:52:02,抑郁症超话,4,0,,0,,[9b2d5b4678],2024-04-23 03:52:02
