id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2344c49156],[fecefe7cbc],"想停药了，想了好久了，觉得一直处在一个尴尬的局面，好又不算好，差又不算差，而且还吃了这么久的药，其实不吃也没什么吧，慢慢停下来…..出国见医生都难，已经半年了都没条件换药，死又死不了，吃又吃不好，蛮无语的
双相情感障碍
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T15:15:16,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-01 15:15:16
[53138f8cc2],[9b83ec3761],"We have a 4 days vacation！！
first day～we gonna beach. So good view… ",[9b2d5b4678],[a7ea9113ed],[cd0b057641],,2024-05-31T17:27:39,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-31 17:27:39
[e561a3366a],[a09f3f9b83],"双相情感障碍
 请问大家知道没有原因的特别恶心，感觉随时都要吐出来是什么原因吗？我就是晚上凌晨1:00吃了药，没几分钟就立马开始有这种感觉，我是晚上6:00吃的晚饭去了一家泰国餐厅，吃了叉烧饭，同行的两个同学都没有任何问题，然后后来就只吃了一些零食，都是吃过的，没有问题的，然后太累 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T17:18:27,双相情感障碍超话,0,15,"[{""id"": ""[b4d6b92dd8]"", ""created_at"": ""05-31"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e561d90b95]"", ""screen_name"": ""[529695d541]""}, ""text"": ""回复@潘潘虎u茯:那去做一个胃部检查吧，要么就找医生问问可能这个药已经不适合你了，需要换一种或者调药，照顾好自己，好好活着"", ""reply_id"": 5040148872169934, ""reply_text"": ""回复@字兮元卿矣:不是不是我文章强调过了，我是第一次这样，而且我的药已经半年没变过了，从来没有这样过 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9dbec75eb9]"", ""created_at"": ""05-31"", ""source"": ""来自新西兰"", ""user"": {""id"": ""[29fa10f114]"", ""screen_name"": ""[1e40efbb2a]""}, ""text"": ""回复@字兮元卿矣:不是不是我文章强调过了，我是第一次这样，而且我的药已经半年没变过了，从来没有这样过 [泪]"", ""reply_id"": 5040148616580577, ""reply_text"": ""药物的副作用很正常，你吃的是什么药？我经常是这样的，就算是不吃东西也会干呕，不要过度担心 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[25e6992feb]"", ""created_at"": ""05-31"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[e561d90b95]"", ""screen_name"": ""[529695d541]""}, ""text"": ""药物的副作用很正常，你吃的是什么药？我经常是这样的，就算是不吃东西也会干呕，不要过度担心 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cb83f5c9f2]"", ""created_at"": ""05-31"", ""source"": ""来自新西兰"", ""user"": {""id"": ""[29fa10f114]"", ""screen_name"": ""[1e40efbb2a]""}, ""text"": ""回复@奶黄橘子bot:主要是我吃的药没有变化啊，我已经吃了半年多同样的药了，甚至后来加的药我也已经连续吃了两个月快三个月了 [泪]"", ""reply_id"": 5040144576678277, ""reply_text"": ""会是身体原因吗？我吃完舍曲林会这样，然后我自己有幽门胃炎容易想吐，医生说抗生素和舍曲林可以一起吃，但我不敢一起吃就怕吐了 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6ab9065cd5]"", ""created_at"": ""05-31"", ""source"": ""来自福建"", ""user"": {""id"": ""[dfe37483fb]"", ""screen_name"": ""[058ca0970d]""}, ""text"": ""会是身体原因吗？我吃完舍曲林会这样，然后我自己有幽门胃炎容易想吐，医生说抗生素和舍曲林可以一起吃，但我不敢一起吃就怕吐了 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 17:18:27
[914b76b931],[65f3edf21e],"没有能力就别他妈浪费大家的时间精力去开公众号，自己没有足够的情绪管理能力和管理团队能力，想解散团队就解散，想重新拉回来就拉回来，想干嘛就干嘛，神经病，说好话也不听，为你找借口，因为生病因为经历因为创伤所以下意识觉得别人在攻击你，借口都给你找好了还在乱搞，人家反复退出还揪着人不放， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T19:20:34,iPhone客户端,4,0,,0,,[9b2d5b4678],2024-05-26 19:20:34
[2750646b87],[99cdbb3eaf],"我今天在学校经历了特别糟糕的事情，被学校的英语老师及主任造谣中伤，我从那个时候开始情绪就一直特别不稳定，一直到现在晚上快12点了，我的情绪还是特别抑郁，干什么都在哭
就仅仅只是因为我晚上发了一篇关于我写真的朋友圈，加上了我的个人故事，而这篇朋友圈的发布时间刚好是另外一个香港女生伤害 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T19:51:24,双相情感障碍超话,0,0,,0,,[9b2d5b4678],2024-05-20 19:51:24
[c0a2584b4c],[930abf0f70],"（转发）貓瘾写真馆：“
这是一组很特别的写真 送给自己 也送给大家
她说
这是她我生病的980多天，
从21年起，这几年无时无刻不被情绪困在牢笼里面
刚开始只是抑郁焦虑，急性发作两周就自杀了，只知道网上说过量安眠药能自杀
但都没成功过
 后来
 被控制在父母掌控范围内
 养的几只猫都去喵星了  心 ...
全文",[9b2d5b4678],[1d5567e930],[9b2d5b4678],,2024-05-19T18:18:51,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-19 18:18:51
[6d3e007af3],[9ec062dc8b],好讨厌自己白天睡觉晚上看手机啊我去。。。早上7点睡觉，下午5点多醒来，天又完全黑了…. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T13:47:25,iPhone客户端,4,0,,0,,[9b2d5b4678],2024-05-19 13:47:25
[345a5a6377],[c5cebfc6ac],看到近期采访的一个上海精卫的医生博士，抑郁发作，说自己状态很差很难受，好奇那这样子是怎么看诊呢。。。但是也确实告诉了我存在双相患者能当上医生的情况。有点奇妙 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T20:01:02,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-18 20:01:02
[3309708b29],[ab90dde761],"不知道为什么，最近晚上吃药总是会下意识觉得药太大了吞不下去，所以三年的药是怎么吃下去的😭😭😭
新西兰已经凌晨5点了，理智一直觉得自己应该早点休息，但是又觉得干嘛要逼自己呢，不睡就不睡嘛，也吃了药半个小时咯，应该快睡了吧….还得做咨询呢
咨询的意义就是没事儿的时候找事儿聊，当我真 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T00:56:53,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-18 00:56:53
[abc6dceec4],[28f1fa4bab],"觉得好开心，因为清清楚楚记得有一次情绪面临崩溃，广州惠爱医院的热线等待时间太长了，着急忙慌上抖音百度一顿搜索热线，结果只是不管三七二十一扔给我一堆不知道有没有用的电话号码，一瞬间觉得绝望了，但还是随机选了几个打，不出意外就要出意外了，不是打不通就是根本不是热线电话，或者是空号。
 ...
全文",[9b2d5b4678],[48b73836a1],[9b2d5b4678],,2024-05-17T22:00:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 22:00:13
[cbcb010b30],[995c26b977],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T02:01:18,生日动态,2,0,,0,,[9b2d5b4678],2024-05-16 02:01:18
[62d40207aa],[20829e28b0],好累啊，自从前天晚上嗨了一下，然后感觉好像把所有精力都用完了，好累，上课都在睡觉，回家也很抑郁，甚至还不能哭，可能眼睛感染了一有眼泪就会特别疼，疼到我可以打滚的地步….. ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T17:45:46,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-15 17:45:46
[7437b4bf58],[fbed13f7f2],"看完专科回到家，这是我第四次和新西兰的医生接触，这是第三位医生，依旧没有办法帮我开药，只是问的问题比gp专业细节了很多，这次又聊了一个半小时
住家妈妈问我：“我问你，你觉得你能够通过吃药改善自己吗，你觉得你需要医生的帮助吗，而不是医生看着教科书说，你，你，还有你都要吃药治疗
他们根本 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-14T12:38:54,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-14 12:38:54
[6401f0bbca],[12a3682912],"我真的是个很懒但是关键时刻有用的人，备了一盒额外的药在书包以防自己忘记吃药，晚上就把iPad 电脑充好放在书包，水也拿好，校服上衣也穿了
然后今早tm第一次睡过头。。。穿个裤子外套拿好lunchbox直奔学校，上课的时候再吃药，懒人有懒福，关键时刻有用哈哈哈哈哈哈 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T15:31:13,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-13 15:31:13
[70eb707d31],[2a24b39571],"好喜欢有一瞬间的坏笑 
潘潘虎u茯的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[487a6372a9],,2024-05-13T12:03:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 12:03:56
[41bc682bee],[1ee398ebda],好喜欢相机拍出来完全不用p的感觉 ,[9b2d5b4678],[b0c466727f],[9b2d5b4678],,2024-05-13T10:14:41,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-13 10:14:41
