id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[6fa59fdb3e],[75f32647ab],分手吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T00:09:53,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-08 00:09:53
[6af76ad9b2],[74fe992f40],"抑郁症
 晚安，明天就能回家做小孩了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T23:28:01,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-06 23:28:01
[d2394ca96e],[1270665a8a],"抑郁症
 我真的后悔我所有做过的事，后悔睡觉了后悔给别人说了适可为止吧跟他们说根本没有用为什么要说呢你是不是有病啊卧槽了为的就是死心吗明明知道说了也没用还他妈说说说去死吧赶紧没人会可怜你的他们只会觉得你矫情觉得你有病你会永远后悔这一切的我现在真的会后悔当初给他们说哈哈哈为什 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T23:51:23,抑郁症超话,1,1,"[{""id"": ""[9b151405c1]"", ""created_at"": ""06-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 23:51:23
[6e6f7f940c],[abb1fc4e09],我要死了我坚持不住了我好难受 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T07:35:17,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-05 07:35:17
[89ff7e908a],[440b7f5c97],以后在开心的时候多记录一点我们俩吧，要合照的那种。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T08:09:09,微博轻享版,0,0,,0,,[9b2d5b4678],2024-06-04 08:09:09
[e8d611c174],[8f5cb06149],我的大学—四年有期徒刑 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T18:08:03,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-26 18:08:03
[6158867509],[333ac0070e],"抑郁症
 他不爱我 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T23:23:06,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-19 23:23:06
[6a480adbde],[feaf1a920b],"以后做决定之前先多想想吧 一切可能不像你想的那样特别好其实我感觉我做了很多错事很多错事，我脑子是有问题吗为什么我的第一想法最开始的行为后来再想想都会觉得是错的。例如当初我为什么突发奇想要和卢子豪一块回家后来又算了一直折腾他 ，例如我在好又多超市要买那个水杯都已经让他拿了一圈了后来又 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T00:46:34,微博轻享版,0,0,,0,,[9b2d5b4678],2024-05-12 00:46:34
[0aaa4f73ea],[a6ea09331e],我就跟个🤡一样，我们两个之间的关系好坏全由你说了算。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T12:45:08,微博轻享版,1,1,"[{""id"": ""[8768cc3b62]"", ""created_at"": ""04-28"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""别这样，我可承受不起这样的重量"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 12:45:08
[a396b90a3f],[02813f7339],"你觉得你可悲其实我觉得我也挺悲伤了，你为什么会把我想成那种人觉得我不好，把我对你一切的好都因为这个我无意间的行为磨灭了，很可笑我很早就开始给你看生日礼物了开始研究一周年的礼物，而且我都想攒钱给你买更好的东西你确觉得“就你不能吃亏我活该吃亏呗”，这句话我真伤心了，我甚至想我吃亏都没 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T12:43:59,微博轻享版,0,0,,0,,[9b2d5b4678],2024-04-28 12:43:59
