id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[a9a7879657],[c5e592c60f],"抑郁症
无处可逃 ",[9b2d5b4678],[01ee8dfe66],[9b2d5b4678],,2024-05-29T00:02:28,抑郁症超话,3,3,"[{""id"": ""[451ba6a4e1]"", ""created_at"": ""05-31"", ""source"": ""来自山西"", ""user"": {""id"": ""[bbfcbe0113]"", ""screen_name"": ""[e5c42f9841]""}, ""text"": ""会有的宝宝 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c9e0b785ea]"", ""created_at"": ""05-29"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5084e7907a]"", ""screen_name"": ""[cd2964a751]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[40cdec84f4]"", ""created_at"": ""05-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 00:02:28
[b8c26df2a8],[36a364c1e2],"抑郁症
我们不是一个世界的人，我不应该再打扰你 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T22:29:35,抑郁症超话,2,2,"[{""id"": ""[7985270ddc]"", ""created_at"": ""05-24"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d2c8518040]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 22:29:35
[8496e4e82e],[20651b8107],"抑郁症
世界上的事，不是想就能做成的，所以要接受自己做不到的事情，顺其自然 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T23:44:19,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-22 23:44:19
[acdcb42d29],[83e3ca7e85],"抑郁症
要允许错误的发生，无论是题目，还是人生 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-15T22:27:20,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-15 22:27:20
[1f6193e7f8],[e4e6b89db2],"抑郁症
终于完工啦
 ",[9b2d5b4678],[245e5b5ede],[9b2d5b4678],,2024-05-13T00:15:13,抑郁症超话,6,10,"[{'id': 5040472336105606, 'created_at': '06-01', 'source': '来自湖北', 'user': {'id': 7911545893, 'screen_name': '小机灵_X-LANCE'}, 'text': '哇，真棒啊，你也太心灵手巧了吧！', 'like_counts': 0, 'liked': False}, {'id': 5039057938156890, 'created_at': '05-28', 'source': '来自上海', 'user': {'id': 7531210369, 'screen_name': 'Thoraaaaaa_'}, 'text': '哇好棒！！好可爱！diy的东西我搞不了一点 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5033697906262688, 'created_at': '05-13', 'source': '来自山东', 'user': {'id': 7392509358, 'screen_name': '是ohh呀'}, 'text': '回复@芝麻糊_zz:谢谢 [坏笑]', 'reply_id': 5033434403832284, 'reply_text': '做的好棒！', 'like_counts': 0, 'liked': False}, {'id': 5033697864584651, 'created_at': '05-13', 'source': '来自山东', 'user': {'id': 7392509358, 'screen_name': '是ohh呀'}, 'text': '回复@一二与鹤:嘿嘿你也厉害 [坏笑]', 'reply_id': 5033590775352686, 'reply_text': '哇好厉害 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5033592479027490, 'created_at': '05-13', 'source': '来自重庆', 'user': {'id': 3957952733, 'screen_name': '蛇魔制造中心-照夜清_发癫发疯版'}, 'text': '这个小可爱！给我抱抱', 'like_counts': 0, 'liked': False}, {'id': 5033590775352686, 'created_at': '05-13', 'source': '来自浙江', 'user': {'id': 7302548181, 'screen_name': '一二与鹤'}, 'text': '哇好厉害 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5033461870233962, 'created_at': '05-13', 'source': '来自安徽', 'user': {'id': 6377442424, 'screen_name': '阿俊要常安-'}, 'text': '哇塞，好棒', 'like_counts': 0, 'liked': False}, {'id': 5033434403832284, 'created_at': '05-13', 'source': '来自福建', 'user': {'id': 5474164617, 'screen_name': '芝麻糊_zz'}, 'text': '做的好棒！', 'like_counts': 0, 'liked': False}, {'id': 5033395012764979, 'created_at': '05-13', 'source': '来自湖南', 'user': {'id': 6136696612, 'screen_name': '震动的心跳'}, 'text': '可爱', 'like_counts': 0, 'liked': False}, {'id': 5033377230488941, 'created_at': '05-13', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '好棒呀', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-13 00:15:13
[aabfb2dc11],[627272734d],"抑郁症
我妈说我又捡回一条命，她已经捡了好几个小孩了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:01:16,抑郁症超话,1,1,"[{""id"": ""[bedf4d8e97]"", ""created_at"": ""05-06"", ""source"": ""来自上海"", ""user"": {""id"": ""[324cce897e]"", ""screen_name"": ""[72af68012c]""}, ""text"": ""辛苦了宝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 23:01:16
[ce3d31f45e],[b27d29c46d],"抑郁症
你们都要平安幸福，早日康复 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T01:41:50,抑郁症超话,3,1,"[{""id"": ""[f4e3dad282]"", ""created_at"": ""05-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": ""我们都要 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 01:41:50
[8729bf751b],[f9fc03521e],"抑郁症
我的心是有个大洞的袋子，装什么失去什么 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T19:43:14,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-01 19:43:14
[8da2f10c09],[ea8d768c44],"抑郁症
又一个整百 ",[9b2d5b4678],[750e964902],[9b2d5b4678],,2024-04-28T22:48:44,抑郁症超话,0,2,"[{""id"": ""[79f069ac29]"", ""created_at"": ""04-29"", ""source"": ""来自山东"", ""user"": {""id"": ""[0c678f098a]"", ""screen_name"": ""[1e8cec5059]""}, ""text"": ""回复@SingingZhang:说不上来"", ""reply_id"": 5028428291772320, ""reply_text"": ""有减轻症状吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b7d92e9f74]"", ""created_at"": ""04-29"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""有减轻症状吗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-28 22:48:44
[316acc2ed8],[77c5a005d1],"抑郁症
有人疯狂滋生血肉，有人早已化作齑       粉。忽然而已 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T15:21:05,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-24 15:21:05
