id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[597c493e9e],[a7e277fa57],"抑郁症
一人一袋，不许多拿哦
 ",[9b2d5b4678],[2c1d7ffb52],[9b2d5b4678],,2024-04-18T21:37:20,抑郁症超话,0,4,"[{""id"": ""[3b99ff6782]"", ""created_at"": ""20分钟前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d9a8258b7b]"", ""screen_name"": ""[93c3daae8f]""}, ""text"": ""随一袋又苦又酸又甜又麻的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e9af1159e8]"", ""created_at"": ""25分钟前"", ""source"": ""来自广东"", ""user"": {""id"": ""[283de07dd9]"", ""screen_name"": ""[c230d8149d]""}, ""text"": ""拿一袋"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[515833465a]"", ""created_at"": ""31分钟前"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""和我配的颜色一样看着图片就闻到味道了 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[65fa5da3d1]"", ""created_at"": ""39分钟前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""好好吃药药"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 21:37:20
[950dd0541e],[ee20777436],"抑郁症
今天超级开心，收到漂亮的花花，爱吃的火锅，和我天下第一好的朋友一起去开封玩 ",[9b2d5b4678],[f06abb84ec],[9b2d5b4678],,2024-04-17T16:34:31,抑郁症超话,3,0,,0,,[9b2d5b4678],2024-04-17 16:34:31
[408d32cf54],[83ca2bac8f],"抑郁症
青春才几年，黄梓涵却占了二十年，朋友是自己挑选的没有血缘的家人 
Struggleig的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[4a7aa3a778],,2024-04-17T16:28:34,抑郁症超话,1,1,"[{""id"": ""[11e1ae6308]"", ""created_at"": ""4小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[2e9a9824ff]"", ""screen_name"": ""[2a3207aaf3]""}, ""text"": ""看看你 [色]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 16:28:34
[c61b03e955],[9fc1347610],也许生活并不糟糕 糟糕的只是我 ,[9b2d5b4678],[634eefdd60],[9b2d5b4678],,2024-04-17T01:45:52,抑郁症超话,8,12,"[{""id"": ""[ab82245a83]"", ""created_at"": ""昨天 01:50"", ""source"": ""来自河南"", ""user"": {""id"": ""[8db5c3ae12]"", ""screen_name"": ""[218ffe7cf7]""}, ""text"": ""回复@Xue_译:看私信，到处让别人加他"", ""reply_id"": 5023963828191434, ""reply_text"": ""宝贝你也很好的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[990ddda6a2]"", ""created_at"": ""昨天 01:49"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": ""宝贝你也很好的 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 01:45:52
[215066075f],[231dd04c6d],"抑郁症
今天下午家里来客人了，看到客厅的琴还有古筝就非叭叭着让我弹一首，我不愿意就没弹，他家孙子还特别没礼貌乱动我东西，按着🐻孩子捶了一顿老实了，我爸还说我，让我拿着他放了好几年的酒摔了，舒服了，爽！现在在车里坐着不知道去哪
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T23:01:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-14 23:01:32
[7738ccd754],[57931c1aad],"抑郁症
随便吧，反正也不会好 ",[9b2d5b4678],[bc159c03f7],[9b2d5b4678],,2024-04-13T12:28:39,抑郁症超话,4,2,"[{""id"": ""[659bd8ba91]"", ""created_at"": ""04-13"", ""source"": ""来自湖南"", ""user"": {""id"": ""[87f4001553]"", ""screen_name"": ""[6bed14dace]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[937cf3df9a]"", ""created_at"": ""04-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱好好治疗"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 12:28:39
[ff22b84570],[7cf03a10ed],"抑郁症
玫瑰留在了盛夏，爱意死在了凛冬，像精卫填海般早知结果，却又无可救药 
Struggleig的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[df6cc64438],,2024-04-12T08:02:17,抑郁症超话,7,9,"[{""id"": ""[8ad6f7ab01]"", ""created_at"": ""昨天 11:46"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[ccdf84e337]"", ""screen_name"": ""[4c8f6a24ae]""}, ""text"": ""回复@Struggleig:分了他就应该等于死了 [挖鼻]"", ""reply_id"": 5023902109532683, ""reply_text"": ""回复@七宗原罪啊:就算分了，我也是他最拿得出手的前女友"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6034adf35d]"", ""created_at"": ""昨天 06:40"", ""source"": ""来自广东"", ""user"": {""id"": ""[a2b698844e]"", ""screen_name"": ""[fb7e0e3e4f]""}, ""text"": ""好棒哦 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7bba007fb9]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[8db5c3ae12]"", ""screen_name"": ""[218ffe7cf7]""}, ""text"": ""回复@七宗原罪啊:就算分了，我也是他最拿得出手的前女友"", ""reply_id"": 5023894652587288, ""reply_text"": ""回复@Struggleig:还得是你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5993324be4]"", ""created_at"": ""04-16"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[ccdf84e337]"", ""screen_name"": ""[4c8f6a24ae]""}, ""text"": ""回复@Struggleig:还得是你"", ""reply_id"": 5023786774301506, ""reply_text"": ""回复@七宗原罪啊:必须的，不然怎么吊打前任垃圾对象"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6347de13c1]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[8db5c3ae12]"", ""screen_name"": ""[218ffe7cf7]""}, ""text"": ""回复@七宗原罪啊:必须的，不然怎么吊打前任垃圾对象"", ""reply_id"": 5022295490562713, ""reply_text"": ""这牛逼？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b3e0c00afe]"", ""created_at"": ""04-12"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[ccdf84e337]"", ""screen_name"": ""[4c8f6a24ae]""}, ""text"": ""这牛逼？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f30142ed38]"", ""created_at"": ""04-12"", ""source"": ""来自广东"", ""user"": {""id"": ""[a0efe50cd5]"", ""screen_name"": ""[7661debae6]""}, ""text"": ""好厉害"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a5137a2ee2]"", ""created_at"": ""04-12"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-04-12 08:02:17
[3e30df1b67],[b5a615ebbb],"抑郁症
扰人清梦这种人就适合一巴掌拍死
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T07:53:37,抑郁症超话,1,1,"[{""id"": ""[645b1f4f69]"", ""created_at"": ""04-12"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": ""支持，真的大力支持，我就被吵醒过，真的想鲨人 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 07:53:37
[3a47641ef5],[cea2463aab],"抑郁症
烦死了，大清早的就不当人了，天天练琴练筝，叫叫叫，给你妈叫魂呢，迟早有一天我会把88个琴键21根琴弦一个个一根根全拔下来 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T07:52:56,抑郁症超话,0,1,"[{""id"": ""[2ae46e3635]"", ""created_at"": ""04-12"", ""source"": ""来自河南"", ""user"": {""id"": ""[780a555ddb]"", ""screen_name"": ""[a03528eb83]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 07:52:56
[b7a5497b8c],[6c7ebf44d9],"抑郁症
在长大 在失去 在努力 在接受 在好好生活 ",[9b2d5b4678],[a5d92c0e43],[9b2d5b4678],,2024-04-11T23:02:26,抑郁症超话,0,2,"[{""id"": ""[42e2d7f2e4]"", ""created_at"": ""04-12"", ""source"": ""来自湖南"", ""user"": {""id"": ""[0b5bd7f9d2]"", ""screen_name"": ""[517502b66e]""}, ""text"": ""加油！！很棒很棒！ [赞]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[589c593387]"", ""created_at"": ""04-11"", ""source"": ""来自广西"", ""user"": {""id"": ""[ec8a00ed54]"", ""screen_name"": ""[c77acaeb9d]""}, ""text"": ""很棒呀！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-11 23:02:26
