id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[997b031aa0],[a3b7b59936],不喜欢傍晚，心情总是很低落 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T17:31:25,华为手机,0,2,"[{""id"": ""[3db0f168a5]"", ""created_at"": ""3小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a6530996cd]"", ""screen_name"": ""[21afe6f23d]""}, ""text"": ""要我再次祈祷吗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3808729c26]"", ""created_at"": ""3小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a6530996cd]"", ""screen_name"": ""[21afe6f23d]""}, ""text"": ""我总是一个人，一个人，很孤单"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-02 17:31:25
[901a18b478],[5642226eb3],"我真的太不会收纳了！已经觉得最终的结局是娅玲或者卷卷看不下去了，然后来帮我收拾
（她们都是j人，我是大p人） ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T16:33:11,华为手机,0,0,,0,,[9b2d5b4678],2024-06-02 16:33:11
[5c9ca06903],[f93a8794a1],我一直在伤害别人，故意用很恶毒的语言 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:21:40,华为手机,0,0,,0,,[9b2d5b4678],2024-06-01 22:21:40
[4f328800f7],[5a949521c8],仿佛看见了尽头 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:04:51,华为手机,0,0,,0,,[9b2d5b4678],2024-06-01 22:04:51
[f0b0d55126],[2f1c488e3c],"你是独立的！是一个个体，不要被其他的人或物给影响了呀！
小姐姐你真的别太恋爱脑了！！你得先做自己呀宝宝，虽然说当然要重视这个事情啦，但不要把它当成主食，也许爱对于我来说就像氧气，吸多了也会中毒，但又不可或缺
所以你接下来需要做的事情就是：找到平衡点 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T13:36:14,华为手机,0,0,,0,,[9b2d5b4678],2024-05-31 13:36:14
[4884361f25],[d8a7a53a7f],"感觉话有点多，我要再发一条！最近真的忙晕了，每周时间都排的满满的，主要是我还拖延！（真的要改掉！这样很不好）等这一阵子过去我再好好休息一下吧
其实生活还蛮有意思的，就是压力太大了，被ddl推着走……完了记性还不太好，总是忘记很多东西，顾虑还太多了。我应该更勇敢一点的，想到就去 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T13:28:30,华为手机,0,0,,0,,[9b2d5b4678],2024-05-31 13:28:30
[19584b8680],[ab8e749743],"昨晚问384喜欢我什么，他说了一连串的外表啊，性格什么的，最后说，最重要的是我喜欢他。虽然但是，如果喜欢一个人的前提是对方喜欢自己，那么有前提的爱算不算爱呢？“爱”真的是个难懂而又无解的东西，我也说不清
也许，爱是不需要前提的吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T13:20:25,华为手机,0,1,"[{""id"": ""[d7831009ec]"", ""created_at"": ""05-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a6530996cd]"", ""screen_name"": ""[21afe6f23d]""}, ""text"": ""我真考虑要不要把现实认识的人全部拉黑了感觉好那个哦，因为碎碎念还要处理后续的问题真的还蛮麻烦的 [傻眼]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 13:20:25
[efc3132f36],[94e49da72d],"我说听完这首歌我就要去打包了！以及以后要多多发微博！或者记录✍️下每一天的生活，不然生活如流水真的一去不复返
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T13:13:53,华为手机,0,0,,0,,[9b2d5b4678],2024-05-31 13:13:53
[d91eb5ba88],[ecb06966dd],"最近的新爱好是听384的语音，有种很安心的感觉
外用，一日三次，能缓解焦虑，舒缓心情 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T13:08:54,华为手机,0,0,,0,,[9b2d5b4678],2024-05-31 13:08:54
[15af2d2708],[ec1cb76ad8],"我今晚的话真的是太多了！什么都想掏出来说，恨不得把所有过去都袒露出来
这是不理智的，会伤害自己的，冲动的错误 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T00:51:21,华为手机,1,0,,0,,[9b2d5b4678],2024-05-30 00:51:21
