id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[9c782f9439],[118622fc8b],"Les表白墙
有没有谈恋爱的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T19:18:02,Les表白墙超话,0,2,"[{""id"": ""[5e08a78f88]"", ""created_at"": ""4小时前"", ""source"": ""来自浙江"", ""user"": {""id"": ""[75fab29c1e]"", ""screen_name"": ""[227406af4d]""}, ""text"": ""di"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[daeb09eb39]"", ""created_at"": ""4小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[54e7392494]"", ""screen_name"": ""[060de6df41]""}, ""text"": ""喜欢"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-06 19:18:02
[1107e95923],[b52aa2ac95],"抑郁症
有人陪我说说话吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T22:15:34,抑郁症超话,2,5,"[{""id"": ""[3676ff2237]"", ""created_at"": ""06-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[1522e6ad79]"", ""screen_name"": ""[1f7e12d549]""}, ""text"": ""有"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fb3062d129]"", ""created_at"": ""06-04"", ""source"": ""来自北京"", ""user"": {""id"": ""[f8484f65b7]"", ""screen_name"": ""[ffc4a59ca7]""}, ""text"": ""( ´･･)ﾉ(._.`)"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1617bd627]"", ""created_at"": ""06-03"", ""source"": ""来自山东"", ""user"": {""id"": ""[1863c3a781]"", ""screen_name"": ""[6c1d957d8a]""}, ""text"": ""怎么了 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e07bd484e9]"", ""created_at"": ""06-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[10954deaed]"", ""screen_name"": ""[0c6d0cf478]""}, ""text"": ""我可以的宝宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d62af56cbb]"", ""created_at"": ""06-03"", ""source"": ""来自安徽"", ""user"": {""id"": ""[c681cd9909]"", ""screen_name"": ""[f860db2c42]""}, ""text"": ""，有的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 22:15:34
[bd26cfce99],[549119072d],"抑郁症
我好像在无力的住着一颗悬崖的小草。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T19:07:32,抑郁症超话,4,0,,0,,[9b2d5b4678],2024-06-03 19:07:32
[d17466b18d],[bc48bd569a],"抑郁症
活着确实是很痛苦的一件事情，每天眼角都会含着泪水，劝告自己要麻痹自己。不能去死。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:25:36,抑郁症超话,2,2,"[{'id': 5040208989658723, 'created_at': '05-31', 'source': '来自山东', 'user': {'id': 7283591728, 'screen_name': '因风起柳絮飘'}, 'text': '可是好痛苦啊 ""[锦鲤附体]""', 'like_counts': 0, 'liked': False}, {'id': 5040208028634230, 'created_at': '05-31', 'source': '来自安徽', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': ' [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-31 21:25:36
[30d423c4bf],[4bf11a0807],"抑郁症
我是女生，我也喜欢女孩子。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T20:53:59,抑郁症超话,5,5,"[{""id"": ""[42829b4b6a]"", ""created_at"": ""05-31"", ""source"": ""来自广东"", ""user"": {""id"": ""[a6b04e58fd]"", ""screen_name"": ""[e818b87b47]""}, ""text"": ""我也是"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ee5555011b]"", ""created_at"": ""05-31"", ""source"": ""来自江苏"", ""user"": {""id"": ""[192e1dd0c8]"", ""screen_name"": ""[af4eb4a9a4]""}, ""text"": ""是哒"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a3d4b91dc0]"", ""created_at"": ""05-31"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3c8b98d02a]"", ""created_at"": ""05-31"", ""source"": ""来自山东"", ""user"": {""id"": ""[a83f5ce226]"", ""screen_name"": ""[bbef90b06d]""}, ""text"": ""我也是"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[73094fd8ca]"", ""created_at"": ""05-31"", ""source"": ""来自北京"", ""user"": {""id"": ""[6a18ac27b6]"", ""screen_name"": ""[b360a85632]""}, ""text"": ""我也"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-31 20:53:59
[a3b0419e68],[7d17901d0b],"Les表白墙
有没有聊天的姐妹没，一起玩游戏也行啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T20:22:45,Les表白墙超话,0,2,"[{'id': 5040190273886075, 'created_at': '05-31', 'source': '来自湖北', 'user': {'id': 7597443841, 'screen_name': '羊村最diao的小鸡毛'}, 'text': ' ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5040189451797457, 'created_at': '05-31', 'source': '来自重庆', 'user': {'id': 7531374269, 'screen_name': '金智秀rt'}, 'text': '有来打王者 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-31 20:22:45
[a199ba3f64],[4f79415200],亚当真的太帅了吧#亚当绝了# ,[9b2d5b4678],[96ffe31349],[9b2d5b4678],,2024-05-24T23:33:17,Redmi K70,2,0,,0,亚当绝了,[9b2d5b4678],2024-05-24 23:33:17
[2f3d4b6994],[dc2151c958],"抑郁症
我知道是我不好。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T21:37:56,抑郁症超话,0,2,"[{""id"": ""[4784317344]"", ""created_at"": ""04-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[2c8ae3d650]"", ""screen_name"": ""[140888c0a6]""}, ""text"": ""怎么了？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a63ab2834b]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 21:37:56
[146e56276f],[98eca979b2],我是自由的海鱼，自由的胆小鬼。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T17:42:08,Redmi K70,4,0,,0,,[9b2d5b4678],2024-04-16 17:42:08
[debd1fd6f9],[6ffd3f0dea],"抑郁症
认识我，解救我。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T17:05:36,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-11 17:05:36
