id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[7aa5287e2d],[c60255925c],用认清荒诞的方式来抵御荒诞。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T15:47:36,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-06-07 15:47:36
[cc118ea631],[f4b223caf4],"这条微博及原博评论区 请评
抑郁症
 ",[9b2d5b4678],[2a184111d4],[9b2d5b4678],,2024-06-07T15:29:58,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-07 15:29:58
[d7e4f3a8a9],[fd83f3379d],"一天没吃没喝，因为起不来
觉得药要好好吃，爬起来把药吃了，稍微洗漱一下
喝几口水，还yue了，差点把药吐出来
这种狗屁身子到底是哪来的，真的不能死吗你妈的 
起因是颈椎病犯了而这个贫穷的小女孩依旧没来得及去医院但是觉得怎么能惯着自己呢而且时间浪费不起头昏脑涨硬要出门完成一些必要行程结果 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T00:56:32,岁岁平安的Android,1,0,,0,,[9b2d5b4678],2024-06-06 00:56:32
[79ae95c172],[3d5eff9093],"不是，🍐五星套也好帅啊
国风yyds ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T11:51:07,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-06-02 11:51:07
[3f936e646b],[8d62771926],昼夜颠倒，头昏脑涨，药乱吃，爬起来吃4倍安眠药的精神病的一生，就这还不昏过去 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T09:52:37,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-06-01 09:52:37
[1a1b6caf9a],[a4bde11bcb],"小雪人只会保护你
靠啊，到底是谁教他这么说的，我心动了
 ",[9b2d5b4678],[d93c757f9f],[9b2d5b4678],,2024-05-27T20:12:38,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-27 20:12:38
[72d708f902],[a77265d757],"我觉得我活进了一种刻板模式，每天失眠，厌食，躯体化疼痛，半死不活地躺下，半死不活地爬起来。
拿着一堆药盒往出掰药，算着隔多久吃哪顿，哪顿吃哪个，今天有没有努力爬起来，是不是又躺尸了，在饿到干呕的时候机械性地找点东西塞嘴里。然后像被拧了发条的机械娃娃一样咔哒咔哒在这个怪圈里兀自转个 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T01:11:32,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-25 01:11:32
[b2db38b992],[cf3d9219e9],"黎深很好啊，成熟温柔稳重，但是又很有趣，某些相处的瞬间给我一种他很甜的感觉。他不是那种感情表达特别奔放的人，但是一点都不内敛，是即使没说很多话也能清晰传达爱意的人，他身边感觉特别适合在经历风雪交加的疲惫之后缩过去暖洋洋地睡一觉，很难形容的感觉。
年上温柔款是不是都适合过日子
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T00:40:26,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-25 00:40:26
[bda8517fac],[126d2e9307],"因为咱掉马了亲
顾时夜是什么人啊，能让咱瞒住
 ",[9b2d5b4678],[6e2745b21a],[9b2d5b4678],,2024-05-23T18:20:21,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-23 18:20:21
[890cc818c3],[75f80d1d2f],"啊啊啊啊啊
一口药吞的痛快，吞完发出尖锐爆鸣
我吃错药了
是真的吃错药了，物理那种
望天中 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T17:29:24,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-23 17:29:24
[8480ae8944],[bc20d2aa0e],"女生什么时候凸点自由
你知道大夏天穿文胸有多热吗，撤了海绵垫也热
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-21T23:31:11,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-21 23:31:11
[4bd8139990],[1a5d3e5515],"祁煜根本就不是好看
他是越看越好看
我就站在这  看这张脸要硬控我到什么时候 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T15:10:07,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-20 15:10:07
[28bec8cbda],[c1fdffb82d],"？那你要这样我可开赌了啊
今天的心情也是姚润昊我要鲨了你
六七百体力你不给我每颗芯核上掺点垃圾浑身难受是吧 ",[9b2d5b4678],[67af4072e0],[9b2d5b4678],,2024-05-19T22:03:51,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-19 22:03:51
[f488300e6b],[91f043b5ab],"谁来救救我我好难受
我去看了永恒先知那个传说
前面真的没啥感觉，第九节眼泪是硬憋回去的
结果憋过头了，现在一口气上不去下不来
想哭哭不来，不哭又难受，哽死我了，现在哐哐拍心口 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T23:33:37,岁岁平安的Android,0,0,,0,,[9b2d5b4678],2024-05-18 23:33:37
