id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ec3fba39c8],[79d0a03f2f],我想我会一直孤单 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T20:56:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 20:56:19
[c10bffb234],[69d42d1319],好像有点双向的意思了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-09T15:49:09,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-09 15:49:09
[0168dbdfc0],[ebe7216c3d],"今天想通了 明天又不行了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T15:29:04,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-06-08 15:29:04
[3c47224608],[441fb09068],安慰别人一套一套 安慰自己三二一跳 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T23:16:17,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 23:16:17
[1443f71d5d],[8c6c083d45],人们无法预知片刻的价值 直到这个片刻成为回忆 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T20:40:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 20:40:44
[7be31d5462],[754bc33843],凌晨四点 我看见海棠花未眠 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T09:56:00,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-06-07 09:56:00
[914c36f5f4],[2d7b903a7b],无所求必满载而归 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T11:54:12,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 11:54:12
[7b0a2d7bfa],[b398461bc9],又装上深情了深情哥 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T22:58:08,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-05 22:58:08
[161e618187],[6cce0731ba],时间有些仓促 爱得不清不楚 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T22:22:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-05 22:22:15
[6e97f203de],[d9d1923a5e],"抑郁症
 家人们你们吃的药副作用明显吗，我担心会有影响
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T14:30:02,抑郁症超话,0,2,"[{""id"": ""[8d60db07d9]"", ""created_at"": ""06-06"", ""source"": ""来自山东"", ""user"": {""id"": ""[1bc31ca28e]"", ""screen_name"": ""[24ad6d54a2]""}, ""text"": ""回复@Yong-ZA:我真的担心吃药影响工作，毕竟还得养活自己 [泪]"", ""reply_id"": 5041945439634719, ""reply_text"": ""感觉吃完药后人都变傻了，整个脑子完全放空，什么事情也不想了。但是这个状态只维持在吃药的初期，后来感觉吃不吃药都差不多，就不吃了。感觉很不好的时候，再吃两片那个草酸啥啥啥的，那个我医生让我一天吃三个，其他的每天吃一个，所以我自作主张地认为，它的副作用最小 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[818f768aac]"", ""created_at"": ""06-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[8077e8c65c]"", ""screen_name"": ""[7d7f4f625d]""}, ""text"": ""感觉吃完药后人都变傻了，整个脑子完全放空，什么事情也不想了。但是这个状态只维持在吃药的初期，后来感觉吃不吃药都差不多，就不吃了。感觉很不好的时候，再吃两片那个草酸啥啥啥的，那个我医生让我一天吃三个，其他的每天吃一个，所以我自作主张地认为，它的副作用最小 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 14:30:02
[b0aa2539f0],[d200121876],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T01:45:26,会员特权专用,0,0,,0,,[9b2d5b4678],2024-06-05 01:45:26
[041996d7b4],[8c95ec6fb1],我当飞向 我向往的那座山 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T00:33:02,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-06-05 00:33:02
[cba9ef0e13],[fa7b49996b],或许差点意思 又或许我没意思 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T22:12:45,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-04 22:12:45
[6215b4c527],[dced48c847],"失眠、突然手抖、头痛、记忆力下降、胃疼、干呕，原来这些都是躯体化的症状
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T23:30:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-02 23:30:22
[3d6bcad503],[25e7d60e56],时间不是解药 也不是毒药 更像是麻药 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T20:15:55,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-02 20:15:55
[82e18b76eb],[9a3f41da07],人最终的结局 都是死亡 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T03:02:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-02 03:02:56
[d9eca3680e],[f2d988c425],我们可能只是在那个冬天，短暂有过相同的共鸣和需求 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T02:17:40,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-02 02:17:40
[93a2956e5f],[3b8f93cf95],"儿童节快乐 我也还是小朋友
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:35:39,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-01 22:35:39
[c224fd90a1],[b130a3a44b],我看不破 也放不过 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T22:25:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-01 22:25:56
[37525820b4],[5d0cbab2a7],爱太难 睡个好觉也不简单 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T02:56:59,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-06-01 02:56:59
[fd7b8ab24b],[2434f6425e], ,[9b2d5b4678],[753f9d73f2],[9b2d5b4678],,2024-05-30T17:27:39,iPhone客户端,1,1,"[{""id"": ""[6393004071]"", ""created_at"": ""05-30"", ""source"": ""来自山东"", ""user"": {""id"": ""[1bc31ca28e]"", ""screen_name"": ""[24ad6d54a2]""}, ""text"": ""以后再有人骂我我直接玉玉症警告"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 17:27:39
[fcc83af883],[30ba712041],"陈奕迅《富士山下》（《爱情呼叫转移》电影主题曲）
富士山下
 @QQ音乐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T11:24:41,iPhone客户端,0,0,,0,,[3ef42060a2],2024-05-30 11:24:41
[f9a59a6c10],[f43d184983],万般皆是命 半点不由人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-30T11:01:17,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-30 11:01:17
[951193064b],[239d1a3540],以前睡眠质量这么好，沾床就睡，到现在也得靠褪黑素哈哈哈，晚安💤 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T22:37:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 22:37:56
[9bab754dea],[c27632f901],执念不会像雨一样说停就停 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T21:42:10,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 21:42:10
[63c2866329],[52101d41db],我就活这一次 就是想跟我喜欢的人有一个好的结局 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T21:11:38,iPhone客户端,0,1,"[{""id"": ""[c1ed717b41]"", ""created_at"": ""05-29"", ""source"": ""来自山东"", ""user"": {""id"": ""[1bc31ca28e]"", ""screen_name"": ""[24ad6d54a2]""}, ""text"": ""想没用 [可怜]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 21:11:38
[361ab57fd7],[c2d3890583],成为更好的人 新的约定 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T18:57:57,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 18:57:57
[09dffd175f],[a4ce2b5fc6],好好好，又是一秒没#薛之谦西宁演唱会# ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T17:18:07,iPhone客户端,0,0,,0,薛之谦西宁演唱会,[9b2d5b4678],2024-05-29 17:18:07
[250603b23a],[a28c55a979],漫山遍野 你的脸庞 唯有遗忘是最漫长 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T18:52:00,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 18:52:00
[87f4ac4c78],[d12f4f3305],纵然结局不如意 相遇即是上上签 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T17:28:37,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 17:28:37
[8dd143e283],[828ee4e6c1],幸福就是 做一个记性差的人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T11:55:29,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 11:55:29
[b85071eaaa],[7fe6658b93],我的计划就是一直自由 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T23:51:40,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-27 23:51:40
[7b60cea329],[4290222ddf],"受不了了，明天回家
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T14:38:12,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-27 14:38:12
[ba87cb530b],[04386a4de1],"很多人只想选对人，却不愿意努力做为对的人。我们总以为的勇敢，是不行就分一拍两散。人间别阔，更好的还在眼前，后来我们才理解，可能真正的勇敢是不计前嫌，宽容大度，发现彼此身上的缺点之后，仍然愿意去欣赏和尊重彼此身上的优点。把心碎的东西找出伟大的，把平淡的东西找出浪漫的。爱这个东西，从 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T22:42:36,iPhone客户端,2,0,,0,,[9b2d5b4678],2024-05-26 22:42:36
[d6607ddd77],[c3eb815a27],"老家河南欢迎你
 
濮阳
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],濮阳,2024-05-26T13:15:07,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-26 13:15:07
[9573792182],[5df9a655c5],真希望自己活在梦里 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T00:22:18,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-26 00:22:18
[6237c0917f],[df852ecc33],"已经穷到开始接顺风车的单子了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T23:44:00,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-25 23:44:00
[f0cb900e87],[ed94c3fc00],越来越觉得自己有当🤡的潜质 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T23:18:11,iPhone客户端,1,1,"[{""id"": ""[fa549be08c]"", ""created_at"": ""05-25"", ""source"": ""来自山东"", ""user"": {""id"": ""[1bc31ca28e]"", ""screen_name"": ""[24ad6d54a2]""}, ""text"": ""其实有个好听点的说法，叫纯爱战士 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 23:18:11
[676b98e17d],[9bbde3b8c7],情不知所起 一往而深 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T21:10:52,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-25 21:10:52
[ea6401fd4f],[15520747ba],always and forever ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T20:25:00,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-25 20:25:00
[752a28a639],[a1209202ec],无山可靠 我自当山 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T00:15:14,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-25 00:15:14
[b098e599fe],[3b3c460299],我们都不坏 凭什么不幸福 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T23:50:51,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-23 23:50:51
[36a3d798f5],[b90c265c63],希望这个夏天爱与运气同在 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T23:27:45,iPhone 12 Pro Max,0,0,,0,,[9b2d5b4678],2024-05-23 23:27:45
[cde3c3a135],[1dfe4c5f7c],人们以为忍住了思念 就是赢了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T19:49:06,iPhone 12 Pro Max,0,0,,0,,[9b2d5b4678],2024-05-23 19:49:06
[09c9d9526e],[c2cd00ccf3],"最近什么事都不顺，果然我是干啥啥不行，好累啊，现在混的都没人能说这些事，想死
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T17:10:21,iPhone 12 Pro Max,0,0,,0,,[9b2d5b4678],2024-05-23 17:10:21
[16681d80ae],[d50d85b4fb],"家都不让回了是吧，煞笔公司
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T12:08:56,iPhone 12 Pro Max,0,0,,0,,[9b2d5b4678],2024-05-23 12:08:56
[355e9bfaca],[66c8c1a5f0],"我好爱
 ",[9b2d5b4678],[c26971abf6],[9b2d5b4678],,2024-05-23T00:07:59,iPhone 12 Pro Max,0,0,,0,,[9b2d5b4678],2024-05-23 00:07:59
