id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[45bc46e230],[b88995efd0],没事儿，咱们就是去玩玩的，给考试难度探个底为八月考试做准备🥳 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T06:03:28,iPhone,0,0,,0,,[9b2d5b4678],2024-05-31 06:03:28
[526ee8687d],[4922084cf3],"抑郁症
 可是明明退路有很多，人也不是十全十美的，考不好挂科就补考，但总是把成绩和自己的价值和面子挂钩
不要再逼死自己了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T05:45:48,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-05-31 05:45:48
[293aedb520],[794274095e],"🦋认识世界的那天也是一个周二
12岁最向往的年纪就是今年！
请067号玩家 勇敢的尝试新事物 大胆的享受世界
考试加油 平安顺遂 ",[9b2d5b4678],[c369e1b7ec],[9b2d5b4678],,2024-05-28T19:29:49,iPhone,1,0,,0,,[9b2d5b4678],2024-05-28 19:29:49
[591fffb73e],[7f617296da],,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T02:23:58,生日动态,0,0,,0,,[9b2d5b4678],2024-05-28 02:23:58
[889c034c5a],[dc36c9c28a],独上c楼再把知识点从我脑子里顶出来我就要独上西天了😅🙏🏻🥹 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T07:50:54,iPhone,0,0,,0,,[9b2d5b4678],2024-05-24 07:50:54
[5608f3afb2],[b9888b9577],"山子你能不能也自荐一下
是你上位以歌手身份走向国际大众的时候了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T20:59:04,iPhone,0,0,,0,,[9b2d5b4678],2024-05-17 20:59:04
[36530b05a2],[fc9b1a5925],"我是真有点破防了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-16T12:48:49,iPhone,1,0,,0,,[9b2d5b4678],2024-05-16 12:48:49
[aad805033d],[701b6105c8],"突然想到前两天跟麻麻提到的问题，因为有些事情也不想跟爸妈说 妈妈就说那多去找心理医生聊，然后突然想到了我常把正常人面具焊在脸上这件事
一般来说如果状态不好很难出房间（哪怕是看医生）所以一般我能去找医生就说明那件事儿在我这儿已经快过去了……所以反反复复我还是那一滩烂泥hhhh ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-07T01:48:42,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-07 01:48:42
[3c5fe7e02c],[eea965d883],有一度认为世界上的每个人人都最少有一半都是被负面情绪充斥的，直到我真的遇到了和以前一样诚挚的人才知道原来还有人完全纯粹的享受着生活 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T21:26:41,iPhone,0,0,,0,,[9b2d5b4678],2024-05-06 21:26:41
[39051040b3],[b1e9d9b934],"最近好像所有感官都淡化了（除了犯困）
只是明确的感觉到自己又抑郁症发病了，但是好像具体也不知道为什么，我现在好像跟我的负能量相处的特别好，不过生理上抑郁症复发的表现特别明显…
大概要多谢我的自我保护机制…好像有一些想死，但是感觉上也就一点点这样的情绪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T21:21:32,iPhone,0,1,"[{""id"": ""[7b17853bce]"", ""created_at"": ""05-06"", ""source"": ""来自江苏"", ""user"": {""id"": ""[3c2a62b201]"", ""screen_name"": ""[1d6d5c29f4]""}, ""text"": ""我建议就是可以多出去走走，晒晒太阳。实在不行就吃药辅助治疗。别硬扛着 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 21:21:32
