id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[10e7b17b59],[2c17eb0e76],"抑郁症
 昨天晚上没睡好，醒了七次，早上起来特别特别不舒服
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T07:01:11,抑郁症超话,1,1,"[{""id"": ""[a4e27d9fa1]"", ""created_at"": ""昨天 08:04"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 07:01:11
[68d94f43fb],[3815f8f1fd],"抑郁症
 我只是病了，我不是废物我不是累赘。。。我不是。。。。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T21:21:28,抑郁症超话,3,5,"[{""id"": ""[42dfc71369]"", ""created_at"": ""13小时前"", ""source"": ""来自广西"", ""user"": {""id"": ""[7bf690e642]"", ""screen_name"": ""[d9f055a30d]""}, ""text"": ""你不是 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d4e74365cf]"", ""created_at"": ""04-24"", ""source"": ""来自河北"", ""user"": {""id"": ""[cd6ecaac38]"", ""screen_name"": ""[2670eecd0d]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5026799623342622, ""reply_text"": ""回复@Isabella安岚:不哭不哭抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[031f5b9970]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@Isabella安岚:不哭不哭抱抱"", ""reply_id"": 5026799504855134, ""reply_text"": ""回复@要长记性的木子: [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c38af0b1c]"", ""created_at"": ""04-24"", ""source"": ""来自河北"", ""user"": {""id"": ""[cd6ecaac38]"", ""screen_name"": ""[2670eecd0d]""}, ""text"": ""回复@要长记性的木子: [泪]"", ""reply_id"": 5026798839271121, ""reply_text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2af5e7ef28]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""不是的 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 21:21:28
[242ed161dd],[d863536254],"邓紫棋#超话星愿池# 
考上固安一中，还有早点见到解解，
还愿祖国繁荣昌盛，国泰民安！ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T17:03:00,邓紫棋超话,1,0,,0,超话星愿池,[9b2d5b4678],2024-04-24 17:03:00
[28a7733a43],[ed4799e5ad],"抑郁症
 每天都好绝望。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T22:07:18,抑郁症超话,1,2,"[{""id"": ""[73930ba05b]"", ""created_at"": ""04-23"", ""source"": ""来自江西"", ""user"": {""id"": ""[75be061952]"", ""screen_name"": ""[17e87ecac6]""}, ""text"": ""，我是树洞，有需要请找 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5218a2f991]"", ""created_at"": ""04-21"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱住 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 22:07:18
[c3e90b1bca],[b56621346f],"抑郁症
 怎么办啊我全身抖得厉害还好恶心，吃了安眠药也不起作用。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T22:13:15,抑郁症超话,0,2,"[{""id"": ""[c32bca6270]"", ""created_at"": ""04-20"", ""source"": ""来自广东"", ""user"": {""id"": ""[37bd4c02d2]"", ""screen_name"": ""[d4bb24cbc1]""}, ""text"": ""再等一下，一会就能睡着了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec36eb4d10]"", ""created_at"": ""04-20"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-20 22:13:15
[1ca6c83e26],[59be0812ec],"抑郁症
 难受。。。。。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T22:11:38,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-20 22:11:38
[6a9f8abb11],[98cdd8d671],"抑郁症
 配药咯 ",[9b2d5b4678],[b6b107f6b7],[9b2d5b4678],,2024-04-14T19:38:45,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-14 19:38:45
[50601e704a],[057e5eadda],"抑郁症
 养的小珠子
 ",[9b2d5b4678],[d5c31ff879],[9b2d5b4678],,2024-04-14T19:31:45,抑郁症超话,5,11,"[{""id"": ""[21e313b85d]"", ""created_at"": ""04-14"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""哇"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 19:31:45
[693a1c3071],[4b3d5ceedb],"抑郁症
 今天睡了十七个小时还是好困。。。嗜睡我恨你
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T19:40:06,抑郁症超话,1,4,"[{""id"": ""[e15abbe884]"", ""created_at"": ""04-14"", ""source"": ""来自河北"", ""user"": {""id"": ""[cd6ecaac38]"", ""screen_name"": ""[2670eecd0d]""}, ""text"": ""回复@小空自流: [泪]"", ""reply_id"": 5022846592226459, ""reply_text"": "" [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7070d512e0]"", ""created_at"": ""04-13"", ""source"": ""来自江苏"", ""user"": {""id"": ""[192e1dd0c8]"", ""screen_name"": ""[af4eb4a9a4]""}, ""text"": "" [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[16fb2a5c63]"", ""created_at"": ""04-13"", ""source"": ""来自河北"", ""user"": {""id"": ""[cd6ecaac38]"", ""screen_name"": ""[2670eecd0d]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5022794700033463, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5ab7d6c273]"", ""created_at"": ""04-13"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 19:40:06
[9d739ce6a4],[688b9a6554],"抑郁症
 为什么吃了药浑身像被针扎一样，还发冷
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T09:14:36,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-13 09:14:36
