id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d983f91ad0],[5add307d5d],我用生命来诠释我的爱 ,[9b2d5b4678],[bde4d050ee],[9b2d5b4678],,2024-06-07T13:59:33,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 13:59:33
[3a82107202],[3dd8967f31],其实人是虚伪 ,[9b2d5b4678],[8ff1805755],[9b2d5b4678],,2024-06-07T10:29:02,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 10:29:02
[6c7d124078],[8c7d4344e1],疼痛蔓延全身，我想早日离去 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T17:22:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 17:22:48
[522435d3ba],[47ab6fa7ea],臭味总能掩盖香味，令人恶心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T16:30:35,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-03 16:30:35
[d497c8eb93],[6fa50e934b],难受到想把我手指砍了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T17:58:49,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-31 17:58:49
[fa18d7cb67],[4622e56a34],自杀算不算杀人，我能被枪毙吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T08:29:46,iPhone客户端,1,2,"[{""id"": ""[41ba0c2a8d]"", ""created_at"": ""05-29"", ""source"": ""来自广西"", ""user"": {""id"": ""[13b1a8da27]"", ""screen_name"": ""[26d8466ab3]""}, ""text"": ""回复@雪中盼望:🥺好～"", ""reply_id"": 5039451373830825, ""reply_text"": ""还有我陪着你"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4be98cf005]"", ""created_at"": ""05-29"", ""source"": ""来自河南"", ""user"": {""id"": ""[7e2c38c8c6]"", ""screen_name"": ""[0d07456788]""}, ""text"": ""还有我陪着你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-29 08:29:46
[a2df52e50d],[2e1811a34e],想死就让我死吧，别抓着我不放了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T15:46:01,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 15:46:01
[db65389127],[2524b18356],我真的，，，我，能不能让我死掉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T15:42:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 15:42:22
[cf5a47c77b],[19cbd398a0],求求你杀了我吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T15:42:04,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 15:42:04
[5f52bb7f0d],[8ba6eaf283],"每个世界有每个世界的精彩
而我只是旅者 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T01:45:19,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-26 01:45:19
[2566ac33f6],[bc38aaa0ed],又是这种莫名的感觉到窒息的时候 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T17:28:41,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-24 17:28:41
