id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2d91c56f20],[586d698728],对不起。 ,[9b2d5b4678],[f01797759b],[9b2d5b4678],,2024-05-05T09:18:43,阴暗女鬼的HarmonyOS设备,1,0,,0,,[9b2d5b4678],2024-05-05 09:18:43
[6cfc45bc0b],[7716c543a5],"抑郁症
我妈又因为我请假的事和我吵了一架。和之前不同的是，她这次直接动手打了我，扯我头发，扇我耳光，扯我衣服。我清晰地看到了她扭曲的脸。这件事对我造成的打击是无法想象的。我明白了我的病终于惹烦了世界上最后一个包容我的人。现在她不会再爱我了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T09:04:49,抑郁症超话,1,3,"[{""id"": ""[3b85cfb87d]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[70fe1791db]"", ""created_at"": ""05-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[69ddbd7d55]"", ""screen_name"": ""[ec3fdc72dc]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[820ab68404]"", ""created_at"": ""05-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[fc9139e200]"", ""screen_name"": ""[362b33a403]""}, ""text"": ""我的天 [允悲]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 09:04:49
[9c721b0c7b],[a5a67015d5],对不起。 ,[9b2d5b4678],[a00e4a97bb],[9b2d5b4678],,2024-05-05T08:58:22,阴暗女鬼的HarmonyOS设备,0,1,"[{""id"": ""[94a43c216c]"", ""created_at"": ""05-05"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[e97e7edcbb]"", ""screen_name"": ""[efee99fda0]""}, ""text"": ""不要这样快点好起来 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 08:58:22
[a8af524537],[bfcc17e822],"抑郁症
莫名其妙哭着失眠到早上五点，七点半被叫起来上课，让家长请假。骂我“到底想干什么”“不懂事”“矫情”“作”，骂了我二十分钟，我忍不住还了几句嘴。后面她骂我“只会想到自己的烂人”还骂我整天说自己多么难受怎么不去死。之后我情绪崩溃冲出去到厨房拿刀，然后她又打我。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T08:21:07,抑郁症超话,0,2,"[{""id"": ""[1f01590c35]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7dc7d67890]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起对不起"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 08:21:07
[8ddb677ba1],[9aec84a637],好多人啊。。。 路都走不动了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T15:32:43,阴暗女鬼的HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-05-04 15:32:43
[5bbfd2a680],[d90c6be6a3],#5.2漫展#漫展特种兵启动。。。。（艰难） ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T06:16:36,阴暗女鬼的HarmonyOS设备,0,0,,0,5.2漫展,[9b2d5b4678],2024-05-02 06:16:36
[500020d5e8],[5d844ccd8d],"恒景
捡 ",[9b2d5b4678],[b53435b2e5],[9b2d5b4678],,2024-04-26T20:13:24,恒景超话,3,2,"[{""id"": ""[613ad7cbb5]"", ""created_at"": ""04-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[5442450c98]"", ""screen_name"": ""[4ba01b5b34]""}, ""text"": ""勇者无畏，拾金不昧，值得赞赏！望恒景继续保持这份勇敢和正直。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7c7c5e1327]"", ""created_at"": ""04-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[6cb17b9ae8]"", ""screen_name"": ""[59890ce4d0]""}, ""text"": ""拾起遗失之物，亦是拾起一份责任与使命。愿你的每一步，都坚定而光明。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 20:13:24
[3b87b99604],[15bc8a3060],"抑郁症
伤害我的成本低到没有。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T02:48:19,抑郁症超话,0,4,"[{""id"": ""[f60f99b582]"", ""created_at"": ""04-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""我恨"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e9a1c26954]"", ""created_at"": ""04-28"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""恶心。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e2ba11e38c]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱抱"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1660a3c8d4]"", ""created_at"": ""04-24"", ""source"": ""来自四川"", ""user"": {""id"": ""[6cdd19ec3e]"", ""screen_name"": ""[77b0300117]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 02:48:19
[8773b75b35],[fba24243e6],"抑郁症
吃什么都想吐。米饭和菜都散发着油腻的气味，面包干涩得让人反胃，橘子的口感像黏腻的肥肉。饿得站起来都发晕。强塞的感觉就像蒜卡在喉咙口企图把它咽下去，最后忍不住得吐直到把自己吐到虚脱，嘴里都是苦苦的胆汁。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T23:20:10,抑郁症超话,0,3,"[{""id"": ""[577a474342]"", ""created_at"": ""04-17"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""这个世界太恶心了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ba0a678fc3]"", ""created_at"": ""04-15"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""我恨这个世界"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c2678f2ae0]"", ""created_at"": ""04-14"", ""source"": ""来自广东"", ""user"": {""id"": ""[7e6870165f]"", ""screen_name"": ""[28ea9d0ad9]""}, ""text"": ""找不到活的理由"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 23:20:10
[2c865536b9],[ebd9ef66bf],"抑郁症
好想死啊。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T23:13:24,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-14 23:13:24
