id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f9df2af9ff],[753fb47a2f],"徐正溪
💙  #徐正溪发文告别烈焰# 
这泼天的富贵，听到你念我网名时候泪崩了
是我无闻半生的最高理想啊，阿溪你继续发光我努力跟上，我会在每个有意义的时辰 远隔山海与你共存。@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[2e8dda1c1c],,2024-04-03T19:26:45,徐正溪超话,130,63,,3,徐正溪发文告别烈焰,[580444a4ff],2024-04-03 19:26:45
[aa3b696a58],[46c6d0048d],"徐正溪
 💙#徐正溪黑珑# 💙#徐正溪烈焰# 
早安徐正溪黑珑
战斗力天花板，纯爱战神@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[fdf6f35bf3],,2024-04-19T09:41:22,徐正溪超话,20,10,"[{""id"": ""[2717eda92d]"", ""created_at"": ""5小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[d79c41fcea]"", ""screen_name"": ""[8e1c9947a3]""}, ""text"": "" [舔屏]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[19615d81c8]"", ""created_at"": ""6小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[4b2f06fac3]"", ""screen_name"": ""[29b6a439a7]""}, ""text"": ""回复@是你的恬甜呀:早 [爱你]"", ""reply_id"": 5024809900312185, ""reply_text"": ""早 [亲亲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ba29af6e7a]"", ""created_at"": ""6小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[1a1804fd3c]"", ""screen_name"": ""[326e6310ef]""}, ""text"": ""黑珑帅爆了 [给你小心心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[164cadcad4]"", ""created_at"": ""7小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[a4c5cba24e]"", ""screen_name"": ""[5f85e81fc0]""}, ""text"": ""黑珑真的好帅啊 [好喜欢]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3e634dad8]"", ""created_at"": ""7小时前"", ""source"": ""来自泰国"", ""user"": {""id"": ""[f8433c871b]"", ""screen_name"": ""[ff8bdb85f0]""}, ""text"": ""🌻❤️❤️🌻"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5c5077e47f]"", ""created_at"": ""7小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[a0f2605902]"", ""screen_name"": ""[a6196c42f7]""}, ""text"": ""早 [亲亲]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[7e9248d2cc]"", ""created_at"": ""7小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[4b2f06fac3]"", ""screen_name"": ""[29b6a439a7]""}, ""text"": ""回复@心悦君溪君知否:我弄了个金龙 [允悲]"", ""reply_id"": 5024807836714492, ""reply_text"": ""我们是黑龙 [喵喵]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[64b1c7873f]"", ""created_at"": ""7小时前"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[4cbdba44bb]"", ""screen_name"": ""[ce9fb1bb76]""}, ""text"": ""钦羡一位艺人，始于颜值，陷于才华，忠于专业规范@徐正溪Jeremy"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[52f23a22c0]"", ""created_at"": ""7小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[d662ea536d]"", ""screen_name"": ""[80d882ed73]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[de1292e808]"", ""created_at"": ""7小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[3095e12af1]"", ""screen_name"": ""[30dac47391]""}, ""text"": ""我们是黑龙 [喵喵]"", ""like_counts"": 1, ""liked"": false}]",0,"徐正溪黑珑,徐正溪烈焰",[580444a4ff],2024-04-19 09:41:22
[fca17d8f69],[2ff6d19d23],"徐正溪
💙 #徐正溪水龙吟# 
今日的溪溪子依旧很美呀
注意休息呀
2024 4.18@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[76a563b7cf],,2024-04-18T21:31:53,徐正溪超话,46,10,"[{""id"": ""[af3c2d5e52]"", ""created_at"": ""9小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[4b2f06fac3]"", ""screen_name"": ""[29b6a439a7]""}, ""text"": ""回复@我的心里就只有师父:是呢"", ""reply_id"": 5024635957545831, ""reply_text"": ""他脾气太好了 [悲伤]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e5dbbec9d3]"", ""created_at"": ""9小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[4b2f06fac3]"", ""screen_name"": ""[29b6a439a7]""}, ""text"": ""回复@阳光暖暖伴流年:是的"", ""reply_id"": 5024662969126843, ""reply_text"": ""哥情绪太稳定了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[44dfa7f567]"", ""created_at"": ""16小时前"", ""source"": ""来自海南"", ""user"": {""id"": ""[0d7077287e]"", ""screen_name"": ""[06bd0a96c1]""}, ""text"": ""哥情绪太稳定了 [心]"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[8ff241f1a6]"", ""created_at"": ""16小时前"", ""source"": ""来自马来西亚"", ""user"": {""id"": ""[83dce707d5]"", ""screen_name"": ""[c4c8cfde97]""}, ""text"": ""美美的溪哥@徐正溪Jeremy [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e45161ab0e]"", ""created_at"": ""16小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[de6e6870a8]"", ""screen_name"": ""[3e773fe990]""}, ""text"": ""好看 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3242e14e9d]"", ""created_at"": ""17小时前"", ""source"": ""来自中国台湾"", ""user"": {""id"": ""[b8c3eb8e00]"", ""screen_name"": ""[ff906914fb]""}, ""text"": ""他太好了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[81e9058893]"", ""created_at"": ""17小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[0cd85a8279]"", ""screen_name"": ""[76a6e5bbaf]""}, ""text"": ""温柔是世间的宝藏，而你是世间的温柔!"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[196d825532]"", ""created_at"": ""18小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[c86aafff9d]"", ""screen_name"": ""[7374ce5ab8]""}, ""text"": ""太温柔了 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e96a1bb813]"", ""created_at"": ""18小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[1a1804fd3c]"", ""screen_name"": ""[326e6310ef]""}, ""text"": ""他脾气太好了 [悲伤]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[40dead9940]"", ""created_at"": ""18小时前"", ""source"": ""来自泰国"", ""user"": {""id"": ""[f8433c871b]"", ""screen_name"": ""[ff8bdb85f0]""}, ""text"": ""🌻❤️❤️🌻"", ""like_counts"": 1, ""liked"": false}]",0,徐正溪水龙吟,[580444a4ff],2024-04-18 21:31:53
[48e7bc2398],[1fe119e4e0],"徐正溪
 💙#徐正溪水龙吟# 
漫画里走出来的即视感
是溪溪溪呀@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[754aa1791a],,2024-04-18T17:04:06,徐正溪超话,33,9,"[{'id': 5024581238918264, 'created_at': '22小时前', 'source': '来自泰国', 'user': {'id': 7833862313, 'screen_name': '徐正溪泰国Fanpage米素真'}, 'text': '🌻❤️❤️🌻', 'like_counts': 0, 'liked': False}, {'id': 5024564692912852, 'created_at': '23小时前', 'source': '来自江苏', 'user': {'id': 7838532219, 'screen_name': '我的心里就只有师父'}, 'text': '太帅 [心]', 'like_counts': 1, 'liked': False}, {'id': 5024564455148813, 'created_at': '23小时前', 'source': '来自江西', 'user': {'id': 6217736235, 'screen_name': '么么越狱成功MM'}, 'text': '哥一笑比漫画脸好看 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5024562734170145, 'created_at': '23小时前', 'source': '来自广东', 'user': {'id': 5638981850, 'screen_name': '是你的恬甜呀'}, 'text': '伟大的脸 [亲亲]', 'like_counts': 2, 'liked': False}, {'id': 5024560266873386, 'created_at': '23小时前', 'source': '来自湖南', 'user': {'id': 5840473755, 'screen_name': '耳东冬冬冬咚咚'}, 'text': '此人只应天上有，人间难得几回闻@徐正溪Jeremy', 'like_counts': 1, 'liked': False}, {'id': 5024557790662566, 'created_at': '23小时前', 'source': '来自湖南', 'user': {'id': 1794024502, 'screen_name': 'cody-思念思念思念'}, 'text': ' ""[我想开了]""', 'like_counts': 1, 'liked': False}, {'id': 5024557633111553, 'created_at': '23小时前', 'source': '来自江苏', 'user': {'id': 6378189691, 'screen_name': '溪子牛牛耶'}, 'text': '漫画脸都那么好看啊 ""[锦鲤附体]""', 'like_counts': 2, 'liked': False}, {'id': 5024557417105882, 'created_at': '23小时前', 'source': '来自四川', 'user': {'id': 6337315214, 'screen_name': '心之所想心有灵溪'}, 'text': '这张脸真高级', 'like_counts': 1, 'liked': False}, {'id': 5024556601314771, 'created_at': '23小时前', 'source': '来自海南', 'user': {'id': 7297544357, 'screen_name': '阳光暖暖伴流年'}, 'text': '比漫画还漫画的男人 ""[哇]""', 'like_counts': 3, 'liked': False}]",0,徐正溪水龙吟,[580444a4ff],2024-04-18 17:04:06
[6f819d8bd1],[68de872f89],"徐正溪
 💙#徐正溪水龙吟# 💙#徐正溪鬼牡丹# 
啊啊啊啊啊这金发太帅了
既许一人以偏爱，愿尽余生之慷慨。@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[2626afd024],,2024-04-17T12:40:34,徐正溪超话,98,20,"[{'id': 5024130743403801, 'created_at': '04-17', 'source': '来自四川', 'user': {'id': 6337315214, 'screen_name': '心之所想心有灵溪'}, 'text': '我的天！！我无法呼吸了 [二哈]', 'like_counts': 0, 'liked': False}, {'id': 5024130338653376, 'created_at': '04-17', 'source': '来自中国台湾', 'user': {'id': 6370426585, 'screen_name': '望溪回歸'}, 'text': '溪哥，金髮造型啊～真的人好好 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5024129655508119, 'created_at': '04-17', 'source': '来自河北', 'user': {'id': 7762253647, 'screen_name': '曜星北斗Jason'}, 'text': '溪哥是最帅的 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5024128876938100, 'created_at': '04-17', 'source': '来自山西', 'user': {'id': 5626928000, 'screen_name': '徐你一生正相曦'}, 'text': '回复@阳光暖暖伴流年: [色]', 'reply_id': 5024128679543874, 'reply_text': '帅晕了 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5024128679543874, 'created_at': '04-17', 'source': '来自海南', 'user': {'id': 7297544357, 'screen_name': '阳光暖暖伴流年'}, 'text': '帅晕了 ""[哇]""', 'like_counts': 1, 'liked': False}, {'id': 5024128469828191, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 3181794672, 'screen_name': '仙境花园的羽毛'}, 'text': '美人', 'like_counts': 1, 'liked': False}, {'id': 5024128437851275, 'created_at': '04-17', 'source': '来自山西', 'user': {'id': 5626928000, 'screen_name': '徐你一生正相曦'}, 'text': '回复@NiNi泰国粉丝徐正溪:是呢', 'reply_id': 5024128253561044, 'reply_text': '哇，他真的很帅。 ""[爱慕]""', 'like_counts': 0, 'liked': False}, {'id': 5024128409800892, 'created_at': '04-17', 'source': '来自山西', 'user': {'id': 5626928000, 'screen_name': '徐你一生正相曦'}, 'text': '回复@溪丫頭Na:太帅了', 'reply_id': 5024127968086310, 'reply_text': '帅溪 [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5024128253561044, 'created_at': '04-17', 'source': '来自泰国', 'user': {'id': 7686798890, 'screen_name': 'NiNi泰国粉丝徐正溪'}, 'text': '哇，他真的很帅。 ""[爱慕]""', 'like_counts': 4, 'liked': False}, {'id': 5024127968086310, 'created_at': '04-17', 'source': '来自中国台湾', 'user': {'id': 7808754742, 'screen_name': '溪丫頭Na'}, 'text': '帅溪 [爱你]', 'like_counts': 0, 'liked': False}]",5,"徐正溪水龙吟,徐正溪鬼牡丹",[580444a4ff],2024-04-17 12:40:34
[dc8bbad2a7],[7a073b84ba],"徐正溪
💙 #徐正溪退圈声明后现身片场#💙#徐正溪水龙吟# 是暂别 同时也会完成手头上的工作 
一起期待新剧吧 ",[9b2d5b4678],[3d457df519],[9b2d5b4678],,2024-04-16T15:14:05,徐正溪超话,20,1,"[{""id"": ""[6e113422c6]"", ""created_at"": ""04-16"", ""source"": ""来自山西"", ""user"": {""id"": ""[0d37cdfa32]"", ""screen_name"": ""[b65e90633b]""}, ""text"": ""是暂别"", ""like_counts"": 0, ""liked"": false}]",1,"徐正溪退圈声明后现身片场,徐正溪水龙吟",[9b2d5b4678],2024-04-16 15:14:05
[5390528653],[d2a44594ee],"徐正溪
 💙#徐正溪水龙吟#💙#徐正溪鬼牡丹# 
普通的一切被记录下来就是特别的@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[17d449faf6],,2024-04-13T13:00:11,徐正溪超话,118,37,,5,"徐正溪水龙吟,徐正溪鬼牡丹",[580444a4ff],2024-04-13 13:00:11
[e7f4b1d0a6],[c0cf263ac7],"徐正溪
💙 #徐正溪黑珑#💙 #徐正溪烈焰# 
又是元气满满的一天
等到溪宝上班了@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[c76473147e],,2024-04-13T10:37:43,徐正溪超话,63,16,"[{'id': 5022650833568528, 'created_at': '04-13', 'source': '来自江苏', 'user': {'id': 7838532219, 'screen_name': '我的心里就只有师父'}, 'text': '外形就是好看 [嘻嘻]', 'like_counts': 1, 'liked': False}, {'id': 5022649010359354, 'created_at': '04-13', 'source': '来自江苏', 'user': {'id': 1779298147, 'screen_name': '春逐流溪香1108'}, 'text': '溪哥活力满满的一天开始啦 加油', 'like_counts': 2, 'liked': False}, {'id': 5022648845208796, 'created_at': '04-13', 'source': '来自湖北', 'user': {'id': 6896102791, 'screen_name': '护溪_233'}, 'text': '妥妥的十八阳光大男孩 [doge]', 'like_counts': 3, 'liked': False}, {'id': 5022648109369566, 'created_at': '04-13', 'source': '来自天津', 'user': {'id': 6001891405, 'screen_name': '雪舞九天6001891405'}, 'text': '溪哥好棒！ [心]', 'like_counts': 1, 'liked': False}, {'id': 5022647681290578, 'created_at': '04-13', 'source': '来自中国台湾', 'user': {'id': 7808754742, 'screen_name': '溪丫頭Na'}, 'text': '哇新鲜的溪哥 ""[送花花]""', 'like_counts': 1, 'liked': False}, {'id': 5022647669492374, 'created_at': '04-13', 'source': '来自泰国', 'user': {'id': 7833862313, 'screen_name': '徐正溪泰国Fanpage米素真'}, 'text': '🌻❤️❤️🌻', 'like_counts': 1, 'liked': False}]",0,"徐正溪黑珑,徐正溪烈焰",[580444a4ff],2024-04-13 10:37:43
[df3c707091],[fc18aeb9da],"徐正溪
💙 #徐正溪黑珑# 
遇上你的感觉
大概是走了很久的路
终于到家了@徐正溪Jeremy ",[9b2d5b4678],[89496a4afc],[07186570e9],,2024-04-13T07:37:48,徐正溪超话,10,2,"[{""id"": ""[da41920bd0]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[17277d90a2]"", ""screen_name"": ""[ba3628aef9]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6dd1de8e5a]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[aab1f60b20]"", ""screen_name"": ""[b349a3174e]""}, ""text"": ""徐正溪 [心]"", ""like_counts"": 0, ""liked"": false}]",0,徐正溪黑珑,[580444a4ff],2024-04-13 07:37:48
[293a8aed05],[cb5bbfa442],"徐正溪
 💙#徐正溪黑珑# 💙#徐正溪烈焰# 
愿祝君如此山水
滔滔岌岌风云起@徐正溪Jeremy 
徐你一生正相曦的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[707583809d],,2024-04-12T09:22:34,徐正溪超话,31,5,"[{'id': 5022341862261975, 'created_at': '04-12', 'source': '来自山西', 'user': {'id': 5626928000, 'screen_name': '徐你一生正相曦'}, 'text': '回复@爱溪依旧: [心]', 'reply_id': 5022269751690997, 'reply_text': '不忘初心，溪水长流 [心]', 'like_counts': 0, 'liked': False}, {'id': 5022290201280967, 'created_at': '04-12', 'source': '来自广东', 'user': {'id': 5638981850, 'screen_name': '是你的恬甜呀'}, 'text': '好看 ""[爱慕]""', 'like_counts': 2, 'liked': False}, {'id': 5022277305370200, 'created_at': '04-12', 'source': '来自浙江', 'user': {'id': 1095809003, 'screen_name': '杜若兰汀echo'}, 'text': '徐正溪 [心]', 'like_counts': 2, 'liked': False}, {'id': 5022269751690997, 'created_at': '04-12', 'source': '来自内蒙古', 'user': {'id': 7795671860, 'screen_name': '爱溪依旧'}, 'text': '不忘初心，溪水长流 [心]', 'like_counts': 2, 'liked': False}, {'id': 5022269234221226, 'created_at': '04-12', 'source': '来自江苏', 'user': {'id': 7773173756, 'screen_name': '吃小盆友的小灰狼'}, 'text': '世不遇你，生无可喜。最近很想你，最远也是@徐正溪Jeremy', 'like_counts': 2, 'liked': False}]",0,"徐正溪黑珑,徐正溪烈焰",[580444a4ff],2024-04-12 09:22:34
