id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[3d6f8c65a9],[c1cfa546c1],"ILLIT便利店
 转一车m2电子专 333五卡五专 爱豆驿站2.0 280dk ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T23:01:00,ILLIT便利店超话,0,10,"[{'id': 5024295396311653, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '回复@嘟嘟嘟嘟一嘟嘟:已出', 'reply_id': 5024295250823688, 'reply_text': 'm2还在吗', 'like_counts': 0, 'liked': False}, {'id': 5024295250823688, 'created_at': '04-17', 'source': '来自江苏', 'user': {'id': 6499277002, 'screen_name': '嘟嘟嘟嘟一嘟嘟'}, 'text': 'm2还在吗', 'like_counts': 0, 'liked': False}, {'id': 5024287267753954, 'created_at': '04-17', 'source': '来自江西', 'user': {'id': 7643018613, 'screen_name': 'one桃米'}, 'text': '回复@火鸡不爱吃火鸡面:好滴私我姐妹', 'reply_id': 5024287209816815, 'reply_text': '回复@one桃米:对的', 'like_counts': 0, 'liked': False}, {'id': 5024287209816815, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '回复@one桃米:对的', 'reply_id': 5024287058826891, 'reply_text': '回复@火鸡不爱吃火鸡面:是直接改地址吗', 'like_counts': 0, 'liked': False}, {'id': 5024287058826891, 'created_at': '04-17', 'source': '来自江西', 'user': {'id': 7643018613, 'screen_name': 'one桃米'}, 'text': '回复@火鸡不爱吃火鸡面:是直接改地址吗', 'reply_id': 5024285602881605, 'reply_text': '回复@one桃米:月底专辑入库后发', 'like_counts': 0, 'liked': False}, {'id': 5024285602881605, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '回复@one桃米:月底专辑入库后发', 'reply_id': 5024285426452062, 'reply_text': '问M2进度', 'like_counts': 0, 'liked': False}, {'id': 5024285426452062, 'created_at': '04-17', 'source': '来自江西', 'user': {'id': 7643018613, 'screen_name': 'one桃米'}, 'text': '问M2进度', 'like_counts': 0, 'liked': False}, {'id': 5024284106556906, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '不走平台可以刀 [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5024284011400206, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '急 [下雨]', 'like_counts': 0, 'liked': False}, {'id': 5024283831047931, 'created_at': '04-17', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': ' ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-17 23:01:00
[0481a24b2c],[2b8fa3783a],"抑郁症
 等会要去二模了 第一门没有考 没有信心……准备直接考理综 第一门没去考和父母大吵一架
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T08:29:22,抑郁症超话,0,3,"[{""id"": ""[d269efd05f]"", ""created_at"": ""04-16"", ""source"": ""来自上海"", ""user"": {""id"": ""[1045908131]"", ""screen_name"": ""[4cc19066c7]""}, ""text"": ""放平心态 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[64f89917bb]"", ""created_at"": ""04-16"", ""source"": ""来自河北"", ""user"": {""id"": ""[9e0cd46f39]"", ""screen_name"": ""[3b516466ed]""}, ""text"": ""我们也在二模"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a1270b929a]"", ""created_at"": ""04-16"", ""source"": ""来自江西"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 08:29:22
[f9e86f073c],[b5461a88b1],"蛋仔派对交易
 2213到无敌多少
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T11:51:50,蛋仔派对交易超话,1,13,"[{'id': 5023391874548465, 'created_at': '04-15', 'source': '来自河北', 'user': {'id': 6259168065, 'screen_name': 'WNSJS-'}, 'text': '不限时330运气好三开有信誉图有保障', 'like_counts': 0, 'liked': False}, {'id': 5023390827549048, 'created_at': '04-15', 'source': '来自湖北', 'user': {'id': 6361736458, 'screen_name': '皮卡Boomwu'}, 'text': '不限时340 宝宝看这里 专业代打 主页信誉图跟战绩图 榜一到榜十大团 主播代皆有 随时观战非常靠谱 效率快 可以走 安全放心 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5023390786126962, 'created_at': '04-15', 'source': '来自山东', 'user': {'id': 7765831180, 'screen_name': '织雨不知春秋'}, 'text': '340不限时宝宝 默认4开起步 有团可🐟 宝宝有意向回关', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-15 11:51:50
[da9a101f9b],[888a1adf94],"ITZY中转站
 出20/1 红瑕
 ",[9b2d5b4678],[3c9e4538ba],[9b2d5b4678],,2024-04-13T17:33:48,ITZY中转站超话,0,4,"[{'id': 5022756318743844, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '回复@圆园元媛:可以的 剩的不多我能自留 ""[举手]""', 'reply_id': 5022756053975258, 'reply_text': '可以试拼一下吗 [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5022756053975258, 'created_at': '04-13', 'source': '来自广东', 'user': {'id': 6251467402, 'screen_name': '圆园元媛'}, 'text': '可以试拼一下吗 [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5022752132302632, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '无烂卡领多', 'like_counts': 0, 'liked': False}, {'id': 5022752077775744, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '盘收优先 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-13 17:33:48
[98a70a95b5],[c9bc2f30f3],"ILLIT便利店
 出 80不包三张wvs5预售签售
帮d出掉打2.4 ",[9b2d5b4678],[04372e703a],[9b2d5b4678],,2024-04-13T12:46:20,ILLIT便利店超话,3,12,"[{""id"": ""[946a3b2090]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""up"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14ecdef5b4]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""up [单身狗]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 12:46:20
[a193ec00cf],[42ca281fac],"ILLIT便利店
 90不包三张wvs签售预售5 可刀 ",[9b2d5b4678],[eb6bcfa2f4],[9b2d5b4678],,2024-04-13T12:35:28,ILLIT便利店超话,0,5,"[{""id"": ""[d8ba247396]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""回复@LordeTaylor:或者80不包走平台你看呢 [单身狗]"", ""reply_id"": 5022677217054343, ""reply_text"": ""可以包邮嘛"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[1c170e48b7]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""回复@LordeTaylor:不走平台可以 信誉可查 [单身狗]"", ""reply_id"": 5022677217054343, ""reply_text"": ""可以包邮嘛"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fc4ab0cd68]"", ""created_at"": ""04-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[63ca9b7fde]"", ""screen_name"": ""[f995a95dbd]""}, ""text"": ""可以包邮嘛"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0607bd4bc1]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""可以刀接受度高 [允悲]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fe2ba63e3c]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""upup"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 12:35:28
[131b166a6e],[2dceda768d],"ILLIT便利店
 100不包三张wvs5签售预售可刀接受度高 ",[9b2d5b4678],[8483f23075],[9b2d5b4678],,2024-04-13T08:48:07,ILLIT便利店超话,0,2,"[{'id': 5022619868856570, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '有心理价直接说接受度很高 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5022619633978472, 'created_at': '04-13', 'source': '来自上海', 'user': {'id': 7507683189, 'screen_name': '火鸡不爱吃火鸡面'}, 'text': '请收 ""[举手]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-13 08:48:07
[db9f8772c7],[4a3b30577d],"抑郁症
 我比你们更希望自己真的没有得病。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T23:25:13,抑郁症超话,0,3,"[{""id"": ""[7356d9a37b]"", ""created_at"": ""04-13"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0c6d70e37]"", ""screen_name"": ""[a5d83f77d3]""}, ""text"": ""回复@火鸡不爱吃火鸡面:谢谢支持，俺老孙也爱你！"", ""reply_id"": 5022488442702629, ""reply_text"": ""回复@花果山_孙悟空:啊啊啊啊啊我爱你猴哥 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f08c573d90]"", ""created_at"": ""04-13"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""回复@花果山_孙悟空:啊啊啊啊啊我爱你猴哥 [泪]"", ""reply_id"": 5022488212016868, ""reply_text"": ""俺老孙觉得，逆境里也能练成真英雄，加油！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2206d5ac80]"", ""created_at"": ""04-13"", ""source"": ""来自北京"", ""user"": {""id"": ""[f0c6d70e37]"", ""screen_name"": ""[a5d83f77d3]""}, ""text"": ""俺老孙觉得，逆境里也能练成真英雄，加油！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-12 23:25:13
[c03d85dfad],[822f952192],"抑郁症
 想知道大家回学校都是怎么心理建设的。。开学到现在几乎没怎么去，下周要模拟考了所以明天要去学校。一想到明天要去学校，面对老师同学就心慌胸闷。。
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T22:15:58,抑郁症超话,1,4,"[{""id"": ""[eae888452c]"", ""created_at"": ""04-09"", ""source"": ""来自河北"", ""user"": {""id"": ""[0dbf17f71c]"", ""screen_name"": ""[fd94d0f514]""}, ""text"": ""其实大家只会在意你是不是出事了，而不会嘲讽你。。。你只要说自己生病了，或者有其他事，让他们接受就够了，不会有很多人不停的缠着你。。其实很多人还会羡慕你不用去学校不用熬夜写作业之类的"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[e19d7a945d]"", ""created_at"": ""04-08"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""回复@小鱼蛋饼呢:好的宝宝谢谢你 [泪]"", ""reply_id"": 5021016903124240, ""reply_text"": ""跟老师沟通好不要管你 如果有好朋友或者关系好的同学可以让他们带你适应一下（我觉得一个人会比较尴尬）然后给自己设置一个很想要的奖励 比如我今天去了就买一个我很想要但是舍不得买的东西不知道有没有用但是加油呀 [兔子]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[db392e50ad]"", ""created_at"": ""04-08"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d9a8258b7b]"", ""screen_name"": ""[93c3daae8f]""}, ""text"": ""跟老师沟通好不要管你 如果有好朋友或者关系好的同学可以让他们带你适应一下（我觉得一个人会比较尴尬）然后给自己设置一个很想要的奖励 比如我今天去了就买一个我很想要但是舍不得买的东西不知道有没有用但是加油呀 [兔子]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[90750b1a53]"", ""created_at"": ""04-08"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""急急急 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 22:15:58
[5117096132],[2a73332646],"蛋仔派对
 有没有打小号的
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T16:28:04,蛋仔派对超话,0,1,"[{""id"": ""[937b78d546]"", ""created_at"": ""04-08"", ""source"": ""来自上海"", ""user"": {""id"": ""[e9e9b80b03]"", ""screen_name"": ""[2abf3e5f2b]""}, ""text"": ""鸵鸟"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-08 16:28:04
