id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[69f89ce8f9],[05d7da6be5],来杀了我吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T21:02:53,华为畅享 50 Pro,0,0,,0,,[9b2d5b4678],2024-06-08 21:02:53
[40e471d0cc],[dbe9e5f973],她不是关心我才来打听我，她是怕我考得好才来问我的哈哈哈 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T19:38:59,华为畅享 50 Pro,0,1,"[{""id"": ""[4a8d23f555]"", ""created_at"": ""10小时前"", ""source"": ""来自天津"", ""user"": {""id"": ""[a68bb7621d]"", ""screen_name"": ""[b9f8c325c0]""}, ""text"": ""怎么了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-08 19:38:59
[6df7652fe2],[7e4891ce88],还关心我，内心里知道我参加高考心里都眼气死了，各种打听我的消息，不就是怕我考个好成绩吗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T19:38:29,华为畅享 50 Pro,0,0,,0,,[9b2d5b4678],2024-06-08 19:38:29
[116a04b0de],[4d6ef3b81b],去死吧你少来打听我过的怎么样 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T19:37:47,华为畅享 50 Pro,0,0,,0,,[9b2d5b4678],2024-06-08 19:37:47
[a44b0f51fd],[9f7e01af4a],太痛苦了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T03:36:48,华为畅享 50 Pro,3,0,,0,,[9b2d5b4678],2024-06-08 03:36:48
[4b836ec078],[1b60fc9e52],我好累啊我好想睡一觉再也醒不过来 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T17:59:50,华为畅享 50 Pro,2,0,,0,,[9b2d5b4678],2024-06-07 17:59:50
[8ed23c0b21],[559707687e],我不想再跟别人说任何事情，我只想赶快了解这一切 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T17:43:43,华为畅享 50 Pro,2,0,,0,,[9b2d5b4678],2024-06-07 17:43:43
[3491eed2db],[61ab9f5adb],活的太痛苦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T17:35:57,华为畅享 50 Pro,2,0,,0,,[9b2d5b4678],2024-06-07 17:35:57
[ab35e68e97],[c4f4dd71b9],我真的希望这一切都是一场梦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T00:24:39,华为畅享 50 Pro,2,0,,0,,[9b2d5b4678],2024-06-06 00:24:39
[23724a7a61],[5898075531],情绪问题一严重就会感冒发烧拉肚子 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T20:15:04,华为畅享 50 Pro,1,1,"[{""id"": ""[9b75b0d531]"", ""created_at"": ""06-05"", ""source"": ""来自北京"", ""user"": {""id"": ""[b85c3db1ae]"", ""screen_name"": ""[90c5891f33]""}, ""text"": ""情绪问题可能会影响身体健康，要注意调节情绪哦！保持心情愉快，多放松放松，注意休息和饮食，身体才会更健康！加油鸭！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 20:15:04
[c954608d75],[b0594c9c15],我突然觉得我的一辈子很苦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T20:14:32,华为畅享 50 Pro,1,0,,0,,[9b2d5b4678],2024-06-05 20:14:32
[339d28d9f4],[0f81bb573e],好痛苦感觉要死了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T18:57:50,华为畅享 50 Pro,2,1,"[{""id"": ""[9e0e2f2c6a]"", ""created_at"": ""06-05"", ""source"": ""来自天津"", ""user"": {""id"": ""[a68bb7621d]"", ""screen_name"": ""[b9f8c325c0]""}, ""text"": ""抱抱"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 18:57:50
[30bc3c896a],[117308dae4],感冒了，不想吃饭，爸爸妈妈说带我去吃好吃的 真好 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T18:19:48,华为畅享 50 Pro,2,0,,0,,[9b2d5b4678],2024-06-05 18:19:48
