id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f37bbef4b7],[92434f6934],不是我说  我真的是个深井冰 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T09:32:32,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 09:32:32
[73aefd206c],[79edb9c81e],"抑郁症
 
为什么在感到幸福的时候很想死呢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T12:42:00,抑郁症超话,1,5,"[{""id"": ""[f139aa5215]"", ""created_at"": ""11小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@健康有钱幸福都来: [心]"", ""reply_id"": 5029949049932860, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5b0e6abbe6]"", ""created_at"": ""11小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[59ae231227]"", ""screen_name"": ""[2cb59f4e45]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5029929236829113, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[50b6b1ac8a]"", ""created_at"": ""11小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[59ae231227]"", ""screen_name"": ""[2cb59f4e45]""}, ""text"": ""回复@Blue_繁星满天:或许吧"", ""reply_id"": 5029931380116689, ""reply_text"": ""我想是对这种幸福感太着迷了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10014923db]"", ""created_at"": ""13小时前"", ""source"": ""来自江苏"", ""user"": {""id"": ""[13428f76e1]"", ""screen_name"": ""[b3f3e93a27]""}, ""text"": ""我想是对这种幸福感太着迷了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bf697bb28b]"", ""created_at"": ""13小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 12:42:00
[a7736e9df2],[ede3dae70d],我就是个神经病 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T22:36:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-02 22:36:31
[1fc0ccecb4],[b0cc9bcad0],可以马上去死的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T23:51:21,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-23 23:51:21
[1bd46d947f],[5f411d1458],头痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-01T19:17:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-04-01 19:17:48
[551a4f32e4],[68ff5cd461],好痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T23:29:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-30 23:29:31
[c8d86f78ea],[39b4a1829a],好没意思 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T15:53:24,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-30 15:53:24
[f5c50c01ab],[54b35396f8],很累 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-28T21:07:49,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-28 21:07:49
[b9305b34b6],[d2f86a9dd5],没关系  只要跳下去就好了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-20T12:31:14,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-20 12:31:14
[e0bcf14101],[50628e8793],"抑郁症
 
如果有选择  谁会走一条难走的路  妈妈  我买了一张票  那里有桥有水  站在上面去我们都可以解放了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-17T16:48:56,抑郁症超话,2,2,"[{""id"": ""[777763f94b]"", ""created_at"": ""03-23"", ""source"": ""来自四川"", ""user"": {""id"": ""[59ae231227]"", ""screen_name"": ""[2cb59f4e45]""}, ""text"": ""回复@游鱼住深海: [抱抱]"", ""reply_id"": 5012967270386420, ""reply_text"": ""不知道说什么能安慰你，语言太单薄了,但是抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bd421b1320]"", ""created_at"": ""03-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[9355b3715d]"", ""screen_name"": ""[276a549f4c]""}, ""text"": ""不知道说什么能安慰你，语言太单薄了,但是抱抱你 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-17 16:48:56
[c524677a9d],[ffcbb769d4],老天  这次可不可以告诉我该不该向前走吗  我真的不知道该怎么办 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-15T07:21:32,iPhone客户端,0,1,"[{""id"": ""[a410cb8316]"", ""created_at"": ""03-15"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""亲爱的，我明白你的困惑，但只有你自己才能决定你的方向"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-15 07:21:32
[7179189527],[4ac30142aa],想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-13T17:01:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-13 17:01:15
[794be8dc2b],[12962f5f8a],好累 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-10T09:51:23,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-10 09:51:23
[02a2fb7c6f],[b972222000],好累 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-09T06:12:26,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-09 06:12:26
[6151f409ec],[dcfce1b8ca],亲密关系我根本相处不来 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-08T23:44:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-08 23:44:44
[15f0bf55c6],[3c9ac43805],崩溃 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-08T06:22:25,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-08 06:22:25
[8dbb939360],[6f6e103e6e],下午故意喝了三杯茶 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-04T03:46:42,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-04 03:46:42
[f92f30c394],[3dc1de4723],好累 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-04T03:44:53,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-03-04 03:44:53
