id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[c5917018fd],[cc9600b2f8],"胡彦斌
魅力陵之南，激情盛夏夜。6月15日14:30来#南陵大浦“iCAR”海啸音乐嘉年华##感受最热的音浪！# 我们相约南陵大浦乡村世界@胡彦斌既然爱了就不后悔
既然爱了就无怨无悔
你跨过千山万水我紧紧跟随
守护你，支持你，相信你会懂
你就是我的信仰
胡老师，安徽再见！
 ",[9b2d5b4678],[49b9f56aec],[9b2d5b4678],,2024-06-04T02:48:00,胡彦斌超话,6,7,"[{""id"": ""[5555d9e9d6]"", ""created_at"": ""15小时前"", ""source"": ""来自湖北"", ""user"": {""id"": ""[c2f8718655]"", ""screen_name"": ""[ee4f9ba6dd]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d37bb65014]"", ""created_at"": ""昨天 07:50"", ""source"": ""来自吉林"", ""user"": {""id"": ""[78369f337d]"", ""screen_name"": ""[9dca08533e]""}, ""text"": ""互 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6b1460db3a]"", ""created_at"": ""昨天 07:36"", ""source"": ""来自江苏"", ""user"": {""id"": ""[7bb2975a6f]"", ""screen_name"": ""[b7a12d325e]""}, ""text"": "" [太开心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fd7f20d4ef]"", ""created_at"": ""昨天 06:33"", ""source"": ""来自福建"", ""user"": {""id"": ""[95f830551d]"", ""screen_name"": ""[5f43b550d2]""}, ""text"": ""早"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[db7a053887]"", ""created_at"": ""昨天 06:22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[739405cff3]"", ""screen_name"": ""[84723bcc45]""}, ""text"": ""互 [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3d9ae8055b]"", ""created_at"": ""昨天 04:36"", ""source"": ""来自上海"", ""user"": {""id"": ""[cc5582b0ca]"", ""screen_name"": ""[2f1e1477e9]""}, ""text"": ""回复@SY_要当咸鱼: [心]"", ""reply_id"": 5041397314617596, ""reply_text"": "" [心]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bb5e2f7aa9]"", ""created_at"": ""昨天 04:24"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[48c7b676bb]"", ""screen_name"": ""[a928bce52f]""}, ""text"": "" [心]"", ""like_counts"": 0, ""liked"": false}]",1,"南陵大浦“iCAR”海啸音乐嘉年华,感受最热的音浪！",[a845c5cdaf],2024-06-04 02:48:00
[723631830e],[cbf3e7e505],"胡彦斌
见不到胡老师的日子好难熬，这个月想见啊！
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T21:30:11,胡彦斌超话,1,2,"[{'id': 5041326861059987, 'created_at': '06-03', 'source': '来自江苏', 'user': {'id': 1655367997, 'screen_name': 'Yama_Yue'}, 'text': ' [太开心]', 'like_counts': 0, 'liked': False}, {'id': 5041293304006711, 'created_at': '06-03', 'source': '来自江苏', 'user': {'id': 6618031555, 'screen_name': '橘子em'}, 'text': '是的 ""[苦涩]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-03 21:30:11
[a21546975b],[28a6e21311],"胡彦斌
第2一名
 ",[9b2d5b4678],[adefeb7246],[9b2d5b4678],,2024-06-03T00:00:28,胡彦斌超话,6,8,"[{'id': 5041309385494514, 'created_at': '06-03', 'source': '来自北京', 'user': {'id': 7924815494, 'screen_name': '吃虎一拳'}, 'text': ' [打call]', 'like_counts': 0, 'liked': False}, {'id': 5040969478571867, 'created_at': '06-03', 'source': '来自四川', 'user': {'id': 7729084556, 'screen_name': '老彦火'}, 'text': '很厉害 [赞啊]', 'like_counts': 0, 'liked': False}, {'id': 5040969424831407, 'created_at': '06-03', 'source': '来自江苏', 'user': {'id': 1655367997, 'screen_name': 'Yama_Yue'}, 'text': ' [打call]', 'like_counts': 0, 'liked': False}, {'id': 5040969394953193, 'created_at': '06-03', 'source': '来自天津', 'user': {'id': 6371894449, 'screen_name': 'amy红菲'}, 'text': ' ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5040969286159734, 'created_at': '06-03', 'source': '来自安徽', 'user': {'id': 3217687145, 'screen_name': 'Pansy507'}, 'text': '互 [心]', 'like_counts': 0, 'liked': False}, {'id': 5040969102132446, 'created_at': '06-03', 'source': '来自吉林', 'user': {'id': 6391315423, 'screen_name': 'Yyaoil'}, 'text': ' [打call]', 'like_counts': 0, 'liked': False}, {'id': 5040968789395371, 'created_at': '06-03', 'source': '来自浙江', 'user': {'id': 1503365757, 'screen_name': '油菜花很风流'}, 'text': '哇', 'like_counts': 0, 'liked': False}, {'id': 5040968787038582, 'created_at': '06-03', 'source': '来自安徽', 'user': {'id': 2476979142, 'screen_name': '爱吃甜食的骆驼'}, 'text': ' [打call]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-03 00:00:28
[78fdd7141f],[b221fbfff5],"胡彦斌#胡彦斌2024是一场烟火巡回演唱会# 
㊗️胡老师@胡彦斌 六一儿童节快乐
还有33天就成为41岁的宝宝了
期待新歌，彦火们饿了，彦火们也是孩子，等着胡老师喂饭呢！😋#胡彦斌新歌# ",[9b2d5b4678],[6ce739b700],[9b2d5b4678],,2024-06-01T01:15:38,胡彦斌超话,9,7,"[{'id': 5040340088127675, 'created_at': '06-01', 'source': '来自内蒙古', 'user': {'id': 5715750187, 'screen_name': '爱过了神探'}, 'text': '互助', 'like_counts': 0, 'liked': False}, {'id': 5040287856460420, 'created_at': '06-01', 'source': '来自江苏', 'user': {'id': 1655367997, 'screen_name': 'Yama_Yue'}, 'text': '来互助呀 ""[爱慕]""', 'like_counts': 0, 'liked': False}, {'id': 5040283527938876, 'created_at': '06-01', 'source': '来自浙江', 'user': {'id': 1503365757, 'screen_name': '油菜花很风流'}, 'text': ' [爱你]', 'like_counts': 0, 'liked': False}, {'id': 5040264790673351, 'created_at': '06-01', 'source': '来自广东', 'user': {'id': 7723212827, 'screen_name': '煮鱼线是我'}, 'text': ' [色]', 'like_counts': 0, 'liked': False}, {'id': 5040264449625210, 'created_at': '06-01', 'source': '来自湖南', 'user': {'id': 6016026380, 'screen_name': '二百斤的巧克力蛋糕'}, 'text': '期待新歌 ""[哇]""', 'like_counts': 0, 'liked': False}, {'id': 5040263934512232, 'created_at': '06-01', 'source': '来自上海', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@文武双全9527520: [嘻嘻]', 'reply_id': 5040263058424937, 'reply_text': ' [打call]', 'like_counts': 0, 'liked': False}, {'id': 5040263058424937, 'created_at': '06-01', 'source': '来自江西', 'user': {'id': 6374707919, 'screen_name': '文武双全9527520'}, 'text': ' [打call]', 'like_counts': 0, 'liked': False}]",0,"胡彦斌2024是一场烟火巡回演唱会,胡彦斌新歌",[a845c5cdaf],2024-06-01 01:15:38
[d5e65d3b1f],[43f76c630a],"胡彦斌
我来过，也走过，什么都去说！我从来不会选择沉默，该躲的不去躲一躲！我哭过，也笑过，懂得了很多！一场烟火里有你有我，从来没有放弃过。犯了错才明白爱的真谛，摧毁了才懂得痛的滋味！未来会很美一定很美！让我们江湖再见！等待下一场烟火，胡老师，我会永远支持你的。
 ...
全文",[9b2d5b4678],[8c8027bb6f],[9b2d5b4678],,2024-05-31T00:17:36,胡彦斌超话,5,8,"[{'id': 5041342249961362, 'created_at': '昨天 00:45', 'source': '来自四川', 'user': {'id': 6619754886, 'screen_name': '麦田里的风hdz'}, 'text': '支持到底 ""[努力]""', 'like_counts': 0, 'liked': False}, {'id': 5040244884247052, 'created_at': '06-01', 'source': '来自河南', 'user': {'id': 3126265947, 'screen_name': '散果儿'}, 'text': '来啦', 'like_counts': 0, 'liked': False}, {'id': 5040097938376527, 'created_at': '05-31', 'source': '来自天津', 'user': {'id': 7507793300, 'screen_name': '若花怜蝶_rhld'}, 'text': '来啦 [打call]', 'like_counts': 0, 'liked': False}, {'id': 5039893556757544, 'created_at': '05-31', 'source': '来自江苏', 'user': {'id': 1655367997, 'screen_name': 'Yama_Yue'}, 'text': ' [心]', 'like_counts': 0, 'liked': False}, {'id': 5039888746154804, 'created_at': '05-31', 'source': '来自河南', 'user': {'id': 7889433355, 'screen_name': 'F_开花的星星'}, 'text': '写的真好@胡彦斌', 'like_counts': 0, 'liked': False}, {'id': 5039887923544873, 'created_at': '05-31', 'source': '来自河南', 'user': {'id': 7889433355, 'screen_name': 'F_开花的星星'}, 'text': ' ""[666]""', 'like_counts': 0, 'liked': False}, {'id': 5039886741278124, 'created_at': '05-31', 'source': '来自吉林', 'user': {'id': 6391315423, 'screen_name': 'Yyaoil'}, 'text': ' [心]', 'like_counts': 0, 'liked': False}, {'id': 5039885771080672, 'created_at': '05-31', 'source': '来自广东', 'user': {'id': 1341526787, 'screen_name': '广东彦火蔚蓝星空'}, 'text': ' [心]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-31 00:17:36
[a20ddb9f34],[ec2bd6b8bf],"胡彦斌#胡彦斌2024是一场烟火巡回演唱会##胡彦斌南京演唱会# 
1：这次坐在了《有过你》区，很好。我的座位号是
5排11座，中途挪到了前面，然后被赶回来了，真想找个洞钻进去！
貌似回来之后的座位是10座，反正大差不差，第一个愿望勉强实现了。当胡老师感谢票务代理平台的时候，大声喊倒 ...
全文",[9b2d5b4678],[a4d041579b],[9b2d5b4678],,2024-05-21T09:09:48,胡彦斌超话,2,14,"[{""id"": ""[90b73af28b]"", ""created_at"": ""05-21"", ""source"": ""来自上海"", ""user"": {""id"": ""[83795fd2a9]"", ""screen_name"": ""[4018c9a64b]""}, ""text"": ""这首江湖再见太好听了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[3773512724]"", ""created_at"": ""05-21"", ""source"": ""来自上海"", ""user"": {""id"": ""[83795fd2a9]"", ""screen_name"": ""[4018c9a64b]""}, ""text"": ""都在等下一场 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[88bd6b0931]"", ""created_at"": ""05-21"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[0c6ca2393f]"", ""screen_name"": ""[9870dac92c]""}, ""text"": ""赶紧开下一轮吧自家都顾不过来都要饿死了（＞д＜）"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[88011dddf5]"", ""created_at"": ""05-21"", ""source"": ""来自河北"", ""user"": {""id"": ""[beeb8afce4]"", ""screen_name"": ""[2183fc24d9]""}, ""text"": ""哈哈哈哈，我好像知道你是谁了 [嘻嘻]"", ""like_counts"": 0, ""liked"": false}]",1,"胡彦斌2024是一场烟火巡回演唱会,胡彦斌南京演唱会",[9b2d5b4678],2024-05-21 09:09:48
[5225e60e94],[ff7c792e0b],"胡彦斌#胡彦斌2024是一场烟火巡回演唱会##胡彦斌南京演唱会# 
第一次使用长焦镜头竖屏拍摄
第一次坐在B区
看了四场演唱会，这一次位置最好！
我要分享一下，先睡了，太困了，各位晚安！😴 
胡彦斌演唱会冲冲冲的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[25ab8bd0a1],,2024-05-19T06:01:33,胡彦斌超话,9,0,,2,"胡彦斌2024是一场烟火巡回演唱会,胡彦斌南京演唱会",[9b2d5b4678],2024-05-19 06:01:33
[cd9385691d],[0531e7f81a],"胡彦斌
圆梦了！终于听到了《江湖再见》，哭死！😭这首歌在我心里也是Top3，很开心可以一起听。@张可心Cynthia #胡彦斌2024是一场烟火巡回演唱会##胡彦斌南京演唱会# 
胡彦斌演唱会冲冲冲的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[8e88ad39f0],,2024-05-19T04:20:34,胡彦斌超话,26,19,"[{'id': 5035634796529012, 'created_at': '05-19', 'source': '来自安徽', 'user': {'id': 6226808627, 'screen_name': '宝张姐姐'}, 'text': '好喜欢这首 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5035620291051806, 'created_at': '05-19', 'source': '来自福建', 'user': {'id': 6155262780, 'screen_name': '福州安个家'}, 'text': '早', 'like_counts': 0, 'liked': False}, {'id': 5035618800763487, 'created_at': '05-19', 'source': '来自山东', 'user': {'id': 7908262981, 'screen_name': '一朵非洲菊'}, 'text': '回复@胡彦斌演唱会冲冲冲:不知道啊，等他宣', 'reply_id': 5035618029274133, 'reply_text': '回复@一朵非洲菊:下一场在哪里 网页链接', 'like_counts': 0, 'liked': False}, {'id': 5035618029274133, 'created_at': '05-19', 'source': '来自江苏', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'pic': {'pid': '008AcTkgly1hpudurwxvzj32990ka15y', 'url': 'https://wx4.sinaimg.cn/orj360/008AcTkgly1hpudurwxvzj32990ka15y.jpg', 'size': 'orj360', 'geo': {'width': 1082, 'height': 270, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx4.sinaimg.cn/large/008AcTkgly1hpudurwxvzj32990ka15y.jpg', 'geo': {'width': 2048, 'height': 511, 'croped': False}}}, 'text': '回复@一朵非洲菊:下一场在哪里', 'reply_id': 5035617421361563, 'reply_text': '我太爱这首歌了，下一场还会不会有？', 'like_counts': 0, 'liked': False}, {'id': 5035617421361563, 'created_at': '05-19', 'source': '来自山东', 'user': {'id': 7908262981, 'screen_name': '一朵非洲菊'}, 'text': '我太爱这首歌了，下一场还会不会有？', 'like_counts': 2, 'liked': False}, {'id': 5035603078939205, 'created_at': '05-19', 'source': '来自江苏', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@SY_要当咸鱼: [心]', 'reply_id': 5035600190898308, 'reply_text': ' [心]', 'like_counts': 0, 'liked': False}, {'id': 5035603060064629, 'created_at': '05-19', 'source': '来自江苏', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@一只小彦火苗:超爱 [泪]', 'reply_id': 5035601961681018, 'reply_text': '他撑开扇子的那一瞬间！我哭了 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5035601961681018, 'created_at': '05-19', 'source': '来自江苏', 'user': {'id': 7486177411, 'screen_name': '一只小火苗_'}, 'text': '他撑开扇子的那一瞬间！我哭了 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5035600190898308, 'created_at': '05-19', 'source': '来自黑龙江', 'user': {'id': 3313892170, 'screen_name': 'SY_要当咸鱼'}, 'text': ' [心]', 'like_counts': 0, 'liked': False}]",3,"胡彦斌2024是一场烟火巡回演唱会,胡彦斌南京演唱会",[674bc4d372],2024-05-19 04:20:34
[4c4cbf0961],[67f901a89e],"胡彦斌
这次来南京看胡老师演唱会的赚翻了啊！
可以一起过520❤️
还可以听到《在一起》、《山丘》
还有什么惊喜呢？让我们一起等待今天晚上7点的演唱会吧！#胡彦斌2024是一场烟火巡回演唱会##胡彦斌南京演唱会# ",[9b2d5b4678],[9b2d5b4678],[8059ab0c13],,2024-05-18T00:31:35,胡彦斌超话,8,0,,0,"胡彦斌2024是一场烟火巡回演唱会,胡彦斌南京演唱会",[9b2d5b4678],2024-05-18 00:31:35
[35f87d429d],[d2731025c5],"欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？
欠我们的情，什么时候还？ ...
全文",[9b2d5b4678],[c86db02c74],[9b2d5b4678],,2024-05-04T22:06:30,胡彦斌超话,14,19,"[{'id': 5030435677538995, 'created_at': '05-04', 'source': '来自四川', 'user': {'id': 3846265458, 'screen_name': '是一场焰火'}, 'text': '没看懂，咋滴啦', 'like_counts': 0, 'liked': False}, {'id': 5030435169764240, 'created_at': '05-04', 'source': '来自福建', 'user': {'id': 5285414633, 'screen_name': '哇哦胡彦斌'}, 'text': '哈哈哈哈哈，大家今晚精神状态很一致', 'like_counts': 0, 'liked': False}, {'id': 5030434989935448, 'created_at': '05-04', 'source': '来自江苏', 'user': {'id': 7226702946, 'screen_name': '我龄的宇宙Ur'}, 'text': '要江湖再见 [抓狂]', 'like_counts': 0, 'liked': False}, {'id': 5030434163397710, 'created_at': '05-04', 'source': '来自上海', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@lhy-lhy1: [嘻嘻]', 'reply_id': 5030431810917848, 'reply_text': '没事你们有一整场音乐会呢    不像我只有音乐节 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5030433919863231, 'created_at': '05-04', 'source': '来自上海', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@浮梦ivy:好 [嘻嘻]', 'reply_id': 5030431345349257, 'reply_text': '南京要喊加班 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5030433857215067, 'created_at': '05-04', 'source': '来自上海', 'user': {'id': 7864083364, 'screen_name': '胡彦斌演唱会冲冲冲'}, 'text': '回复@frankiisong爱情总是猜得到开头:爱哭的孩子有糖吃 [嘻嘻]', 'reply_id': 5030431345083134, 'reply_text': '这哭闹得有点厉害 [嘻嘻]', 'like_counts': 0, 'liked': False}, {'id': 5030431810917848, 'created_at': '05-04', 'source': '来自辽宁', 'user': {'id': 7267418224, 'screen_name': 'lhy-lhy1'}, 'text': '没事你们有一整场音乐会呢    不像我只有音乐节 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5030431345349257, 'created_at': '05-04', 'source': '来自上海', 'user': {'id': 5412059705, 'screen_name': '浮梦ivy'}, 'text': '南京要喊加班 ""[送花花]""', 'like_counts': 2, 'liked': False}, {'id': 5030431345083134, 'created_at': '05-04', 'source': '来自江苏', 'user': {'id': 7546029437, 'screen_name': 'frankiisong爱情总是猜得到开头'}, 'text': '这哭闹得有点厉害 [嘻嘻]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-04 22:06:30
