id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[2081440134],[e115865b2d],"辅导员说我太在乎别人对自己的看法 也因不好的看法产生内耗 
我知道我为什么这么在乎别人对我的看法跟眼光了 因为我这个人辨识度高 有时候出门被不知道的人认出来我都傻了…？
评价听多了我肯定在意的 我可以接受批评 不接受贬低 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:08:02,iPhone 12,0,0,,0,,[9b2d5b4678],2024-04-24 23:08:02
[5f454b38ee],[71196683d5],"抑郁症
 
以前的学校怕我抑郁，一上来就让我去医院开证明，没开就是休学单直接签。
现在的辅导员，我熬不下去了直接跟他说我再活两个月都很难，他还是一直鼓励我，说我们没有错，一直在拯救我，支持我。他说我现在需要帮助，他会帮我，我只需要好好调养，跟家长同学沟通什么的交给他。
前几天 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T17:39:56,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-24 17:39:56
[0eabe18fa5],[1265880c4f],好想养小猫 因为我缺爱 我没有精神支柱 但是我不愿意家里装监控 如果家里有监控这个监控绝对会变成是对着我照的 我就这么不让人放心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T02:23:32,iPhone 12,0,1,"[{""id"": ""[11ecadc1ac]"", ""created_at"": ""04-24"", ""source"": ""来自罗伯特聪明版"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我觉得你可以考虑一下找一个可以远程监控的平台或者app，这样既能保证安全又能满足你的需求"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 02:23:32
[373f9448c3],[17c2335c6e],每次觉得天塌了想想yyl就觉得我也不是过不下去 这条路要是好走你我不至于小小年纪吃药 普通人老是被人凑cp被人贬低也受不了 天蝎本身也难懂 我要有他一半的心理素质跟抗压能力都不至于每天都因为想太多导致偏头痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T20:37:26,iPhone 12,1,1,"[{'id': 5026422124975598, 'created_at': '04-23', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '我们的小宇子最棒了 ""[哇]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-23 20:37:26
[a71d12c7d4],[06b2ff5ab7],"“ 对某个人来说，在某个地方，他的时间有可能瞬间停止” “我觉得你们也是在生活中也会遇到这个时刻，只要想到这个，我就会想办法继续呼吸。” 
这难道不是我对你的感觉吗？只要想到你的经历，你的心理素质，我觉得我也不是不能过。 
忽然之间，天昏地暗，世界可以忽然什么都没有。我想起了你，再想 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T16:57:17,iPhone 12,2,1,"[{""id"": ""[bbec67d4c0]"", ""created_at"": ""04-23"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我的情绪一直都很平稳啊！"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 16:57:17
[41103759c3],[b48ecb3a7b],你不见了 但你的背影像这场风景装在眼里 一伸手 差一点就抱住你 ,[9b2d5b4678],[88149e5dd6],[9b2d5b4678],,2024-04-23T16:27:49,iPhone 12,3,0,,0,,[9b2d5b4678],2024-04-23 16:27:49
[26d6b1dd7b],[4f962d9936],"学校里有东西克我 没开玩笑
 ",[9b2d5b4678],[5f296076a7],[9b2d5b4678],,2024-04-18T15:09:27,iPhone 12,1,0,,0,,[9b2d5b4678],2024-04-18 15:09:27
[b91c233c8e],[15f8c835e7],亲亲 这么喜欢卖内衣 这边建议您也去卖内衣呢 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T10:37:55,iPhone 12,1,0,,0,,[9b2d5b4678],2024-04-18 10:37:55
[8bffcf42a6],[67a8f301ae],春天 ,[9b2d5b4678],[26bbfd9dbb],[9b2d5b4678],,2024-04-17T14:16:54,iPhone 12,1,6,"[{""id"": ""[120d262a19]"", ""created_at"": ""04-17"", ""source"": ""来自福建"", ""user"": {""id"": ""[06aa94db3f]"", ""screen_name"": ""[3051a051cc]""}, ""text"": ""回复@草莓柠檬与博尔赫斯0: [抱抱]"", ""reply_id"": 5024164396141410, ""reply_text"": ""回复@元气欣崽_: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9140bea519]"", ""created_at"": ""04-17"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[24e944b9f1]"", ""screen_name"": ""[9942129b23]""}, ""text"": ""回复@元气欣崽_: [抱抱]"", ""reply_id"": 5024164306226970, ""reply_text"": ""回复@草莓柠檬与博尔赫斯0:早上开了七盒 一个月的量 其余是前面的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[939e639b67]"", ""created_at"": ""04-17"", ""source"": ""来自福建"", ""user"": {""id"": ""[06aa94db3f]"", ""screen_name"": ""[3051a051cc]""}, ""text"": ""回复@热浪MissW: [单身狗]"", ""reply_id"": 5024159237935019, ""reply_text"": ""多出去运动，晚上吃个好睡的药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[73f8782733]"", ""created_at"": ""04-17"", ""source"": ""来自福建"", ""user"": {""id"": ""[06aa94db3f]"", ""screen_name"": ""[3051a051cc]""}, ""text"": ""回复@草莓柠檬与博尔赫斯0:早上开了七盒 一个月的量 其余是前面的"", ""reply_id"": 5024152014815925, ""reply_text"": ""要吃这么多药吗 [傻眼]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[02f60cf82d]"", ""created_at"": ""04-17"", ""source"": ""来自四川"", ""user"": {""id"": ""[ee7d59bbc3]"", ""screen_name"": ""[7d8f1bfd97]""}, ""text"": ""多出去运动，晚上吃个好睡的药"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d92f822189]"", ""created_at"": ""04-17"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[24e944b9f1]"", ""screen_name"": ""[9942129b23]""}, ""text"": ""要吃这么多药吗 [傻眼]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 14:16:54
[7cd5f7b9cd],[d3701d8bcb],"每一棵大树的成长都要接受阳光，也包容风雨。会不会人跟树也是一样的，越是向往高处的阳光，它的根就越要伸向黑暗的地底。
树的根必须扎在泥土中，虽然它会受到限制和束缚，但它也是树得以生存和成长的基础。
人们都渴望向上发展，但同时也要像树的根一样，向下扎根。深入自己的内心和本质，去探索和 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T11:13:50,iPhone 12,6,0,,0,,[9b2d5b4678],2024-04-16 11:13:50
