id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[9cd5ca60b7],[68d3b369f7],"图一。泉州面线糊（有啥煮啥）
图三。小小草却有旺盛的生命力 ",[9b2d5b4678],[68af725972],[9b2d5b4678],,2024-06-02T19:29:18,Android,0,0,,0,,[9b2d5b4678],2024-06-02 19:29:18
[8841d85a43],[bbfa043159],"抑郁症
以前总是这样想，一致对外的事情，弄好做好。所以都是我冲前面，但到事情的中期是家里吵翻天。一件事情，初期中期结束。是靠人的做事方法，每回只要事情没按你所设想的发展，就开始吵，不讲道理的吵。同一件事，对外，大方不计较。对内，计较吵闹。对外，几千块的租金。大方，不敢找租客 ...
全文",[9b2d5b4678],[7205e942c9],[9b2d5b4678],,2024-05-31T16:01:28,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-31 16:01:28
[9987cee1d2],[44be83a887],#生活手记# ,[9b2d5b4678],[d9572a9e50],[9b2d5b4678],,2024-05-29T10:20:50,Android,0,0,,0,生活手记,[9b2d5b4678],2024-05-29 10:20:50
[1a535f4696],[12b19529ed],"#龚吓幂#我还以为是闽南语公虾米
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T23:17:34,Android,1,0,,0,龚吓幂,[9b2d5b4678],2024-05-27 23:17:34
[c10c83e4d6],[9f28e96f7a],“兄弟不能得罪”这句话偶尔想到还是会让我心情不一样。随处可见的歌颂母爱。反而有点讽刺。所以就能解释得通，为什么被娘家兄弟逼到离家出走，动用上千人找回来，反而还在责怪孩子，说孩子傻智力不正常。当“兄弟不能得罪”这句话为圣旨的时候，就必须牺牲到能牺牲的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T20:50:11,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-26 20:50:11
[fed247d926],[4d0e7f5dc8],"抑郁症
事情好像不是非黑既白。为什么一个人可以去维护一个你认识他，他不认识你的人。也可以为了维护这个你认识他，他不认识的你的人，而攻击陌生人。属于全身心去付出去维护。怎么会有这样的人呢？很奇怪 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T02:38:41,抑郁症超话,1,1,"[{""id"": ""[b3b20fd3b0]"", ""created_at"": ""05-25"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-25 02:38:41
[7172c583b6],[3e10131ba9],@那天醒来曾看见过鹿 是我不读书吗？是没得读。但这却成为被攻击的点。有文化成为可以炫耀的点。如果可以谁想要过这种被攻击的生活。为什么任何事都会被骂？身为女性就不能有疑问？不能有不同的意见？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T02:14:41,Android,0,3,"[{""id"": ""[725800a5e8]"", ""created_at"": ""05-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[84ba71a574]"", ""screen_name"": ""[3323c7fdf9]""}, ""text"": ""回复@那天醒来曾看见过鹿:如果不想听也没有关系，人和音乐也讲缘分。我并非想吵架，相信你也是，话讲清楚就到这里吧。 [心]"", ""reply_id"": 5037742431404082, ""reply_text"": ""第三，针对你对五月天的疑问虽然我已经全部回复了，但是推荐你听一听他们的《晚安地球人》《诺亚方舟》《少年他的奇幻漂流》，他们的想法都写在歌里了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d49df2bcf8]"", ""created_at"": ""05-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[84ba71a574]"", ""screen_name"": ""[3323c7fdf9]""}, ""text"": ""第三，针对你对五月天的疑问虽然我已经全部回复了，但是推荐你听一听他们的《晚安地球人》《诺亚方舟》《少年他的奇幻漂流》，他们的想法都写在歌里了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4e16fdc7c3]"", ""created_at"": ""05-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[84ba71a574]"", ""screen_name"": ""[3323c7fdf9]""}, ""text"": ""第一，我没有攻击有文化没文化，我也没有炫耀我有文化，我也没有主动攻击你。是你先评论我的微博对五月天发出疑问，我回复你而已。过程里难免带了一些情绪，如果有不小心冒犯到你我很抱歉，并非故意攻击，因为我们完全是陌生人不是吗？第二，这和女性话题完全无关吧，我没有提到任何女性相关的东西。"", ""like_counts"": 0, ""liked"": false}]",0,,[3323c7fdf9],2024-05-25 02:14:41
[95145f9795],[c8ad3ce084],"抑郁症
我现在发现我母亲的精神控制
起因，一个丝瓜。最近我很忙忙忙。
莫名其妙
丝瓜给你削皮了给你切了。你只要动手炒，就行了
因为忙忙忙，没时间
我为你把丝瓜皮削了，为了你把丝瓜切了，你竟然不炒？你让我浪费了多少时间，浪费了多少钱，钱不好赚
一个家庭要互相配合，不配合像一家人吗？ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T20:51:27,抑郁症超话,0,1,"[{""id"": ""[86ca6a7c08]"", ""created_at"": ""05-24"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱宝贝 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 20:51:27
[e4abb84514],[5b8cadb95f],"抑郁症
看评论的时候看到这句话，发现很对。吵架的起因通常是母亲故意激怒，母亲知道我和父亲的底线在哪里，一直在底线下蹦哒，让我或父亲彻底怒了，母亲就成为弱者的形象，就可以义正言辞的说，我被你们控制德死死的。每次吵架，我不会再讲了。过了不到24小时，又继续哒哒哒哒，嘴巴一直不停的 ...
全文",[9b2d5b4678],[259027e29e],[9b2d5b4678],,2024-05-18T18:16:54,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-18 18:16:54
[c50d33a615],[e35867b71c],"人与人都是相互的。无论人与人是什么关系。只准州官放火不许百姓点灯。明明怀孕生子并没有经过孩子同意，而这过程给母体所带来的影响与伤害却必须让孩子去承担，孩子生出来后，所带来的经济影响，精力影响，环境影响也必须让孩子承担。一笔一笔的帐单。就跟买卖一样。既然是买卖，有所谓“情”可言吗？ ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T19:29:31,抑郁症超话,2,2,"[{""id"": ""[73048564be]"", ""created_at"": ""05-17"", ""source"": ""来自河南"", ""user"": {""id"": ""[891736d3e8]"", ""screen_name"": ""[b857287eea]""}, ""text"": ""所以不要高估人性 [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[fe34f11e62]"", ""created_at"": ""05-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-17 19:29:31
