id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[751ec03d63],[1550945c6e],我天呐我跟你们讲。今天我赶飞机穿的长袖白衬，然后安检员就扯我袖子检查，看见我那堆口子之后就直勾勾地瞅着我，吓死我了，我只是个无辜的小女孩，不会在袖子里夹带炸弹的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T15:56:18,OPPO A58 5G,2,1,"[{""id"": ""[1c8ac5885e]"", ""created_at"": ""06-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[42abe65811]"", ""screen_name"": ""[c1d63107aa]""}, ""text"": ""小女孩平时闲着没事就爱割点小手怎么你了 [裂开]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-05 15:56:18
[6666cce58c],[ed0101c9ba],"混进人家济大了，咱也是济大学生了
 
济南·济南大学主校区
 ",[9b2d5b4678],[b61a21c5d4],[9b2d5b4678],济南·济南大学主校区,2024-06-04T18:39:26,OPPO A58 5G,2,0,,0,,[9b2d5b4678],2024-06-04 18:39:26
[99452a76d4],[bffbcf0f16],全给我扔 ,[9b2d5b4678],[e13e20374d],[9b2d5b4678],,2024-06-03T21:55:29,OPPO A58 5G,0,0,,0,,[9b2d5b4678],2024-06-03 21:55:29
[ff8151b824],[7fd7170e94],感谢巧姐姐的麦旋风，暗恋你 ,[9b2d5b4678],[95c7761e31],[9b2d5b4678],,2024-06-03T21:07:43,OPPO A58 5G,0,0,,0,,[9b2d5b4678],2024-06-03 21:07:43
[cb29e67927],[5773b26b70],亲戚非要灌我喝什么什么水害我一直腹泻我他妈还在车站呢该死的 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-03T07:49:50,OPPO A58 5G,0,1,"[{""id"": ""[f55574e682]"", ""created_at"": ""06-03"", ""source"": ""来自山东"", ""user"": {""id"": ""[42abe65811]"", ""screen_name"": ""[c1d63107aa]""}, ""text"": ""今天还穿的超级大长裙上厕所难死了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-03 07:49:50
[30578da0d0],[a0942e2c24],本来伤口好好的 一包扎化脓了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T22:13:06,OPPO A58 5G,1,0,,0,,[9b2d5b4678],2024-06-02 22:13:06
[07a4b73ca2],[59cf523593],求佛求放过 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T21:33:16,OPPO A58 5G,1,0,,0,,[9b2d5b4678],2024-06-02 21:33:16
[e326929bb3],[298865f5ee],辞职了！不干了！极速版果然不能融入人类社会 ,[9b2d5b4678],[a33af56dbd],[9b2d5b4678],,2024-06-01T17:14:34,OPPO A58 5G,1,0,,0,,[9b2d5b4678],2024-06-01 17:14:34
[ece4c11612],[a3ab9a6313],分享图片 ,[9b2d5b4678],[40802150aa],[9b2d5b4678],,2024-05-28T19:54:27,OPPO A58 5G,2,2,"[{""id"": ""[f9d71e5806]"", ""created_at"": ""06-01"", ""source"": ""来自山东"", ""user"": {""id"": ""[42abe65811]"", ""screen_name"": ""[c1d63107aa]""}, ""text"": ""回复@我发癫少管我:不死了"", ""reply_id"": 5039124325338433, ""reply_text"": ""别离开我…"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7b84e5a5d1]"", ""created_at"": ""05-28"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0352d6527]"", ""screen_name"": ""[25c127dee8]""}, ""text"": ""别离开我…"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 19:54:27
[2d1e5b0801],[5f8057209b],手机真的不好玩 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T12:09:11,OPPO A58 5G,1,0,,0,,[9b2d5b4678],2024-05-25 12:09:11
[65558eac46],[090e5a91b5],"人生路上常有风雨，需要一个好的心态。再难的路，只要不放弃，一直走下去，总会走到终点；再不顺的生活，撑一撑，也就过去了。笑容，最终会出现在脸上。人只要还活着，每一天都要面对生活。在所有的经历中，把所有的是是非非，纷纷扰扰，通过人生这个字眼来淋漓尽致的演绎。然后，在所有的啼笑皆非里让 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T11:24:18,OPPO A58 5G,1,0,,0,,[9b2d5b4678],2024-05-25 11:24:18
[ae033c05f5],[2d11460432],羡慕能自由掌控自己人生的人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T23:19:25,OPPO A58 5G,1,1,"[{""id"": ""[803cc758eb]"", ""created_at"": ""05-25"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0352d6527]"", ""screen_name"": ""[25c127dee8]""}, ""text"": ""羡慕有钱且能自由掌控自己人生的人 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-24 23:19:25
[637aa5b8f7],[4a5ca4f78c],吐昏了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T18:35:50,OPPO A58 5G,1,2,"[{""id"": ""[62c997d0d0]"", ""created_at"": ""05-24"", ""source"": ""来自山东"", ""user"": {""id"": ""[42abe65811]"", ""screen_name"": ""[c1d63107aa]""}, ""text"": ""回复@我发癫少管我:吐不出来的时候就手动催兔"", ""reply_id"": 5037313673396296, ""reply_text"": ""大吐特吐 [可怜]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0534026152]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[e0352d6527]"", ""screen_name"": ""[25c127dee8]""}, ""text"": ""大吐特吐 [可怜]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 18:35:50
[04161ba1f3],[92f2327d80],阿立哌唑真牛逼呀 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T22:17:38,OPPO A58 5G,0,1,"[{""id"": ""[1e44bd715c]"", ""created_at"": ""05-22"", ""source"": ""来自山东"", ""user"": {""id"": ""[42abe65811]"", ""screen_name"": ""[c1d63107aa]""}, ""text"": ""安律凡是蓝色的 索清是粉色的"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 22:17:38
