id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f1e5b4ded9],[546b767ff2],#多喝水打卡# ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T07:04:49,vivo S18e,0,0,,0,多喝水打卡,[9b2d5b4678],2024-06-05 07:04:49
[0fdd047cd1],[5f0bbc4ce6],"抑郁症
好想吃安眠药睡过去
今天科二又挂了因为前天被人车碰了
今天手抖，魂丢了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:17:08,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-06-04 21:17:08
[c92b21a8db],[36f1686682],分享图片 ,[9b2d5b4678],[ccdcdfebd7],[9b2d5b4678],,2024-06-01T21:32:22,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 21:32:22
[2a3cc4a395],[e1227385d3],分享图片 ,[9b2d5b4678],[533ca2f819],[9b2d5b4678],,2024-06-01T21:30:33,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 21:30:33
[6b4ade17ce],[e7b1ff54b1],未来搞科技感 ,[9b2d5b4678],[5f4a19b67d],[9b2d5b4678],,2024-06-01T21:05:33,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 21:05:33
[d36bce688b],[b45d93d7f9],壁画 ,[9b2d5b4678],[a2fc3dac57],[9b2d5b4678],,2024-06-01T21:04:30,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 21:04:30
[5d9b272152],[3dd72339d7],分享图片 ,[9b2d5b4678],[8c4ec1493c],[9b2d5b4678],,2024-06-01T21:03:21,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 21:03:21
[32b5e59242],[036215cb3d],"好吃的 
北京·西单大悦城
 ",[9b2d5b4678],[13ee822903],[9b2d5b4678],北京·西单大悦城,2024-06-01T15:12:02,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 15:12:02
[f58487a936],[3de295a218],不问 ,[9b2d5b4678],[e6e680c245],[9b2d5b4678],,2024-06-01T15:09:06,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-06-01 15:09:06
[fde37164d3],[49d6edf6ec],华晨宇破碎感 ,[9b2d5b4678],[effeedb406],[9b2d5b4678],,2024-05-31T21:15:32,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-31 21:15:32
[f0059cbb0b],[f2c12aaef0],我想618去央美清美 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T07:56:40,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-31 07:56:40
[17fc78c4d9],[a42041524b],"抑郁症
我不吃药半个月了，最近几天我感觉到心慌
我不想再让药物给我精神控制了
精神药物就是鸦片罂粟 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T07:56:02,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-31 07:56:02
[37ab49c0f5],[4b902ca12b],"张杰
有没有张杰手幅好看的壁纸啊
这样的是不是没有 ",[9b2d5b4678],[b672cf6062],[9b2d5b4678],,2024-05-30T19:12:13,张杰超话,0,3,"[{""id"": ""[e41fe696af]"", ""created_at"": ""05-30"", ""source"": ""来自河南"", ""user"": {""id"": ""[fd847ef7b7]"", ""screen_name"": ""[2ed4665642]""}, ""text"": ""美工的图好看"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e58d6ca1dd]"", ""created_at"": ""05-30"", ""source"": ""来自河南"", ""user"": {""id"": ""[5d2d77775f]"", ""screen_name"": ""[e09c2b4647]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[47148166aa]"", ""created_at"": ""05-30"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[6ad9a84a5f]"", ""screen_name"": ""[4489b3d112]""}, ""text"": "" [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-30 19:12:13
[d9a7130c8f],[c7e0f42b92],"灼灼其华 
北京·中央美术学院美术馆(花家地新馆)
 ",[9b2d5b4678],[1e55b8d4a5],[9b2d5b4678],北京·中央美术学院美术馆(花家地新馆),2024-05-30T19:04:07,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 19:04:07
[0b9522482e],[17642196d3],分享图片 ,[9b2d5b4678],[250c51b9ab],[9b2d5b4678],,2024-05-30T17:10:09,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 17:10:09
[252faeb8e3],[3d6f387855],分享图片 ,[9b2d5b4678],[7bdc9430de],[9b2d5b4678],,2024-05-30T17:09:18,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 17:09:18
[1e05516611],[a7127fcde4],"时间的含义 | 陈尧 
北京·中央美术学院美术馆(花家地新馆)
 ",[9b2d5b4678],[784f97110b],[9b2d5b4678],北京·中央美术学院美术馆(花家地新馆),2024-05-30T17:08:06,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 17:08:06
[084ab6f995],[df3541c9c2],"国音菜谱 
北京·中国音乐学院
 ",[9b2d5b4678],[f724fa32ba],[9b2d5b4678],北京·中国音乐学院,2024-05-30T16:46:05,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:46:05
[ec8f4b09bf],[3386533b19],"赵雅竹打击乐独奏音乐会 
银舞星辰的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[2255d509b1],,2024-05-30T16:45:02,微博视频号,0,0,,0,,[9b2d5b4678],2024-05-30 16:45:02
[af1b81ebc1],[bc8291a8c5],"中传，央音，国音
还有秋秋请客的好吃的
北京好贵的饭 
北京·西单大悦城
 ",[9b2d5b4678],[73c41ef609],[9b2d5b4678],北京·西单大悦城,2024-05-30T16:42:36,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:42:36
[7e051e4d74],[7360b70146],不同区域的花 ,[9b2d5b4678],[8478f7ac9a],[9b2d5b4678],,2024-05-30T16:39:48,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:39:48
[7f4c099842],[72ab4b1973],"每日一景 
天津·天津自然博物馆
 ",[9b2d5b4678],[632dcdd839],[9b2d5b4678],天津·天津自然博物馆,2024-05-30T16:38:23,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:38:23
[fbe18c4202],[b91f107f56],"国音白天vs晚上 
北京·中国音乐学院
 ",[9b2d5b4678],[b4bee367b1],[9b2d5b4678],北京·中国音乐学院,2024-05-30T16:34:55,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:34:55
[76faf23843],[b14a2f8a7f],"国音赵雅竹打击乐独奏音乐会 
北京·中国音乐学院
 ",[9b2d5b4678],[7adb914ef1],[9b2d5b4678],北京·中国音乐学院,2024-05-30T16:19:20,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:19:20
[ffe9245f4f],[c87b44ea67],"央音打卡 
北京·中央音乐学院
 ",[9b2d5b4678],[338223011e],[9b2d5b4678],北京·中央音乐学院,2024-05-30T16:17:56,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:17:56
[8c014d2a25],[d39716e3cd],"央音《共振》22级研究生创作实践音乐会 
北京·中央音乐学院
 ",[9b2d5b4678],[587b118e53],[9b2d5b4678],北京·中央音乐学院,2024-05-30T16:09:19,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:09:19
[92b071fd8a],[1890f7d305],"中传美食，除了贵没了
被贺峻霖吸引打卡锅盔 ",[9b2d5b4678],[0d5d813b46],[9b2d5b4678],,2024-05-30T16:07:12,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:07:12
[79b456a0ae],[5b0e086e46],心向往之 ,[9b2d5b4678],[9589d9c08d],[9b2d5b4678],,2024-05-30T16:04:20,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:04:20
[e7b47b931e],[1eea746aec],央美 ,[9b2d5b4678],[4283e96012],[9b2d5b4678],,2024-05-30T16:03:58,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:03:58
[815ae45deb],[83a677f83a],天美毕业展 | 无数 ,[9b2d5b4678],[2fe76d3f64],[9b2d5b4678],,2024-05-30T16:02:11,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 16:02:11
[d69104476c],[97ee0b9921],央美很喜欢的作品 ,[9b2d5b4678],[076fd6e2eb],[9b2d5b4678],,2024-05-30T15:58:54,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-05-30 15:58:54
[3216b8b63a],[ee447f39c8],"抑郁症
刚从北京回来两天
怎么办还是想去北京看央美毕业展第二阶段，为什么不能同一时间举办啊
可是来回两天路费住宿至少600这已经最低预算了
要是去国美和川美是去北京三倍价格
还是说等明年再去
今天发现投递简历都是已读不回，我发现不适合找工作，我是白痴 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T21:18:55,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-29 21:18:55
