id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[3d754d07b3],[f1ca606d86],虚无感 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T22:41:40,iPad客户端,0,1,"[{""id"": ""[a8d00d5a24]"", ""created_at"": ""13小时前"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""还是希望有人陪我"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 22:41:40
[51cbb906be],[163f98b35c],好想再建个vb号去私联可爱的女网友。。这个号每次都是跃跃欲试然后败于自己千疮百孔的帖子。精神病社交太恐怖了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T23:59:24,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-23 23:59:24
[35c19c9670],[ed482bd318],想跟玩的很好的好朋友谈恋爱。。罪大恶极 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T22:26:29,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-23 22:26:29
[8afa6fa625],[2f99705366],一天不上学的代价是要欺骗每一个来询问的人我只是身体不舒服。。明天要怎么面对班主任呢我服了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T21:59:43,iPad客户端,0,1,"[{""id"": ""[4acaf01dc4]"", ""created_at"": ""04-22"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""真的是太难了希望老师可以理解"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 21:59:43
[3f8255b454],[c1fa6760dc],眼睛肿成扇贝了。。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T14:36:49,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-22 14:36:49
[45196834ac],[d90484185e],我怎么又犯病了操你妈 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T00:16:26,iPad客户端,0,1,"[{""id"": ""[617f2fc456]"", ""created_at"": ""04-22"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""我能不能死掉"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 00:16:26
[e04f08066d],[f2d53edcc5],"一个喜欢发泄的小女孩每次不开心都去某个已经删了好友的前男友那里瞎发 一排红色感叹号每次都是要多脏有多脏
昨天心血来潮又去发了个“哥你好丑啊” 看着没有显示红色感叹号的发出去的消息我迟疑了三秒
然后。然后。撤了。
调皮的撤回设置是“撤回了一条消息并坏笑了一下”
我坏笑你妈啊啊啊啊啊啊怎么 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T10:16:59,iPad客户端,0,2,"[{""id"": ""[ee1d863cb0]"", ""created_at"": ""04-21"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""卧槽他他妈没看到我发什么 他是不是要开始幻想我发什么弥留婉转的话了。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f3e2dd0867]"", ""created_at"": ""04-21"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""分手半年多凌晨时分收到前女友骂自己丑的消息。。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-21 10:16:59
[eca86da955],[3b0131f7c7],我想有人能让我不小心翼翼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T00:00:17,iPad客户端,1,0,,0,,[9b2d5b4678],2024-04-19 00:00:17
[fc7804844f],[78cbe96c9a],晚安 ,[9b2d5b4678],[07f3facc4e],[9b2d5b4678],,2024-04-19T00:00:00,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-19 00:00:00
[a5d823526b],[8c4beec7f1],额啊同龄人你们跟我生活在一个次元吗为什么你们这么开心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T23:45:41,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-18 23:45:41
[40f7994f4b],[01ef369bdc],精神有点错乱了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T23:47:08,iPad客户端,0,1,"[{""id"": ""[f980c6538b]"", ""created_at"": ""04-17"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""蒙蒙的一直很忙碌但是我不知道要干嘛"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 23:47:08
[93742631ca],[b141e0ce80],好几把累 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T22:03:26,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-16 22:03:26
[8f17c2ce31],[62171e3fa8],分享图片 ,[9b2d5b4678],[345e35491b],[9b2d5b4678],,2024-04-15T23:28:30,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-15 23:28:30
[4a66672449],[056bde8200],"嗜好
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T23:10:07,网易云音乐,0,1,"[{""id"": ""[9f4c0ee546]"", ""created_at"": ""04-15"", ""source"": ""来自湖北"", ""user"": {""id"": ""[caef2d4c05]"", ""screen_name"": ""[357bdfacf2]""}, ""text"": ""我要关多久才能够释放"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 23:10:07
[d6701fb44a],[ea6112c4a3],听到瞬心里还是痛痛的 你呢 你早就没感觉了吧^^ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T23:00:45,iPad客户端,1,1,"[{""id"": ""[ce2cc06a46]"", ""created_at"": ""04-16"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""心痛是暂时的，但回忆是永恒的 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 23:00:45
[fa5a9ffbae],[100840b024],这周额是上周日竟然没发病。侥幸逃过希望以后都是🙏🏻 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T00:33:28,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-15 00:33:28
[7efb17ff40],[61f4a95567],我妈在我小时候小时候肯定不少糊弄我。。现在长大了有主见了听她嘴里冒出一堆歪理好想嘲笑小时候的自己 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T22:56:49,iPad客户端,0,0,,0,,[9b2d5b4678],2024-04-14 22:56:49
