id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4599e05d83],[967342cb4d],不要离开我啊…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T23:45:51,荣耀30青春版 5G,1,0,,0,,[9b2d5b4678],2024-05-18 23:45:51
[d83c49aa6e],[47c93d0478],就算我真的死了也无所谓吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T01:09:31,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-05-11 01:09:31
[f9b116e5ee],[3982ae4a9c],我觉得太阳才是最自我的冥王星反而是无我的…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T12:49:15,荣耀30青春版 5G,1,1,,0,,[9b2d5b4678],2024-05-06 12:49:15
[3e084b8a48],[3a33152443],为什么不爱我 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T19:14:00,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-05-01 19:14:00
[3e1fa7f9f5],[d892fd8eae],活这么惨比连安慰同情都得不到吗？ 那我去似了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T19:10:45,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-05-01 19:10:45
[7511208c21],[a6094c9208],为什么不安慰我，为什么不爱我 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-01T19:09:55,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-05-01 19:09:55
[e6b4ea127a],[b4010458de],当时哭着割腕的时候想着的是要是你能再理理我就好了。现在每天都能收到你的消息，为什么我已经没有感触了。我终于变成最讨厌的呆蝗了吗？是我自己背叛了我的爱吗？ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T00:15:31,荣耀30青春版 5G,1,0,,0,,[9b2d5b4678],2024-04-30 00:15:31
[a21c4bd343],[d65a247d7b],"业胎关系
我就喜欢当业 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T00:02:26,业胎关系超话,0,1,"[{""id"": ""[217aaac296]"", ""created_at"": ""04-30"", ""source"": ""来自河北"", ""user"": {""id"": ""[082762a604]"", ""screen_name"": ""[53eeb60f53]""}, ""text"": ""为啥"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 00:02:26
[a518851245],[38df1bc942],"抑郁症
有吃过L苏糖酸镁的友友吗？想问一下有没有用 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-28T13:24:08,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-28 13:24:08
[6025065149],[ea6b12267d],为什么我的残疾从来没被看见 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T14:24:16,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-04-26 14:24:16
[bcf4a84f76],[6fe0bb0a72],知道的就是有责任的。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T14:04:48,荣耀30青春版 5G,0,0,,1,,[9b2d5b4678],2024-04-26 14:04:48
[4c2d6d594d],[da3961012f],为什么就这么失败 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T00:28:40,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-04-14 00:28:40
[31eb9b4615],[f4722bf023],我羡慕那种流一滴泪都能被当成团宠供起来的人 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T23:58:41,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-04-13 23:58:41
[adaebbfd92],[d1191e43e2],别用善良和聪明侮辱我了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-12T21:35:56,荣耀30青春版 5G,0,0,,0,,[9b2d5b4678],2024-04-12 21:35:56
[6088c572de],[0b849c1659],你要离开我那我能怎么办，我求也求不住啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-06T22:21:20,荣耀30青春版 5G,1,1,"[{""id"": ""[086a5a8774]"", ""created_at"": ""03-07"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[9cfefb7591]"", ""screen_name"": ""[ca3e53603e]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-06 22:21:20
