id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[f7c047751d],[d7e70cf139],"抑郁症
道理是死的人是活的，谁说抑郁症就真的一点兴趣爱好都没有了？？真的很莫名其妙诶，我前几天收的周边今天到货了我去快递站取然后我妈看见了说我有兴趣爱好了一定是我的病好多了。其实不是，我难受的时候都在躲着你们只不过你们看不见罢了。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T22:55:27,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-04-16 22:55:27
[1e47f87621],[94f5c21da4],"抑郁症
好想④啊
我好难受想去北京想去重庆想去上海玩就是不想再上学了，在学校发病歌手吞药上医院了回去还要被别人蛐蛐，我好像就不配活着
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T22:36:27,抑郁症超话,0,1,"[{""id"": ""[b04a00be1c]"", ""created_at"": ""04-10"", ""source"": ""来自河南"", ""user"": {""id"": ""[780a555ddb]"", ""screen_name"": ""[a03528eb83]""}, ""text"": ""抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-10 22:36:27
[b46e64213d],[165e8b1f02],"我好累好累好崩溃我想放假不想上学了，现在在学校好难受我快死了，躯体化好难受谁能莫名其妙的来sha了我。我好难受真的好难受为什么最近天天不舒服。我那合唱团好不容易马上快过省赛了我好怕在现场发病，我好崩溃这破病什么时候能好我不想再这样了，我听课都听不下去
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T23:33:48,nova 10 SE,0,0,,0,,[9b2d5b4678],2024-04-07 23:33:48
[18832db167],[7f9a2ae0aa],"抑郁症
亲戚来的不准时和突然吃药有关系吗？我之前私自停药然后最近去医院检查重新吃药然后三十多天来了两次
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T01:07:16,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-07 01:07:16
[f2b1f14bf7],[b9fabf7be1],"笑死歌手歌在马上快好的疤上了，现在又疼又痒痒，还蜇得慌
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T23:35:10,nova 10 SE,1,0,,0,,[9b2d5b4678],2024-04-05 23:35:10
[86c9c09d7c],[b2f97f8f6f],"抑郁症
不想再上学了，高中压力太大了，我好想休学，但是会落下功课
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T22:22:41,抑郁症超话,1,10,"[{""id"": ""[45892335ad]"", ""created_at"": ""04-05"", ""source"": ""来自海南"", ""user"": {""id"": ""[502b7e50d9]"", ""screen_name"": ""[2325cd09f0]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[94ece9390a]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""真的好矛盾，真的很想休学，但是缺课很容易被落下，如果休学了再复学就不知道什么时候了，学业真的很紧张，老师也管的很严"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6792990663]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""但是我爸对我很好，给我零花钱，我难受的时候找我谈心，我住院的时候也是他经常来看我，给我买爱吃的零食，但是他不怎么爱说话，只知道他说我是他的孩子，他妈不管我就得努力养，女孩子就应该让她怎么幸福怎么来。他知道我追星还会给我钱让我去干我喜欢的事，爷爷奶奶有点重男轻女，只有我爸对我很好"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[331249bc6c]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""家里人什么都管得很严，在学校发病吞了药在家养病，待时间长了说我不坚强赖在家里就是不想上学，初中时候经常拿不到手机，即使考试得了班里前十对我也没有一点好脸色，父母也经常吵架，妈妈真的对我超级不好，小时候经常挨打，最重的一次是拿苍蝇拍把打的，那个东西直接就碎了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0db92f6221]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""我的未来好渺茫，我现在唯一觉得有干劲的就是赶紧毕业上个不错的本科干个兼职挣了钱去重庆追线下，之前想的赶紧好起来然后去全国各地旅游这种愿望基本上不可能了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b80ea242b9]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""在学校唯一的乐趣就是那个即将进入省赛的合唱团了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[77b4b9b96e]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""每次难受我都会尽力躲着她们 我差不多从来没有给他们带来负面影响也没有给她们带来任何伤害与麻烦为什么每次一有事先来说我。。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ec0a5dcbe7]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""上学期期末考了六百多再次开学考只考了四百多被老师训了一顿同学说我上次是抄的我真的没有但是好多人都不信我 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[240822d155]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""学校里同学天天说我坏话，说我没事找事，从来都没正眼看过我，甚至当着我的面说我"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-04 22:22:41
[2f87cbe449],[8c0d13da84],"李天泽#李天泽0404生日快乐# 生日快乐宝宝，好快啊，认识你六年了，那时候你才十四，现在已经20了，希望你能在我们看不见的地方好好生活，天天开心
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T06:50:54,李天泽超话,3,2,"[{""id"": ""[a9e2206ccd]"", ""created_at"": ""04-04"", ""source"": ""来自河北"", ""user"": {""id"": ""[64213236eb]"", ""screen_name"": ""[39ec05f88e]""}, ""text"": ""回复@ENY-祁:嗯嗯，当时台十最喜欢的就是azy和他"", ""reply_id"": 5019329236829316, ""reply_text"": ""你认识他好久了耶"", ""like_counts"": 2, ""liked"": false}, {""id"": ""[d3b153cda4]"", ""created_at"": ""04-04"", ""source"": ""来自福建"", ""user"": {""id"": ""[142f2ee803]"", ""screen_name"": ""[27f8b6a009]""}, ""text"": ""你认识他好久了耶"", ""like_counts"": 0, ""liked"": false}]",0,李天泽0404生日快乐,[9b2d5b4678],2024-04-04 06:50:54
[9976b752c8],[9eb1cd3c5d],"李天泽
生日快乐宝宝
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-04T00:00:46,李天泽超话,0,0,,0,,[9b2d5b4678],2024-04-04 00:00:46
[6356bb7f2a],[1400bf154c],"抑郁症
最近过的好压抑，上学压力大回家还要面对父母，我现在干嘛都不开心，近几天连我最喜欢的明星都提不起兴趣了。吃了那么久的药也不见好转，真的很想放弃
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T12:53:58,抑郁症超话,0,3,"[{""id"": ""[e1eb5b9b23]"", ""created_at"": ""03-26"", ""source"": ""来自北京"", ""user"": {""id"": ""[16e1159cc3]"", ""screen_name"": ""[63c864f4ab]""}, ""text"": ""康复总需要一个过程，加油啊宝"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8197b189f9]"", ""created_at"": ""03-26"", ""source"": ""来自山东"", ""user"": {""id"": ""[040a6188d5]"", ""screen_name"": ""[4130344cee]""}, ""text"": ""抱抱抱抱 [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4664478d2]"", ""created_at"": ""03-26"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-26 12:53:58
[9ce2dc097c],[3103f62e5f],"#朱志鑫[超话]##朱志鑫 断层c位全能队长# 🐱#朱志鑫 三代唯一断层top# 🐱“你眼中的点点星光，是我将一生奔赴的星辰.”
""𝓣𝓱𝓮 𝓼𝓽𝓪𝓻𝓼 𝓲𝓷 𝔂𝓸𝓾𝓻 𝓮𝔂𝓮𝓼 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓼𝓽𝓪𝓻𝓼 𝓘 𝔀𝓲𝓵𝓵 𝓰𝓸 𝓽𝓸 ...
全文",[9b2d5b4678],[fae5e92bca],[9b2d5b4678],,2024-03-24T00:02:20,朱志鑫超话,2,0,,0,"朱志鑫 断层c位全能队长,朱志鑫 三代唯一断层top",[9b2d5b4678],2024-03-24 00:02:20
