id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[75f3f7643e],[ec15a7af7e],好痛苦 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T05:48:09,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-08 05:48:09
[2f502bad16],[4d62f40905],想死 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-08T05:36:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-08 05:36:48
[d4b5854cc8],[ec09aeae23],"哥们真想一头撞死
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T12:57:43,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 12:57:43
[eaf61c1cc6],[426f570d4f],呵呵 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T03:01:06,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 03:01:06
[cac306cf85],[be5d8d7fff],痛苦的要死掉了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T02:02:42,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 02:02:42
[95ee3d3127],[3ec92347bd],呵呵 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-07T00:56:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-07 00:56:48
[c585305a1d],[5bdce15a8b],艹 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T03:46:06,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 03:46:06
[df95adacd3],[c9ccf11c67],妈的真的想死啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T03:04:31,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 03:04:31
[441466e1f9],[fd5bdc94fc],失眠成了我的家常便饭 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T03:02:28,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 03:02:28
[51acf652ec],[659c926acd],我他妈烦死了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-06T01:46:56,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-06 01:46:56
[4b0e48c0e1],[63f39bb511],有些话根本就说不出口 我说我想死 谁会信 因为我没行动 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:42:22,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-04 21:42:22
[05e6c17604],[6607e362e3],我难受得哭，我无法用语言表达，我是语言很匮乏的人，大家好像都觉得轻而易举，轻飘飘。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:33:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-04 21:33:15
[1656ffa8c0],[2ff896eeca],是不是所有人都觉得我焦虑抑郁只是因为毕业季 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-04T21:32:09,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-06-04 21:32:09
