id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5c9b009eab],[91efef451f],即便明天是世界末日，今夜我也要在园中种满莲花。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:37:32,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-31 21:37:32
[4cc2d29d58],[d53fedbf03],可能我真的是抑郁症病傻了，现在做事情是一点都不上心 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:23:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-31 21:23:48
[59eaca7e84],[437d15d49b],这周才上了三天班我就想骂脏话了，真的很烦工作中的人际关系！ ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:20:24,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-31 21:20:24
[bbcef3be5d],[ce8bfbac64],原来半个单位的人都去考试了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T18:52:21,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 18:52:21
[58a7f4aa04],[51217ac894],分享图片 ,[9b2d5b4678],[a9ca4be95b],[9b2d5b4678],,2024-05-29T18:52:04,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 18:52:04
[3d247fc7e5],[1033bb5e19],"最近很喜欢一个词叫不破不立，有些东西必须摧毁必须放弃，才能迎来新生。你害怕什么就要去面对什么，你必须坦然的面对，不管是消耗你的关系、恐惧和焦虑的事、亦或者内心脆弱又敏感的自己。你必须打破他们才能获得新生，一定要学会勇敢的放下和面对审视自己，审视过去，复盘总结，放下过去，摧毁重塑， ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-29T13:58:43,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-29 13:58:43
[a7ba278b43],[abe01f9c0e],这个夏天给我一个好消息吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T22:51:13,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-28 22:51:13
[927ef9b54a],[ab80bfaa20],睡不着，玩会手机吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T02:02:51,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-26 02:02:51
[e4b45467ef],[8fe0002524],加油明天 ,[9b2d5b4678],[6ef10c35d7],[9b2d5b4678],,2024-05-26T00:35:52,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-26 00:35:52
[3bb353c48b],[06c370e0e5],"抑郁症
 人生很多失败的瞬间都证明了我真的不想活，没有任何的动力，就这样一年复一年地变老长大，年龄是增长可心早就死在了2012年 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-25T04:25:35,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-25 04:25:35
[e858bfaae9],[824c9def59],一个蒜香味小龙虾夜宵 我忘记了打工的烦恼 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-20T03:16:00,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-20 03:16:00
[3f17327bd5],[03ab0cd486],"一个很蠢的人就是我吧 为什么会这样傻 被人背叛了还替她数钱
抑郁症
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-18T01:11:44,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-18 01:11:44
[f4f1dfda8a],[fb9dbaebac],今天很困，只想睡觉 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T13:42:27,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 13:42:27
[94b2d94d2d],[d831cda1ba],无法重来的一生 请你尽量自由些 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-17T00:34:48,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-17 00:34:48
[d13b80fb58],[e1be86431d],"人到中年，最无声的炫富是什么？
一、一个携手一生没有算计和背叛的配偶，这一点就PK掉九成以上的人。
二、一个或者是几个健康活泼可爱，并且上进的孩子，这是每个人的精神寄托。
三、有一份自己很喜欢，并且可以养家糊口的工作。这是中年人作为社会的一份子，最关键的一环。
四、自己身体健康，身 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T21:50:15,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 21:50:15
[fae0fef5e8],[80c4febad0],起不来，晚上不想睡白天不想起 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-13T07:39:12,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-13 07:39:12
[a3f6f41d2f],[7712427266],看了几天的书结果一做题63分 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-12T18:08:11,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-12 18:08:11
[b9882a8a83],[92735274d3],"不管做什么事情，一开始用力过猛的人，注定会走不太远！极强的责任心和控制欲，会让他过度专注于结果，每一个哪怕很细微的障碍都会极大的影响他的心性，从而产生内耗！
所以说：慢慢来，懒懒散散的干，反而容易坚持下去，战术上要身入其中，战略上要置身事外，方法上要身入其中，心境上要置身事外。
 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T11:14:42,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-11 11:14:42
[f8671e58f4],[11f53ebb12],"抑郁症
 又不想睡 明天又起不来上班 我究竟过的是什么样的日子啊？我都不知道能坚持多久 想辞职的念头总是有身边没有一个家人同意 他们只知道钱有用 不知道我会抑郁死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-11T02:16:06,抑郁症超话,1,2,"[{""id"": ""[1bdf3c9fd2]"", ""created_at"": ""05-11"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[dae4f0acc0]"", ""created_at"": ""05-11"", ""source"": ""来自河南"", ""user"": {""id"": ""[fc9139e200]"", ""screen_name"": ""[362b33a403]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-11 02:16:06
[cdf3143923],[fb9fe80c66],"抑郁症
 感觉自己因为这个病有点自卑而且敏感又不招人喜欢，以前小时候还是人见人爱的，现在一个说话的人都没有，以前小时候经常和朋友一起睡一起聊天来着，觉得晚上聊天是最幸福的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-10T00:23:14,抑郁症超话,1,1,"[{""id"": ""[c0f4d78406]"", ""created_at"": ""05-10"", ""source"": ""来自江苏"", ""user"": {""id"": ""[566a892c51]"", ""screen_name"": ""[882079a3e1]""}, ""text"": ""我也是希望你快点好起来 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-10 00:23:14
[cf8c347fee],[121d3a678b],"咳的狗命都没有，大半夜的还在睡不着，心事太多，讲完了之后自己更不好受了
抑郁症
 来这个话题唠嗑一下 希望明天可以早起上班不那么想呕 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-09T01:35:53,抑郁症超话,1,2,"[{""id"": ""[c29d7d2c3d]"", ""created_at"": ""05-09"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""闭上眼睛数羊羊"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0a282579eb]"", ""created_at"": ""05-09"", ""source"": ""来自河南"", ""user"": {""id"": ""[fc9139e200]"", ""screen_name"": ""[362b33a403]""}, ""text"": ""要是长期睡不着影响白天的话，要不就考虑下安眠药吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-09 01:35:53
[53e343ea06],[487e79ea12],逃避型人格 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T20:43:12,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-08 20:43:12
[8c121d8361],[ddc97fa855],"抑郁症
 好累不行了又在内耗了，我希望自己能多爱自己一点，不要总是为他人着想了，别人把好生活给过了，而我却在承受最苦难烦日子 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T00:30:06,抑郁症超话,0,1,"[{""id"": ""[94447adc99]"", ""created_at"": ""05-06"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱爱自己"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 00:30:06
[c90f42039d],[7aace47ad7],"抑郁症
 真的很绝望，人生没有那么难过 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-03T02:06:07,抑郁症超话,2,1,"[{""id"": ""[89d301fcb2]"", ""created_at"": ""05-03"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[d9a8258b7b]"", ""screen_name"": ""[93c3daae8f]""}, ""text"": ""抱抱抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-03 02:06:07
[dc0cc18ce1],[6300d26b37],"抑郁症
 你看到的我好像还可以其实都是假的，我的目光是无神的，我的心理也很脆弱，还有我曾经试过高三半年没上学就去高考，我每天晚上都熬夜网上冲浪白天就睡不醒人事，我其实在人家十六七岁最好的青春的时候我过得很颓废，甚至想过很多次去死奈何没有勇气只好苟且偷生，就像我现在还是和我妈 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-30T01:34:43,抑郁症超话,0,1,"[{""id"": ""[6e96de8bcd]"", ""created_at"": ""23小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[233d561132]"", ""screen_name"": ""[2a55284b52]""}, ""text"": ""怎么感觉是在说我 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-30 01:34:43
