id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[7292c30ceb],[09a3df69bb],"抑郁症
 想去死了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T19:58:41,抑郁症超话,0,2,"[{""id"": ""[f8df0408a6]"", ""created_at"": ""05-05"", ""source"": ""来自上海"", ""user"": {""id"": ""[6da439bc09]"", ""screen_name"": ""[3fe0fc1150]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[22a91e3222]"", ""created_at"": ""05-05"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 19:58:41
[f6d0aebd13],[3f030513b2],"抑郁症
研究生退学
 不治了吧 不想治了 我就是家里的累赘 虽然他们没说 可是也大概是这个意思吧 大四那年感觉又来了 每次和家里打电话全是负能量 压的我喘不过气来 我太没用了 我存在的意义是什么 为什么我爸妈要生我出来 经历各种 却又嫌弃我花费他们太多 我宁愿没有来到这个世界上 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T18:25:52,抑郁症超话,0,4,"[{""id"": ""[dc79ebac7c]"", ""created_at"": ""05-06"", ""source"": ""来自浙江"", ""user"": {""id"": ""[a538f50c44]"", ""screen_name"": ""[70bd2d9d23]""}, ""text"": ""下次给我打电话，我喜欢跟你说话，跟你聊天我很快乐"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c954be74dc]"", ""created_at"": ""05-02"", ""source"": ""来自福建"", ""user"": {""id"": ""[c2205301fd]"", ""screen_name"": ""[721e39ca08]""}, ""text"": ""要好好治疗啊 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0a27760465]"", ""created_at"": ""05-02"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱抱好好治疗"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[18408a3257]"", ""created_at"": ""05-02"", ""source"": ""来自浙江"", ""user"": {""id"": ""[15e6cc4947]"", ""screen_name"": ""[54555fa38b]""}, ""text"": ""为什么我得的不是癌症"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 18:25:52
[cd67a0974a],[b75f714747],睡不着看看花吧 ,[9b2d5b4678],[41615e839d],[df9e39757d],,2024-04-24T00:33:35,iPhone客户端,2,0,,0,,[9b2d5b4678],2024-04-24 00:33:35
[9ef60d60eb],[2718310fff],"抑郁症
 第二次心理咨询 
好累好累 浑身无力 这几天 丙戊酸镁也忘了加量了 做了一堆表 还带回来做了 心理咨询真贵 50分钟根本干不了啥
在心理咨询室的时候 写字手就一直抖 脑子都是糊的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T17:26:59,抑郁症超话,0,1,"[{""id"": ""[a99d1db325]"", ""created_at"": ""04-23"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[eea5144c8f]"", ""screen_name"": ""[b2eef95f98]""}, ""text"": ""慢慢来哦能主动去看心理咨询已经做得很好了！ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 17:26:59
[043b60880d],[fc2d36fa99],"抑郁症
 吃好多药 梦好多啊啊 一直睡不好 睡眠质量好差 也学不进去 一个人待就很emo 犹如行尸走肉 ",[9b2d5b4678],[570bc26d3c],[8baf71d8f5],,2024-04-19T15:06:56,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-19 15:06:56
[36c2a8403f],[001fe643ef],"抑郁症
 好困啊 两点才睡
来到医院挂号  骑车颈还疼 胸闷了好一会 喘不上气有些
这个医生好严肃啊 本来想给她看浙江那边病例 结果不看 感觉有些不耐烦 我说话也有些语无伦次 又是量表 好贵 药给我换成了进口的 贵死了 我以为一两百能行结果 花了七八百 复查弄的挺不舒服的 拿完药整个人都呆了  ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T09:53:50,抑郁症超话,1,2,"[{""id"": ""[c8625ab292]"", ""created_at"": ""04-17"", ""source"": ""来自安徽"", ""user"": {""id"": ""[15e6cc4947]"", ""screen_name"": ""[54555fa38b]""}, ""text"": ""以前不觉得自己是精神病 咋感觉越来越像精神病…"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[2bfc26b44a]"", ""created_at"": ""04-17"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-17 09:53:50
[5b5c8762d2],[5157463563],"抑郁症
 之前在学校做的免费感觉不舒服，来医院约了一个420的心理治疗，难道花钱的真的香一些嘛
很丢脸的在医生面前哭了，她能共情我的痛苦，也会觉得我很坚强了已经，她能明白我的感受，不同于之前。出来医院之后顿时感觉空气都是香的。因为昨天自伤了割了自己，医生给我推荐了专家，让我 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T14:47:01,抑郁症超话,7,6,"[{'id': 5023862423552673, 'created_at': '04-16', 'source': '来自河南', 'user': {'id': 7283591728, 'screen_name': '因风起柳絮飘'}, 'text': '回复@·茶醋醋·:对', 'reply_id': 5023860316965053, 'reply_text': '哭并不丢人，好的心理咨询师确实很有帮助', 'like_counts': 0, 'liked': False}, {'id': 5023860316965053, 'created_at': '04-16', 'source': '来自浙江', 'user': {'id': 7158650427, 'screen_name': '·茶醋醋·'}, 'text': '哭并不丢人，好的心理咨询师确实很有帮助', 'like_counts': 1, 'liked': False}, {'id': 5023844209524898, 'created_at': '04-16', 'source': '来自湖南', 'user': {'id': 7753300593, 'screen_name': '沃特武奥尔斯2022'}, 'text': '哭是一种情绪表达的方式，不丢人，又不是做错了什么', 'like_counts': 1, 'liked': False}, {'id': 5023817692875842, 'created_at': '04-16', 'source': '来自安徽', 'user': {'id': 6610511758, 'screen_name': '悄雾漫鋁'}, 'text': '回复@夕阳下的热情相拥:好 谢谢你 ""[苦涩]""', 'reply_id': 5023816890188467, 'reply_text': '你已经很努力了，要多利用备忘录提醒功能哦，我相信你会越来越好 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5023816890188467, 'created_at': '04-16', 'source': '来自陕西', 'user': {'id': 7748465851, 'screen_name': '夕阳下的热情相拥'}, 'text': '你已经很努力了，要多利用备忘录提醒功能哦，我相信你会越来越好 [抱抱]', 'like_counts': 1, 'liked': False}, {'id': 5023797235155722, 'created_at': '04-16', 'source': '来自安徽', 'user': {'id': 6610511758, 'screen_name': '悄雾漫鋁'}, 'text': '不敢跟别人说的都可以和她说的感觉太棒了 [泪]', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-04-16 14:47:01
[a348509ca0],[87abe5cd13],"抑郁症
 现在开始吃了药也难以入睡了 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T00:09:47,抑郁症超话,0,1,"[{""id"": ""[080183b555]"", ""created_at"": ""04-09"", ""source"": ""来自湖南"", ""user"": {""id"": ""[ba1df6bb54]"", ""screen_name"": ""[728060e744]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-09 00:09:47
[7b1bd9de02],[05e82facda],好想奶奶呀 活生生一个人却成了一盆灰 有时候想想人也挺脆弱的 说走就走呀 好怀念奶奶在的时候 可以无话不说 要是奶奶还在就好了 我就不会让你再难受那么多次了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-05T16:08:04,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-05 16:08:04
[f3a1533a77],[ba3dd6cd09],"研究生退学
 晚上总是被吓醒 总是感觉有人上我的床 要来杀我 动也动不了 叫也叫不出来 极度害怕 那种恐惧感 我在想是不是之前那个人说晚上会梦游杀我 以及她拿刀冲上我的床 给我留下了潜在阴影 当时人是蒙的 可现在晚上已经很多次被吓醒了 每次总感觉有人要来害我 有人压着我腿 我疯狂的弹 想叫 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T16:35:35,研究生退学超话,5,4,"[{""id"": ""[72c3f298b7]"", ""created_at"": ""04-01"", ""source"": ""来自安徽"", ""user"": {""id"": ""[0b9ce299ef]"", ""screen_name"": ""[19f675ef53]""}, ""text"": ""回复@悄雾漫鋁:要不休学，你现在状态太差了，身体是第一的，这个世界除了研究生之外，还有很多美好的东西，你还木有体验到，出去玩玩"", ""reply_id"": 5018105883658880, ""reply_text"": ""回复@漫漫欢颜:啊 [泪]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[0d1de28f97]"", ""created_at"": ""04-01"", ""source"": ""来自北京"", ""user"": {""id"": ""[b66a3cd135]"", ""screen_name"": ""[3211ce8ecf]""}, ""text"": ""身体会好的会好的 不管早好晚好 我的宗旨是活着才有希望！！ [鲜花]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[11fe328596]"", ""created_at"": ""03-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[15e6cc4947]"", ""screen_name"": ""[54555fa38b]""}, ""text"": ""回复@漫漫欢颜:啊 [泪]"", ""reply_id"": 5018089030684797, ""reply_text"": ""退学吧姐妹"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[10e483270a]"", ""created_at"": ""03-31"", ""source"": ""来自安徽"", ""user"": {""id"": ""[0b9ce299ef]"", ""screen_name"": ""[19f675ef53]""}, ""text"": ""退学吧姐妹"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-31 16:35:35
