id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1317506aae],[e1f4f990b0],"我第一次听到，“不允许把感情投入到文学”的这个说法，原因竟然是不够理性，带着情绪写出的作品永远成为不了一流文学，那么我请问一流文学的定义是什么呢，是大陆作协？是贾平凹？还是指望那些马工程的编书者为你充实文坛？抱歉老师，我目前没有能力反驳你，但我会选择逃离教室，因为春末的谷雨，比你 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-19T08:56:15,HarmonyOS设备,1,5,"[{""id"": ""[090d2e6407]"", ""created_at"": ""1小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[9d7d0b88e2]"", ""screen_name"": ""[736c52413f]""}, ""text"": ""回复@scop-:感谢认同，文学应抒写内心，情感赋予文字生命。"", ""reply_id"": 5024806034474401, ""reply_text"": ""回复@刘备乃玄德:天呢主公，你说得对"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ee007f7845]"", ""created_at"": ""1小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@刘备乃玄德:天呢主公，你说得对"", ""reply_id"": 5024803222456483, ""reply_text"": ""文学是情感的载体，情感赋予文字生命。每一部作品，都是作者心灵的呼唤，不应以理性和一流为标准。谷雨时节，正是万物复苏之时，愿你的创作如春日般生机勃勃。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c3c2f87f4c]"", ""created_at"": ""1小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""pic"": {""pid"": ""0069HuhBly1hovw3rjku9j33k01lcnpd"", ""url"": ""https://wx1.sinaimg.cn/orj360/0069HuhBly1hovw3rjku9j33k01lcnpd.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 603, ""height"": 270, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx1.sinaimg.cn/large/0069HuhBly1hovw3rjku9j33k01lcnpd.jpg"", ""geo"": {""width"": 2048, ""height"": 917, ""croped"": false}}}, ""text"": ""回复@薄云谢酒:笑死，我也觉得她应该去学理科她的课我再也不想听了，我在大厅坐死都不会去教室 [耶]"", ""reply_id"": 5024803238972830, ""reply_text"": ""不带感情应该去写编程，写数学，因为真理无情，永远不会因为一个人的意志改变自己的位置 [黑线]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9263dc3d2e]"", ""created_at"": ""1小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[3ea9d600e7]"", ""screen_name"": ""[e6655fd126]""}, ""text"": ""不带感情应该去写编程，写数学，因为真理无情，永远不会因为一个人的意志改变自己的位置 [黑线]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[920a3e6169]"", ""created_at"": ""1小时前"", ""source"": ""来自北京"", ""user"": {""id"": ""[9d7d0b88e2]"", ""screen_name"": ""[736c52413f]""}, ""text"": ""文学是情感的载体，情感赋予文字生命。每一部作品，都是作者心灵的呼唤，不应以理性和一流为标准。谷雨时节，正是万物复苏之时，愿你的创作如春日般生机勃勃。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-19 08:56:15
[cf13b31d7d],[47107f6908],放弃了，我再也不会捐钱给任何动物园了，终于理解了动物园原本就是反自然的存在😓 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-17T00:10:13,HarmonyOS设备,0,0,,0,,[9b2d5b4678],2024-04-17 00:10:13
[56b03ad426],[654b95fdac],头痛欲裂了，睡也痛不睡也痛 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T17:00:09,nova7SE 5G你在焦点在,1,5,"[{""id"": ""[0ca043b24c]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@评论罗伯特:你好暖"", ""reply_id"": 5023831075589185, ""reply_text"": ""抱抱好好休息！ [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[38bb60cd43]"", ""created_at"": ""04-16"", ""source"": ""来自北京"", ""user"": {""id"": ""[9d7d0b88e2]"", ""screen_name"": ""[736c52413f]""}, ""text"": ""回复@scop-:愿你早日康复，期待阳光灿烂的日子！"", ""reply_id"": 5023930175717851, ""reply_text"": ""回复@刘备乃玄德:好的主公"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e5e44f74ae]"", ""created_at"": ""04-16"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@刘备乃玄德:好的主公"", ""reply_id"": 5023836171668274, ""reply_text"": ""痛则思变，或许正是身体在呼唤新的开始。养精蓄锐，明日定是阳光明媚！"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[097cfec439]"", ""created_at"": ""04-16"", ""source"": ""来自北京"", ""user"": {""id"": ""[9d7d0b88e2]"", ""screen_name"": ""[736c52413f]""}, ""text"": ""痛则思变，或许正是身体在呼唤新的开始。养精蓄锐，明日定是阳光明媚！"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0c0962321c]"", ""created_at"": ""04-16"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""抱抱好好休息！ [抱一抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 17:00:09
[f8ec51f2bf],[568ef4a188],笑吐了，找徐王暗示99 ,[9b2d5b4678],[1eca2b5d7a],[9b2d5b4678],,2024-04-15T14:49:44,nova7SE 5G你在焦点在,0,3,"[{""id"": ""[e372ce4905]"", ""created_at"": ""04-15"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""回复@scop-:啊不好意思刚刚看错了"", ""reply_id"": 5023443978027689, ""reply_text"": ""回复@评论罗伯特:你刷到个啥啊这是我老师课件"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d29ac0b3f3]"", ""created_at"": ""04-15"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@评论罗伯特:你刷到个啥啊这是我老师课件"", ""reply_id"": 5023435745660307, ""reply_text"": ""哈哈哈我也刷到了 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c85b44a3a7]"", ""created_at"": ""04-15"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""哈哈哈我也刷到了 [打call]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-15 14:49:44
[55e0dba7ab],[98345ae640],竟然有三国测收代号鸟……而且也不是骂的……不能理解 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T21:49:07,nova7SE 5G你在焦点在,0,3,"[{""id"": ""[8977d35ff9]"", ""created_at"": ""04-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[a336911c74]"", ""screen_name"": ""[d81c382373]""}, ""text"": ""回复@scop-:断句不慎，见谅。"", ""reply_id"": 5023182077036722, ""reply_text"": ""回复@孔明诸葛亮:亮子你怎么断句的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[14925c3079]"", ""created_at"": ""04-14"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@孔明诸葛亮:亮子你怎么断句的"", ""reply_id"": 5023181770851498, ""reply_text"": ""智者千虑，必有一失。三国测收，亦是文化之妙。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[96c8308d4f]"", ""created_at"": ""04-14"", ""source"": ""来自北京"", ""user"": {""id"": ""[a336911c74]"", ""screen_name"": ""[d81c382373]""}, ""text"": ""智者千虑，必有一失。三国测收，亦是文化之妙。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 21:49:07
[032058e9b1],[d3185ae76c],#黑执事#虽然但是我会看的但是你也太丑了宝宝，替初中的我打你们两巴😅 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T21:29:04,nova7SE 5G你在焦点在,0,1,"[{""id"": ""[85768a249f]"", ""created_at"": ""04-14"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“黑执事”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 黑执事[超话]"", ""like_counts"": 0, ""liked"": false}]",0,黑执事,[9b2d5b4678],2024-04-13 21:29:04
[b88d5a4f33],[df071774fc],"先秦测天天地狱，秦测天天吵架，果立方测天天产出，宋测天天拉屎
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T13:50:51,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-04-13 13:50:51
[bfee50164c],[ce2014ddef],秦测天天ttk，有种2245年前战火纷飞的美 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-09T10:03:43,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-04-09 10:03:43
[1b9b791fa4],[5c0129a142],又看了傅子记录的曹操给荀彧写信表对奉孝的思念，流传的文字不多但频繁的“何益亡者”“追念之感深”“悲痛伤心”“以此痛惜”“奈何奈何”“何得使人忘之”，想感叹一句曹老板真的很不吝表达自己的情感啊，他告诉荀彧也是把荀彧当做自己和郭嘉之间的联系了，曹荀郭你别说了，这就是天底下最牛逼的cb饭 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T15:03:49,nova7SE 5G你在焦点在,0,0,,0,,[9b2d5b4678],2024-04-07 15:03:49
[ba3ef6b149],[4cc2787723],"抑郁症
每次过得幸福的时候就想死，我知道现在的灿烂只是昙花一现。 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-07T12:43:19,抑郁症超话,0,4,"[{""id"": ""[9dcbb0b9b6]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[8a8792513f]"", ""screen_name"": ""[8ca65fc7c3]""}, ""text"": ""回复@scop-:等试岗期过去"", ""reply_id"": 5020538588628738, ""reply_text"": ""回复@花颜落清秋:不好的环境要脱离"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7da21161d5]"", ""created_at"": ""04-07"", ""source"": ""来自河南"", ""user"": {""id"": ""[5ac2b9f64b]"", ""screen_name"": ""[3ee6572308]""}, ""text"": ""回复@花颜落清秋:不好的环境要脱离"", ""reply_id"": 5020516078063219, ""reply_text"": ""我现在才想si,连个能抱怨的人都没有 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cc78a29133]"", ""created_at"": ""04-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[8de28a0f4f]"", ""screen_name"": ""[ca91d67bf1]""}, ""text"": ""人生无常，幸福如昙花一现，珍惜当下吧。"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[840ffa69ec]"", ""created_at"": ""04-07"", ""source"": ""来自北京"", ""user"": {""id"": ""[a336911c74]"", ""screen_name"": ""[d81c382373]""}, ""text"": ""人生百态，幸福之瞬间，亦需珍惜。"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-07 12:43:19
