id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4601a1bb44],[a2e96b7547],"马嘉祺周边中转站
 
抢票的时间刚好在上学怎么办？🥹🥹🥹哭死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-11T22:14:35,马嘉祺周边中转站超话,0,8,"[{'id': 5022101209355389, 'created_at': '04-11', 'source': '来自广东', 'user': {'id': 5100264739, 'screen_name': '易霖小筠'}, 'text': '回复@一本颜控:那就是周六周日下午两点呀 懂了懂了谢谢 ""[送花花]""', 'reply_id': 5022101007764310, 'reply_text': '回复@易霖小筠:图片评论 网页链接', 'like_counts': 0, 'liked': False}, {'id': 5022101007764310, 'created_at': '04-11', 'source': '来自山西', 'user': {'id': 5196713808, 'screen_name': '一本颜控'}, 'pic': {'pid': '005FGSEEly1hon9g2d5gfj30u01sxtj7', 'url': 'https://wx1.sinaimg.cn/orj360/005FGSEEly1hon9g2d5gfj30u01sxtj7.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 779, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx1.sinaimg.cn/large/005FGSEEly1hon9g2d5gfj30u01sxtj7.jpg', 'geo': {'width': '1080', 'height': '2337', 'croped': False}}}, 'text': '回复@易霖小筠:图片评论', 'reply_id': 5022100806702337, 'reply_text': '回复@一本颜控:是啥图呀 可以问下时间呢', 'like_counts': 0, 'liked': False}, {'id': 5022100806702337, 'created_at': '04-11', 'source': '来自广东', 'user': {'id': 5100264739, 'screen_name': '易霖小筠'}, 'text': '回复@一本颜控:是啥图呀 可以问下时间呢', 'reply_id': 5022098197842784, 'reply_text': '回复@7红烧茄子_:被人偷跑了 传出来一张图', 'like_counts': 0, 'liked': False}, {'id': 5022098630120428, 'created_at': '04-11', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@葡萄小小茄:发愁\U0001f979', 'reply_id': 5022098273865160, 'reply_text': '我也是 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5022098324723404, 'created_at': '04-11', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@7红烧茄子_:不是流传图出来嘛？也不知是不是真的，但抢票时间很有可能真的在我上学的时间，我们学校半个月放一次 [泪]', 'reply_id': 5022097971085750, 'reply_text': '抢票时间订了？', 'like_counts': 0, 'liked': False}, {'id': 5022098273865160, 'created_at': '04-11', 'source': '来自陕西', 'user': {'id': 7683336722, 'screen_name': '葡萄小小茄'}, 'text': '我也是 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5022098197842784, 'created_at': '04-11', 'source': '来自山西', 'user': {'id': 5196713808, 'screen_name': '一本颜控'}, 'text': '回复@7红烧茄子_:被人偷跑了 传出来一张图', 'reply_id': 5022097971085750, 'reply_text': '抢票时间订了？', 'like_counts': 0, 'liked': False}, {'id': 5022097971085750, 'created_at': '04-11', 'source': '来自河南', 'user': {'id': 7719758351, 'screen_name': '7红烧茄子_'}, 'text': '抢票时间订了？', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-11 22:14:35
[1130e9aa81],[ecbc0bcfd3],"马嘉祺周边中转站
 换四周年其他的拍立得
提问🙋🏻♀️：这次的小卡都有很多小点点吗？ ",[9b2d5b4678],[c082eebe35],[95835200a3],,2024-04-03T18:22:08,马嘉祺周边中转站超话,1,9,"[{""id"": ""[1782f42384]"", ""created_at"": ""04-08"", ""source"": ""来自河北"", ""user"": {""id"": ""[07f7d01438]"", ""screen_name"": ""[26cf73c841]""}, ""text"": ""出应援棒+猫拳拍立得 两张都无瑕未绑"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc16373079]"", ""created_at"": ""04-03"", ""source"": ""来自天津"", ""user"": {""id"": ""[fcb0636d7f]"", ""screen_name"": ""[87f911440f]""}, ""text"": ""猫猫拳 应援棒 狼耳"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d31a451f2e]"", ""created_at"": ""04-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[4ddb99dc23]"", ""screen_name"": ""[c31faa2b11]""}, ""text"": ""回复@7thStudioHall:好吧"", ""reply_id"": 5019141369237163, ""reply_text"": ""回复@栗树莓果:不好意思 宝宝 我想等等有没有其他的卡"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[cdbb425d70]"", ""created_at"": ""04-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[a65e95389e]"", ""screen_name"": ""[4f1e4284e9]""}, ""text"": ""猫拳拍立得或应援棒拍立得"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a72632fd0b]"", ""created_at"": ""04-03"", ""source"": ""来自浙江"", ""user"": {""id"": ""[abd6791d42]"", ""screen_name"": ""[412f8f7418]""}, ""text"": ""回复@栗树莓果:不好意思 宝宝 我想等等有没有其他的卡"", ""reply_id"": 5019140370465875, ""reply_text"": ""回复@栗树莓果:想换小丑 [爱你]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7c453021d8]"", ""created_at"": ""04-03"", ""source"": ""来自浙江"", ""user"": {""id"": ""[60594613a0]"", ""screen_name"": ""[0e752f11a2]""}, ""text"": ""我求求互关发图 [舔屏]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[916d480428]"", ""created_at"": ""04-03"", ""source"": ""来自广西"", ""user"": {""id"": ""[ed5bd5e8dc]"", ""screen_name"": ""[e8cf0eaa92]""}, ""pic"": {""pid"": ""0087u9Pjgy1hodthketidj30hf0owtb6"", ""url"": ""https://wx1.sinaimg.cn/orj360/0087u9Pjgy1hodthketidj30hf0owtb6.jpg"", ""size"": ""orj360"", ""geo"": {""width"": 360, ""height"": 514, ""croped"": false}, ""large"": {""size"": ""large"", ""url"": ""https://wx1.sinaimg.cn/large/0087u9Pjgy1hodthketidj30hf0owtb6.jpg"", ""geo"": {""width"": ""627"", ""height"": ""896"", ""croped"": false}}}, ""text"": ""这张换吗贵妇包送官"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[399edf5c3a]"", ""created_at"": ""04-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[4ddb99dc23]"", ""screen_name"": ""[c31faa2b11]""}, ""text"": ""回复@栗树莓果:想换小丑 [爱你]"", ""reply_id"": 5019140295231426, ""reply_text"": ""我有皮衣拍立得"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f3651db8ff]"", ""created_at"": ""04-03"", ""source"": ""来自湖南"", ""user"": {""id"": ""[4ddb99dc23]"", ""screen_name"": ""[c31faa2b11]""}, ""text"": ""我有皮衣拍立得"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-03 18:22:08
[4584912f59],[2170509d54],"时代少年团周边中转站
 
换其他的四周年的拍立得
提问：这次的卡面都是有很多小点点吗？ ",[9b2d5b4678],[2ffcd5271e],[c3bff16386],,2024-04-03T18:20:43,时代少年团周边中转站超话,1,6,"[{""id"": ""[a2a13721b7]"", ""created_at"": ""04-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[2c0e75dd7c]"", ""screen_name"": ""[576794fdc4]""}, ""text"": ""回复@碗盆不分家f:那不换哦"", ""reply_id"": 5019150896595457, ""reply_text"": ""回复@冰敷个柚子吧:草莓"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[399c7501ef]"", ""created_at"": ""04-03"", ""source"": ""来自河北"", ""user"": {""id"": ""[dd7330f1f7]"", ""screen_name"": ""[d9b8f314ad]""}, ""text"": ""回复@冰敷个柚子吧:草莓"", ""reply_id"": 5019149921948422, ""reply_text"": ""回复@碗盆不分家f:啊？你要哪张卡"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4c27fa1ec]"", ""created_at"": ""04-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[2c0e75dd7c]"", ""screen_name"": ""[576794fdc4]""}, ""text"": ""回复@碗盆不分家f:啊？你要哪张卡"", ""reply_id"": 5019149749456435, ""reply_text"": ""回复@冰敷个柚子吧:宝宝我换楼主先"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fc0cfdab2f]"", ""created_at"": ""04-03"", ""source"": ""来自河北"", ""user"": {""id"": ""[dd7330f1f7]"", ""screen_name"": ""[d9b8f314ad]""}, ""text"": ""回复@冰敷个柚子吧:宝宝我换楼主先"", ""reply_id"": 5019141993398372, ""reply_text"": ""问小丑换什么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[8905e2953c]"", ""created_at"": ""04-03"", ""source"": ""来自广东"", ""user"": {""id"": ""[2c0e75dd7c]"", ""screen_name"": ""[576794fdc4]""}, ""text"": ""问小丑换什么"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6fa16d53b6]"", ""created_at"": ""04-03"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d7810458e9]"", ""screen_name"": ""[f1f31667ab]""}, ""text"": ""蹲回答"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-03 18:20:43
[4caaec438d],[505b895500],#叠纸心意旗舰店#生活顺利@叠纸心意 ,[9b2d5b4678],[c283d9c2cb],[9b2d5b4678],,2024-03-07T22:38:42,iPhone 14,0,1,"[{""id"": ""[8f3d05bc01]"", ""created_at"": ""03-11"", ""source"": ""来自重庆"", ""user"": {""id"": ""[11bfbfe525]"", ""screen_name"": ""[98766ac4ed]""}, ""text"": ""宝回关我一下 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,叠纸心意旗舰店,[d9ec8524d0],2024-03-07 22:38:42
[58b3b364c1],[e807d306f4],"马嘉祺周边中转站
 
出卡册粉衣 应援棒 剧本杀 白底 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-03T03:33:58,马嘉祺周边中转站超话,1,4,"[{""id"": ""[9082f8694c]"", ""created_at"": ""03-03"", ""source"": ""来自浙江"", ""user"": {""id"": ""[abd6791d42]"", ""screen_name"": ""[412f8f7418]""}, ""text"": ""回复@Lethersth:没事"", ""reply_id"": 5007889070558965, ""reply_text"": ""回复@7thStudioHall:婉拒了谢谢"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[5b13e3dfed]"", ""created_at"": ""03-03"", ""source"": ""来自上海"", ""user"": {""id"": ""[df2b023406]"", ""screen_name"": ""[16753bea2b]""}, ""text"": ""回复@7thStudioHall:婉拒了谢谢"", ""reply_id"": 5007872758907443, ""reply_text"": ""回复@Lethersth:30不包"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a4e130bf2e]"", ""created_at"": ""03-03"", ""source"": ""来自浙江"", ""user"": {""id"": ""[abd6791d42]"", ""screen_name"": ""[412f8f7418]""}, ""text"": ""回复@Lethersth:30不包"", ""reply_id"": 5007803861172838, ""reply_text"": ""问价剧本杀"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6fe8f7ec23]"", ""created_at"": ""03-03"", ""source"": ""来自上海"", ""user"": {""id"": ""[df2b023406]"", ""screen_name"": ""[16753bea2b]""}, ""text"": ""问价剧本杀"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-03 03:33:58
[09def77c35],[b1442fd036],"马嘉祺周边中转站
 
我收返场台历 如果出的话 看看我  谢谢🧎♀️ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-02T13:17:41,马嘉祺周边中转站超话,1,0,,0,,[9b2d5b4678],2024-03-02 13:17:41
[745e7c9dd6],[4f9e0f94e9],"马嘉祺周边中转站
 收小马台历返场 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-02T13:04:58,马嘉祺周边中转站超话,3,0,,0,,[9b2d5b4678],2024-03-02 13:04:58
[54f90c0cc6],[7ac8834531],"时代少年团周边中转站
 
可以问问演唱会如果是强实名制的
我从别的姐妹那里收到票以后
这个实名信息可以改吗
或者说我到场之后身份信息不一样还能进吗？ 
（因为我还没有看过演唱会 所以想问问🙇🏻♀️ ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-02T01:09:53,时代少年团周边中转站超话,1,8,"[{'id': 5007286074606744, 'created_at': '03-02', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@zzhan_y1123:好 谢谢', 'reply_id': 5007285780743886, 'reply_text': '不能改，你走人工去', 'like_counts': 0, 'liked': False}, {'id': 5007285780743886, 'created_at': '03-02', 'source': '来自湖南', 'user': {'id': 7904591289, 'screen_name': 'zzhan_y1123'}, 'text': '不能改，你走人工去', 'like_counts': 0, 'liked': False}, {'id': 5007284858257954, 'created_at': '03-02', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@碗盆官宣了吗:知道了 谢谢🙇🏻♀️', 'reply_id': 5007284164101575, 'reply_text': '应该可以走人工叭 ""[比耶]""', 'like_counts': 0, 'liked': False}, {'id': 5007284818936575, 'created_at': '03-02', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@柴犬不乱跑:好 谢谢🙇🏻♀️', 'reply_id': 5007284336330422, 'reply_text': '不能改', 'like_counts': 0, 'liked': False}, {'id': 5007284780401659, 'created_at': '03-02', 'source': '来自浙江', 'user': {'id': 6748718653, 'screen_name': '7thStudioHall'}, 'text': '回复@Submission_-_:好的 谢谢🙇🏻♀️', 'reply_id': 5007284218365697, 'reply_text': '走人工', 'like_counts': 0, 'liked': False}, {'id': 5007284336330422, 'created_at': '03-02', 'source': '来自河南', 'user': {'id': 7856187901, 'screen_name': '柴犬不乱跑'}, 'text': '不能改', 'like_counts': 0, 'liked': False}, {'id': 5007284218365697, 'created_at': '03-02', 'source': '来自广西', 'user': {'id': 5744634684, 'screen_name': 'Submission_-_'}, 'text': '走人工', 'like_counts': 0, 'liked': False}, {'id': 5007284164101575, 'created_at': '03-02', 'source': '来自江苏', 'user': {'id': 5280477953, 'screen_name': '碗盆官宣了吗'}, 'text': '应该可以走人工叭 ""[比耶]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-03-02 01:09:53
[9706ff77b9],[b08722fb50],"马嘉祺周边中转站
 
长期收马嘉祺2023生日纪念
帖子在就还收 走平台不提确的来 谢谢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-24T18:12:42,马嘉祺周边中转站超话,0,2,"[{""id"": ""[833f271fcf]"", ""created_at"": ""02-24"", ""source"": ""来自浙江"", ""user"": {""id"": ""[abd6791d42]"", ""screen_name"": ""[412f8f7418]""}, ""text"": ""回复@脑袋缺根筋-:我今天收到了！不是今年是去年的，去年的时候真的超级难抢 [打call]"", ""reply_id"": 5005081372007722, ""reply_text"": ""我都没看到zzz挂过嘉祺2023生日纪念购买的通知 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ceb224627f]"", ""created_at"": ""02-24"", ""source"": ""来自山东"", ""user"": {""id"": ""[54d82fdac2]"", ""screen_name"": ""[07070736c4]""}, ""text"": ""我都没看到zzz挂过嘉祺2023生日纪念购买的通知 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-02-24 18:12:42
[7d1f0daa31],[006b58663e],"时代少年团周边中转站
 
长期收马嘉祺2023生日纪念
帖子在就还收 走平台不提确的来 谢谢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-02-24T18:11:41,时代少年团周边中转站超话,0,0,,0,,[9b2d5b4678],2024-02-24 18:11:41
