id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[51938dea87],[0f87d71ee7],"抑郁症
 感觉身边人说话都很烦 烦所有人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T18:29:50,抑郁症超话,1,1,"[{""id"": ""[1cda28543e]"", ""created_at"": ""1小时前"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 18:29:50
[eafe9fef5d],[9ae29c791a],"抑郁症
 好宝宝@巴黎散步道_毒妇 ",[9b2d5b4678],[fb30f6a57b],[9b2d5b4678],,2024-04-25T20:04:57,抑郁症超话,1,1,"[{""id"": ""[2f6bbac04b]"", ""created_at"": ""昨天 20:05"", ""source"": ""来自上海"", ""user"": {""id"": ""[afe0da58f8]"", ""screen_name"": ""[4328940002]""}, ""text"": ""好宝宝在这里"", ""like_counts"": 1, ""liked"": false}]",0,,[4328940002],2024-04-25 20:04:57
[f5c5cb2289],[e429698261],"抑郁症
 跟我妈吵架了她让我去死 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T19:47:01,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-25 19:47:01
[60b9544fc3],[baba277bb0],"抑郁症
 好想回去住院怎么和家长说 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T22:45:11,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-24 22:45:11
[5e95a72911],[b56b8b7fe0],"抑郁症
 有没有休学了要来聊聊天的姐妹 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T16:24:16,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-24 16:24:16
[f80920a418],[da98510dc0],"抑郁症
 妈妈问我为什么这么热还穿长袖出门 我还不是为了遮疤 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T15:38:56,抑郁症超话,2,5,"[{""id"": ""[20d07b3eb2]"", ""created_at"": ""昨天 09:46"", ""source"": ""来自天津"", ""user"": {""id"": ""[afe0da58f8]"", ""screen_name"": ""[4328940002]""}, ""text"": ""欧尼 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[322b594215]"", ""created_at"": ""04-24"", ""source"": ""来自安徽"", ""user"": {""id"": ""[7c59ae39be]"", ""screen_name"": ""[0e228a3d59]""}, ""text"": ""我用冰袖 [二哈]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[59b6387f9d]"", ""created_at"": ""04-24"", ""source"": ""来自黑龙江"", ""user"": {""id"": ""[500f851231]"", ""screen_name"": ""[274a37e65e]""}, ""text"": ""我也是 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[edc8835b20]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[6c32e8ae86]"", ""screen_name"": ""[934cda9cd7]""}, ""text"": "" [抱一抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[ab1bbc1bba]"", ""created_at"": ""04-24"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 15:38:56
[edfd65fc4f],[7a681d4570],"抑郁症
 昨天吃了几片药现在又开始恶心了 心慌手抖 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T09:23:09,抑郁症超话,1,1,"[{""id"": ""[1d4f1cdf78]"", ""created_at"": ""04-23"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-23 09:23:09
[27e220f17d],[bb5658a916],"抑郁症
 一点都不想活 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-22T21:33:32,抑郁症超话,1,2,"[{""id"": ""[bdddfe6b2a]"", ""created_at"": ""04-22"", ""source"": ""来自辽宁"", ""user"": {""id"": ""[0a11aaa30b]"", ""screen_name"": ""[5ed3d93668]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[693b0c43da]"", ""created_at"": ""04-22"", ""source"": ""来自江西"", ""user"": {""id"": ""[43f583004c]"", ""screen_name"": ""[b6a91cdd56]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-22 21:33:32
[528cea9fc2],[300d5fd6bd],"抑郁症
 不想中考 只想死 一下午都在构思怎么巧妙地离世 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-21T23:16:21,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-21 23:16:21
[1e10e88c71],[cb3f904333],"newjeans便利店
 来搞搞付邮送～一次可以选两张 ",[9b2d5b4678],[f6e448f281],[3c929126cd],,2024-04-16T17:57:18,newjeans便利店超话,0,40,,0,,[9b2d5b4678],2024-04-16 17:57:18
