id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d362f90460],[338fd67405],哥 我还是差太远了 差太远了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T01:36:31,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-06-02 01:36:31
[a561c65fc4],[702db4a0f6],哥 你说 人活在这个世上的意义是什么呢@罗云熙Leo ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-02T00:47:45,抑郁症超话,3,6,"[{'id': 5040629921349638, 'created_at': '2小时前', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@我不摘月光:嗯晚安 [兔子]', 'reply_id': 5040629392083821, 'reply_text': '回复@·阿蛇·:不谢，早点睡吧！睡得好会让心情也变好哦！', 'like_counts': 0, 'liked': False}, {'id': 5040629392083821, 'created_at': '2小时前', 'source': '来自山东', 'user': {'id': 6268565287, 'screen_name': '我不摘月光'}, 'text': '回复@·阿蛇·:不谢，早点睡吧！睡得好会让心情也变好哦！', 'reply_id': 5040628853637879, 'reply_text': '回复@我不摘月光:谢谢你 ""[春游家族]""', 'like_counts': 1, 'liked': False}, {'id': 5040628853637879, 'created_at': '2小时前', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@我不摘月光:谢谢你 ""[春游家族]""', 'reply_id': 5040619567448878, 'reply_text': '姐妹，罗云熙今晚开了演唱会欸，你可以去搜搜视频看不要不开心 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5040628805927075, 'created_at': '2小时前', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@我不摘月光:嗯 很为他高兴 我的大明星就该熠熠生辉的站在舞台中央 [兔子]', 'reply_id': 5040619567448878, 'reply_text': '姐妹，罗云熙今晚开了演唱会欸，你可以去搜搜视频看不要不开心 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5040619567448878, 'created_at': '3小时前', 'source': '来自山东', 'user': {'id': 6268565287, 'screen_name': '我不摘月光'}, 'text': '姐妹，罗云熙今晚开了演唱会欸，你可以去搜搜视频看不要不开心 [抱一抱]', 'like_counts': 1, 'liked': False}, {'id': 5040619361668921, 'created_at': '3小时前', 'source': '来自山东', 'user': {'id': 6268565287, 'screen_name': '我不摘月光'}, 'text': '活着本身已经很有意义了。', 'like_counts': 0, 'liked': False}]",0,,[a3fb8fd522],2024-06-02 00:47:45
[b2d8008d1c],[f401765a1d],"我是不是焦虑症犯了
总是去想以后可能会发生的可怕的事
再这么下去 我得疯 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T15:18:25,抑郁症超话,0,4,"[{""id"": ""[2c52a37edf]"", ""created_at"": ""5小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[808890b80a]"", ""screen_name"": ""[447a55da93]""}, ""text"": ""回复@下次一定给月亮轮班: [心]"", ""reply_id"": 5040495650931001, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c16c9514cf]"", ""created_at"": ""5小时前"", ""source"": ""来自内蒙古"", ""user"": {""id"": ""[808890b80a]"", ""screen_name"": ""[447a55da93]""}, ""text"": ""回复@我又差点兔了_-:抱抱"", ""reply_id"": 5040487456837042, ""reply_text"": ""我也是 [微笑]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[780a7f80f5]"", ""created_at"": ""11小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[742108dd85]"", ""screen_name"": ""[c0d3412449]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[fe1585cdda]"", ""created_at"": ""11小时前"", ""source"": ""来自河南"", ""user"": {""id"": ""[a29b279851]"", ""screen_name"": ""[88b3a31f0c]""}, ""text"": ""我也是 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 15:18:25
[9c5639ce13],[da3c6eb214],"不要跟她纠缠
不要跟坏情绪纠缠 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T00:09:37,抑郁症超话,1,0,,0,,[9b2d5b4678],2024-05-28 00:09:37
[c0b025ff40],[9607360c46],"妈你感觉我特好糊弄是吧
我当时反应不过来，不代表我之后不知道咋回事
我沉默是我没办法，我还没经济独立，我还受制于人 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-27T18:58:35,抑郁症超话,2,1,"[{""id"": ""[0d60d6c0a4]"", ""created_at"": ""05-27"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 18:58:35
[cf81a54274],[d751705ec4],"#阿蛇的点滴✉️# 
我刚刚发现，我妈是真的爱我，但或许、也许、可能没有我想象的那么爱我
怎么说呢，她的爱有时候像一颗裹了厚厚一层糖衣的药丸，吃到最后嘴里是苦的；像树木生长出的根系狠狠扎进我的身体里，让我没法正常呼吸，虚弱无比
我生病之后，她为我改变了很多。可我突然发觉，她现在对我的好 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T20:31:13,抑郁症超话,0,2,"[{'id': 5038414796165125, 'created_at': '05-26', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@aizi_putao:嗯！！ ""[春游家族]""', 'reply_id': 5038412388630883, 'reply_text': '已经很棒了呀！ ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5038412388630883, 'created_at': '05-26', 'source': '来自四川', 'user': {'id': 5592564787, 'screen_name': 'aizi_putao'}, 'text': '已经很棒了呀！ ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,阿蛇的点滴✉️,[9b2d5b4678],2024-05-26 20:31:13
[3a7ebd8b67],[8a2c6d00fb],"艹 放假在家内耗还不如去上班
我看我妈把脚搭茶几上，我开玩笑说了两嘴
她一句“我在我家想怎么着就怎么着，你别想管我，以后在你家你也管不了我”
那一瞬间生病时候的那种无力感席卷我全身
我想反驳，我不知道说什么
这就是她家啊，她说的没错
哈哈哈哈，我也不能说以后我买了房子不愿意跟你住一块啊
 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-26T18:35:26,抑郁症超话,3,8,"[{'id': 5038375163134577, 'created_at': '05-26', 'source': '来自湖南', 'user': {'id': 7753300593, 'screen_name': '沃特武奥尔斯2022'}, 'text': 'Reply @·阿蛇·:嗯，你的房子可以让她住也可以不让她住', 'reply_id': 5038371413691987, 'reply_text': '回复@沃特武奥尔斯2022:我会有自己的房子的 嗯 ""[春游家族]""', 'like_counts': 1, 'liked': False}, {'id': 5038371413691987, 'created_at': '05-26', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@沃特武奥尔斯2022:我会有自己的房子的 嗯 ""[春游家族]""', 'reply_id': 5038367985373464, 'reply_text': '如果在你的房子，她还这样，可以让她出去。你的房子你做主。现在住她的房子，没有办法，只能忍一下了 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5038371112225918, 'created_at': '05-26', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '回复@沃特武奥尔斯2022:所以 不完全是我的问题是吧🙈', 'reply_id': 5038367580619414, 'reply_text': '她这是在Pua你', 'like_counts': 0, 'liked': False}, {'id': 5038367985373464, 'created_at': '05-26', 'source': '来自湖南', 'user': {'id': 7753300593, 'screen_name': '沃特武奥尔斯2022'}, 'text': '如果在你的房子，她还这样，可以让她出去。你的房子你做主。现在住她的房子，没有办法，只能忍一下了 [允悲]', 'like_counts': 0, 'liked': False}, {'id': 5038367580619414, 'created_at': '05-26', 'source': '来自湖南', 'user': {'id': 7753300593, 'screen_name': '沃特武奥尔斯2022'}, 'text': '她这是在Pua你', 'reply_id': 5038351314850553, 'reply_text': '天天说我心小，说不知道哪句话说不对了我又不开心，可是你说话真的很伤人心啊', 'like_counts': 0, 'liked': False}, {'id': 5038351314850553, 'created_at': '05-26', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '天天说我心小，说不知道哪句话说不对了我又不开心，可是你说话真的很伤人心啊', 'like_counts': 0, 'liked': False}, {'id': 5038350631438744, 'created_at': '05-26', 'source': '来自内蒙古', 'user': {'id': 6592579231, 'screen_name': '·阿蛇·'}, 'text': '活着真他妈的累啊', 'like_counts': 1, 'liked': False}]",0,,[9b2d5b4678],2024-05-26 18:35:26
[b0b260e414],[b057d46bba],"嗯 我有些不自觉的封闭自我了
整个人硬邦邦的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-24T12:59:32,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-24 12:59:32
[58ec3b799a],[d4b73a7da5],"又是那种很强烈的自厌情绪
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T13:06:40,抑郁症超话,1,2,"[{""id"": ""[4bac0f00d7]"", ""created_at"": ""05-23"", ""source"": ""来自广东"", ""user"": {""id"": ""[42498a7bb5]"", ""screen_name"": ""[f3af25977a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f1f96cde3b]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 13:06:40
[e145ca90f2],[850c60b072],又踏马的焦虑了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-23T11:42:05,抑郁症超话,1,1,"[{""id"": ""[6aa91c6163]"", ""created_at"": ""05-23"", ""source"": ""来自湖北"", ""user"": {""id"": ""[524a071bb2]"", ""screen_name"": ""[281868abb2]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-23 11:42:05
