id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[1182589446],[b64be0645f],男朋友的情趣 ,[9b2d5b4678],[c2bc7c938c],[9b2d5b4678],,2024-06-02T22:25:24,荣耀100 写真相机,0,2,"[{'id': 5041191106642855, 'created_at': '14小时前', 'source': '来自山东', 'user': {'id': 7860344988, 'screen_name': '私密马赛猫猫'}, 'text': '回复@用户7923960480: ""[哇]""', 'reply_id': 5040948357104248, 'reply_text': ' [笑而不语]', 'like_counts': 0, 'liked': False}, {'id': 5040948357104248, 'created_at': '06-02', 'source': '来自北京', 'user': {'id': 7923960480, 'screen_name': '用户7923960480'}, 'text': ' [笑而不语]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-06-02 22:25:24
[859ca3646d],[1aa10eb641],"我好搞笑啊哈哈哈哈
抑郁症
 ",[9b2d5b4678],[be013bd3d2],[9b2d5b4678],,2024-05-30T16:19:07,抑郁症超话,5,8,"[{'id': 5041414132203772, 'created_at': '4分钟前', 'source': '来自浙江', 'user': {'id': 7838709222, 'screen_name': '素QQ糖呀'}, 'text': '好厉害 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5040003541634143, 'created_at': '05-31', 'source': '来自湖北', 'user': {'id': 3249958130, 'screen_name': '云归洺'}, 'text': '好可爱啊', 'like_counts': 0, 'liked': False}, {'id': 5039842544846392, 'created_at': '05-30', 'source': '来自山东', 'user': {'id': 7860344988, 'screen_name': '私密马赛猫猫'}, 'text': '回复@我真的不是古天乐:醒图', 'reply_id': 5039790271496450, 'reply_text': '好厉害，用的什么p图软件 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5039790271496450, 'created_at': '05-30', 'source': '来自辽宁', 'user': {'id': 6070164140, 'screen_name': '我真的不是古天乐'}, 'text': '好厉害，用的什么p图软件 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5039775027561668, 'created_at': '05-30', 'source': '来自山东', 'user': {'id': 7860344988, 'screen_name': '私密马赛猫猫'}, 'text': '回复@浮生梦黎: [心]', 'reply_id': 5039773817766628, 'reply_text': '贴的很棒 [good]', 'like_counts': 0, 'liked': False}, {'id': 5039775002135406, 'created_at': '05-30', 'source': '来自山东', 'user': {'id': 7860344988, 'screen_name': '私密马赛猫猫'}, 'text': '回复@活着就好咯没关系:我专门下载了个P图软件', 'reply_id': 5039774129982408, 'reply_text': '好厉害咋贴上去的 [笑cry]', 'like_counts': 0, 'liked': False}, {'id': 5039774129982408, 'created_at': '05-30', 'source': '来自北京', 'user': {'id': 7923109135, 'screen_name': '活着就好咯没关系'}, 'text': '好厉害咋贴上去的 [笑cry]', 'like_counts': 0, 'liked': False}, {'id': 5039773817766628, 'created_at': '05-30', 'source': '来自河南', 'user': {'id': 7869235147, 'screen_name': '浮生梦黎'}, 'text': '贴的很棒 [good]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-30 16:19:07
[5a63e56313],[4c26bdfe0f],分享一下 ,[9b2d5b4678],[321b9a0751],[9b2d5b4678],,2024-05-28T22:01:31,抑郁症超话,4,4,"[{""id"": ""[cd47589c74]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@私密马赛猫猫: [心]"", ""reply_id"": 5039134179860677, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[aac0f085e0]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@私密马赛猫猫: [心]"", ""reply_id"": 5039134179860677, ""reply_text"": ""回复@要长记性的木子: [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[34eef9f7ef]"", ""created_at"": ""05-28"", ""source"": ""来自山东"", ""user"": {""id"": ""[e728b77848]"", ""screen_name"": ""[44a8135dbf]""}, ""text"": ""回复@要长记性的木子: [抱抱]"", ""reply_id"": 5039131908637289, ""reply_text"": ""抱抱你已经很棒了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[edd4862cc6]"", ""created_at"": ""05-28"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""抱抱你已经很棒了"", ""like_counts"": 1, ""liked"": false}]",0,,[9b2d5b4678],2024-05-28 22:01:31
[6a36b8e2cb],[e5cd79dd66],"换手机啦
苹果发烫太严重了。两天死机两次 ",[9b2d5b4678],[da794ca712],[9b2d5b4678],,2024-05-23T14:36:53,荣耀100 写真相机,0,0,,0,,[9b2d5b4678],2024-05-23 14:36:53
[c51f839510],[4a20ebd75d],"晒一晒我的雪妹
真的好喜欢她
抑郁症
 ",[9b2d5b4678],[df618b82a0],[8fcc5b2aae],,2024-05-08T11:07:58,抑郁症超话,2,1,"[{""id"": ""[d092adf7b6]"", ""created_at"": ""05-08"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""哇"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-08 11:07:58
[5dfa122b21],[35fc709213],分享图片 ,[9b2d5b4678],[6480774a78],[9b2d5b4678],,2024-05-03T23:05:42,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-05-03 23:05:42
[7bb47ae943],[75136a8b4f],"郑大一附院
挂的下午的号 结果等了一小时上午的号还没看完
抑郁症
 
郑州·郑州大学第一附属医院(河医院区)
 ",[9b2d5b4678],[d2d1a08a85],[b1182564c5],郑州·郑州大学第一附属医院(河医院区),2024-05-02T15:44:52,抑郁症超话,0,4,"[{""id"": ""[148c79dfd6]"", ""created_at"": ""05-07"", ""source"": ""来自山东"", ""user"": {""id"": ""[e728b77848]"", ""screen_name"": ""[44a8135dbf]""}, ""text"": ""回复@SingingZhang:哎"", ""reply_id"": 5029624558391763, ""reply_text"": ""太多生病的人了 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f38b189ee4]"", ""created_at"": ""05-03"", ""source"": ""来自河南"", ""user"": {""id"": ""[e728b77848]"", ""screen_name"": ""[44a8135dbf]""}, ""text"": ""回复@灰不溜啾的喵:太大了"", ""reply_id"": 5029625976061972, ""reply_text"": ""听说这医院很大很忙"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a490c6490c]"", ""created_at"": ""05-02"", ""source"": ""来自山东"", ""user"": {""id"": ""[ce89dffd99]"", ""screen_name"": ""[3b3a025086]""}, ""text"": ""听说这医院很大很忙"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c2f3a26df1]"", ""created_at"": ""05-02"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""太多生病的人了 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-02 15:44:52
[887e7209d2],[fe2f9a4050],"抑郁症
 看看猫吧 
郑州·姜姑娘的喵咖啡馆
 ",[9b2d5b4678],[d6b638b631],[a647f5d303],郑州·姜姑娘的喵咖啡馆,2024-05-02T15:43:06,iPhone客户端,0,0,,0,,[9b2d5b4678],2024-05-02 15:43:06
[2a237bcb8c],[f124f7ce6a],海娜纹身真的很好看哎 ,[9b2d5b4678],[f771a2faa6],[9b2d5b4678],,2024-04-29T22:52:15,iPhone客户端,1,0,,0,,[9b2d5b4678],2024-04-29 22:52:15
[d056a5fb41],[455ada13f2],"“roooomaaaantic”是不是等于“浪浪浪浪漫漫漫漫的”
抑郁症
 ",[9b2d5b4678],[459bc2a248],[9b2d5b4678],,2024-04-29T18:56:36,抑郁症超话,2,0,,0,,[9b2d5b4678],2024-04-29 18:56:36
