id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d346b086f0],[a650faba17],"这年头秃子都能有女朋友了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-19T21:43:26,nova 8 SE 活力版,0,4,"[{""id"": ""[29314b508a]"", ""created_at"": ""15小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[ca78986659]"", ""screen_name"": ""[c1c96573cc]""}, ""text"": ""回复@cherissssh:啊啊啊啊啊啊啊啊 [允悲]"", ""reply_id"": 5035868722832524, ""reply_text"": ""回复@AKA拖延症女王:缓和 [太阳]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bc6e1b0399]"", ""created_at"": ""15小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[a7b070198c]"", ""screen_name"": ""[44b9a1e43d]""}, ""text"": ""回复@AKA拖延症女王:它都有了我还没有世道不公 [太阳]"", ""reply_id"": 5035863524252345, ""reply_text"": ""谁？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[79726f1390]"", ""created_at"": ""16小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[a7b070198c]"", ""screen_name"": ""[44b9a1e43d]""}, ""text"": ""回复@AKA拖延症女王:缓和 [太阳]"", ""reply_id"": 5035863524252345, ""reply_text"": ""谁？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[276e2aaa4a]"", ""created_at"": ""16小时前"", ""source"": ""来自广东"", ""user"": {""id"": ""[ca78986659]"", ""screen_name"": ""[c1c96573cc]""}, ""text"": ""谁？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-19 21:43:26
[9e2fc70c29],[8cf43a6b17],#实时号检测# 看看有没有 ,[9b2d5b4678],[1589767996],[9b2d5b4678],,2024-05-09T17:10:32,nova 8 SE 活力版,0,0,,0,实时号检测,[9b2d5b4678],2024-05-09 17:10:32
[9e21ba2fc4],[c27b33f453],"越来越觉得喜欢上487是我追竞来最正确的决定
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T22:26:11,nova 8 SE 活力版,4,1,"[{""id"": ""[edda1dc240]"", ""created_at"": ""05-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[a7b070198c]"", ""screen_name"": ""[44b9a1e43d]""}, ""text"": ""在这个京南越扒越有的休赛期里也就丝芭琪能做到让人又火又安心了"", ""like_counts"": 0, ""liked"": false}]",1,,[9b2d5b4678],2024-05-08 22:26:11
[c3f55c5e94],[eaa617de33],发生什么了……我的天 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-08T00:17:15,nova 8 SE 活力版,0,1,"[{""id"": ""[f232f90afa]"", ""created_at"": ""05-08"", ""source"": ""来自广东"", ""user"": {""id"": ""[ca78986659]"", ""screen_name"": ""[c1c96573cc]""}, ""text"": ""？👂🏻"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-08 00:17:15
[0338c998e7],[653c3ea859],"退休也好继续打也罢
丝芭琪能不能多多开心多多直播多多麦麸
妈妈我爱看 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T23:19:55,nova 8 SE 活力版,3,0,,0,,[9b2d5b4678],2024-05-04 23:19:55
[72b4e4ca04],[5d3925e2dc],无人的角落围脖g的日新贴快冲到两千了 ,[9b2d5b4678],[f04086e71d],[9b2d5b4678],,2024-05-04T23:02:38,nova 8 SE 活力版,1,1,"[{""id"": ""[f712e609b6]"", ""created_at"": ""05-04"", ""source"": ""来自广东"", ""user"": {""id"": ""[a7b070198c]"", ""screen_name"": ""[44b9a1e43d]""}, ""text"": ""这动图怎么这样了算了凑合看吧 [费解]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-04 23:02:38
[cd319658c9],[f92ad0e30a],"果然臭八强到哪都是丑八强
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-02T16:20:33,nova 8 SE 活力版,1,0,,0,,[9b2d5b4678],2024-05-02 16:20:33
[5e02026843],[a2143378c2],"这就破防了
 ",[9b2d5b4678],[6f2b7e7dd2],[9b2d5b4678],,2024-05-01T17:52:24,nova 8 SE 活力版,0,0,,0,,[9b2d5b4678],2024-05-01 17:52:24
[5ec3fad201],[f0ff91d874],"现生讨厌的楠童靴上课的时候坐在我座位左边看捞的比赛
看的还是狼队那场看得还津津有味
还在那练字写深渊冠军皮的名字
殊不知同担就坐他旁边呀
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T20:46:44,nova 8 SE 活力版,0,1,"[{""id"": ""[516869ac63]"", ""created_at"": ""04-13"", ""source"": ""来自广东"", ""user"": {""id"": ""[ca78986659]"", ""screen_name"": ""[2873134742]""}, ""text"": ""笑死我了啊啊啊啊啊啊啊啊"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 20:46:44
[b30690452e],[9ea55f8b0e],"@MBTI小行家 根据我的微博，猜猜我的mbti
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-24T21:43:34,nova 8 SE 活力版,0,3,"[{""id"": ""[347b8ee949]"", ""created_at"": ""03-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[a7b070198c]"", ""screen_name"": ""[44b9a1e43d]""}, ""text"": ""回复@铉馥宇宙:服了。 [微笑]"", ""reply_id"": 5015584591055327, ""reply_text"": ""笑死我了就对了前两个"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[810798fff4]"", ""created_at"": ""03-24"", ""source"": ""来自广东"", ""user"": {""id"": ""[ca78986659]"", ""screen_name"": ""[2873134742]""}, ""text"": ""笑死我了就对了前两个"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[670c7f3797]"", ""created_at"": ""03-24"", ""source"": ""来自北京"", ""user"": {""id"": ""[2908216311]"", ""screen_name"": ""[359947bcb7]""}, ""text"": ""根据你的微博内容，我猜测你的MBTI类型可能是INFP。INFP类型的人通常是内向、直觉、情感和预知性的人。优点包括敏感、富有想象力和理解力，能够深刻地理解他人的感受和想法。希望这个猜测对你有帮助哦！如果有准确的MBTI类型，我可以告诉你更多关于你的优点。"", ""like_counts"": 0, ""liked"": false}]",0,,[359947bcb7],2024-03-24 21:43:34
