id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[4aa57e7ef6],[4e2e6ab891],"#高考##高考加油##祝福高考# 
19年高考至今，转眼就是五年。
虽然高考考的很差，但这五年好像过的并不差。
高考，称不上是起点，但也绝不是终点。
对我，分数始终是一个遗憾，可坚持下来考完那一刻就已经成功了。
后来再遇到事，包括这次考研，想想那时候高考都坚持下来了，还有什么不行的呢。
这五年 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-05T02:57:22,抑郁症超话,0,0,,0,"高考,高考加油,祝福高考",[9b2d5b4678],2024-06-05 02:57:22
[53d5aaa337],[ddb375d83e],"#心理咨询小日记##复诊小日记# 5.28
上午去见了方贻儒。问了最近的情况，平时有什么爱好，在干什么，有什么安排，感觉我的回答他挺满意的，也觉得我现在不错。药物继续巩固，要求下可以减安非他酮。 说了我感觉我不像双相，更像边缘，方也说可能有人格方面的影响，但还是很支持药物。
5分钟不到，500块 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-28T19:26:52,抑郁症超话,0,4,"[{'id': 5039463732610929, 'created_at': '05-29', 'source': '来自浙江', 'user': {'id': 6118488535, 'screen_name': '解忧杂货店only'}, 'text': '回复@是小黄小黄啊:我也想 ""[苦涩]""', 'reply_id': 5039457153844625, 'reply_text': '回复@解忧杂货店only:我也想去新疆玩儿 ""[苦涩]""', 'like_counts': 0, 'liked': False}, {'id': 5039457153844625, 'created_at': '05-29', 'source': '来自广东', 'user': {'id': 7503924131, 'screen_name': '是小黄小黄啊'}, 'text': '回复@解忧杂货店only:我也想去新疆玩儿 ""[苦涩]""', 'reply_id': 5039093963032582, 'reply_text': '回复@是小黄小黄啊:嗯嗯，就是想表达新疆蛮安全的', 'like_counts': 0, 'liked': False}, {'id': 5039093963032582, 'created_at': '05-28', 'source': '来自浙江', 'user': {'id': 6118488535, 'screen_name': '解忧杂货店only'}, 'text': '回复@是小黄小黄啊:嗯嗯，就是想表达新疆蛮安全的', 'reply_id': 5039092935692419, 'reply_text': '乌克兰和新疆没啥关系新疆旁边的是哈萨克斯坦 [doge]', 'like_counts': 0, 'liked': False}, {'id': 5039092935692419, 'created_at': '05-28', 'source': '来自广东', 'user': {'id': 7503924131, 'screen_name': '是小黄小黄啊'}, 'text': '乌克兰和新疆没啥关系新疆旁边的是哈萨克斯坦 [doge]', 'like_counts': 0, 'liked': False}]",0,"心理咨询小日记,复诊小日记",[9b2d5b4678],2024-05-28 19:26:52
[240c59abc5],[ed9199a2f5],"#心理咨询小日记##复诊小日记#  5.22
上午差不多十一点到，签到完就叫了我，挺好。
但门诊又很快打发了我，虽然下午跟咨询师说了，好像也不过分。
（先写咨询吧）
问我今天从杭州直接过来的？上午去见了从恩朝。这次到了就叫我，怎么因为上次吗。我到的时候27，我26，刚刚好吧。你迟了就应该退后三个。 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T16:40:15,抑郁症超话,5,12,"[{""id"": ""[2bcfdf9c9d]"", ""created_at"": ""05-22"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d83fc80c25]"", ""screen_name"": ""[44c6fdeb82]""}, ""text"": ""回复@炊子CHUIZI: [爱你]"", ""reply_id"": 5036873575826299, ""reply_text"": ""宝已经很棒啦！ [抱抱]"", ""like_counts"": 1, ""liked"": false}, {""id"": ""[b8a2ca9308]"", ""created_at"": ""05-22"", ""source"": ""来自四川"", ""user"": {""id"": ""[0e336d131f]"", ""screen_name"": ""[0f4ada1bf3]""}, ""text"": ""宝已经很棒啦！ [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,"心理咨询小日记,复诊小日记",[9b2d5b4678],2024-05-22 16:40:15
[91457f23dc],[a703eba5e5],"在书院门，看到很多现场写书签
下意识想到了这句话。
出自《相约星期二》  也有被称最后十四节星期二的课。 其中最后一堂是葬礼….. 
西安·西安书院门步行街
 ",[9b2d5b4678],[51e93ff6b2],[9b2d5b4678],西安·西安书院门步行街,2024-05-12T23:53:13,抑郁症超话,3,1,"[{""id"": ""[28ad46fb97]"", ""created_at"": ""05-18"", ""source"": ""来自浙江"", ""user"": {""id"": ""[573e109da0]"", ""screen_name"": ""[dfc4306878]""}, ""text"": ""宝宝，麻烦你关注我一下，我发不出去信息了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-12 23:53:13
[520c445d5a],[ae28648ccb],"即将六年，
开个答疑帖 纪念
（服务范围：疾病、药物、就医、住院、心理咨询、进食障碍…….
以及  考研，留学，选专业，旅游，养宠…… 
总结：各类乱七八糟的都可 ",[9b2d5b4678],[35aee86da2],[9b2d5b4678],,2024-05-12T01:53:47,抑郁症超话,9,26,,0,,[9b2d5b4678],2024-05-12 01:53:47
[624667527a],[37bfb68601],"抑郁症
 
关于 「上海精卫」医生的推荐
与避雷💣
根据超话里的帖子评论 整理
仅供参考哈 很多已经年代久远 ",[9b2d5b4678],[faca6bc963],[9b2d5b4678],,2024-05-05T06:14:55,抑郁症超话,4,6,"[{""id"": ""[b64a4bdd64]"", ""created_at"": ""05-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d83fc80c25]"", ""screen_name"": ""[44c6fdeb82]""}, ""text"": ""回复@滚滚君今天也要好好活着吖:收到"", ""reply_id"": 5033640055015071, ""reply_text"": ""避雷王慧芳，超级不耐烦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bfd7d48399]"", ""created_at"": ""05-13"", ""source"": ""来自浙江"", ""user"": {""id"": ""[a55dac9974]"", ""screen_name"": ""[34816f3a58]""}, ""text"": ""避雷王慧芳，超级不耐烦"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9f2b8535cb]"", ""created_at"": ""05-06"", ""source"": ""来自山西"", ""user"": {""id"": ""[d83fc80c25]"", ""screen_name"": ""[44c6fdeb82]""}, ""text"": ""回复@是小黄小黄啊:嘿嘿 [喵喵]"", ""reply_id"": 5030846404231679, ""reply_text"": ""ip变山西了 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[b3d3832d9b]"", ""created_at"": ""05-06"", ""source"": ""来自广东"", ""user"": {""id"": ""[a2b4a37753]"", ""screen_name"": ""[19374224bb]""}, ""text"": ""ip变山西了 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[51fe16a8f1]"", ""created_at"": ""05-05"", ""source"": ""来自山西"", ""user"": {""id"": ""[d83fc80c25]"", ""screen_name"": ""[44c6fdeb82]""}, ""text"": ""回复@我在这里等蝶: [爱你]"", ""reply_id"": 5030567418790764, ""reply_text"": ""仔细认真的看了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[31b8d55dec]"", ""created_at"": ""05-05"", ""source"": ""来自上海"", ""user"": {""id"": ""[7c3e66cf14]"", ""screen_name"": ""[a168685df4]""}, ""text"": ""仔细认真的看了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 06:14:55
[bc5ef05140],[aa36bd1a28],"#复诊小日记##心理咨询小日记#  5.4
刚刚结束咨询，趁热打铁吧。
原先买的四点的火车票，凌晨两点起床洗漱完，才意识到我已经挂到号了，为什么那么早去。 发现晚一点还有票，于是又去睡了，迷迷糊糊睡到五点多，起床。 6:47的车，还好是赶进了。
先去九院，医生说看起来要比图片上的好，结痂还是很厚 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-04T21:38:49,抑郁症超话,10,8,"[{'id': 5030580330430916, 'created_at': '05-05', 'source': '来自山西', 'user': {'id': 6118488535, 'screen_name': '解忧杂货店only'}, 'text': '回复@我在这里等蝶: [爱你]', 'reply_id': 5030567456276765, 'reply_text': ' [心]', 'like_counts': 2, 'liked': False}, {'id': 5030567456276765, 'created_at': '05-05', 'source': '来自上海', 'user': {'id': 5686060512, 'screen_name': '我在这里等蝶'}, 'text': ' [心]', 'like_counts': 0, 'liked': False}, {'id': 5030472054213528, 'created_at': '05-05', 'source': '来自广东', 'user': {'id': 6393064246, 'screen_name': '大熊走啊'}, 'text': '回复@解忧杂货店only:会突破保密例外 怕 很有顾虑', 'reply_id': 5030471626654096, 'reply_text': '回复@大熊走啊: 我只有咨询师和医生可以说了吧 可能也只有跟他们说能帮到我一点 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5030471626654096, 'created_at': '05-05', 'source': '来自山西', 'user': {'id': 6118488535, 'screen_name': '解忧杂货店only'}, 'text': '回复@大熊走啊: 我只有咨询师和医生可以说了吧 可能也只有跟他们说能帮到我一点 [抱抱]', 'reply_id': 5030471048630452, 'reply_text': '不敢让我咨知道我一直在自残 [裂开]', 'like_counts': 1, 'liked': False}, {'id': 5030471048630452, 'created_at': '05-05', 'source': '来自广东', 'user': {'id': 6393064246, 'screen_name': '大熊走啊'}, 'text': '不敢让我咨知道我一直在自残 [裂开]', 'like_counts': 0, 'liked': False}, {'id': 5030461426896542, 'created_at': '05-05', 'source': '来自山西', 'user': {'id': 6118488535, 'screen_name': '解忧杂货店only'}, 'text': '回复@是小黄小黄啊:哈哈哈哈回来了 可不对啊我这是在上海发的 ""[干饭人]""', 'reply_id': 5030453952122350, 'reply_text': 'ip从新加坡变回浙江了 [喵喵]', 'like_counts': 0, 'liked': False}, {'id': 5030453952122350, 'created_at': '05-04', 'source': '来自广东', 'user': {'id': 7503924131, 'screen_name': '是小黄小黄啊'}, 'text': 'ip从新加坡变回浙江了 [喵喵]', 'like_counts': 0, 'liked': False}]",0,"复诊小日记,心理咨询小日记",[9b2d5b4678],2024-05-04 21:38:49
[0aa92d0935],[744799ff10],"是不是所有事到我身上就会变得不幸。
祛疤手术失败，疤痕极可能比原来的更明显。   一大早醒来，看到裂开的更厉害，止不住的哭，一看到一想到就哭。   想死，想从门诊大楼跳下去。  注意力完全不能从伤口上转移，下午逼自己出门去爬山，但心里想着也一直是伤口，然后又哭了。  什么都不想干，完全没有 ...
全文",[9b2d5b4678],[0c00d951b3],[9b2d5b4678],,2024-05-01T00:59:57,抑郁症超话,0,4,"[{""id"": ""[58da2e30fe]"", ""created_at"": ""05-02"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[8e8ec9913c]"", ""screen_name"": ""[913758660d]""}, ""text"": ""抱抱 [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[280212fcad]"", ""created_at"": ""05-01"", ""source"": ""来自浙江"", ""user"": {""id"": ""[98d7aad4dc]"", ""screen_name"": ""[10e3e7e2e7]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d21ec7036f]"", ""created_at"": ""05-01"", ""source"": ""来自新加坡"", ""user"": {""id"": ""[d83fc80c25]"", ""screen_name"": ""[44c6fdeb82]""}, ""text"": ""回复@网游之小米9:会许吧 不过现在跟父母倒没什么问题"", ""reply_id"": 5029207211509487, ""reply_text"": ""宝也许还一直待在欧洲好 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[85f5e83b9d]"", ""created_at"": ""05-01"", ""source"": ""来自浙江"", ""user"": {""id"": ""[d4ddfbd16c]"", ""screen_name"": ""[c7e84b80ea]""}, ""text"": ""宝也许还一直待在欧洲好 [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-01 00:59:57
[e8efc6c055],[405668531d],"为自己的曾经 买单。
已花费5k+
没想到手术只是开始
伤口没好就出去玩 结果发炎了
City Walk 找诊所找药店
这辈子最贵的头孢和最贵的药膏 ",[9b2d5b4678],[3bdb4c75dc],[9b2d5b4678],,2024-04-27T00:43:38,抑郁症超话,3,0,,0,,[9b2d5b4678],2024-04-27 00:43:38
[40ae5b1f53],[c716566bdb],"#抑郁症[超话]##考研##专升硕# 关于 我花了五年的时间来和高三的自己和解。
上次长篇大论废话的时候，有人说 希望下次你能写写考研上岸。这不就来了。
23年9月初，得知我可以以同等学力的方式直接考研，也就是直接专升硕。其实当时已经开学了，我已经是心理学的一名大一新生了，但我还是心动了，各 ...
全文",[9b2d5b4678],[fc34f6e837],[9b2d5b4678],,2024-04-24T22:00:08,抑郁症超话,13,27,,0,,[9b2d5b4678],2024-04-24 22:00:08
