id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[8350d427cd],[fa551c96d2],"光遇陪玩
你们谁能跟我处大象
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T23:38:00,光遇陪玩超话,0,4,"[{'id': 5031178824582607, 'created_at': '4小时前', 'source': '来自广东', 'user': {'id': 7872358487, 'screen_name': '再熬夜要没头发了'}, 'text': '好好好，打开微博看到了四条找对象', 'like_counts': 0, 'liked': False}, {'id': 5031178723134736, 'created_at': '4小时前', 'source': '来自甘肃', 'user': {'id': 7809394450, 'screen_name': '温时out'}, 'text': '回复@猫猫手办:宝宝我去当乞丐养你 [泪]', 'reply_id': 5031178572400919, 'reply_text': '你收废品养我么 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5031178572400919, 'created_at': '4小时前', 'source': '来自四川', 'user': {'id': 7803051908, 'screen_name': '猫猫手办'}, 'text': '你收废品养我么 ""[开学季]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-06 23:38:00
[63623e23e7],[1a697f40aa],"光遇陪玩
有闲的无聊非要免费教我病恋的老师嘛
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T18:57:38,光遇陪玩超话,2,0,,0,,[9b2d5b4678],2024-05-06 18:57:38
[4512bc13a1],[5db82c705e],"光遇陪玩
有人会鉴别声音吗，我想知道我是啥颜色 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T13:08:38,光遇陪玩超话,0,4,"[{""id"": ""[4eef8785aa]"", ""created_at"": ""15小时前"", ""source"": ""来自云南"", ""user"": {""id"": ""[8ad4f7cb7d]"", ""screen_name"": ""[7a4811598f]""}, ""text"": ""宝宝回关 [打call]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5abefc76da]"", ""created_at"": ""15小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[376e0d5ecd]"", ""screen_name"": ""[46f9a89895]""}, ""text"": ""回复@温时out:回关私聊宝宝"", ""reply_id"": 5031020103467241, ""reply_text"": ""。音色"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d592595ea3]"", ""created_at"": ""15小时前"", ""source"": ""来自福建"", ""user"": {""id"": ""[376e0d5ecd]"", ""screen_name"": ""[46f9a89895]""}, ""text"": ""回复@温时out:这边可以，单声鉴2r，包卡5r [抱抱]"", ""reply_id"": 5031020103467241, ""reply_text"": ""。音色"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d2653a12da]"", ""created_at"": ""15小时前"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""。音色"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 13:08:38
[8e90bcdcd7],[873060a75f],"光遇陪玩
有定制v吗，送主题的那种，带价谢谢 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T19:51:52,光遇陪玩超话,1,8,"[{'id': 5030832307963207, 'created_at': '昨天 00:42', 'source': '来自广东', 'user': {'id': 5721693257, 'screen_name': '耍帅底蕴nve'}, 'text': '最低25 送键盘字体气泡 图标 耐心态度好～', 'like_counts': 0, 'liked': False}, {'id': 5030765110233573, 'created_at': '05-05', 'source': '来自山西', 'user': {'id': 6411708205, 'screen_name': '小染睡懵了'}, 'text': '宝宝定制v看看我  不用删除官v！审核款最低24.9 秒出款最低45包教会态度特别好 今天下单还送三十天质保 ""[送花花]""', 'like_counts': 0, 'liked': False}, {'id': 5030763373793687, 'created_at': '05-05', 'source': '来自吉林', 'user': {'id': 3499793104, 'screen_name': '氤氲绘'}, 'text': '宝宝我出ios定制v/安卓美化功能v/纯功能v\U0001fae7包教包会有耐心 可走平台\U0001fae7售后群目前800人➕信誉图指路网页链接 需要直接加🐧36六051叁137️⃣', 'like_counts': 0, 'liked': False}, {'id': 5030761462235676, 'created_at': '05-05', 'source': '来自江西', 'user': {'id': 7786061750, 'screen_name': '把love都给妮70824'}, 'text': '超级耐心包教包会，有信誉图的 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5030761339555319, 'created_at': '05-05', 'source': '来自江西', 'user': {'id': 7786061750, 'screen_name': '把love都给妮70824'}, 'text': '老婆回关发价格表哦', 'like_counts': 0, 'liked': False}, {'id': 5030759720553775, 'created_at': '05-05', 'source': '来自湖北', 'user': {'id': 5855792549, 'screen_name': '彤晤'}, 'pic': {'pid': '006oij8Vgy1hpevvvuccrj30z70sl416', 'url': 'https://wx4.sinaimg.cn/orj360/006oij8Vgy1hpevvvuccrj30z70sl416.jpg', 'size': 'orj360', 'geo': {'width': 332, 'height': 270, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx4.sinaimg.cn/large/006oij8Vgy1hpevvvuccrj30z70sl416.jpg', 'geo': {'width': '1267', 'height': '1029', 'croped': False}}}, 'text': '可送特价themepro主题', 'like_counts': 0, 'liked': False}, {'id': 5030759356175632, 'created_at': '05-05', 'source': '来自河南', 'user': {'id': 7407100598, 'screen_name': '困猫小曦_'}, 'text': '1', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-05 19:51:52
[1dfde00e70],[5f80dac3e3],"光遇陪玩
老婆们有没有那个，被爱好似有靠山的表情包，我要动物的 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T15:39:26,光遇陪玩超话,0,7,"[{'id': 5030704951591495, 'created_at': '05-05', 'source': '来自辽宁', 'user': {'id': 7468209241, 'screen_name': '会发光的兔子-'}, 'text': '宝宝回关看看 ""[举手]""', 'like_counts': 0, 'liked': False}, {'id': 5030696336493445, 'created_at': '05-05', 'source': '来自安徽', 'user': {'id': 7802780098, 'screen_name': '晩喵'}, 'text': '网页链接定制1.5/p', 'like_counts': 0, 'liked': False}, {'id': 5030696211711955, 'created_at': '05-05', 'source': '来自江苏', 'user': {'id': 6275878061, 'screen_name': '笨崽甜-'}, 'text': '甜甜の卡通小动物定制素材①网页链接 甜甜の卡通小动物定制素材②网页链接 甜甜の动态定制素材 网页链接', 'like_counts': 0, 'liked': False}, {'id': 5030696038959519, 'created_at': '05-05', 'source': '来自山西', 'user': {'id': 7817949814, 'screen_name': '卧龙凤雏2版'}, 'text': '可以定制', 'like_counts': 0, 'liked': False}, {'id': 5030695971327444, 'created_at': '05-05', 'source': '来自湖北', 'user': {'id': 6100218764, 'screen_name': '小汐睡不饱ovo'}, 'pic': {'pid': '006EPTzegy1hpeokbb2swj31jk1jkkjl', 'url': 'https://wx4.sinaimg.cn/orj360/006EPTzegy1hpeokbb2swj31jk1jkkjl.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 360, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx4.sinaimg.cn/large/006EPTzegy1hpeokbb2swj31jk1jkkjl.jpg', 'geo': {'width': '2000', 'height': '2000', 'croped': False}}}, 'text': '图片评论', 'like_counts': 0, 'liked': False}, {'id': 5030695871187282, 'created_at': '05-05', 'source': '来自河南', 'user': {'id': 6704196520, 'screen_name': '懒懒秋生晚'}, 'text': '可以定制 [doge]', 'like_counts': 0, 'liked': False}, {'id': 5030695862276059, 'created_at': '05-05', 'source': '来自湖南', 'user': {'id': 7831109191, 'screen_name': '铁蛋阿飘'}, 'text': '宝宝看定制吗，20个工作室定制嘎嘎多的 ""[送花花]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-05 15:39:26
[2630fb4fc1],[c2c54ddbbf],"光遇陪玩
真的没有闲到发慌的宝宝跟我一起零成本开陪玩团吗，万一走狗屎运赚了呢
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T11:59:13,光遇陪玩超话,0,4,"[{""id"": ""[1c5c5b03d1]"", ""created_at"": ""05-05"", ""source"": ""来自河南"", ""user"": {""id"": ""[611fa7fbe9]"", ""screen_name"": ""[024ae1d4e8]""}, ""text"": ""感觉0成本有点难 不过老师可以尝试拍剧赚流量 然后搞后续招人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[7565c6904c]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@小劣卷单快卷疯了:不投钱的那种"", ""reply_id"": 5030640476488710, ""reply_text"": ""怎么个零成本法 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6841674c33]"", ""created_at"": ""05-05"", ""source"": ""来自贵州"", ""user"": {""id"": ""[eb60d00e35]"", ""screen_name"": ""[2d50040755]""}, ""text"": ""怎么个零成本法 [doge]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9563bada45]"", ""created_at"": ""05-05"", ""source"": ""来自上海"", ""user"": {""id"": ""[3f3a780902]"", ""screen_name"": ""[3ea5eaf5c6]""}, ""text"": "" [doge]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 11:59:13
[7d1b80b712],[8d57438f6c],"光遇陪玩
有宝宝一起零成本开陪玩团吗，
，无聊，想开一个玩玩，欢迎会各种技能的宝宝一起来，要时间多的嗷，我这边可以包卡，排面接待什么都可以，赚钱了大家一起赚，亏钱，反正没投资也亏不了多少
有人想试试吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T11:52:57,光遇陪玩超话,1,8,"[{""id"": ""[52c8196bd4]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@Colettee楠楠:没人一起开 [允悲]"", ""reply_id"": 5030640332572404, ""reply_text"": ""回复@Colettee楠楠:可以进来当个高管充人头 卡类我这都齐 会管理会派单会接单会接待…"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[58a0d8677e]"", ""created_at"": ""05-05"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[97a0f4b0b6]"", ""screen_name"": ""[2c4f2d95a9]""}, ""text"": ""回复@Colettee楠楠:可以进来当个高管充人头 卡类我这都齐 会管理会派单会接单会接待…"", ""reply_id"": 5030639078478784, ""reply_text"": ""感觉好累这样哈哈哈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[72229e7209]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@Colettee楠楠:所以说时间多的嘛，我们就慢慢来，一周两三单也没事 反正没投入 [允悲]"", ""reply_id"": 5030639078478784, ""reply_text"": ""感觉好累这样哈哈哈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c301dcc7f1]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@-迷雾猫子-:说实话，我想开个混团"", ""reply_id"": 5030638958151165, ""reply_text"": ""双主还是什么？"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0851e01ae1]"", ""created_at"": ""05-05"", ""source"": ""来自宁夏"", ""user"": {""id"": ""[97a0f4b0b6]"", ""screen_name"": ""[2c4f2d95a9]""}, ""text"": ""感觉好累这样哈哈哈"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[9861e919c0]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@念很无语:会啥都行"", ""reply_id"": 5030638841760246, ""reply_text"": ""？哈哈哈问问要求呢"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f06d5e7d7d]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[7984e37deb]"", ""screen_name"": ""[d88c6ddc2b]""}, ""text"": ""双主还是什么？"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 11:52:57
[01da0f1d6a],[c1d8389b1d],"光遇陪玩
有没有团收跟团美工，派单卡自介卡都有，主q主v都可以 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T11:42:11,光遇陪玩超话,0,0,,0,,[9b2d5b4678],2024-05-05 11:42:11
[8e54728728],[d4fd1a87ea],"光遇陪玩
求你们了会三恋的陪都来我家，包卡微审，团里气氛很和谐 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T09:57:54,光遇陪玩超话,0,0,,0,,[9b2d5b4678],2024-05-05 09:57:54
[78b2a0c681],[40b72952f5],"光遇陪玩
大家觉得新团该求质量还是数量呢，我们高管层的意见不太统一 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-05T09:42:44,光遇陪玩超话,0,8,"[{""id"": ""[1311935b53]"", ""created_at"": ""05-05"", ""source"": ""来自天津"", ""user"": {""id"": ""[7cdd4207aa]"", ""screen_name"": ""[71ae8dd408]""}, ""text"": ""质量，人多有什么用也没人接单也没人说话"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[d52de6ff31]"", ""created_at"": ""05-05"", ""source"": ""来自广东"", ""user"": {""id"": ""[7bfedf8892]"", ""screen_name"": ""[3c30130bf6]""}, ""text"": ""质量"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[11e6893f56]"", ""created_at"": ""05-05"", ""source"": ""来自甘肃"", ""user"": {""id"": ""[d1b657c8d8]"", ""screen_name"": ""[47d0737384]""}, ""text"": ""回复@赐我一个土豆饼:这个团现在38个人，派单数量也少，活跃的陪超不过10个，接单的更少，我手底下是有两个新团，另一个开业5天流水千+了，这个到现在连自介都零零散散的，团长和其他高管层也不着急，我现在有点郁闷"", ""reply_id"": 5030606182549559, ""reply_text"": ""我遇到的新团好像都免审疯狂招人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[4d970dbfd5]"", ""created_at"": ""05-05"", ""source"": ""来自山东"", ""user"": {""id"": ""[bfd30106fd]"", ""screen_name"": ""[2c544985ff]""}, ""text"": ""我遇到的新团好像都免审疯狂招人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[392c06c201]"", ""created_at"": ""05-05"", ""source"": ""来自安徽"", ""user"": {""id"": ""[a118e4681a]"", ""screen_name"": ""[73f76d5b1a]""}, ""text"": ""质量，要数量的话后面还是会缩到那一点人"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[2ce67aea91]"", ""created_at"": ""05-05"", ""source"": ""来自江苏"", ""user"": {""id"": ""[feff07aea2]"", ""screen_name"": ""[5d6abbcec9]""}, ""text"": ""质量啊 [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f21b3a1ec6]"", ""created_at"": ""05-05"", ""source"": ""来自吉林"", ""user"": {""id"": ""[737fcbf35f]"", ""screen_name"": ""[f4f23accdf]""}, ""text"": ""质量"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[361d59b8e9]"", ""created_at"": ""05-05"", ""source"": ""来自湖南"", ""user"": {""id"": ""[5875b7df60]"", ""screen_name"": ""[a80e389cb4]""}, ""text"": ""质量"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-05 09:42:44
