id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[5f11ff1289],[5e68d9560c],"抑郁症
 傻逼学校 没妈的领导 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T14:39:54,抑郁症超话,0,1,"[{""id"": ""[e7919c321b]"", ""created_at"": ""15小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 14:39:54
[e35450a1b6],[49c2e1dc8e],"抑郁症
 让我死 让我死吧 让我死了吧 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-06T13:13:05,抑郁症超话,4,3,"[{""id"": ""[edb52814d7]"", ""created_at"": ""11小时前"", ""source"": ""来自山西"", ""user"": {""id"": ""[1df2c2a0f8]"", ""screen_name"": ""[f87abc325c]""}, ""text"": ""我也想"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[942cd09d86]"", ""created_at"": ""13小时前"", ""source"": ""来自重庆"", ""user"": {""id"": ""[2907941190]"", ""screen_name"": ""[1a9d2cb81a]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6f71a9f6db]"", ""created_at"": ""16小时前"", ""source"": ""来自四川"", ""user"": {""id"": ""[5727549e82]"", ""screen_name"": ""[f0c14ed3b7]""}, ""text"": ""坚持一下"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-06 13:13:05
[149fa89757],[6fd0da8bca],"我在闲鱼发布了【来青岛玩的兄弟姐妹看过来哦】#退坑回血便宜出！#网页链接
 ",[9b2d5b4678],[be6dd42a84],[9b2d5b4678],,2024-04-21T11:43:24,iPhone客户端,0,0,,0,退坑回血便宜出！,[9b2d5b4678],2024-04-21 11:43:24
[35cd176659],[b2ad399a1c],"抑郁症
 爸爸妈妈 对不起 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T10:51:07,抑郁症超话,1,3,"[{""id"": ""[2e3a9cb71b]"", ""created_at"": ""04-19"", ""source"": ""来自浙江"", ""user"": {""id"": ""[0e90ed2a53]"", ""screen_name"": ""[997b4eaea0]""}, ""text"": ""回复@活在下一个冬天: [抱抱]"", ""reply_id"": 5024771435922565, ""reply_text"": ""回复@Jo_97-:很绝很无助 很崩溃 哎"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[5b077fe675]"", ""created_at"": ""04-19"", ""source"": ""来自山东"", ""user"": {""id"": ""[da3e9de8e3]"", ""screen_name"": ""[47ea39ad69]""}, ""text"": ""回复@Jo_97-:很绝很无助 很崩溃 哎"", ""reply_id"": 5024616355730889, ""reply_text"": ""宝你怎么了"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[e1d0c00cef]"", ""created_at"": ""04-18"", ""source"": ""来自浙江"", ""user"": {""id"": ""[0e90ed2a53]"", ""screen_name"": ""[997b4eaea0]""}, ""text"": ""宝你怎么了"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 10:51:07
[ba1311c6de],[de3dbe0065],"抑郁症
 等期末考试完 我再好好思考我的人生该往哪走 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T07:54:23,抑郁症超话,0,1,"[{""id"": ""[49fe410cb9]"", ""created_at"": ""04-18"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-18 07:54:23
[a7ce49ab7d],[15199af2b6],"抑郁症
 谁陪我说说话呀 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T10:24:53,抑郁症超话,0,1,"[{'id': 5024463717928582, 'created_at': '04-18', 'source': '来自湖南', 'user': {'id': 7803716073, 'screen_name': '用户7803716073'}, 'text': ' ""[你好]""', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-16 10:24:53
[b166444e2b],[e8c11e9d00],"抑郁症
 考不上研究生怎么办 还是医学 哎 人生完蛋了吗 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T08:50:18,抑郁症超话,0,7,"[{'id': 5023744676332511, 'created_at': '04-16', 'source': '来自陕西', 'user': {'id': 6332104686, 'screen_name': '每天都要开开心心呀8'}, 'text': '回复@活在下一个冬天:是的，我高考两次都发挥失常了，去了一个普通二本，我也一度觉得我这辈子就完了，但是现在觉得也还行，遇到了很好的舍友和比较轻松的氛围，有失才有得 ""[开学季]""', 'reply_id': 5023726096351646, 'reply_text': '回复@每天都要开开心心呀8:人生少有能作为转折点的考试 [泪]', 'like_counts': 0, 'liked': False}, {'id': 5023740220148429, 'created_at': '04-16', 'source': '来自上海', 'user': {'id': 7439750432, 'screen_name': '花莞杳夢菸'}, 'text': '考不上也没关系啊 人生又不是只有考试 而且这只是一种经历 不管好坏 尽力就好 送你一句话 因上努力 果上随缘 凡事注重过程 结果如何就听天由命吧 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5023730254219074, 'created_at': '04-16', 'source': '来自广东', 'user': {'id': 2159636281, 'screen_name': '真的表现把自己微博博主'}, 'text': '活着就已经很厉害了 [抱抱]', 'like_counts': 0, 'liked': False}, {'id': 5023726096351646, 'created_at': '04-16', 'source': '来自山东', 'user': {'id': 7832211691, 'screen_name': '活在下一个冬天'}, 'text': '回复@每天都要开开心心呀8:人生少有能作为转折点的考试 [泪]', 'reply_id': 5023725877464377, 'reply_text': '不会完蛋的，小时候以为考试没考完人生就完了，现在不是照样没完 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5023725877464377, 'created_at': '04-16', 'source': '来自陕西', 'user': {'id': 6332104686, 'screen_name': '每天都要开开心心呀8'}, 'text': '不会完蛋的，小时候以为考试没考完人生就完了，现在不是照样没完 ""[开学季]""', 'like_counts': 0, 'liked': False}, {'id': 5023718971539676, 'created_at': '04-16', 'source': '来自山东', 'user': {'id': 6380731629, 'screen_name': '用户文西西'}, 'text': '我是考研没考上抑郁的 [裂开]', 'like_counts': 0, 'liked': False}, {'id': 5023716570565882, 'created_at': '04-16', 'source': '来自江苏', 'user': {'id': 7299643463, 'screen_name': '要长记性的木子'}, 'text': '你已经很棒了 [抱抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-04-16 08:50:18
[2c7aec61f4],[5fe24b3a0d],"抑郁症
 为什么感觉肚子里很难受啊 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T07:21:48,抑郁症超话,0,3,"[{""id"": ""[af835011b5]"", ""created_at"": ""04-16"", ""source"": ""来自福建"", ""user"": {""id"": ""[28cef82aae]"", ""screen_name"": ""[aa72c732cc]""}, ""text"": ""情绪和睡眠都会影响肠胃的"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[47afd424f1]"", ""created_at"": ""04-16"", ""source"": ""来自天津"", ""user"": {""id"": ""[81168912cb]"", ""screen_name"": ""[f0780ac90a]""}, ""text"": ""我也是，心情不好的时候就会肚子涨涨的，有点想欧"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[c4505d5663]"", ""created_at"": ""04-16"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-16 07:21:48
[cdeaef3aa4],[fb9368993f],"抑郁症
 早醒 感觉要吐了 心里乱如麻 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-16T06:56:31,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-04-16 06:56:31
[32ebc86ad3],[b262e7f3d3],"抑郁症
 有没有宝宝陪我聊聊天
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-14T15:08:57,抑郁症超话,0,1,"[{""id"": ""[e5633d2565]"", ""created_at"": ""04-14"", ""source"": ""来自重庆"", ""user"": {""id"": ""[2907941190]"", ""screen_name"": ""[1a9d2cb81a]""}, ""text"": ""我可以嘛 [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 15:08:57
